Exit stations,Entry stations->,,TOTAL,,,Mar 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	383 ," 	1,625 "," 	1,366 ", 	754 ," 	5,258 "," 	1,300 "," 	1,903 "," 	1,379 "," 	1,585 ", 	513 ," 	1,320 ", 	929 , 	536 , 	297 , 	523 , 	286 , 	221 , 	198 , 	294 , 	174 , 	316 , 	148 , 	105 , 	289 , 	452 ," 	3,998 "," 	3,152 "," 	5,681 "," 	3,487 "," 	2,742 "," 	2,699 ", 	672 , 	810 , 	883 , 	284 , 	90 , 	181 , 	62 , 	149 , 	172 , 	327 , 	661 , 	209 , 	73 , 	165 , 	305 , 	146 , 	215 , 	150 , 	199 ," 	49,666 ",,,,,,,,,,,,,
LF, 	146 , 	118 , 	79 , 	59 , 	518 , 	85 , 	513 , 	864 , 	842 , 	79 , 	341 , 	86 , 	72 , 	37 , 	49 , 	34 , 	34 , 	51 ," 	1,561 ", 	779 , 	896 , 	213 , 	223 , 	767 , 	70 ," 	5,682 "," 	4,073 "," 	1,926 "," 	2,070 ", 	821 , 	544 , 	173 , 	87 , 	177 , 	68 , 	8 , 	33 , 	78 , 	475 , 	40 , 	68 ," 	1,053 ", 	44 , 	8 , 	291 , 	15 , 	39 , 	57 , 	229 , 	279 ," 	26,854 ",,,,,,,,,,,,,
OR, 	124 , 	154 , 	56 , 	117 , 	402 , 	69 , 	387 , 	639 , 	704 , 	61 , 	299 , 	74 , 	67 , 	79 , 	73 , 	12 , 	22 , 	41 , 	434 , 	294 , 	526 , 	256 , 	174 , 	728 , 	57 ," 	4,896 "," 	3,496 "," 	1,594 "," 	1,438 ", 	559 , 	289 , 	220 , 	158 , 	170 , 	57 , 	60 , 	25 , 	29 , 	114 , 	42 , 	48 , 	783 , 	68 , 	7 , 	159 , 	12 , 	64 , 	71 , 	122 , 	164 ," 	20,494 ",,,,,,,,,,,,,
RR, 	269 , 	524 , 	419 , 	203 , 	397 , 	107 , 	901 ," 	1,845 "," 	1,516 ", 	210 , 	724 , 	290 , 	341 , 	169 , 	182 , 	55 , 	152 , 	145 ," 	1,039 "," 	1,151 "," 	1,391 ", 	803 , 	908 , 	334 , 	452 ," 	7,731 "," 	5,979 "," 	5,064 "," 	4,902 "," 	2,459 "," 	1,410 ", 	678 , 	838 , 	422 , 	71 , 	130 , 	110 , 	251 , 	555 , 	148 , 	157 ," 	2,045 ", 	161 , 	21 , 	201 , 	85 , 	92 , 	95 , 	265 , 	595 ," 	48,992 ",,,,,,,,,,,,,
OW, 	424 , 	434 , 	133 , 	182 , 	925 , 	406 , 	773 , 	618 ," 	1,044 ", 	363 ," 	1,808 "," 	1,011 ", 	686 , 	486 , 	457 , 	252 , 	192 , 	148 , 	268 , 	179 , 	258 , 	52 , 	37 , 	388 , 	354 ," 	14,712 "," 	9,436 "," 	10,964 "," 	8,415 "," 	4,402 "," 	2,990 ", 	759 , 	891 , 	666 , 	215 , 	117 , 	424 , 	43 , 	206 , 	295 , 	250 ," 	1,366 ", 	293 , 	154 , 	115 , 	175 , 	67 , 	153 , 	189 , 	319 ," 	69,494 ",,,,,,,,,,,,,
EM," 	4,319 "," 	9,084 "," 	5,142 "," 	5,096 "," 	9,254 "," 	4,868 "," 	9,764 "," 	11,201 "," 	10,963 "," 	8,312 "," 	9,092 "," 	4,516 "," 	7,759 "," 	6,227 "," 	4,184 "," 	3,380 "," 	3,961 "," 	4,385 "," 	7,184 "," 	9,492 "," 	8,652 "," 	6,629 "," 	5,770 "," 	8,509 "," 	16,713 "," 	2,600 ", 	510 ," 	2,757 "," 	3,155 "," 	8,350 "," 	12,230 "," 	7,820 "," 	10,432 "," 	9,602 "," 	3,796 "," 	3,638 "," 	10,405 "," 	2,028 "," 	4,622 "," 	3,093 "," 	2,726 "," 	4,957 "," 	3,271 "," 	4,326 "," 	1,321 "," 	1,478 "," 	1,879 "," 	2,160 "," 	1,205 "," 	5,569 "," 	298,386 ",,,,,,,,,,,,,
MT," 	4,236 "," 	7,213 "," 	4,019 "," 	3,800 "," 	6,812 "," 	3,897 "," 	7,825 "," 	8,913 "," 	8,358 "," 	6,391 "," 	7,379 "," 	3,215 "," 	6,946 "," 	5,764 "," 	3,056 "," 	2,384 "," 	3,112 "," 	3,097 "," 	5,488 "," 	7,508 "," 	6,257 "," 	4,235 "," 	3,666 "," 	6,590 "," 	11,454 ", 	653 ," 	1,568 ", 	859 ," 	2,399 "," 	8,870 "," 	14,151 "," 	9,536 "," 	15,409 "," 	11,877 "," 	4,762 "," 	3,490 "," 	6,916 "," 	1,618 "," 	4,690 "," 	3,723 "," 	3,442 "," 	4,749 "," 	3,794 "," 	2,518 ", 	819 ," 	1,230 "," 	1,377 "," 	1,856 "," 	1,105 "," 	4,675 "," 	257,701 ",,,,,,,,,,,,,
PL," 	4,497 "," 	7,139 "," 	2,708 "," 	2,466 "," 	7,039 "," 	2,795 "," 	5,977 "," 	6,547 "," 	7,327 "," 	5,250 "," 	7,989 "," 	4,068 "," 	5,420 "," 	5,079 "," 	2,599 "," 	1,896 "," 	2,006 "," 	1,949 "," 	4,109 "," 	3,620 "," 	3,375 "," 	1,716 "," 	1,455 "," 	4,061 "," 	10,342 "," 	3,414 "," 	1,016 "," 	2,102 "," 	1,969 "," 	11,388 "," 	15,513 "," 	8,977 "," 	15,977 "," 	12,157 "," 	4,642 "," 	2,090 "," 	4,950 "," 	1,333 "," 	4,430 "," 	3,621 "," 	3,396 "," 	12,970 "," 	3,040 "," 	1,669 "," 	1,178 ", 	892 ," 	1,048 "," 	1,412 "," 	1,116 "," 	3,584 "," 	235,313 ",,,,,,,,,,,,,
CC," 	3,222 "," 	5,801 "," 	2,817 "," 	3,350 "," 	5,632 "," 	3,704 "," 	6,821 "," 	6,791 "," 	6,098 "," 	5,209 "," 	8,182 "," 	3,166 "," 	4,363 "," 	3,663 "," 	2,129 "," 	1,739 "," 	1,853 "," 	1,930 "," 	3,595 "," 	3,199 "," 	3,294 "," 	1,875 "," 	1,477 "," 	4,336 "," 	8,309 "," 	3,227 "," 	2,106 "," 	1,992 "," 	1,555 "," 	5,314 "," 	8,752 "," 	6,385 "," 	9,941 "," 	8,168 "," 	3,918 "," 	1,904 "," 	3,570 "," 	1,190 "," 	3,165 "," 	2,959 "," 	3,100 "," 	5,062 "," 	3,318 "," 	1,433 ", 	547 , 	714 , 	943 ," 	1,158 ", 	842 ," 	3,295 "," 	187,113 ",,,,,,,,,,,,,
16," 	2,538 "," 	2,587 "," 	1,194 "," 	1,412 "," 	3,542 "," 	1,826 "," 	4,206 "," 	4,439 "," 	3,382 "," 	2,681 "," 	3,557 "," 	1,395 "," 	1,921 "," 	1,560 "," 	1,009 ", 	651 , 	749 , 	714 ," 	1,419 "," 	1,106 "," 	1,209 ", 	837 , 	496 ," 	2,369 "," 	4,632 "," 	8,203 "," 	8,433 "," 	13,227 "," 	6,346 ", 	851 ," 	2,314 "," 	3,978 "," 	6,259 "," 	5,286 "," 	2,429 ", 	748 ," 	1,309 ", 	494 ," 	1,407 "," 	1,673 "," 	2,029 "," 	3,367 "," 	1,860 ", 	679 , 	323 , 	325 , 	322 , 	479 , 	494 ," 	1,528 "," 	125,794 ",,,,,,,,,,,,,
24," 	2,405 "," 	2,176 ", 	899 , 	965 ," 	2,712 "," 	1,117 "," 	2,999 "," 	3,185 "," 	2,658 "," 	1,940 "," 	2,852 "," 	1,433 "," 	1,469 ", 	941 , 	721 , 	749 , 	452 , 	502 ," 	1,102 ", 	772 , 	863 , 	576 , 	296 ," 	1,464 "," 	3,366 "," 	11,272 "," 	11,727 "," 	18,456 "," 	10,149 "," 	2,420 ", 	906 ," 	3,376 "," 	4,975 "," 	4,579 "," 	2,308 ", 	295 , 	798 , 	447 ," 	1,277 "," 	1,650 "," 	1,934 "," 	2,550 "," 	1,805 ", 	359 , 	286 , 	146 , 	234 , 	300 , 	327 ," 	1,132 "," 	122,322 ",,,,,,,,,,,,,
