Exit stations,Entry stations->,,SATURDAY,,,Mar 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	12 , 	29 , 	26 , 	15 , 	112 , 	20 , 	29 , 	27 , 	34 , 	14 , 	26 , 	21 , 	8 , 	9 , 	8 , 	6 , 	3 , 	5 , 	6 , 	7 , 	7 , 	4 , 	3 , 	6 , 	10 , 	71 , 	40 , 	146 , 	47 , 	57 , 	67 , 	11 , 	18 , 	17 , 	5 , 	2 , 	4 , 	0 , 	3 , 	5 , 	6 , 	21 , 	9 , 	1 , 	3 , 	7 , 	4 , 	8 , 	2 , 	4 , 	998 ,,,,,,,,,,
CL, 	23 , 	21 , 	5 , 	5 , 	36 , 	16 , 	23 , 	27 , 	24 , 	36 , 	57 , 	9 , 	36 , 	48 , 	31 , 	25 , 	19 , 	12 , 	7 , 	8 , 	8 , 	4 , 	2 , 	9 , 	20 , 	53 , 	37 , 	112 , 	53 , 	41 , 	36 , 	8 , 	10 , 	13 , 	2 , 	12 , 	26 , 	1 , 	7 , 	2 , 	5 , 	7 , 	3 , 	15 , 	12 , 	17 , 	8 , 	12 , 	6 , 	13 ," 	1,017 ",,,,,,,,,,
SL, 	10 , 	18 , 	8 , 	10 , 	40 , 	10 , 	28 , 	33 , 	35 , 	55 , 	80 , 	43 , 	9 , 	52 , 	35 , 	18 , 	21 , 	23 , 	5 , 	4 , 	6 , 	1 , 	2 , 	5 , 	15 , 	90 , 	75 , 	181 , 	76 , 	41 , 	30 , 	11 , 	15 , 	13 , 	1 , 	18 , 	25 , 	1 , 	7 , 	1 , 	6 , 	16 , 	2 , 	22 , 	6 , 	13 , 	11 , 	22 , 	2 , 	4 ," 	1,250 ",,,,,,,,,,
BF, 	11 , 	11 , 	5 , 	7 , 	28 , 	12 , 	17 , 	27 , 	37 , 	52 , 	82 , 	51 , 	43 , 	7 , 	45 , 	23 , 	23 , 	26 , 	6 , 	2 , 	3 , 	2 , 	2 , 	5 , 	15 , 	90 , 	60 , 	169 , 	50 , 	38 , 	20 , 	9 , 	13 , 	11 , 	4 , 	18 , 	36 , 	1 , 	7 , 	3 , 	3 , 	9 , 	2 , 	23 , 	3 , 	24 , 	14 , 	14 , 	3 , 	1 ," 	1,160 ",,,,,,,,,,
HY, 	9 , 	15 , 	5 , 	4 , 	34 , 	9 , 	21 , 	23 , 	28 , 	24 , 	54 , 	35 , 	42 , 	46 , 	14 , 	31 , 	31 , 	37 , 	5 , 	2 , 	2 , 	2 , 	1 , 	2 , 	9 , 	60 , 	23 , 	74 , 	30 , 	19 , 	19 , 	6 , 	6 , 	10 , 	3 , 	6 , 	12 , 	0 , 	4 , 	2 , 	6 , 	6 , 	2 , 	13 , 	3 , 	29 , 	22 , 	30 , 	1 , 	8 , 	874 ,,,,,,,,,,
SH, 	6 , 	10 , 	4 , 	4 , 	16 , 	7 , 	7 , 	9 , 	13 , 	13 , 	35 , 	21 , 	21 , 	20 , 	24 , 	6 , 	14 , 	23 , 	4 , 	2 , 	3 , 	0 , 	1 , 	2 , 	6 , 	35 , 	21 , 	56 , 	19 , 	10 , 	14 , 	1 , 	5 , 	3 , 	2 , 	4 , 	7 , 	1 , 	3 , 	3 , 	3 , 	6 , 	1 , 	6 , 	3 , 	17 , 	15 , 	16 , 	1 , 	1 , 	516 ,,,,,,,,,,
UC, 	7 , 	11 , 	4 , 	2 , 	37 , 	8 , 	9 , 	18 , 	14 , 	15 , 	26 , 	18 , 	26 , 	21 , 	36 , 	15 , 	13 , 	26 , 	3 , 	3 , 	1 , 	0 , 	1 , 	1 , 	4 , 	60 , 	27 , 	76 , 	23 , 	18 , 	10 , 	6 , 	8 , 	7 , 	1 , 	7 , 	12 , 	1 , 	1 , 	1 , 	2 , 	7 , 	1 , 	5 , 	6 , 	19 , 	25 , 	26 , 	1 , 	4 , 	667 ,,,,,,,,,,
FM, 	6 , 	9 , 	3 , 	5 , 	42 , 	6 , 	13 , 	17 , 	13 , 	13 , 	32 , 	14 , 	23 , 	24 , 	38 , 	24 , 	25 , 	17 , 	9 , 	3 , 	2 , 	2 , 	1 , 	3 , 	3 , 	71 , 	36 , 	73 , 	34 , 	20 , 	9 , 	6 , 	5 , 	8 , 	2 , 	5 , 	10 , 	1 , 	3 , 	2 , 	-   , 	12 , 	2 , 	5 , 	5 , 	22 , 	33 , 	34 , 	0 , 	2 , 	743 ,,,,,,,,,,
CN, 	8 , 	8 , 	7 , 	4 , 	15 , 	6 , 	22 , 	21 , 	19 , 	5 , 	12 , 	6 , 	6 , 	5 , 	7 , 	4 , 	4 , 	5 , 	12 , 	34 , 	83 , 	29 , 	10 , 	29 , 	6 , 	92 , 	45 , 	108 , 	52 , 	30 , 	25 , 	8 , 	7 , 	14 , 	5 , 	0 , 	4 , 	8 , 	49 , 	5 , 	5 , 	44 , 	4 , 	1 , 	8 , 	1 , 	2 , 	9 , 	26 , 	36 , 	955 ,,,,,,,,,,
PH, 	5 , 	4 , 	3 , 	3 , 	15 , 	7 , 	16 , 	26 , 	20 , 	3 , 	6 , 	9 , 	4 , 	1 , 	2 , 	1 , 	2 , 	2 , 	32 , 	6 , 	37 , 	13 , 	7 , 	27 , 	2 , 	114 , 	53 , 	107 , 	50 , 	24 , 	15 , 	9 , 	8 , 	5 , 	2 , 	0 , 	3 , 	6 , 	17 , 	3 , 	3 , 	39 , 	4 , 	-   , 	10 , 	1 , 	2 , 	5 , 	11 , 	11 , 	749 ,,,,,,,,,,
WC, 	6 , 	11 , 	10 , 	5 , 	21 , 	3 , 	18 , 	29 , 	25 , 	4 , 	10 , 	10 , 	6 , 	5 , 	3 , 	4 , 	3 , 	2 , 	108 , 	47 , 	12 , 	22 , 	11 , 	41 , 	7 , 	120 , 	64 , 	116 , 	74 , 	34 , 	23 , 	7 , 	8 , 	10 , 	6 , 	0 , 	2 , 	14 , 	30 , 	5 , 	6 , 	48 , 	2 , 	-   , 	7 , 	1 , 	2 , 	5 , 	15 , 	28 ," 	1,047 ",,,,,,,,,,
LF, 	4 , 	3 , 	3 , 	2 , 	12 , 	2 , 	15 , 	20 , 	12 , 	1 , 	8 , 	3 , 	2 , 	1 , 	2 , 	1 , 	1 , 	3 , 	42 , 	23 , 	24 , 	6 , 	5 , 	23 , 	2 , 	72 , 	32 , 	64 , 	50 , 	21 , 	10 , 	5 , 	1 , 	3 , 	1 , 	0 , 	1 , 	3 , 	13 , 	2 , 	3 , 	28 , 	0 , 	0 , 	5 , 	1 , 	2 , 	3 , 	7 , 	5 , 	547 ,,,,,,,,,,
OR, 	2 , 	3 , 	3 , 	2 , 	8 , 	3 , 	11 , 	18 , 	12 , 	3 , 	5 , 	2 , 	1 , 	2 , 	1 , 	-   , 	1 , 	1 , 	9 , 	5 , 	11 , 	8 , 	6 , 	23 , 	1 , 	74 , 	29 , 	53 , 	40 , 	18 , 	10 , 	4 , 	3 , 	3 , 	1 , 	1 , 	1 , 	2 , 	4 , 	1 , 	0 , 	18 , 	2 , 	-   , 	3 , 	-   , 	0 , 	1 , 	2 , 	2 , 	406 ,,,,,,,,,,
RR, 	10 , 	12 , 	11 , 	6 , 	8 , 	4 , 	20 , 	44 , 	36 , 	7 , 	19 , 	4 , 	8 , 	7 , 	2 , 	1 , 	3 , 	4 , 	26 , 	27 , 	37 , 	28 , 	21 , 	14 , 	16 , 	175 , 	112 , 	190 , 	117 , 	82 , 	50 , 	18 , 	9 , 	11 , 	3 , 	1 , 	4 , 	4 , 	10 , 	3 , 	3 , 	73 , 	7 , 	1 , 	4 , 	1 , 	3 , 	3 , 	3 , 	11 ," 	1,264 ",,,,,,,,,,
OW, 	8 , 	8 , 	3 , 	5 , 	21 , 	10 , 	16 , 	19 , 	29 , 	10 , 	40 , 	18 , 	16 , 	15 , 	10 , 	4 , 	3 , 	3 , 	7 , 	4 , 	6 , 	2 , 	0 , 	12 , 	14 , 	290 , 	172 , 	381 , 	188 , 	142 , 	99 , 	17 , 	20 , 	18 , 	5 , 	1 , 	12 , 	1 , 	7 , 	5 , 	7 , 	36 , 	5 , 	4 , 	4 , 	7 , 	2 , 	7 , 	2 , 	6 ," 	1,715 ",,,,,,,,,,
EM, 	81 , 	127 , 	94 , 	113 , 	324 , 	96 , 	208 , 	220 , 	197 , 	133 , 	155 , 	66 , 	111 , 	97 , 	67 , 	42 , 	60 , 	77 , 	104 , 	112 , 	135 , 	92 , 	98 , 	208 , 	342 , 	86 , 	13 , 	83 , 	55 , 	207 , 	225 , 	126 , 	169 , 	115 , 	35 , 	57 , 	218 , 	26 , 	63 , 	38 , 	63 , 	149 , 	86 , 	64 , 	34 , 	29 , 	66 , 	53 , 	17 , 	57 ," 	5,487 ",,,,,,,,,,
MT, 	65 , 	109 , 	67 , 	75 , 	236 , 	84 , 	144 , 	172 , 	170 , 	108 , 	115 , 	46 , 	99 , 	89 , 	35 , 	30 , 	44 , 	40 , 	70 , 	82 , 	93 , 	44 , 	48 , 	138 , 	219 , 	15 , 	44 , 	20 , 	32 , 	153 , 	198 , 	133 , 	249 , 	170 , 	52 , 	48 , 	108 , 	17 , 	48 , 	44 , 	41 , 	144 , 	57 , 	28 , 	20 , 	24 , 	29 , 	45 , 	10 , 	39 ," 	4,184 ",,,,,,,,,,
PL, 	121 , 	179 , 	91 , 	93 , 	328 , 	93 , 	187 , 	234 , 	224 , 	148 , 	226 , 	117 , 	156 , 	139 , 	61 , 	46 , 	64 , 	64 , 	93 , 	99 , 	109 , 	61 , 	47 , 	161 , 	384 , 	93 , 	20 , 	89 , 	65 , 	443 , 	536 , 	283 , 	462 , 	357 , 	134 , 	66 , 	186 , 	33 , 	101 , 	87 , 	105 , 	511 , 	106 , 	53 , 	37 , 	29 , 	46 , 	69 , 	24 , 	57 ," 	7,507 ",,,,,,,,,,
CC, 	47 , 	73 , 	48 , 	78 , 	186 , 	85 , 	138 , 	174 , 	139 , 	96 , 	161 , 	52 , 	65 , 	53 , 	37 , 	26 , 	26 , 	43 , 	51 , 	58 , 	75 , 	45 , 	47 , 	116 , 	207 , 	59 , 	31 , 	68 , 	49 , 	165 , 	210 , 	114 , 	154 , 	156 , 	69 , 	32 , 	80 , 	14 , 	36 , 	44 , 	65 , 	153 , 	105 , 	27 , 	15 , 	19 , 	33 , 	48 , 	12 , 	31 ," 	3,911 ",,,,,,,,,,
16, 	53 , 	55 , 	29 , 	50 , 	127 , 	57 , 	149 , 	165 , 	112 , 	74 , 	97 , 	41 , 	35 , 	30 , 	16 , 	12 , 	18 , 	27 , 	30 , 	25 , 	35 , 	25 , 	20 , 	86 , 	147 , 	195 , 	138 , 	487 , 	187 , 	28 , 	70 , 	110 , 	142 , 	138 , 	55 , 	14 , 	39 , 	7 , 	19 , 	37 , 	57 , 	93 , 	66 , 	14 , 	7 , 	10 , 	19 , 	23 , 	6 , 	15 ," 	3,486 ",,,,,,,,,,
24, 	65 , 	58 , 	26 , 	38 , 	95 , 	49 , 	85 , 	115 , 	76 , 	51 , 	68 , 	35 , 	26 , 	24 , 	16 , 	14 , 	10 , 	10 , 	22 , 	20 , 	25 , 	15 , 	10 , 	58 , 	119 , 	200 , 	156 , 	612 , 	253 , 	61 , 	33 , 	108 , 	107 , 	126 , 	60 , 	6 , 	21 , 	4 , 	23 , 	42 , 	55 , 	73 , 	65 , 	8 , 	7 , 	4 , 	7 , 	16 , 	5 , 	11 ," 	3,191 ",,,,,,,,,,
GP, 	12 , 	14 , 	6 , 	10 , 	38 , 	11 , 	21 , 	27 , 	19 , 	22 , 	19 , 	6 , 	8 , 	9 , 	7 , 	2 , 	7 , 	5 , 	4 , 	9 , 	8 , 	4 , 	5 , 	18 , 	23 , 	117 , 	83 , 	307 , 	121 , 	99 , 	107 , 	13 , 	17 , 	20 , 	21 , 	5 , 	8 , 	2 , 	12 , 	11 , 	21 , 	41 , 	25 , 	5 , 	6 , 	4 , 	1 , 	4 , 	2 , 	6 ," 	1,366 ",,,,,,,,,,
BP, 	20 , 	14 , 	5 , 	6 , 	21 , 	10 , 	18 , 	20 , 	25 , 	15 , 	17 , 	10 , 	14 , 	7 , 	7 , 	5 , 	7 , 	7 , 	6 , 	6 , 	5 , 	2 , 	4 , 	10 , 	25 , 	137 , 	117 , 	520 , 	144 , 	115 , 	95 , 	15 , 	11 , 	21 , 	29 , 	3 , 	7 , 	2 , 	9 , 	18 , 	34 , 	50 , 	29 , 	4 , 	3 , 	3 , 	3 , 	7 , 	3 , 	6 ," 	1,664 ",,,,,,,,,,
DC, 	13 , 	19 , 	5 , 	6 , 	32 , 	8 , 	11 , 	24 , 	27 , 	13 , 	23 , 	13 , 	11 , 	10 , 	7 , 	5 , 	8 , 	7 , 	11 , 	4 , 	9 , 	2 , 	2 , 	9 , 	17 , 	103 , 	107 , 	422 , 	172 , 	136 , 	132 , 	26 , 	28 , 	17 , 	16 , 	4 , 	13 , 	1 , 	8 , 	17 , 	46 , 	114 , 	37 , 	7 , 	4 , 	4 , 	9 , 	7 , 	4 , 	10 ," 	1,737 ",,,,,,,,,,
CM, 	6 , 	5 , 	3 , 	3 , 	7 , 	4 , 	6 , 	9 , 	7 , 	2 , 	3 , 	3 , 	2 , 	4 , 	3 , 	1 , 	2 , 	2 , 	6 , 	3 , 	6 , 	1 , 	1 , 	2 , 	6 , 	34 , 	36 , 	161 , 	75 , 	52 , 	48 , 	15 , 	33 , 	18 , 	7 , 	1 , 	3 , 	2 , 	7 , 	3 , 	20 , 	74 , 	15 , 	-   , 	1 , 	0 , 	2 , 	1 , 	2 , 	5 , 	704 ,,,,,,,,,,
CV, 	3 , 	2 , 	2 , 	2 , 	5 , 	0 , 	3 , 	5 , 	4 , 	27 , 	17 , 	14 , 	20 , 	22 , 	7 , 	3 , 	4 , 	5 , 	1 , 	0 , 	0 , 	-   , 	0 , 	1 , 	3 , 	50 , 	31 , 	78 , 	36 , 	16 , 	9 , 	5 , 	4 , 	7 , 	1 , 	3 , 	33 , 	-   , 	1 , 	1 , 	4 , 	6 , 	1 , 	27 , 	1 , 	1 , 	2 , 	2 , 	0 , 	1 , 	464 ,,,,,,,,,,
ED, 	6 , 	6 , 	2 , 	2 , 	35 , 	7 , 	10 , 	18 , 	7 , 	33 , 	43 , 	23 , 	29 , 	32 , 	15 , 	8 , 	11 , 	11 , 	4 , 	3 , 	1 , 	1 , 	1 , 	3 , 	15 , 	192 , 	87 , 	182 , 	76 , 	49 , 	25 , 	9 , 	11 , 	14 , 	2 , 	28 , 	18 , 	-   , 	1 , 	2 , 	2 , 	33 , 	2 , 	15 , 	15 , 	5 , 	11 , 	13 , 	1 , 	3 ," 	1,116 ",,,,,,,,,,
NC, 	1 , 	1 , 	1 , 	1 , 	3 , 	1 , 	5 , 	5 , 	4 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	-   , 	1 , 	8 , 	5 , 	11 , 	3 , 	1 , 	5 , 	1 , 	27 , 	12 , 	36 , 	10 , 	6 , 	4 , 	2 , 	1 , 	3 , 	4 , 	-   , 	-   , 	4 , 	7 , 	1 , 	1 , 	14 , 	2 , 	0 , 	4 , 	1 , 	-   , 	1 , 	5 , 	4 , 	207 ,,,,,,,,,,
WP, 	4 , 	7 , 	3 , 	2 , 	11 , 	-   , 	22 , 	12 , 	12 , 	3 , 	9 , 	9 , 	3 , 	7 , 	4 , 	3 , 	1 , 	4 , 	50 , 	19 , 	34 , 	14 , 	5 , 	7 , 	5 , 	56 , 	35 , 	118 , 	47 , 	23 , 	22 , 	12 , 	11 , 	12 , 	6 , 	1 , 	1 , 	7 , 	10 , 	2 , 	8 , 	34 , 	4 , 	0 , 	5 , 	5 , 	2 , 	3 , 	7 , 	7 , 	681 ,,,,,,,,,,
SS, 	5 , 	5 , 	2 , 	1 , 	7 , 	1 , 	3 , 	5 , 	8 , 	2 , 	3 , 	0 , 	2 , 	1 , 	3 , 	1 , 	1 , 	1 , 	5 , 	3 , 	3 , 	4 , 	1 , 	4 , 	5 , 	32 , 	29 , 	105 , 	43 , 	42 , 	34 , 	8 , 	19 , 	15 , 	5 , 	0 , 	2 , 	2 , 	3 , 	7 , 	14 , 	32 , 	9 , 	2 , 	1 , 	-   , 	1 , 	0 , 	2 , 	6 , 	482 ,,,,,,,,,,
SB, 	9 , 	13 , 	3 , 	3 , 	16 , 	3 , 	3 , 	11 , 	12 , 	5 , 	10 , 	8 , 	5 , 	6 , 	5 , 	5 , 	3 , 	1 , 	7 , 	4 , 	5 , 	2 , 	2 , 	7 , 	9 , 	57 , 	36 , 	127 , 	81 , 	60 , 	52 , 	25 , 	45 , 	50 , 	18 , 	3 , 	2 , 	1 , 	8 , 	14 , 	11 , 	33 , 	6 , 	2 , 	1 , 	-   , 	2 , 	1 , 	3 , 	6 , 	792 ,,,,,,,,,,
SO, 	12 , 	25 , 	21 , 	22 , 	127 , 	13 , 	36 , 	26 , 	25 , 	10 , 	12 , 	6 , 	12 , 	8 , 	4 , 	5 , 	3 , 	4 , 	34 , 	31 , 	35 , 	22 , 	15 , 	73 , 	35 , 	113 , 	79 , 	372 , 	141 , 	78 , 	52 , 	35 , 	52 , 	88 , 	63 , 	5 , 	22 , 	9 , 	31 , 	20 , 	21 , 	38 , 	85 , 	7 , 	9 , 	3 , 	3 , 	2 , 	3 , 	27 ," 	1,967 ",,,,,,,,,,
MB, 	3 , 	6 , 	3 , 	4 , 	38 , 	4 , 	9 , 	11 , 	10 , 	1 , 	5 , 	4 , 	2 , 	2 , 	1 , 	1 , 	0 , 	2 , 	3 , 	4 , 	4 , 	1 , 	2 , 	4 , 	5 , 	53 , 	30 , 	105 , 	78 , 	56 , 	39 , 	19 , 	26 , 	38 , 	14 , 	1 , 	3 , 	1 , 	3 , 	10 , 	7 , 	128 , 	41 , 	1 , 	1 , 	-   , 	-   , 	1 , 	1 , 	2 , 	780 ,,,,,,,,,,
WD, 	1 , 	2 , 	2 , 	2 , 	9 , 	2 , 	4 , 	4 , 	3 , 	17 , 	34 , 	13 , 	27 , 	27 , 	11 , 	5 , 	5 , 	4 , 	0 , 	1 , 	1 , 	0 , 	-   , 	1 , 	4 , 	59 , 	30 , 	58 , 	26 , 	17 , 	10 , 	3 , 	4 , 	7 , 	-   , 	32 , 	13 , 	-   , 	0 , 	-   , 	1 , 	8 , 	1 , 	7 , 	6 , 	2 , 	2 , 	4 , 	-   , 	0 , 	468 ,,,,,,,,,,
OA, 	3 , 	5 , 	7 , 	8 , 	91 , 	7 , 	5 , 	5 , 	6 , 	6 , 	4 , 	10 , 	5 , 	2 , 	3 , 	1 , 	3 , 	4 , 	5 , 	9 , 	8 , 	3 , 	2 , 	4 , 	3 , 	31 , 	17 , 	28 , 	16 , 	8 , 	5 , 	3 , 	2 , 	1 , 	1 , 	2 , 	10 , 	2 , 	5 , 	1 , 	1 , 	10 , 	1 , 	3 , 	6 , 	1 , 	3 , 	3 , 	0 , 	4 , 	369 ,,,,,,,,,,
WS, 	5 , 	8 , 	1 , 	4 , 	29 , 	3 , 	3 , 	10 , 	7 , 	8 , 	16 , 	14 , 	14 , 	13 , 	19 , 	16 , 	15 , 	16 , 	1 , 	2 , 	2 , 	1 , 	0 , 	2 , 	5 , 	32 , 	20 , 	31 , 	15 , 	10 , 	3 , 	1 , 	2 , 	1 , 	1 , 	1 , 	3 , 	0 , 	3 , 	1 , 	-   , 	3 , 	-   , 	1 , 	1 , 	9 , 	17 , 	26 , 	1 , 	2 , 	392 ,,,,,,,,,,
ML, 	4 , 	6 , 	8 , 	6 , 	55 , 	7 , 	9 , 	13 , 	12 , 	9 , 	11 , 	6 , 	14 , 	12 , 	23 , 	13 , 	27 , 	38 , 	4 , 	3 , 	2 , 	1 , 	1 , 	3 , 	2 , 	55 , 	25 , 	63 , 	30 , 	14 , 	9 , 	1 , 	6 , 	7 , 	2 , 	1 , 	12 , 	0 , 	2 , 	1 , 	1 , 	5 , 	0 , 	2 , 	5 , 	23 , 	12 , 	13 , 	1 , 	3 , 	576 ,,,,,,,,,,
BE, 	9 , 	14 , 	11 , 	8 , 	94 , 	13 , 	16 , 	25 , 	21 , 	22 , 	24 , 	14 , 	20 , 	20 , 	33 , 	19 , 	32 , 	30 , 	6 , 	3 , 	5 , 	2 , 	2 , 	5 , 	6 , 	61 , 	27 , 	82 , 	46 , 	26 , 	15 , 	6 , 	11 , 	13 , 	3 , 	2 , 	12 , 	2 , 	3 , 	2 , 	1 , 	4 , 	-   , 	5 , 	4 , 	32 , 	14 , 	14 , 	1 , 	4 , 	835 ,,,,,,,,,,
