Exit stations,Entry stations->,,TOTAL,,,Nov 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	350 ," 	1,902 "," 	1,580 ", 	897 ," 	5,973 "," 	1,050 "," 	1,693 "," 	1,263 "," 	1,466 ", 	524 ," 	1,267 ", 	891 , 	494 , 	231 , 	447 , 	238 , 	137 , 	178 , 	278 , 	324 , 	294 , 	169 , 	140 , 	298 , 	468 ," 	4,463 "," 	3,466 "," 	6,162 "," 	3,271 "," 	2,556 "," 	2,509 ", 	710 , 	810 ," 	1,071 ", 	254 , 	113 , 	116 , 	58 , 	161 , 	179 , 	321 , 	899 , 	295 , 	89 , 	220 , 	427 , 	126 , 	232 , 	162 , 	170 ," 	51,392 ",,,,,,,,,,,,,
LF, 	193 , 	136 , 	88 , 	81 , 	715 , 	57 , 	512 , 	994 , 	932 , 	64 , 	222 , 	87 , 	52 , 	40 , 	133 , 	18 , 	26 , 	21 ," 	1,988 ", 	857 , 	882 , 	316 , 	253 , 	920 , 	47 ," 	6,758 "," 	5,006 "," 	2,746 "," 	2,277 ", 	661 , 	466 , 	198 , 	172 , 	162 , 	40 , 	1 , 	17 , 	47 , 	440 , 	24 , 	95 ," 	1,508 ", 	82 , 	9 , 	365 , 	4 , 	39 , 	48 , 	225 , 	219 ," 	31,243 ",,,,,,,,,,,,,
OR, 	145 , 	131 , 	49 , 	104 , 	533 , 	69 , 	471 , 	822 , 	675 , 	41 , 	269 , 	121 , 	63 , 	59 , 	55 , 	13 , 	25 , 	48 , 	429 , 	359 , 	567 , 	220 , 	218 , 	748 , 	62 ," 	5,839 "," 	3,990 "," 	2,516 "," 	1,966 ", 	654 , 	340 , 	190 , 	108 , 	206 , 	32 , 	56 , 	16 , 	30 , 	165 , 	24 , 	44 ," 	1,030 ", 	62 , 	8 , 	208 , 	14 , 	66 , 	47 , 	129 , 	140 ," 	24,176 ",,,,,,,,,,,,,
RR, 	330 , 	380 , 	331 , 	213 , 	362 , 	107 , 	915 ," 	1,663 "," 	1,480 ", 	195 , 	569 , 	234 , 	232 , 	224 , 	196 , 	38 , 	114 , 	142 , 	955 ," 	1,291 "," 	1,574 ", 	939 , 	823 , 	407 , 	373 ," 	8,788 "," 	6,702 "," 	5,343 "," 	5,103 "," 	2,167 "," 	1,342 ", 	555 , 	632 , 	410 , 	79 , 	88 , 	61 , 	176 , 	524 , 	104 , 	158 ," 	2,183 ", 	155 , 	39 , 	260 , 	127 , 	102 , 	142 , 	205 , 	444 ," 	49,976 ",,,,,,,,,,,,,
OW, 	476 , 	471 , 	134 , 	191 , 	849 , 	438 , 	845 , 	738 , 	917 , 	286 ," 	1,617 ", 	925 , 	565 , 	470 , 	529 , 	211 , 	244 , 	210 , 	267 , 	128 , 	261 , 	37 , 	43 , 	410 , 	463 ," 	15,498 "," 	10,227 "," 	12,777 "," 	9,022 "," 	4,304 "," 	2,758 ", 	768 , 	931 , 	615 , 	239 , 	134 , 	386 , 	30 , 	230 , 	229 , 	341 ," 	1,730 ", 	333 , 	120 , 	199 , 	167 , 	105 , 	131 , 	136 , 	308 ," 	73,443 ",,,,,,,,,,,,,
EM," 	5,269 "," 	9,476 "," 	5,949 "," 	6,306 "," 	10,695 "," 	6,055 "," 	10,772 "," 	13,199 "," 	12,212 "," 	8,488 "," 	9,414 "," 	4,799 "," 	8,308 "," 	6,717 "," 	4,441 "," 	3,512 "," 	4,873 "," 	5,761 "," 	6,927 "," 	10,467 "," 	10,573 "," 	7,936 "," 	6,875 "," 	9,749 "," 	18,130 "," 	2,887 ", 	690 ," 	3,793 "," 	3,907 "," 	9,512 "," 	14,033 "," 	8,700 "," 	11,207 "," 	10,898 "," 	4,335 "," 	4,623 "," 	13,335 "," 	2,112 "," 	5,348 "," 	3,949 "," 	3,160 "," 	5,502 "," 	4,305 "," 	5,577 "," 	1,881 "," 	2,047 "," 	2,604 "," 	2,975 ", 	960 ," 	5,621 "," 	340,864 ",,,,,,,,,,,,,
MT," 	4,538 "," 	7,996 "," 	4,561 "," 	4,866 "," 	7,805 "," 	4,854 "," 	8,103 "," 	10,009 "," 	8,884 "," 	6,821 "," 	7,526 "," 	3,477 "," 	6,968 "," 	6,239 "," 	3,285 "," 	2,739 "," 	3,247 "," 	3,638 "," 	5,417 "," 	7,828 "," 	7,103 "," 	5,188 "," 	4,055 "," 	7,184 "," 	12,529 ", 	962 ," 	1,890 "," 	1,034 "," 	2,973 "," 	9,652 "," 	15,071 "," 	10,627 "," 	16,179 "," 	13,396 "," 	5,078 "," 	3,697 "," 	8,012 "," 	1,557 "," 	4,600 "," 	3,871 "," 	3,743 "," 	6,230 "," 	4,996 "," 	3,020 "," 	1,202 "," 	1,528 "," 	2,203 "," 	2,300 ", 	962 ," 	4,564 "," 	284,207 ",,,,,,,,,,,,,
PL," 	5,424 "," 	8,846 "," 	3,705 "," 	3,210 "," 	8,393 "," 	3,296 "," 	6,706 "," 	7,373 "," 	8,004 "," 	5,723 "," 	8,102 "," 	4,199 "," 	6,142 "," 	5,912 "," 	2,915 "," 	2,026 "," 	2,599 "," 	2,582 "," 	4,191 "," 	4,548 "," 	4,632 "," 	2,567 "," 	2,336 "," 	4,601 "," 	12,481 "," 	4,812 "," 	1,414 "," 	2,843 "," 	2,463 "," 	13,373 "," 	17,403 "," 	10,767 "," 	18,894 "," 	14,534 "," 	4,679 "," 	2,691 "," 	6,604 "," 	1,433 "," 	4,977 "," 	4,259 "," 	3,921 "," 	15,231 "," 	5,007 "," 	2,117 "," 	1,448 "," 	1,153 "," 	1,568 "," 	1,744 "," 	1,021 "," 	3,912 "," 	278,781 ",,,,,,,,,,,,,
CC," 	3,304 "," 	5,780 "," 	2,998 "," 	3,886 "," 	5,630 "," 	3,912 "," 	6,786 "," 	7,164 "," 	6,369 "," 	4,957 "," 	8,180 "," 	3,349 "," 	4,403 "," 	3,797 "," 	2,222 "," 	1,765 "," 	1,845 "," 	2,016 "," 	3,460 "," 	3,752 "," 	3,543 "," 	2,119 "," 	1,978 "," 	4,771 "," 	9,148 "," 	3,879 "," 	2,848 "," 	2,353 "," 	1,575 "," 	6,032 "," 	8,948 "," 	7,052 "," 	10,204 "," 	8,961 "," 	3,847 "," 	2,225 "," 	4,469 "," 	1,092 "," 	3,040 "," 	3,486 "," 	3,489 "," 	5,991 "," 	4,313 "," 	1,541 ", 	761 ," 	1,015 "," 	1,153 "," 	1,166 ", 	595 ," 	3,008 "," 	200,177 ",,,,,,,,,,,,,
16," 	2,427 "," 	2,396 "," 	1,263 "," 	1,691 "," 	3,339 "," 	2,001 "," 	3,935 "," 	4,327 "," 	3,465 "," 	2,463 "," 	3,275 "," 	1,273 "," 	1,765 "," 	1,330 ", 	928 , 	590 , 	687 , 	657 ," 	1,103 "," 	1,136 "," 	1,106 ", 	630 , 	638 ," 	2,065 "," 	4,631 "," 	9,191 "," 	9,180 "," 	14,860 "," 	6,854 ", 	838 ," 	2,300 "," 	4,064 "," 	6,327 "," 	5,435 "," 	2,363 ", 	608 ," 	1,269 ", 	292 ," 	1,439 "," 	1,591 "," 	1,895 "," 	3,975 "," 	2,608 ", 	633 , 	373 , 	322 , 	378 , 	492 , 	366 ," 	1,144 "," 	127,918 ",,,,,,,,,,,,,
24," 	2,309 "," 	2,347 ", 	823 ," 	1,043 "," 	2,740 "," 	1,210 "," 	2,504 "," 	3,020 "," 	2,628 "," 	1,763 "," 	2,463 "," 	1,523 "," 	1,397 ", 	883 , 	574 , 	626 , 	336 , 	405 , 	940 , 	725 , 	834 , 	487 , 	348 ," 	1,253 "," 	3,138 "," 	12,454 "," 	12,462 "," 	20,083 "," 	10,000 "," 	2,294 ", 	689 ," 	3,668 "," 	5,144 "," 	4,321 "," 	2,106 ", 	339 , 	767 , 	350 ," 	1,190 "," 	1,632 "," 	1,954 "," 	2,990 "," 	2,153 ", 	345 , 	304 , 	238 , 	199 , 	255 , 	268 , 	842 ," 	123,366 ",,,,,,,,,,,,,
GP, 	668 , 	808 , 	389 , 	365 ," 	1,459 ", 	347 , 	850 ," 	1,223 "," 	1,205 ", 	570 , 	698 , 	455 , 	373 , 	397 , 	288 , 	149 , 	162 , 	123 , 	442 , 	447 , 	352 , 	218 , 	173 , 	532 , 	883 ," 	8,081 "," 	8,829 "," 	12,241 "," 	6,691 "," 	4,052 "," 	3,704 ", 	408 ," 	1,162 "," 	1,145 ", 	697 , 	172 , 	435 , 	81 , 	391 , 	643 , 	760 ," 	2,142 "," 	1,089 ", 	166 , 	251 , 	133 , 	107 , 	129 , 	88 , 	451 ," 	67,624 ",,,,,,,,,,,,,
BP, 	714 ," 	1,093 ", 	394 , 	306 , 	979 , 	410 , 	815 ," 	1,004 "," 	1,299 ", 	799 ," 	1,205 ", 	666 , 	727 , 	607 , 	372 , 	234 , 	200 , 	225 , 	515 , 	422 , 	330 , 	164 , 	105 , 	602 ," 	1,194 "," 	9,492 "," 	9,806 "," 	22,773 "," 	8,934 "," 	5,591 "," 	5,004 ", 	950 , 	453 ," 	1,314 "," 	1,286 ", 	259 , 	511 , 	161 , 	485 , 	993 ," 	1,407 "," 	1,843 "," 	1,731 ", 	245 , 	121 , 	119 , 	172 , 	160 , 	139 , 	481 ," 	89,811 ",,,,,,,,,,,,,
DC," 	1,115 "," 	1,561 ", 	550 , 	368 ," 	1,244 ", 	333 , 	755 ," 	1,143 "," 	1,468 ", 	806 ," 	1,684 "," 	1,045 "," 	1,044 ", 	635 , 	481 , 	462 , 	413 , 	485 , 	687 , 	622 , 	527 , 	178 , 	227 , 	394 , 	687 ," 	10,473 "," 	11,439 "," 	17,317 "," 	9,469 "," 	5,578 "," 	4,822 "," 	1,155 "," 	1,712 ", 	520 , 	598 , 	289 ," 	1,015 ", 	221 , 	670 ," 	1,202 "," 	1,692 "," 	3,946 "," 	2,774 ", 	320 , 	192 , 	199 , 	242 , 	349 , 	208 , 	825 ," 	96,141 ",,,,,,,,,,,,,
CM, 	211 , 	247 , 	117 , 	82 , 	333 , 	92 , 	201 , 	311 , 	677 , 	97 , 	133 , 	76 , 	106 , 	129 , 	90 , 	106 , 	69 , 	72 , 	144 , 	107 , 	176 , 	44 , 	30 , 	68 , 	261 ," 	4,171 "," 	4,104 "," 	5,722 "," 	3,819 "," 	2,222 "," 	2,127 ", 	727 ," 	1,256 ", 	530 , 	221 , 	26 , 	65 , 	38 , 	237 , 	255 , 	677 ," 	2,236 "," 	1,028 ", 	20 , 	16 , 	20 , 	18 , 	18 , 	69 , 	232 ," 	33,833 ",,,,,,,,,,,,,
