Exit stations,Entry stations->,,SATURDAY,,,Jun 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,
EM, 	182 , 	428 , 	264 , 	398 ," 	1,094 ", 	337 , 	577 , 	524 , 	486 , 	394 , 	462 , 	266 , 	306 , 	251 , 	165 , 	121 , 	196 , 	443 , 	322 , 	436 , 	591 , 	343 , 	278 , 	553 , 	808 , 	105 , 	38 , 	334 , 	198 , 	552 , 	672 , 	400 , 	571 , 	464 , 	127 , 	218 , 	905 , 	138 , 	321 , 	133 , 	128 , 	488 , 	352 , 	292 , 	84 , 	-   ," 	16,739 ",,,,,,,,,,
MT, 	157 , 	344 , 	176 , 	263 , 	596 , 	226 , 	379 , 	380 , 	356 , 	342 , 	390 , 	190 , 	232 , 	196 , 	104 , 	70 , 	122 , 	260 , 	184 , 	238 , 	286 , 	161 , 	149 , 	357 , 	642 , 	40 , 	42 , 	57 , 	97 , 	489 , 	571 , 	445 , 	989 , 	482 , 	147 , 	139 , 	362 , 	80 , 	195 , 	137 , 	122 , 	353 , 	264 , 	147 , 	50 , 	-   ," 	12,002 ",,,,,,,,,,
PL, 	263 , 	622 , 	277 , 	297 , 	836 , 	307 , 	567 , 	495 , 	512 , 	482 , 	610 , 	359 , 	387 , 	334 , 	200 , 	115 , 	202 , 	433 , 	279 , 	331 , 	386 , 	192 , 	175 , 	433 , 	999 , 	347 , 	74 , 	134 , 	244 ," 	1,367 "," 	1,517 ", 	949 ," 	1,683 "," 	1,233 ", 	335 , 	171 , 	594 , 	129 , 	351 , 	300 , 	296 ," 	1,521 ", 	628 , 	203 , 	96 , 	-   ," 	22,259 ",,,,,,,,,,
CC, 	136 , 	282 , 	173 , 	268 , 	642 , 	280 , 	498 , 	419 , 	353 , 	315 , 	426 , 	226 , 	190 , 	178 , 	124 , 	75 , 	87 , 	269 , 	177 , 	167 , 	238 , 	142 , 	124 , 	367 , 	663 , 	173 , 	102 , 	243 , 	81 , 	617 , 	665 , 	370 , 	559 , 	520 , 	192 , 	111 , 	313 , 	81 , 	182 , 	148 , 	189 , 	497 , 	438 , 	132 , 	41 , 	-   ," 	12,467 ",,,,,,,,,,
16, 	97 , 	150 , 	98 , 	217 , 	459 , 	288 , 	470 , 	440 , 	237 , 	244 , 	299 , 	122 , 	96 , 	70 , 	55 , 	29 , 	35 , 	84 , 	56 , 	88 , 	114 , 	53 , 	59 , 	286 , 	491 , 	514 , 	411 ," 	1,456 ", 	716 , 	63 , 	250 , 	318 , 	471 , 	381 , 	119 , 	39 , 	100 , 	18 , 	70 , 	104 , 	117 , 	200 , 	308 , 	47 , 	15 , 	-   ," 	10,350 ",,,,,,,,,,
24, 	109 , 	123 , 	57 , 	113 , 	255 , 	147 , 	261 , 	252 , 	160 , 	124 , 	190 , 	83 , 	58 , 	53 , 	32 , 	21 , 	22 , 	44 , 	44 , 	39 , 	51 , 	31 , 	29 , 	123 , 	239 , 	567 , 	468 ," 	1,695 ", 	742 , 	218 , 	53 , 	234 , 	400 , 	263 , 	91 , 	21 , 	61 , 	13 , 	63 , 	77 , 	137 , 	151 , 	196 , 	23 , 	23 , 	-   ," 	8,155 ",,,,,,,,,,
GP, 	22 , 	35 , 	22 , 	33 , 	106 , 	29 , 	51 , 	76 , 	50 , 	33 , 	47 , 	28 , 	17 , 	20 , 	13 , 	4 , 	6 , 	17 , 	17 , 	19 , 	20 , 	12 , 	10 , 	41 , 	46 , 	361 , 	293 ," 	1,057 ", 	317 , 	288 , 	241 , 	25 , 	64 , 	52 , 	38 , 	10 , 	25 , 	8 , 	25 , 	27 , 	67 , 	99 , 	73 , 	8 , 	11 , 	-   ," 	3,859 ",,,,,,,,,,
BP, 	31 , 	43 , 	10 , 	19 , 	71 , 	20 , 	41 , 	51 , 	53 , 	34 , 	50 , 	40 , 	34 , 	29 , 	14 , 	9 , 	10 , 	17 , 	22 , 	15 , 	18 , 	9 , 	7 , 	18 , 	45 , 	455 , 	476 ," 	1,943 ", 	462 , 	418 , 	370 , 	56 , 	45 , 	62 , 	43 , 	8 , 	26 , 	5 , 	34 , 	30 , 	93 , 	97 , 	79 , 	8 , 	10 , 	-   ," 	5,424 ",,,,,,,,,,
DC, 	28 , 	46 , 	14 , 	17 , 	90 , 	20 , 	37 , 	55 , 	53 , 	35 , 	43 , 	38 , 	25 , 	25 , 	16 , 	13 , 	15 , 	29 , 	26 , 	22 , 	30 , 	12 , 	12 , 	24 , 	35 , 	390 , 	393 ," 	1,352 ", 	476 , 	375 , 	283 , 	65 , 	71 , 	20 , 	29 , 	11 , 	42 , 	5 , 	35 , 	34 , 	106 , 	180 , 	117 , 	17 , 	11 , 	-   ," 	4,766 ",,,,,,,,,,
CM, 	7 , 	17 , 	7 , 	8 , 	17 , 	6 , 	5 , 	13 , 	17 , 	5 , 	7 , 	3 , 	7 , 	6 , 	6 , 	3 , 	3 , 	3 , 	10 , 	6 , 	7 , 	5 , 	3 , 	5 , 	11 , 	106 , 	109 , 	348 , 	154 , 	94 , 	99 , 	33 , 	57 , 	25 , 	10 , 	2 , 	5 , 	3 , 	18 , 	10 , 	41 , 	102 , 	43 , 	1 , 	2 , 	-   ," 	1,443 ",,,,,,,,,,
