Exit stations,Entry stations->,,TOTAL,,,May 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RR, 	105 , 	108 , 	97 , 	19 , 	43 , 	14 , 	205 , 	177 , 	228 , 	128 , 	359 , 	151 , 	128 , 	70 , 	63 , 	24 , 	13 , 	32 , 	209 , 	255 , 	180 , 	101 , 	153 , 	58 , 	158 , 	411 , 	345 , 	299 , 	401 , 	203 , 	141 , 	76 , 	72 , 	56 , 	16 , 	6 , 	13 , 	26 , 	182 , 	24 , 	25 , 	85 , 	8 , 	3 , 	22 , 	12 , 	-   , 	-   , 	96 , 	146 ," 	5,746 ",,,,,,,,,,,,,
OW, 	182 , 	213 , 	70 , 	55 , 	186 , 	114 , 	274 , 	220 , 	506 , 	193 , 	798 , 	656 , 	435 , 	346 , 	123 , 	127 , 	76 , 	65 , 	179 , 	81 , 	83 , 	29 , 	17 , 	103 , 	115 ," 	2,680 "," 	1,682 "," 	2,280 "," 	2,625 "," 	1,113 ", 	781 , 	267 , 	379 , 	267 , 	107 , 	79 , 	170 , 	32 , 	101 , 	110 , 	152 , 	191 , 	67 , 	18 , 	15 , 	36 , 	-   , 	-   , 	91 , 	134 ," 	18,623 ",,,,,,,,,,,,,
EM," 	1,657 "," 	2,260 ", 	543 , 	381 , 	768 , 	602 ," 	1,173 "," 	1,093 "," 	1,288 "," 	1,097 "," 	2,509 "," 	1,260 "," 	1,775 "," 	1,192 ", 	904 , 	590 , 	347 , 	366 ," 	1,118 ", 	753 , 	467 , 	142 , 	162 , 	440 ," 	2,697 ", 	235 , 	102 , 	378 , 	594 ," 	1,098 "," 	1,656 "," 	1,062 "," 	2,057 "," 	1,499 ", 	562 , 	542 , 	878 , 	378 ," 	1,114 ", 	378 , 	316 , 	205 , 	167 , 	261 , 	66 , 	264 , 	-   , 	-   , 	309 ," 	1,094 "," 	40,799 ",,,,,,,,,,,,,
MT," 	1,772 "," 	2,093 ", 	599 , 	269 , 	544 , 	452 , 	953 ," 	1,099 "," 	1,140 "," 	1,054 "," 	2,160 "," 	1,616 "," 	1,618 "," 	1,358 ", 	612 , 	601 , 	519 , 	384 ," 	1,009 ", 	711 , 	563 , 	145 , 	227 , 	382 ," 	2,053 ", 	155 , 	167 , 	202 , 	550 ," 	1,425 "," 	2,036 "," 	1,611 "," 	3,909 "," 	2,256 ", 	852 , 	508 ," 	1,036 ", 	351 ," 	1,360 ", 	498 , 	464 , 	211 , 	349 , 	155 , 	44 , 	296 , 	-   , 	-   , 	295 , 	756 ," 	43,419 ",,,,,,,,,,,,,
PL," 	1,632 "," 	1,779 ", 	440 , 	257 , 	534 , 	465 ," 	1,062 ", 	967 ," 	1,687 "," 	1,132 "," 	2,485 "," 	1,347 "," 	1,320 "," 	1,077 ", 	648 , 	433 , 	311 , 	322 , 	835 , 	441 , 	355 , 	81 , 	90 , 	215 ," 	2,123 ", 	423 , 	190 , 	274 , 	415 ," 	1,984 "," 	2,683 "," 	1,456 "," 	3,572 "," 	2,474 ", 	842 , 	251 , 	538 , 	195 , 	760 , 	561 , 	506 , 	477 , 	378 , 	166 , 	66 , 	145 , 	-   , 	-   , 	442 , 	625 ," 	41,461 ",,,,,,,,,,,,,
CC," 	1,690 "," 	2,162 ", 	378 , 	382 , 	817 , 	543 ," 	1,467 "," 	1,239 "," 	1,721 "," 	1,261 "," 	3,555 "," 	1,699 "," 	1,217 "," 	1,422 ", 	794 , 	621 , 	444 , 	408 , 	990 , 	882 , 	445 , 	191 , 	198 , 	329 ," 	2,681 ", 	547 , 	523 , 	362 , 	307 ," 	1,938 "," 	2,398 "," 	1,555 "," 	3,690 "," 	2,806 "," 	1,010 ", 	364 , 	912 , 	381 ," 	1,020 ", 	726 , 	707 , 	461 , 	577 , 	282 , 	56 , 	237 , 	-   , 	-   , 	384 , 	988 ," 	49,767 ",,,,,,,,,,,,,
16," 	1,084 "," 	1,019 ", 	256 , 	155 , 	346 , 	304 , 	762 , 	665 , 	820 , 	536 ," 	1,425 ", 	747 , 	590 , 	560 , 	285 , 	223 , 	196 , 	208 , 	317 , 	270 , 	168 , 	61 , 	69 , 	167 ," 	1,104 ", 	915 ," 	1,280 "," 	2,379 "," 	2,249 ", 	161 , 	403 , 	896 ," 	2,297 "," 	2,012 ", 	630 , 	176 , 	274 , 	101 , 	481 , 	460 , 	480 , 	394 , 	250 , 	79 , 	34 , 	106 , 	-   , 	-   , 	286 , 	465 ," 	29,145 ",,,,,,,,,,,,,
24," 	1,082 ", 	751 , 	165 , 	174 , 	266 , 	181 , 	594 , 	359 , 	551 , 	487 ," 	1,114 ", 	740 , 	415 , 	352 , 	248 , 	262 , 	185 , 	89 , 	385 , 	139 , 	183 , 	47 , 	43 , 	101 , 	860 ," 	1,415 "," 	1,795 "," 	3,159 "," 	3,169 ", 	433 , 	187 , 	876 ," 	1,821 "," 	1,292 ", 	708 , 	93 , 	155 , 	81 , 	487 , 	554 , 	604 , 	240 , 	280 , 	70 , 	40 , 	85 , 	-   , 	-   , 	151 , 	243 ," 	27,711 ",,,,,,,,,,,,,
GP, 	316 , 	298 , 	44 , 	37 , 	104 , 	68 , 	268 , 	187 , 	285 , 	125 , 	212 , 	241 , 	171 , 	179 , 	125 , 	60 , 	34 , 	21 , 	118 , 	87 , 	43 , 	26 , 	8 , 	76 , 	204 ," 	1,008 "," 	1,375 "," 	1,783 "," 	1,552 ", 	868 , 	830 , 	140 , 	397 , 	313 , 	152 , 	34 , 	57 , 	16 , 	147 , 	124 , 	278 , 	136 , 	152 , 	48 , 	13 , 	38 , 	-   , 	-   , 	63 , 	148 ," 	13,009 ",,,,,,,,,,,,,
BP, 	284 , 	298 , 	93 , 	35 , 	125 , 	133 , 	182 , 	177 , 	420 , 	165 , 	453 , 	295 , 	199 , 	283 , 	150 , 	86 , 	78 , 	70 , 	137 , 	76 , 	58 , 	38 , 	16 , 	54 , 	359 ," 	1,785 "," 	2,352 "," 	4,279 "," 	3,512 "," 	2,079 "," 	1,731 ", 	341 , 	151 , 	404 , 	272 , 	28 , 	112 , 	10 , 	113 , 	325 , 	576 , 	399 , 	256 , 	27 , 	26 , 	54 , 	-   , 	-   , 	52 , 	122 ," 	23,270 ",,,,,,,,,,,,,
