Exit stations,Entry stations->,,SUNDAY,,,Nov 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
WD, 	2 , 	9 , 	4 , 	3 , 	21 , 	6 , 	11 , 	4 , 	8 , 	33 , 	36 , 	247 , 	29 , 	87 , 	27 , 	15 , 	11 , 	22 , 	4 , 	3 , 	4 , 	1 , 	1 , 	4 , 	7 , 	104 , 	52 , 	179 , 	66 , 	20 , 	12 , 	7 , 	15 , 	14 , 	2 , 	78 , 	18 , 	1 , 	4 , 	2 , 	3 , 	33 , 	4 , 	9 ," 	1,216 ",,,,,,,,,,,
Entries," 	1,603 "," 	2,597 "," 	1,726 "," 	1,818 "," 	5,420 "," 	2,276 "," 	3,323 "," 	3,183 "," 	3,311 "," 	2,576 "," 	3,602 "," 	8,284 "," 	2,085 "," 	2,544 "," 	1,670 ", 	968 ," 	1,256 "," 	2,655 "," 	1,648 "," 	1,528 "," 	2,139 "," 	1,089 ", 	827 ," 	2,235 "," 	2,827 "," 	8,109 "," 	5,546 "," 	19,995 "," 	8,023 "," 	6,017 "," 	5,759 "," 	2,934 "," 	5,027 "," 	3,117 "," 	1,154 "," 	1,073 "," 	2,905 ", 	552 ," 	1,886 ", 	801 ," 	1,226 "," 	6,211 "," 	2,162 "," 	1,123 "," 	146,805 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
