Exit stations,Entry stations->,,SUNDAY,,,May 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	10 , 	22 , 	13 , 	16 , 	60 , 	17 , 	48 , 	40 , 	47 , 	12 , 	21 , 	62 , 	8 , 	10 , 	5 , 	4 , 	2 , 	14 , 	179 , 	77 , 	16 , 	40 , 	18 , 	74 , 	11 , 	419 , 	222 , 	376 , 	272 , 	85 , 	51 , 	28 , 	18 , 	33 , 	9 , 	1 , 	5 , 	18 , 	96 , 	8 , 	9 , 	162 , 	28 , 	1 , 	38 , 	-   ," 	2,702 ",,,OAK," 	14,662 ", 	838 ,,,,,,
LF, 	7 , 	5 , 	9 , 	6 , 	30 , 	7 , 	20 , 	20 , 	21 , 	6 , 	12 , 	35 , 	2 , 	2 , 	2 , 	1 , 	3 , 	4 , 	48 , 	28 , 	37 , 	8 , 	11 , 	45 , 	7 , 	248 , 	134 , 	187 , 	166 , 	45 , 	28 , 	14 , 	8 , 	13 , 	2 , 	0 , 	1 , 	6 , 	21 , 	1 , 	2 , 	88 , 	13 , 	0 , 	17 , 	-   ," 	1,373 ",,,CM line," 	23,591 "," 	5,328 "," 	5,002 ",,,,,
OR, 	6 , 	7 , 	5 , 	4 , 	24 , 	4 , 	21 , 	17 , 	24 , 	3 , 	5 , 	25 , 	4 , 	4 , 	1 , 	1 , 	0 , 	5 , 	19 , 	17 , 	21 , 	13 , 	10 , 	42 , 	1 , 	180 , 	107 , 	162 , 	143 , 	41 , 	30 , 	11 , 	10 , 	14 , 	3 , 	1 , 	1 , 	1 , 	10 , 	2 , 	1 , 	76 , 	11 , 	1 , 	12 , 	-   ," 	1,095 ",,,RM line," 	11,718 "," 	3,742 "," 	3,845 "," 	2,917 ",,,,
RR, 	12 , 	11 , 	24 , 	14 , 	30 , 	10 , 	45 , 	53 , 	63 , 	19 , 	31 , 	47 , 	8 , 	8 , 	6 , 	3 , 	5 , 	14 , 	36 , 	54 , 	70 , 	49 , 	40 , 	16 , 	22 , 	364 , 	222 , 	424 , 	387 , 	194 , 	123 , 	35 , 	18 , 	28 , 	3 , 	3 , 	6 , 	9 , 	22 , 	7 , 	4 , 	155 , 	41 , 	1 , 	30 , 	-   ," 	2,767 ",,,WP line," 	13,074 "," 	1,899 "," 	3,007 "," 	1,323 "," 	2,445 ",,,
OW, 	11 , 	15 , 	7 , 	9 , 	61 , 	24 , 	38 , 	37 , 	50 , 	20 , 	64 , 	45 , 	18 , 	19 , 	9 , 	5 , 	3 , 	5 , 	9 , 	5 , 	9 , 	7 , 	1 , 	17 , 	14 , 	510 , 	309 , 	781 , 	472 , 	391 , 	201 , 	38 , 	35 , 	30 , 	7 , 	5 , 	11 , 	2 , 	17 , 	8 , 	12 , 	78 , 	20 , 	6 , 	9 , 	-   ," 	3,443 ",,,FT/ED line," 	13,928 "," 	3,696 "," 	3,761 "," 	3,342 "," 	1,717 "," 	6,893 ",,
EM, 	128 , 	318 , 	212 , 	326 , 	604 , 	250 , 	400 , 	359 , 	385 , 	345 , 	384 , 	242 , 	148 , 	173 , 	100 , 	70 , 	161 , 	281 , 	234 , 	357 , 	516 , 	321 , 	248 , 	460 , 	677 , 	89 , 	26 , 	217 , 	169 , 	399 , 	507 , 	263 , 	376 , 	367 , 	106 , 	153 , 	815 , 	136 , 	280 , 	90 , 	129 , 	398 , 	332 , 	218 , 	95 , 	-   ," 	12,866 ",,,SFIA," 	9,289 "," 	1,190 "," 	4,530 "," 	1,554 "," 	1,939 ", 	953 ," 	1,038 "," 	148,917 "
MT, 	91 , 	168 , 	112 , 	157 , 	267 , 	134 , 	223 , 	215 , 	247 , 	223 , 	228 , 	112 , 	78 , 	107 , 	46 , 	29 , 	74 , 	126 , 	95 , 	131 , 	206 , 	106 , 	85 , 	208 , 	344 , 	23 , 	41 , 	46 , 	71 , 	320 , 	359 , 	236 , 	656 , 	242 , 	85 , 	63 , 	172 , 	52 , 	119 , 	70 , 	69 , 	317 , 	172 , 	61 , 	58 , 	-   ," 	7,047 ",,,,,,,,,,,
PL, 	196 , 	377 , 	199 , 	236 , 	672 , 	258 , 	420 , 	370 , 	416 , 	420 , 	543 , 	233 , 	198 , 	216 , 	101 , 	84 , 	121 , 	243 , 	194 , 	197 , 	308 , 	157 , 	133 , 	341 , 	769 , 	206 , 	52 , 	143 , 	176 ," 	1,269 "," 	1,359 ", 	681 ," 	1,251 ", 	820 , 	242 , 	112 , 	366 , 	94 , 	234 , 	192 , 	211 ," 	1,159 ", 	450 , 	114 , 	93 , 	-   ," 	16,629 ",,,,,,,,,,,
CC, 	96 , 	152 , 	128 , 	227 , 	373 , 	213 , 	367 , 	295 , 	238 , 	248 , 	343 , 	129 , 	77 , 	75 , 	38 , 	30 , 	57 , 	127 , 	91 , 	162 , 	254 , 	150 , 	120 , 	353 , 	453 , 	117 , 	80 , 	169 , 	71 , 	479 , 	670 , 	311 , 	469 , 	357 , 	134 , 	59 , 	184 , 	41 , 	105 , 	88 , 	142 , 	495 , 	359 , 	69 , 	56 , 	-   ," 	9,249 ",,,,,,,,,,,
16, 	83 , 	106 , 	60 , 	130 , 	236 , 	170 , 	256 , 	226 , 	165 , 	187 , 	221 , 	70 , 	47 , 	48 , 	29 , 	24 , 	29 , 	62 , 	51 , 	59 , 	80 , 	41 , 	39 , 	168 , 	368 , 	322 , 	284 ," 	1,235 ", 	492 , 	44 , 	209 , 	236 , 	372 , 	235 , 	84 , 	23 , 	67 , 	19 , 	63 , 	63 , 	94 , 	248 , 	224 , 	28 , 	25 , 	-   ," 	7,321 ",,,,,,,,,,,
