Exit stations,Entry stations->,,SATURDAY,,,May 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	12 , 	24 , 	19 , 	25 , 	96 , 	17 , 	54 , 	57 , 	72 , 	17 , 	28 , 	50 , 	9 , 	8 , 	10 , 	6 , 	7 , 	15 , 	236 , 	112 , 	21 , 	47 , 	35 , 	95 , 	14 , 	495 , 	279 , 	471 , 	273 , 	83 , 	60 , 	28 , 	20 , 	42 , 	11 , 	4 , 	6 , 	28 , 	133 , 	8 , 	10 , 	148 , 	32 , 	2 , 	30 , 	-   ," 	3,250 ",,,OAK," 	19,442 "," 	1,114 ",,,,,,
LF, 	7 , 	8 , 	8 , 	6 , 	56 , 	10 , 	24 , 	34 , 	34 , 	7 , 	15 , 	29 , 	3 , 	4 , 	4 , 	4 , 	3 , 	6 , 	78 , 	28 , 	46 , 	13 , 	13 , 	55 , 	7 , 	297 , 	170 , 	278 , 	173 , 	56 , 	34 , 	14 , 	8 , 	22 , 	4 , 	1 , 	2 , 	7 , 	22 , 	1 , 	4 , 	79 , 	13 , 	1 , 	11 , 	-   ," 	1,701 ",,,CM line," 	31,585 "," 	6,136 "," 	5,957 ",,,,,
OR, 	7 , 	7 , 	11 , 	5 , 	57 , 	5 , 	27 , 	32 , 	32 , 	5 , 	14 , 	20 , 	4 , 	3 , 	2 , 	1 , 	2 , 	6 , 	23 , 	18 , 	29 , 	12 , 	10 , 	60 , 	3 , 	222 , 	119 , 	235 , 	139 , 	34 , 	29 , 	15 , 	11 , 	18 , 	5 , 	0 , 	1 , 	4 , 	16 , 	2 , 	3 , 	60 , 	15 , 	1 , 	8 , 	-   ," 	1,334 ",,,RM line," 	16,196 "," 	5,722 "," 	5,026 "," 	4,584 ",,,,
RR, 	17 , 	23 , 	34 , 	19 , 	53 , 	13 , 	47 , 	86 , 	79 , 	25 , 	40 , 	34 , 	13 , 	9 , 	9 , 	4 , 	4 , 	19 , 	45 , 	65 , 	87 , 	58 , 	49 , 	21 , 	21 , 	421 , 	276 , 	540 , 	405 , 	199 , 	138 , 	37 , 	21 , 	26 , 	5 , 	5 , 	6 , 	12 , 	33 , 	4 , 	12 , 	112 , 	40 , 	3 , 	19 , 	-   ," 	3,184 ",,,WP line," 	16,116 "," 	2,600 "," 	3,265 "," 	1,950 "," 	3,264 ",,,
OW, 	17 , 	24 , 	16 , 	14 , 	80 , 	29 , 	56 , 	47 , 	72 , 	21 , 	81 , 	47 , 	23 , 	27 , 	20 , 	8 , 	8 , 	11 , 	10 , 	8 , 	12 , 	8 , 	5 , 	21 , 	13 , 	598 , 	470 ," 	1,044 ", 	503 , 	300 , 	205 , 	38 , 	55 , 	46 , 	6 , 	7 , 	15 , 	2 , 	26 , 	6 , 	19 , 	69 , 	27 , 	7 , 	5 , 	-   ," 	4,131 ",,,FT/ED line," 	17,784 "," 	4,955 "," 	4,148 "," 	4,660 "," 	1,999 "," 	8,070 ",,
EM, 	176 , 	406 , 	228 , 	363 , 	830 , 	324 , 	519 , 	495 , 	491 , 	404 , 	553 , 	188 , 	191 , 	183 , 	135 , 	91 , 	165 , 	333 , 	281 , 	421 , 	596 , 	355 , 	263 , 	515 , 	772 , 	81 , 	43 , 	280 , 	176 , 	510 , 	665 , 	345 , 	524 , 	392 , 	116 , 	158 , 	815 , 	144 , 	286 , 	120 , 	123 , 	471 , 	351 , 	233 , 	74 , 	-   ," 	15,186 ",,,SFIA," 	10,837 "," 	1,285 "," 	4,963 "," 	1,805 "," 	1,900 "," 	1,081 "," 	1,017 "," 	189,647 "
MT, 	143 , 	289 , 	169 , 	232 , 	496 , 	224 , 	362 , 	360 , 	345 , 	339 , 	395 , 	140 , 	132 , 	153 , 	81 , 	53 , 	112 , 	196 , 	157 , 	210 , 	293 , 	163 , 	126 , 	315 , 	560 , 	43 , 	46 , 	64 , 	108 , 	469 , 	551 , 	383 ," 	1,055 ", 	409 , 	137 , 	90 , 	270 , 	76 , 	172 , 	119 , 	112 , 	344 , 	219 , 	89 , 	50 , 	-   ," 	10,850 ",,,,,,,,,,,
PL, 	282 , 	647 , 	311 , 	370 , 	985 , 	376 , 	621 , 	508 , 	623 , 	570 , 	775 , 	291 , 	261 , 	306 , 	170 , 	110 , 	178 , 	376 , 	286 , 	306 , 	427 , 	256 , 	201 , 	502 ," 	1,075 ", 	348 , 	73 , 	143 , 	260 ," 	1,598 "," 	1,736 "," 	1,002 "," 	1,838 "," 	1,211 ", 	351 , 	164 , 	520 , 	128 , 	325 , 	305 , 	321 ," 	1,546 ", 	645 , 	160 , 	111 , 	-   ," 	23,601 ",,,,,,,,,,,
CC, 	120 , 	221 , 	151 , 	249 , 	438 , 	273 , 	457 , 	381 , 	329 , 	298 , 	424 , 	124 , 	92 , 	100 , 	65 , 	41 , 	75 , 	145 , 	118 , 	154 , 	243 , 	162 , 	130 , 	381 , 	555 , 	150 , 	91 , 	218 , 	61 , 	532 , 	712 , 	350 , 	571 , 	433 , 	170 , 	60 , 	208 , 	38 , 	111 , 	130 , 	168 , 	497 , 	377 , 	75 , 	43 , 	-   ," 	10,720 ",,,,,,,,,,,
16, 	95 , 	119 , 	77 , 	163 , 	301 , 	214 , 	330 , 	300 , 	217 , 	199 , 	257 , 	70 , 	48 , 	53 , 	37 , 	31 , 	27 , 	67 , 	52 , 	69 , 	87 , 	51 , 	35 , 	209 , 	343 , 	516 , 	407 ," 	1,611 ", 	583 , 	52 , 	250 , 	299 , 	521 , 	313 , 	117 , 	26 , 	85 , 	23 , 	62 , 	91 , 	113 , 	203 , 	263 , 	32 , 	13 , 	-   ," 	9,026 ",,,,,,,,,,,
