Exit stations,Entry stations->,,SATURDAY,,,Jun 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
LF, 	5 , 	6 , 	7 , 	5 , 	39 , 	5 , 	24 , 	34 , 	26 , 	5 , 	9 , 	30 , 	4 , 	1 , 	3 , 	2 , 	0 , 	4 , 	54 , 	22 , 	36 , 	13 , 	7 , 	38 , 	4 , 	228 , 	137 , 	189 , 	157 , 	46 , 	29 , 	18 , 	11 , 	11 , 	4 , 	0 , 	1 , 	11 , 	19 , 	2 , 	1 , 	84 , 	10 , 	1 , 	15 , 	1 , 	-   , 	-   , 	6 , 	7 ," 	1,372 ",,,,,,,,,,
OR, 	6 , 	7 , 	7 , 	6 , 	27 , 	5 , 	19 , 	28 , 	29 , 	6 , 	9 , 	20 , 	3 , 	2 , 	3 , 	1 , 	1 , 	2 , 	20 , 	14 , 	23 , 	7 , 	9 , 	31 , 	4 , 	217 , 	109 , 	164 , 	125 , 	47 , 	29 , 	12 , 	5 , 	11 , 	2 , 	1 , 	3 , 	3 , 	6 , 	3 , 	3 , 	64 , 	8 , 	0 , 	12 , 	2 , 	-   , 	-   , 	3 , 	3 ," 	1,124 ",,,,,,,,,,
RR, 	16 , 	23 , 	19 , 	11 , 	38 , 	7 , 	36 , 	74 , 	69 , 	15 , 	34 , 	31 , 	13 , 	4 , 	6 , 	6 , 	9 , 	10 , 	43 , 	49 , 	79 , 	37 , 	39 , 	22 , 	18 , 	384 , 	237 , 	425 , 	392 , 	209 , 	110 , 	42 , 	18 , 	20 , 	3 , 	4 , 	7 , 	8 , 	18 , 	4 , 	5 , 	124 , 	25 , 	2 , 	19 , 	8 , 	-   , 	-   , 	6 , 	17 ," 	2,794 ",,,,,,,,,,
OW, 	13 , 	20 , 	9 , 	10 , 	38 , 	20 , 	28 , 	41 , 	58 , 	17 , 	56 , 	58 , 	23 , 	25 , 	13 , 	7 , 	10 , 	15 , 	9 , 	10 , 	9 , 	3 , 	2 , 	17 , 	18 , 	606 , 	464 , 	906 , 	601 , 	385 , 	205 , 	44 , 	43 , 	35 , 	9 , 	10 , 	20 , 	2 , 	14 , 	9 , 	11 , 	81 , 	22 , 	4 , 	6 , 	6 , 	-   , 	-   , 	4 , 	9 ," 	4,022 ",,,,,,,,,,
EM, 	181 , 	399 , 	254 , 	350 , 	865 , 	316 , 	506 , 	463 , 	447 , 	375 , 	439 , 	282 , 	293 , 	240 , 	162 , 	108 , 	209 , 	324 , 	267 , 	375 , 	485 , 	291 , 	248 , 	488 , 	800 , 	91 , 	40 , 	300 , 	255 , 	472 , 	588 , 	381 , 	490 , 	401 , 	121 , 	170 , 	752 , 	104 , 	167 , 	107 , 	122 , 	370 , 	314 , 	282 , 	84 , 	159 , 	-   , 	-   , 	20 , 	144 ," 	15,099 ",,,,,,,,,,
MT, 	128 , 	284 , 	163 , 	191 , 	430 , 	198 , 	313 , 	325 , 	313 , 	265 , 	308 , 	167 , 	215 , 	204 , 	86 , 	71 , 	110 , 	172 , 	153 , 	212 , 	239 , 	140 , 	122 , 	272 , 	588 , 	45 , 	64 , 	54 , 	119 , 	376 , 	468 , 	334 , 	817 , 	394 , 	110 , 	119 , 	300 , 	58 , 	115 , 	84 , 	91 , 	291 , 	215 , 	119 , 	57 , 	87 , 	-   , 	-   , 	13 , 	65 ," 	10,067 ",,,,,,,,,,
PL, 	225 , 	525 , 	259 , 	261 , 	632 , 	239 , 	489 , 	466 , 	505 , 	440 , 	549 , 	317 , 	345 , 	316 , 	156 , 	127 , 	203 , 	293 , 	254 , 	279 , 	320 , 	179 , 	158 , 	375 , 	919 , 	301 , 	50 , 	116 , 	257 ," 	1,221 "," 	1,337 ", 	851 ," 	1,446 "," 	1,145 ", 	288 , 	175 , 	549 , 	98 , 	229 , 	239 , 	267 ," 	1,223 ", 	536 , 	193 , 	101 , 	141 , 	-   , 	-   , 	30 , 	120 ," 	19,740 ",,,,,,,,,,
CC, 	132 , 	308 , 	187 , 	245 , 	518 , 	238 , 	448 , 	409 , 	333 , 	301 , 	421 , 	221 , 	214 , 	186 , 	118 , 	87 , 	132 , 	216 , 	205 , 	187 , 	267 , 	157 , 	139 , 	366 , 	662 , 	215 , 	132 , 	254 , 	86 , 	558 , 	622 , 	421 , 	518 , 	545 , 	169 , 	131 , 	381 , 	73 , 	133 , 	135 , 	179 , 	369 , 	517 , 	138 , 	33 , 	113 , 	-   , 	-   , 	20 , 	85 ," 	12,527 ",,,,,,,,,,
16, 	85 , 	153 , 	107 , 	206 , 	357 , 	255 , 	415 , 	361 , 	210 , 	218 , 	266 , 	98 , 	89 , 	77 , 	52 , 	29 , 	39 , 	75 , 	73 , 	82 , 	116 , 	54 , 	61 , 	242 , 	504 , 	471 , 	336 ," 	1,284 ", 	729 , 	47 , 	191 , 	273 , 	355 , 	379 , 	110 , 	48 , 	111 , 	24 , 	46 , 	83 , 	114 , 	152 , 	303 , 	49 , 	19 , 	38 , 	-   , 	-   , 	9 , 	26 ," 	9,423 ",,,,,,,,,,
24, 	93 , 	121 , 	47 , 	89 , 	177 , 	113 , 	178 , 	174 , 	140 , 	120 , 	167 , 	67 , 	54 , 	43 , 	34 , 	21 , 	24 , 	36 , 	41 , 	44 , 	51 , 	27 , 	34 , 	112 , 	228 , 	515 , 	386 ," 	1,511 ", 	754 , 	176 , 	41 , 	192 , 	301 , 	235 , 	82 , 	22 , 	61 , 	17 , 	47 , 	57 , 	110 , 	137 , 	175 , 	26 , 	17 , 	19 , 	-   , 	-   , 	6 , 	18 ," 	7,137 ",,,,,,,,,,
