Exit stations,Entry stations->,,TOTAL,,,Mar 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,,,
WC, 	607 , 	844 , 	658 , 	811 ," 	3,279 ", 	587 ," 	3,653 "," 	7,707 "," 	7,282 ", 	684 , 	933 ," 	1,655 ", 	605 , 	366 , 	522 , 	331 , 	386 , 	677 ," 	7,463 "," 	3,122 ", 	687 ," 	1,488 "," 	1,181 "," 	3,910 ", 	463 ," 	32,696 "," 	32,141 "," 	14,492 "," 	12,240 "," 	3,392 "," 	1,854 "," 	1,463 "," 	1,245 "," 	1,755 ", 	447 , 	91 , 	188 ," 	1,337 "," 	5,935 ", 	566 , 	639 ," 	4,858 ", 	668 , 	58 ," 	1,163 ", 	189 , 	-   ,,,,,,,,,,,,,
LF, 	166 , 	249 , 	182 , 	217 ," 	1,715 ", 	282 ," 	1,130 "," 	3,754 "," 	3,300 ", 	343 , 	393 , 	926 , 	159 , 	60 , 	117 , 	67 , 	123 , 	202 ," 	2,507 "," 	1,435 "," 	1,438 ", 	356 , 	428 ," 	1,898 ", 	137 ," 	20,358 "," 	18,799 "," 	7,301 "," 	6,902 "," 	1,506 ", 	989 , 	614 , 	273 , 	511 , 	98 , 	42 , 	41 , 	320 ," 	1,293 ", 	153 , 	179 ," 	2,574 ", 	334 , 	10 , 	735 , 	71 , 	-   ,,,,,,,,,,,,,
OR, 	223 , 	360 , 	206 , 	194 ," 	1,374 ", 	148 ," 	1,057 "," 	2,770 "," 	2,907 ", 	220 , 	460 , 	683 , 	228 , 	63 , 	132 , 	45 , 	77 , 	289 ," 	1,034 ", 	621 ," 	1,199 ", 	529 , 	308 ," 	1,603 ", 	124 ," 	18,329 "," 	16,747 "," 	6,761 "," 	6,173 "," 	1,581 ", 	902 , 	700 , 	380 , 	483 , 	98 , 	89 , 	52 , 	200 , 	541 , 	256 , 	191 ," 	2,193 ", 	294 , 	14 , 	409 , 	90 , 	-   ,,,,,,,,,,,,,
RR, 	658 , 	965 , 	908 , 	547 ," 	1,330 ", 	400 ," 	1,504 "," 	5,674 "," 	5,400 ", 	871 ," 	1,332 "," 	1,344 ", 	568 , 	282 , 	397 , 	254 , 	304 , 	587 ," 	2,175 "," 	2,897 "," 	3,717 "," 	1,831 "," 	1,632 ", 	692 , 	575 ," 	26,802 "," 	28,265 "," 	15,392 "," 	17,262 "," 	5,872 "," 	3,366 "," 	1,496 "," 	1,134 "," 	1,040 ", 	179 , 	111 , 	264 , 	589 ," 	1,579 ", 	286 , 	293 ," 	3,835 ", 	718 , 	153 , 	562 , 	264 , 	-   ,,,,,,,,,,,,,
OW, 	629 , 	954 , 	290 , 	297 ," 	1,956 ", 	684 ," 	1,314 "," 	1,702 "," 	2,597 ", 	885 ," 	2,462 "," 	2,465 "," 	1,258 "," 	1,002 ", 	754 , 	392 , 	324 , 	341 , 	472 , 	286 , 	426 , 	119 , 	120 , 	588 , 	698 ," 	41,708 "," 	37,685 "," 	29,632 "," 	22,249 "," 	10,180 "," 	6,245 "," 	1,703 "," 	1,974 "," 	1,614 ", 	364 , 	300 , 	718 , 	134 ," 	1,053 ", 	367 , 	716 ," 	2,845 ", 	866 , 	269 , 	263 , 	271 , 	-   ,,,,,,,,,,,,,
EM," 	12,572 "," 	26,779 "," 	17,246 "," 	18,073 "," 	29,482 "," 	22,754 "," 	31,804 "," 	43,118 "," 	39,681 "," 	28,628 "," 	29,024 "," 	18,276 "," 	22,779 "," 	20,817 "," 	14,799 "," 	12,690 "," 	23,992 "," 	37,888 "," 	26,215 "," 	49,395 "," 	38,857 "," 	23,900 "," 	21,004 "," 	30,057 "," 	52,905 "," 	5,068 "," 	3,199 "," 	12,985 "," 	14,647 "," 	27,347 "," 	43,004 "," 	29,605 "," 	36,054 "," 	31,473 "," 	19,699 "," 	15,147 "," 	55,849 "," 	13,964 "," 	24,647 "," 	14,704 "," 	14,949 "," 	12,426 "," 	25,001 "," 	22,315 "," 	4,204 "," 	17,496 ", 	-   ,,,,,,,,,,,,,
MT," 	11,712 "," 	24,616 "," 	16,211 "," 	16,642 "," 	22,513 "," 	19,774 "," 	29,346 "," 	36,005 "," 	28,974 "," 	26,448 "," 	25,653 "," 	15,265 "," 	20,432 "," 	18,067 "," 	13,987 "," 	10,050 "," 	19,482 "," 	27,916 "," 	22,475 "," 	41,886 "," 	31,036 "," 	17,511 "," 	15,953 "," 	25,223 "," 	42,577 "," 	3,675 "," 	3,888 "," 	4,774 "," 	13,502 "," 	34,095 "," 	56,662 "," 	38,823 "," 	61,581 "," 	45,733 "," 	26,494 "," 	13,401 "," 	43,222 "," 	12,338 "," 	21,473 "," 	19,874 "," 	18,775 "," 	10,958 "," 	35,084 "," 	17,315 "," 	2,610 "," 	16,792 ", 	-   ,,,,,,,,,,,,,
PL," 	10,260 "," 	18,054 "," 	8,908 "," 	9,057 "," 	18,788 "," 	10,238 "," 	18,918 "," 	21,173 "," 	21,121 "," 	16,511 "," 	20,603 "," 	15,051 "," 	13,009 "," 	12,048 "," 	7,504 "," 	5,730 "," 	7,846 "," 	9,865 "," 	11,513 "," 	12,720 "," 	11,516 "," 	5,519 "," 	5,333 "," 	11,773 "," 	28,045 "," 	18,622 "," 	7,194 "," 	3,536 "," 	9,374 "," 	36,568 "," 	46,041 "," 	29,576 "," 	52,347 "," 	34,180 "," 	14,301 "," 	6,396 "," 	17,424 "," 	5,977 "," 	15,395 "," 	10,960 "," 	10,226 "," 	32,192 "," 	18,364 "," 	7,075 "," 	3,383 "," 	6,207 ", 	-   ,,,,,,,,,,,,,
CC," 	8,118 "," 	15,513 "," 	9,851 "," 	11,177 "," 	15,567 "," 	12,499 "," 	19,769 "," 	22,045 "," 	18,906 "," 	14,469 "," 	18,267 "," 	10,112 "," 	11,058 "," 	9,679 "," 	6,939 "," 	5,337 "," 	7,451 "," 	8,697 "," 	9,979 "," 	12,845 "," 	10,556 "," 	6,266 "," 	5,782 "," 	15,058 "," 	22,776 "," 	15,063 "," 	13,908 "," 	8,529 "," 	2,209 "," 	16,440 "," 	26,240 "," 	19,500 "," 	30,379 "," 	20,954 "," 	12,076 "," 	5,789 "," 	15,276 "," 	6,039 "," 	12,623 "," 	10,208 "," 	9,041 "," 	12,073 "," 	17,664 "," 	6,291 "," 	1,629 "," 	5,504 ", 	-   ,,,,,,,,,,,,,
16," 	3,985 "," 	5,456 "," 	3,048 "," 	4,353 "," 	8,434 "," 	5,875 "," 	9,499 "," 	10,842 "," 	7,589 "," 	6,376 "," 	7,288 "," 	4,132 "," 	3,584 "," 	3,330 "," 	2,127 "," 	1,779 "," 	1,701 "," 	2,289 "," 	2,842 "," 	3,556 "," 	2,782 "," 	1,345 "," 	1,408 "," 	4,986 "," 	10,420 "," 	28,871 "," 	36,396 "," 	42,384 "," 	17,758 "," 	1,007 "," 	5,959 "," 	8,276 "," 	14,716 "," 	8,161 "," 	3,659 "," 	1,639 "," 	4,400 "," 	1,715 "," 	4,305 "," 	3,154 "," 	3,596 "," 	5,329 "," 	6,946 "," 	1,828 ", 	580 ," 	1,318 ", 	-   ,,,,,,,,,,,,,
