Exit stations,Entry stations->,,SUNDAY,,,Nov 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	9 , 	29 , 	23 , 	12 , 	57 , 	14 , 	18 , 	14 , 	17 , 	12 , 	26 , 	12 , 	11 , 	3 , 	7 , 	4 , 	2 , 	3 , 	4 , 	2 , 	3 , 	4 , 	-   , 	5 , 	8 , 	37 , 	27 , 	104 , 	34 , 	27 , 	29 , 	7 , 	10 , 	7 , 	3 , 	1 , 	4 , 	1 , 	2 , 	3 , 	5 , 	18 , 	5 , 	0 , 	5 , 	3 , 	3 , 	9 , 	3 , 	3 , 	646 ,,,,,,,,,,,
OR, 	2 , 	1 , 	1 , 	1 , 	7 , 	1 , 	5 , 	9 , 	5 , 	1 , 	3 , 	1 , 	0 , 	2 , 	1 , 	0 , 	0 , 	0 , 	7 , 	6 , 	8 , 	6 , 	4 , 	9 , 	1 , 	37 , 	16 , 	40 , 	35 , 	15 , 	7 , 	5 , 	2 , 	2 , 	1 , 	1 , 	1 , 	-   , 	3 , 	1 , 	0 , 	23 , 	2 , 	-   , 	4 , 	1 , 	2 , 	1 , 	3 , 	2 , 	279 ,,,,,,,,,,,
RR, 	5 , 	9 , 	9 , 	3 , 	4 , 	1 , 	19 , 	20 , 	15 , 	6 , 	9 , 	2 , 	5 , 	3 , 	3 , 	2 , 	1 , 	3 , 	15 , 	18 , 	27 , 	18 , 	7 , 	19 , 	8 , 	106 , 	58 , 	133 , 	83 , 	43 , 	33 , 	14 , 	7 , 	10 , 	2 , 	1 , 	0 , 	3 , 	5 , 	1 , 	2 , 	83 , 	13 , 	-   , 	10 , 	2 , 	3 , 	3 , 	2 , 	7 , 	852 ,,,,,,,,,,,
OW, 	6 , 	7 , 	2 , 	3 , 	12 , 	3 , 	10 , 	8 , 	12 , 	10 , 	21 , 	11 , 	9 , 	10 , 	5 , 	2 , 	1 , 	2 , 	3 , 	2 , 	6 , 	1 , 	1 , 	7 , 	18 , 	163 , 	73 , 	214 , 	104 , 	76 , 	41 , 	10 , 	14 , 	9 , 	6 , 	3 , 	6 , 	1 , 	4 , 	3 , 	3 , 	41 , 	5 , 	3 , 	8 , 	2 , 	2 , 	2 , 	2 , 	7 , 	968 ,,,,,,,,,,,
EM, 	53 , 	77 , 	48 , 	60 , 	156 , 	59 , 	113 , 	111 , 	96 , 	76 , 	95 , 	46 , 	65 , 	84 , 	29 , 	22 , 	44 , 	38 , 	60 , 	55 , 	79 , 	53 , 	45 , 	109 , 	186 , 	62 , 	4 , 	46 , 	21 , 	79 , 	102 , 	55 , 	81 , 	59 , 	23 , 	45 , 	134 , 	20 , 	51 , 	17 , 	23 , 	96 , 	40 , 	46 , 	38 , 	17 , 	60 , 	30 , 	15 , 	35 ," 	3,055 ",,,,,,,,,,,
MT, 	44 , 	51 , 	35 , 	35 , 	105 , 	32 , 	78 , 	77 , 	90 , 	56 , 	60 , 	26 , 	42 , 	51 , 	24 , 	14 , 	21 , 	30 , 	36 , 	38 , 	45 , 	24 , 	17 , 	89 , 	98 , 	7 , 	43 , 	11 , 	13 , 	63 , 	75 , 	48 , 	92 , 	59 , 	25 , 	21 , 	61 , 	6 , 	24 , 	15 , 	19 , 	89 , 	23 , 	23 , 	25 , 	11 , 	26 , 	21 , 	6 , 	25 ," 	2,043 ",,,,,,,,,,,
PL, 	96 , 	110 , 	52 , 	47 , 	179 , 	49 , 	108 , 	113 , 	133 , 	106 , 	170 , 	79 , 	89 , 	97 , 	32 , 	28 , 	33 , 	35 , 	60 , 	59 , 	64 , 	41 , 	34 , 	107 , 	207 , 	33 , 	6 , 	119 , 	25 , 	236 , 	303 , 	143 , 	256 , 	220 , 	93 , 	40 , 	123 , 	27 , 	58 , 	51 , 	63 , 	225 , 	66 , 	40 , 	26 , 	16 , 	43 , 	37 , 	12 , 	42 ," 	4,426 ",,,,,,,,,,,
CC, 	29 , 	48 , 	34 , 	49 , 	106 , 	46 , 	101 , 	85 , 	84 , 	51 , 	110 , 	36 , 	38 , 	27 , 	17 , 	8 , 	16 , 	19 , 	29 , 	49 , 	69 , 	43 , 	33 , 	94 , 	120 , 	21 , 	9 , 	35 , 	63 , 	82 , 	114 , 	65 , 	79 , 	91 , 	42 , 	26 , 	69 , 	14 , 	21 , 	25 , 	52 , 	154 , 	59 , 	20 , 	20 , 	8 , 	14 , 	24 , 	2 , 	27 ," 	2,472 ",,,,,,,,,,,
16, 	31 , 	31 , 	17 , 	20 , 	71 , 	34 , 	68 , 	67 , 	60 , 	46 , 	57 , 	27 , 	22 , 	17 , 	8 , 	6 , 	9 , 	10 , 	17 , 	11 , 	26 , 	16 , 	14 , 	49 , 	94 , 	65 , 	60 , 	262 , 	89 , 	42 , 	25 , 	44 , 	65 , 	79 , 	30 , 	12 , 	28 , 	3 , 	14 , 	21 , 	34 , 	112 , 	41 , 	8 , 	15 , 	5 , 	10 , 	13 , 	3 , 	10 ," 	1,913 ",,,,,,,,,,,
24, 	32 , 	27 , 	13 , 	15 , 	42 , 	23 , 	50 , 	47 , 	36 , 	44 , 	54 , 	29 , 	17 , 	14 , 	15 , 	8 , 	7 , 	12 , 	16 , 	11 , 	16 , 	4 , 	6 , 	35 , 	66 , 	101 , 	75 , 	398 , 	131 , 	33 , 	69 , 	52 , 	51 , 	63 , 	29 , 	5 , 	26 , 	5 , 	16 , 	28 , 	37 , 	88 , 	29 , 	11 , 	14 , 	3 , 	10 , 	15 , 	2 , 	11 ," 	1,931 ",,,,,,,,,,,
GP, 	9 , 	11 , 	4 , 	6 , 	15 , 	8 , 	16 , 	14 , 	15 , 	6 , 	6 , 	8 , 	6 , 	4 , 	1 , 	1 , 	1 , 	2 , 	5 , 	5 , 	6 , 	5 , 	4 , 	13 , 	11 , 	49 , 	34 , 	174 , 	59 , 	42 , 	54 , 	30 , 	10 , 	12 , 	11 , 	2 , 	6 , 	1 , 	4 , 	7 , 	15 , 	49 , 	15 , 	2 , 	5 , 	1 , 	4 , 	2 , 	1 , 	6 , 	769 ,,,,,,,,,,,
BP, 	10 , 	10 , 	4 , 	5 , 	10 , 	7 , 	8 , 	12 , 	11 , 	10 , 	8 , 	5 , 	7 , 	8 , 	1 , 	2 , 	2 , 	2 , 	5 , 	2 , 	5 , 	2 , 	1 , 	5 , 	13 , 	77 , 	54 , 	310 , 	78 , 	59 , 	48 , 	11 , 	40 , 	8 , 	12 , 	2 , 	8 , 	1 , 	7 , 	9 , 	30 , 	50 , 	13 , 	2 , 	3 , 	1 , 	6 , 	4 , 	1 , 	6 , 	988 ,,,,,,,,,,,
DC, 	9 , 	8 , 	4 , 	5 , 	13 , 	5 , 	7 , 	9 , 	9 , 	4 , 	12 , 	4 , 	10 , 	8 , 	3 , 	2 , 	2 , 	4 , 	8 , 	6 , 	6 , 	1 , 	1 , 	7 , 	13 , 	66 , 	45 , 	260 , 	108 , 	75 , 	68 , 	12 , 	16 , 	28 , 	14 , 	3 , 	15 , 	3 , 	8 , 	12 , 	28 , 	100 , 	27 , 	4 , 	7 , 	4 , 	5 , 	4 , 	3 , 	7 ," 	1,075 ",,,,,,,,,,,
CM, 	4 , 	4 , 	-   , 	-   , 	4 , 	0 , 	2 , 	6 , 	8 , 	4 , 	2 , 	3 , 	0 , 	3 , 	4 , 	1 , 	1 , 	2 , 	2 , 	2 , 	4 , 	1 , 	1 , 	1 , 	6 , 	23 , 	15 , 	109 , 	47 , 	31 , 	34 , 	10 , 	18 , 	14 , 	7 , 	-   , 	0 , 	1 , 	5 , 	1 , 	11 , 	71 , 	10 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	4 , 	477 ,,,,,,,,,,,
CV, 	2 , 	1 , 	1 , 	1 , 	7 , 	1 , 	1 , 	2 , 	2 , 	19 , 	11 , 	5 , 	11 , 	15 , 	6 , 	3 , 	3 , 	3 , 	0 , 	0 , 	-   , 	-   , 	-   , 	1 , 	2 , 	35 , 	20 , 	49 , 	26 , 	8 , 	7 , 	3 , 	2 , 	2 , 	1 , 	5 , 	19 , 	-   , 	0 , 	0 , 	1 , 	3 , 	1 , 	19 , 	4 , 	1 , 	3 , 	2 , 	-   , 	1 , 	302 ,,,,,,,,,,,
ED, 	3 , 	3 , 	4 , 	1 , 	12 , 	5 , 	6 , 	2 , 	5 , 	25 , 	20 , 	13 , 	23 , 	21 , 	10 , 	8 , 	8 , 	8 , 	1 , 	2 , 	1 , 	0 , 	1 , 	2 , 	6 , 	124 , 	43 , 	133 , 	61 , 	29 , 	20 , 	6 , 	5 , 	13 , 	1 , 	16 , 	13 , 	0 , 	2 , 	1 , 	1 , 	39 , 	4 , 	10 , 	24 , 	5 , 	18 , 	9 , 	-   , 	1 , 	762 ,,,,,,,,,,,
NC, 	0 , 	1 , 	-   , 	-   , 	2 , 	2 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	-   , 	1 , 	0 , 	-   , 	1 , 	6 , 	4 , 	7 , 	2 , 	1 , 	2 , 	1 , 	17 , 	4 , 	28 , 	10 , 	3 , 	3 , 	2 , 	1 , 	4 , 	0 , 	-   , 	-   , 	3 , 	5 , 	1 , 	1 , 	12 , 	1 , 	1 , 	5 , 	-   , 	2 , 	1 , 	4 , 	8 , 	150 ,,,,,,,,,,,
WP, 	3 , 	3 , 	1 , 	1 , 	5 , 	1 , 	7 , 	4 , 	7 , 	2 , 	6 , 	4 , 	2 , 	2 , 	2 , 	1 , 	1 , 	2 , 	32 , 	19 , 	24 , 	7 , 	1 , 	4 , 	5 , 	43 , 	27 , 	65 , 	23 , 	15 , 	13 , 	5 , 	8 , 	7 , 	4 , 	-   , 	1 , 	4 , 	8 , 	2 , 	2 , 	30 , 	2 , 	1 , 	7 , 	2 , 	3 , 	2 , 	4 , 	8 , 	426 ,,,,,,,,,,,
SS, 	4 , 	5 , 	2 , 	2 , 	5 , 	2 , 	1 , 	4 , 	5 , 	2 , 	6 , 	0 , 	1 , 	1 , 	0 , 	1 , 	0 , 	0 , 	4 , 	5 , 	3 , 	1 , 	1 , 	1 , 	2 , 	21 , 	12 , 	65 , 	27 , 	22 , 	22 , 	9 , 	5 , 	11 , 	2 , 	1 , 	1 , 	0 , 	3 , 	4 , 	7 , 	25 , 	3 , 	1 , 	2 , 	-   , 	0 , 	1 , 	-   , 	3 , 	299 ,,,,,,,,,,,
SB, 	7 , 	6 , 	2 , 	2 , 	4 , 	1 , 	4 , 	4 , 	8 , 	1 , 	3 , 	5 , 	4 , 	2 , 	1 , 	1 , 	0 , 	0 , 	4 , 	5 , 	3 , 	2 , 	1 , 	3 , 	5 , 	21 , 	17 , 	85 , 	47 , 	37 , 	47 , 	17 , 	35 , 	30 , 	14 , 	1 , 	2 , 	1 , 	3 , 	11 , 	10 , 	33 , 	7 , 	-   , 	1 , 	-   , 	-   , 	1 , 	0 , 	4 , 	494 ,,,,,,,,,,,
SO, 	11 , 	18 , 	12 , 	12 , 	35 , 	10 , 	29 , 	24 , 	25 , 	6 , 	6 , 	6 , 	5 , 	8 , 	3 , 	6 , 	3 , 	3 , 	25 , 	35 , 	42 , 	18 , 	19 , 	40 , 	24 , 	86 , 	83 , 	338 , 	90 , 	61 , 	44 , 	23 , 	29 , 	56 , 	45 , 	3 , 	19 , 	14 , 	21 , 	12 , 	11 , 	45 , 	57 , 	5 , 	7 , 	2 , 	2 , 	1 , 	3 , 	19 ," 	1,494 ",,,,,,,,,,,
