Exit stations,Entry stations->,,TOTAL,,,Jan 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	716 , 	805 , 	599 , 	652 ," 	2,841 ", 	606 ," 	3,607 "," 	7,631 "," 	7,564 ", 	527 , 	838 ," 	1,190 ", 	623 , 	230 , 	442 , 	243 , 	294 , 	363 ," 	6,528 "," 	3,234 ", 	670 ," 	1,479 ", 	916 ," 	3,441 ", 	489 ," 	31,496 "," 	30,867 "," 	13,751 "," 	10,556 "," 	2,937 "," 	1,738 "," 	1,247 ", 	993 ," 	1,246 ", 	319 , 	122 , 	120 ," 	1,240 "," 	3,096 ", 	495 , 	477 ," 	4,174 ", 	646 , 	49 ," 	1,005 ", 	369 , 	-   , 	-   ," 	1,163 "," 	2,141 "," 	156,775 ",,,,,,,,,,,,,
LF, 	235 , 	197 , 	240 , 	191 ," 	1,462 ", 	235 ," 	1,415 "," 	3,807 "," 	3,356 ", 	196 , 	356 , 	598 , 	139 , 	56 , 	160 , 	41 , 	103 , 	147 ," 	2,413 "," 	1,308 "," 	1,403 ", 	379 , 	390 ," 	1,630 ", 	140 ," 	20,150 "," 	18,529 "," 	7,434 "," 	6,258 "," 	1,583 ", 	968 , 	490 , 	287 , 	395 , 	120 , 	24 , 	31 , 	271 , 	636 , 	142 , 	180 ," 	2,307 ", 	379 , 	17 , 	637 , 	105 , 	-   , 	-   , 	379 , 	401 ," 	82,320 ",,,,,,,,,,,,,
OR, 	198 , 	286 , 	138 , 	220 ," 	1,134 ", 	196 , 	961 ," 	2,697 "," 	3,077 ", 	242 , 	429 , 	514 , 	227 , 	66 , 	138 , 	45 , 	93 , 	185 , 	799 , 	713 , 	950 , 	448 , 	375 ," 	1,281 ", 	110 ," 	18,202 "," 	16,160 "," 	6,590 "," 	5,379 "," 	1,469 ", 	999 , 	694 , 	390 , 	343 , 	66 , 	67 , 	77 , 	118 , 	261 , 	172 , 	181 ," 	1,923 ", 	311 , 	6 , 	369 , 	131 , 	-   , 	-   , 	161 , 	281 ," 	69,872 ",,,,,,,,,,,,,
RR, 	619 , 	851 , 	752 , 	536 ," 	1,214 ", 	292 ," 	1,572 "," 	5,097 "," 	5,206 ", 	720 ," 	1,170 ", 	899 , 	523 , 	169 , 	380 , 	171 , 	287 , 	398 ," 	1,859 "," 	2,606 "," 	3,383 "," 	1,506 "," 	1,439 ", 	526 , 	499 ," 	25,668 "," 	26,411 "," 	14,990 "," 	14,032 "," 	5,454 "," 	2,880 "," 	1,284 "," 	1,074 ", 	719 , 	111 , 	133 , 	260 , 	510 , 	777 , 	239 , 	302 ," 	3,543 ", 	691 , 	113 , 	524 , 	317 , 	-   , 	-   , 	386 , 	791 ," 	133,883 ",,,,,,,,,,,,,
OW, 	567 , 	851 , 	287 , 	349 ," 	1,630 ", 	568 ," 	1,083 "," 	1,504 "," 	2,515 ", 	656 ," 	2,240 "," 	2,140 "," 	1,028 ", 	763 , 	641 , 	345 , 	355 , 	257 , 	405 , 	289 , 	452 , 	173 , 	82 , 	439 , 	621 ," 	41,049 "," 	35,416 "," 	27,984 "," 	19,525 "," 	9,168 "," 	5,550 "," 	1,524 "," 	1,707 "," 	1,102 ", 	337 , 	265 , 	690 , 	134 , 	383 , 	398 , 	639 ," 	2,629 ", 	820 , 	234 , 	238 , 	311 , 	-   , 	-   , 	273 , 	423 ," 	171,039 ",,,,,,,,,,,,,
EM," 	12,010 "," 	23,746 "," 	16,379 "," 	17,436 "," 	23,777 "," 	20,761 "," 	30,546 "," 	42,136 "," 	38,472 "," 	28,029 "," 	27,777 "," 	15,621 "," 	23,164 "," 	20,244 "," 	13,980 "," 	11,811 "," 	24,783 "," 	33,729 "," 	23,822 "," 	46,829 "," 	37,101 "," 	23,262 "," 	21,056 "," 	28,476 "," 	51,482 "," 	4,174 "," 	2,834 "," 	11,951 "," 	13,594 "," 	27,387 "," 	43,853 "," 	29,295 "," 	37,613 "," 	30,923 "," 	19,375 "," 	14,951 "," 	55,467 "," 	10,200 "," 	14,843 "," 	14,846 "," 	14,462 "," 	8,640 "," 	24,974 "," 	20,952 "," 	3,727 "," 	18,732 ", 	-   , 	-   ," 	3,125 "," 	10,876 "," 	1,093,223 ",,,,,,,,,,,,,
MT," 	11,268 "," 	21,770 "," 	14,983 "," 	15,604 "," 	18,576 "," 	18,321 "," 	26,635 "," 	34,851 "," 	27,285 "," 	26,108 "," 	23,826 "," 	13,414 "," 	19,672 "," 	17,871 "," 	12,870 "," 	9,824 "," 	18,353 "," 	24,620 "," 	20,346 "," 	39,275 "," 	29,342 "," 	16,795 "," 	15,176 "," 	24,229 "," 	41,461 "," 	3,241 "," 	3,398 "," 	4,118 "," 	13,148 "," 	33,618 "," 	55,372 "," 	38,655 "," 	61,970 "," 	45,293 "," 	25,735 "," 	12,945 "," 	40,719 "," 	8,836 "," 	13,607 "," 	18,563 "," 	17,576 "," 	8,731 "," 	35,856 "," 	15,506 "," 	2,431 "," 	18,070 ", 	-   , 	-   ," 	2,363 "," 	8,458 "," 	1,030,684 ",,,,,,,,,,,,,
PL," 	9,969 "," 	16,944 "," 	8,361 "," 	7,998 "," 	13,967 "," 	9,303 "," 	16,602 "," 	19,446 "," 	20,007 "," 	15,298 "," 	18,645 "," 	11,865 "," 	12,831 "," 	11,745 "," 	6,998 "," 	5,198 "," 	7,573 "," 	8,607 "," 	9,974 "," 	12,738 "," 	10,842 "," 	5,974 "," 	5,200 "," 	11,531 "," 	27,661 "," 	17,167 "," 	7,191 "," 	3,167 "," 	8,056 "," 	32,868 "," 	42,672 "," 	27,871 "," 	50,403 "," 	32,214 "," 	12,584 "," 	6,158 "," 	16,744 "," 	4,712 "," 	9,609 "," 	9,953 "," 	10,317 "," 	20,413 "," 	17,198 "," 	6,683 "," 	2,365 "," 	6,257 ", 	-   , 	-   ," 	2,420 "," 	6,090 "," 	658,389 ",,,,,,,,,,,,,
CC," 	7,498 "," 	14,100 "," 	8,735 "," 	9,284 "," 	12,429 "," 	10,867 "," 	17,327 "," 	20,201 "," 	17,293 "," 	13,776 "," 	17,166 "," 	8,725 "," 	10,426 "," 	9,488 "," 	6,274 "," 	4,930 "," 	6,785 "," 	7,433 "," 	8,907 "," 	11,910 "," 	9,233 "," 	5,823 "," 	4,844 "," 	11,619 "," 	21,099 "," 	13,548 "," 	12,478 "," 	7,078 "," 	1,856 "," 	14,848 "," 	23,765 "," 	17,637 "," 	29,694 "," 	19,330 "," 	11,164 "," 	5,212 "," 	13,908 "," 	4,470 "," 	7,253 "," 	8,770 "," 	8,631 "," 	9,112 "," 	14,884 "," 	5,609 "," 	1,437 "," 	5,583 ", 	-   , 	-   ," 	1,673 "," 	5,074 "," 	519,186 ",,,,,,,,,,,,,
16," 	3,888 "," 	5,496 "," 	2,975 "," 	3,749 "," 	6,818 "," 	5,651 "," 	8,588 "," 	10,570 "," 	7,832 "," 	6,143 "," 	7,388 "," 	3,600 "," 	3,463 "," 	3,200 "," 	2,121 "," 	1,769 "," 	1,922 "," 	2,273 "," 	2,609 "," 	3,615 "," 	2,197 "," 	1,370 "," 	1,337 "," 	4,711 "," 	9,682 "," 	28,333 "," 	36,055 "," 	37,908 "," 	16,378 "," 	1,013 "," 	5,516 "," 	8,083 "," 	14,948 "," 	7,612 "," 	3,775 "," 	1,675 "," 	4,549 "," 	1,396 "," 	2,987 "," 	3,241 "," 	3,397 "," 	4,623 "," 	6,920 "," 	1,820 ", 	620 ," 	1,619 ", 	-   , 	-   , 	768 ," 	1,992 "," 	308,195 ",,,,,,,,,,,,,
24," 	4,142 "," 	4,183 "," 	1,721 "," 	2,292 "," 	5,455 "," 	3,071 "," 	5,173 "," 	7,503 "," 	6,822 "," 	3,819 "," 	5,299 "," 	3,293 "," 	2,265 "," 	1,987 "," 	1,285 ", 	970 , 	889 , 	867 ," 	1,754 "," 	1,870 "," 	1,557 ", 	961 , 	980 ," 	2,650 "," 	6,009 "," 	38,495 "," 	47,254 "," 	50,792 "," 	24,805 "," 	6,006 "," 	1,153 "," 	6,455 "," 	12,582 "," 	6,261 "," 	3,020 ", 	793 ," 	1,858 ", 	804 ," 	2,354 "," 	2,293 "," 	3,047 "," 	4,407 "," 	5,675 ", 	847 , 	634 , 	718 , 	-   , 	-   , 	571 ," 	1,319 "," 	298,960 ",,,,,,,,,,,,,
