Exit stations,Entry stations->,,WEEKDAY,,,Jan 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
OR, 	7 , 	12 , 	5 , 	9 , 	45 , 	8 , 	40 , 	114 , 	130 , 	8 , 	18 , 	19 , 	10 , 	2 , 	5 , 	1 , 	4 , 	8 , 	32 , 	29 , 	36 , 	18 , 	15 , 	51 , 	4 , 	807 , 	729 , 	249 , 	227 , 	60 , 	36 , 	29 , 	17 , 	14 , 	2 , 	3 , 	3 , 	5 , 	10 , 	7 , 	8 , 	66 , 	12 , 	0 , 	12 , 	5 , 	-   , 	-   , 	7 , 	11 ," 	2,947 ",,,,,,,,,,,,,
RR, 	23 , 	32 , 	28 , 	20 , 	46 , 	11 , 	62 , 	193 , 	193 , 	28 , 	44 , 	37 , 	21 , 	5 , 	16 , 	7 , 	12 , 	16 , 	75 , 	106 , 	132 , 	58 , 	58 , 	17 , 	18 ," 	1,105 "," 	1,168 ", 	563 , 	586 , 	206 , 	103 , 	46 , 	43 , 	27 , 	4 , 	5 , 	10 , 	21 , 	32 , 	10 , 	12 , 	116 , 	24 , 	5 , 	17 , 	12 , 	-   , 	-   , 	16 , 	33 ," 	5,420 ",,,,,,,,,,,,,
OW, 	22 , 	33 , 	11 , 	13 , 	62 , 	20 , 	41 , 	56 , 	97 , 	25 , 	88 , 	87 , 	38 , 	30 , 	27 , 	14 , 	15 , 	10 , 	16 , 	11 , 	17 , 	7 , 	3 , 	17 , 	24 ," 	1,745 "," 	1,517 "," 	1,007 ", 	784 , 	346 , 	201 , 	56 , 	68 , 	41 , 	13 , 	10 , 	26 , 	6 , 	14 , 	16 , 	26 , 	87 , 	33 , 	8 , 	8 , 	13 , 	-   , 	-   , 	11 , 	17 ," 	6,834 ",,,,,,,,,,,,,
EM, 	519 ," 	1,032 ", 	711 , 	741 , 	959 , 	907 ," 	1,328 "," 	1,854 "," 	1,681 "," 	1,222 "," 	1,197 ", 	685 ," 	1,022 ", 	897 , 	620 , 	530 ," 	1,126 "," 	1,534 "," 	1,068 "," 	2,128 "," 	1,654 "," 	1,034 ", 	946 ," 	1,229 "," 	2,211 ", 	166 , 	121 , 	484 , 	597 ," 	1,167 "," 	1,904 "," 	1,284 "," 	1,634 "," 	1,365 ", 	885 , 	663 ," 	2,481 ", 	458 , 	662 , 	678 , 	655 , 	311 ," 	1,097 ", 	938 , 	140 , 	836 , 	-   , 	-   , 	140 , 	486 ," 	47,988 ",,,,,,,,,,,,,
MT, 	486 , 	948 , 	654 , 	674 , 	748 , 	806 ," 	1,158 "," 	1,529 "," 	1,179 "," 	1,130 "," 	1,019 ", 	587 , 	858 , 	770 , 	577 , 	441 , 	828 ," 	1,115 ", 	911 ," 	1,794 "," 	1,310 ", 	754 , 	683 ," 	1,053 "," 	1,758 ", 	142 , 	142 , 	173 , 	592 ," 	1,448 "," 	2,450 "," 	1,711 "," 	2,619 "," 	2,006 "," 	1,179 ", 	571 ," 	1,836 ", 	404 , 	605 , 	849 , 	800 , 	325 ," 	1,627 ", 	699 , 	93 , 	812 , 	-   , 	-   , 	105 , 	378 ," 	45,339 ",,,,,,,,,,,,,
PL, 	387 , 	644 , 	313 , 	301 , 	490 , 	366 , 	644 , 	770 , 	779 , 	581 , 	692 , 	477 , 	487 , 	440 , 	280 , 	206 , 	295 , 	340 , 	392 , 	514 , 	403 , 	215 , 	189 , 	418 , 	985 , 	717 , 	317 , 	108 , 	313 ," 	1,142 "," 	1,531 "," 	1,022 "," 	1,878 "," 	1,148 ", 	504 , 	230 , 	628 , 	189 , 	380 , 	392 , 	400 , 	693 , 	632 , 	259 , 	79 , 	238 , 	-   , 	-   , 	100 , 	246 ," 	24,755 ",,,,,,,,,,,,,
CC, 	321 , 	603 , 	370 , 	372 , 	475 , 	458 , 	721 , 	835 , 	715 , 	580 , 	705 , 	372 , 	445 , 	406 , 	271 , 	217 , 	293 , 	316 , 	381 , 	517 , 	378 , 	233 , 	189 , 	470 , 	835 , 	577 , 	558 , 	267 , 	65 , 	546 , 	924 , 	729 ," 	1,252 ", 	774 , 	483 , 	221 , 	570 , 	194 , 	316 , 	379 , 	357 , 	312 , 	558 , 	228 , 	48 , 	231 , 	-   , 	-   , 	75 , 	220 ," 	21,364 ",,,,,,,,,,,,,
16, 	156 , 	228 , 	119 , 	141 , 	254 , 	221 , 	332 , 	413 , 	313 , 	243 , 	293 , 	150 , 	144 , 	133 , 	91 , 	77 , 	80 , 	95 , 	109 , 	155 , 	82 , 	52 , 	53 , 	176 , 	360 ," 	1,203 "," 	1,578 "," 	1,356 ", 	610 , 	34 , 	198 , 	306 , 	599 , 	280 , 	154 , 	68 , 	191 , 	60 , 	129 , 	131 , 	132 , 	149 , 	257 , 	75 , 	21 , 	65 , 	-   , 	-   , 	33 , 	86 ," 	12,183 ",,,,,,,,,,,,,
24, 	163 , 	167 , 	63 , 	81 , 	204 , 	113 , 	189 , 	286 , 	271 , 	138 , 	198 , 	132 , 	91 , 	78 , 	50 , 	40 , 	36 , 	32 , 	71 , 	75 , 	57 , 	36 , 	34 , 	91 , 	210 ," 	1,642 "," 	2,085 "," 	1,839 ", 	970 , 	220 , 	39 , 	240 , 	491 , 	227 , 	119 , 	30 , 	71 , 	34 , 	97 , 	90 , 	111 , 	142 , 	212 , 	34 , 	19 , 	27 , 	-   , 	-   , 	24 , 	54 ," 	11,722 ",,,,,,,,,,,,,
GP, 	43 , 	68 , 	26 , 	29 , 	112 , 	34 , 	72 , 	150 , 	171 , 	51 , 	68 , 	75 , 	44 , 	30 , 	29 , 	12 , 	13 , 	16 , 	38 , 	46 , 	40 , 	14 , 	18 , 	39 , 	63 ," 	1,127 "," 	1,420 "," 	1,160 ", 	652 , 	309 , 	234 , 	19 , 	112 , 	57 , 	47 , 	14 , 	64 , 	17 , 	41 , 	31 , 	52 , 	92 , 	122 , 	25 , 	10 , 	14 , 	-   , 	-   , 	11 , 	31 ," 	6,961 ",,,,,,,,,,,,,
