Exit stations,Entry stations->,,WEEKDAY,,,Oct 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
WC, 	32 , 	40 , 	24 , 	28 , 	163 , 	32 , 	145 , 	301 , 	312 , 	30 , 	38 , 	42 , 	23 , 	20 , 	28 , 	12 , 	11 , 	32 , 	369 , 	142 , 	27 , 	80 , 	49 , 	152 , 	19 ," 	1,388 "," 	1,462 ", 	588 , 	504 , 	135 , 	73 , 	56 , 	41 , 	94 , 	22 , 	8 , 	8 , 	66 , 	274 , 	18 , 	25 , 	198 , 	34 , 	2 , 	55 , 	-   ," 	7,202 ",,,OAK,"45,797","2,228",,,,,,
LF, 	10 , 	11 , 	11 , 	9 , 	97 , 	12 , 	57 , 	156 , 	158 , 	14 , 	24 , 	19 , 	9 , 	7 , 	10 , 	4 , 	3 , 	13 , 	138 , 	65 , 	82 , 	15 , 	16 , 	89 , 	7 , 	950 , 	870 , 	341 , 	286 , 	66 , 	37 , 	26 , 	16 , 	28 , 	5 , 	3 , 	1 , 	14 , 	55 , 	6 , 	10 , 	103 , 	17 , 	2 , 	28 , 	-   ," 	3,899 ",,,CM line,"68,913","11,057","8,734",,,,,
OR, 	8 , 	13 , 	11 , 	18 , 	67 , 	11 , 	65 , 	104 , 	133 , 	11 , 	33 , 	15 , 	8 , 	3 , 	9 , 	3 , 	5 , 	19 , 	54 , 	31 , 	53 , 	23 , 	20 , 	75 , 	5 , 	798 , 	775 , 	278 , 	250 , 	48 , 	33 , 	35 , 	17 , 	28 , 	4 , 	2 , 	7 , 	9 , 	28 , 	7 , 	6 , 	81 , 	12 , 	1 , 	17 , 	-   ," 	3,232 ",,,RM line,"34,342","14,138","8,300","8,741",,,,
RR, 	30 , 	44 , 	41 , 	29 , 	76 , 	19 , 	75 , 	212 , 	211 , 	46 , 	61 , 	35 , 	31 , 	14 , 	26 , 	12 , 	15 , 	34 , 	95 , 	126 , 	152 , 	92 , 	83 , 	21 , 	32 ," 	1,126 "," 	1,291 ", 	692 , 	726 , 	231 , 	124 , 	66 , 	54 , 	59 , 	6 , 	6 , 	13 , 	24 , 	77 , 	8 , 	20 , 	161 , 	31 , 	6 , 	30 , 	-   ," 	6,362 ",,,WP line,"49,024","10,769","6,118","3,586","5,903",,,
OW, 	31 , 	46 , 	13 , 	17 , 	102 , 	37 , 	60 , 	72 , 	113 , 	46 , 	137 , 	105 , 	44 , 	44 , 	38 , 	15 , 	16 , 	26 , 	20 , 	15 , 	17 , 	5 , 	4 , 	33 , 	25 ," 	1,646 "," 	1,490 "," 	1,066 ", 	933 , 	398 , 	228 , 	67 , 	92 , 	78 , 	12 , 	16 , 	25 , 	4 , 	38 , 	11 , 	27 , 	92 , 	36 , 	11 , 	11 , 	-   ," 	7,364 ",,,FT/ED line,"57,163","17,413","8,771","8,526","3,311","13,895",,
EM, 	434 ," 	1,102 ", 	685 , 	796 ," 	1,348 ", 	995 ," 	1,380 "," 	1,720 "," 	1,695 "," 	1,091 "," 	1,156 ", 	627 , 	895 , 	838 , 	655 , 	494 ," 	1,152 "," 	2,161 "," 	1,168 "," 	2,032 "," 	1,714 "," 	1,068 ", 	902 ," 	1,254 "," 	1,996 ", 	165 , 	128 , 	559 , 	555 ," 	1,099 "," 	1,762 "," 	1,225 "," 	1,630 "," 	1,351 ", 	898 , 	677 ," 	2,216 ", 	615 , 	964 , 	666 , 	600 , 	563 ," 	1,126 ", 	937 , 	167 , 	-   ," 	47,262 ",,,SFIA,"23,777","2,887","7,391","2,680","3,113","1,852","1,456","435,590"
MT, 	460 ," 	1,072 ", 	688 , 	716 ," 	1,069 ", 	891 ," 	1,317 "," 	1,480 "," 	1,284 "," 	1,041 "," 	1,099 ", 	537 , 	782 , 	810 , 	594 , 	438 , 	932 ," 	1,757 "," 	1,070 "," 	1,772 "," 	1,385 ", 	798 , 	707 ," 	1,172 "," 	1,614 ", 	137 , 	159 , 	222 , 	558 ," 	1,580 "," 	2,569 "," 	1,838 "," 	2,941 "," 	2,135 "," 	1,224 ", 	602 ," 	1,638 ", 	548 , 	883 , 	945 , 	841 , 	571 ," 	1,669 ", 	717 , 	116 , 	-   ," 	47,380 ",,,,,,,,,,,
PL, 	433 , 	772 , 	362 , 	404 , 	927 , 	461 , 	824 , 	907 , 	937 , 	663 , 	821 , 	427 , 	468 , 	473 , 	338 , 	227 , 	349 , 	603 , 	475 , 	544 , 	459 , 	251 , 	203 , 	525 , 	959 , 	761 , 	344 , 	141 , 	404 ," 	1,438 "," 	1,868 "," 	1,202 "," 	2,492 "," 	1,446 ", 	673 , 	264 , 	707 , 	273 , 	546 , 	485 , 	469 ," 	1,471 ", 	830 , 	302 , 	151 , 	-   ," 	30,075 ",,,,,,,,,,,
CC, 	347 , 	677 , 	391 , 	473 , 	730 , 	548 , 	876 , 	943 , 	797 , 	603 , 	847 , 	403 , 	424 , 	410 , 	308 , 	217 , 	294 , 	459 , 	446 , 	516 , 	396 , 	247 , 	207 , 	581 , 	880 , 	553 , 	576 , 	358 , 	86 , 	680 ," 	1,149 ", 	864 ," 	1,579 ", 	873 , 	552 , 	240 , 	586 , 	250 , 	544 , 	401 , 	387 , 	569 , 	642 , 	237 , 	68 , 	-   ," 	24,215 ",,,,,,,,,,,
16, 	181 , 	220 , 	105 , 	164 , 	431 , 	268 , 	406 , 	484 , 	346 , 	276 , 	334 , 	160 , 	137 , 	118 , 	102 , 	70 , 	75 , 	122 , 	108 , 	134 , 	113 , 	57 , 	46 , 	195 , 	395 ," 	1,113 "," 	1,612 "," 	1,687 ", 	777 , 	32 , 	290 , 	388 , 	820 , 	366 , 	175 , 	56 , 	148 , 	66 , 	172 , 	139 , 	135 , 	265 , 	296 , 	59 , 	26 , 	-   ," 	13,671 ",,,,,,,,,,,
