Exit stations,Entry stations->,,WEEKDAY,,,May 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
EM, 	472 ," 	1,140 ", 	709 , 	778 ," 	1,250 ", 	998 ," 	1,346 "," 	1,779 "," 	1,699 "," 	1,119 "," 	1,181 ", 	757 , 	915 , 	872 , 	644 , 	497 ," 	1,155 "," 	2,265 "," 	1,182 "," 	2,089 "," 	1,727 "," 	1,088 ", 	930 ," 	1,267 "," 	2,005 ", 	167 , 	125 , 	536 , 	561 ," 	1,105 "," 	1,800 "," 	1,251 "," 	1,613 "," 	1,407 ", 	888 , 	683 ," 	2,313 ", 	628 , 	948 , 	679 , 	604 , 	531 ," 	1,101 ", 	968 , 	158 , 	-   ," 	47,933 ",,,,,,,,,
MT, 	440 ," 	1,055 ", 	676 , 	727 ," 	1,037 ", 	900 ," 	1,325 "," 	1,496 "," 	1,268 "," 	1,059 "," 	1,079 ", 	628 , 	785 , 	762 , 	586 , 	419 , 	920 ," 	1,807 "," 	1,047 "," 	1,764 "," 	1,423 ", 	801 , 	679 ," 	1,139 "," 	1,638 ", 	134 , 	158 , 	206 , 	525 ," 	1,486 "," 	2,521 "," 	1,815 "," 	2,792 "," 	2,065 "," 	1,204 ", 	577 ," 	1,662 ", 	544 , 	889 , 	933 , 	840 , 	537 ," 	1,603 ", 	739 , 	111 , 	-   ," 	46,801 ",,,,,,,,,
PL, 	373 , 	752 , 	349 , 	363 , 	853 , 	450 , 	735 , 	839 , 	842 , 	638 , 	762 , 	549 , 	468 , 	446 , 	325 , 	208 , 	304 , 	561 , 	453 , 	540 , 	437 , 	227 , 	205 , 	474 , 	960 , 	770 , 	346 , 	133 , 	378 ," 	1,322 "," 	1,729 "," 	1,157 "," 	2,290 "," 	1,369 ", 	637 , 	249 , 	662 , 	244 , 	548 , 	467 , 	422 ," 	1,371 ", 	724 , 	270 , 	127 , 	-   ," 	28,325 ",,,,,,,,,
CC, 	326 , 	640 , 	376 , 	442 , 	639 , 	517 , 	809 , 	888 , 	781 , 	584 , 	805 , 	439 , 	423 , 	417 , 	279 , 	210 , 	299 , 	476 , 	444 , 	502 , 	396 , 	255 , 	198 , 	529 , 	848 , 	582 , 	537 , 	327 , 	82 , 	677 ," 	1,091 ", 	817 ," 	1,498 ", 	818 , 	569 , 	246 , 	594 , 	239 , 	523 , 	423 , 	384 , 	549 , 	613 , 	251 , 	64 , 	-   ," 	23,405 ",,,,,,,,,
16, 	180 , 	217 , 	115 , 	154 , 	343 , 	245 , 	397 , 	443 , 	338 , 	252 , 	315 , 	169 , 	142 , 	115 , 	89 , 	61 , 	68 , 	130 , 	110 , 	137 , 	109 , 	57 , 	44 , 	191 , 	353 ," 	1,139 "," 	1,540 "," 	1,561 ", 	756 , 	40 , 	255 , 	347 , 	741 , 	347 , 	177 , 	64 , 	149 , 	71 , 	160 , 	149 , 	135 , 	236 , 	255 , 	59 , 	26 , 	-   ," 	12,981 ",,,,,,,,,
24, 	170 , 	190 , 	62 , 	95 , 	266 , 	141 , 	244 , 	349 , 	292 , 	142 , 	227 , 	157 , 	92 , 	88 , 	56 , 	51 , 	35 , 	60 , 	70 , 	63 , 	68 , 	28 , 	31 , 	110 , 	235 ," 	1,561 "," 	2,123 "," 	2,098 "," 	1,128 ", 	260 , 	52 , 	280 , 	714 , 	315 , 	151 , 	34 , 	81 , 	44 , 	132 , 	122 , 	156 , 	201 , 	261 , 	42 , 	22 , 	-   ," 	13,096 ",,,,,,,,,
GP, 	39 , 	54 , 	21 , 	25 , 	110 , 	32 , 	75 , 	160 , 	177 , 	53 , 	66 , 	80 , 	30 , 	26 , 	23 , 	10 , 	10 , 	31 , 	37 , 	32 , 	36 , 	8 , 	13 , 	33 , 	57 ," 	1,115 "," 	1,472 "," 	1,349 ", 	738 , 	348 , 	294 , 	31 , 	145 , 	72 , 	62 , 	11 , 	42 , 	11 , 	42 , 	68 , 	80 , 	116 , 	142 , 	15 , 	14 , 	-   ," 	7,404 ",,,,,,,,,
BP, 	66 , 	98 , 	37 , 	37 , 	107 , 	50 , 	80 , 	135 , 	145 , 	84 , 	91 , 	82 , 	61 , 	48 , 	33 , 	22 , 	22 , 	36 , 	44 , 	41 , 	37 , 	16 , 	12 , 	44 , 	92 ," 	1,407 "," 	1,869 "," 	2,694 "," 	1,314 ", 	694 , 	686 , 	129 , 	61 , 	115 , 	108 , 	21 , 	59 , 	25 , 	60 , 	91 , 	123 , 	113 , 	166 , 	21 , 	9 , 	-   ," 	11,285 ",,,,,,,,,
DC, 	86 , 	139 , 	49 , 	47 , 	115 , 	43 , 	95 , 	172 , 	210 , 	120 , 	131 , 	156 , 	101 , 	81 , 	56 , 	52 , 	61 , 	88 , 	101 , 	87 , 	73 , 	20 , 	20 , 	41 , 	74 ," 	1,336 "," 	1,784 "," 	1,542 ", 	807 , 	346 , 	331 , 	71 , 	140 , 	29 , 	43 , 	34 , 	105 , 	60 , 	119 , 	86 , 	160 , 	195 , 	286 , 	47 , 	15 , 	-   ," 	9,750 ",,,,,,,,,
CM, 	18 , 	26 , 	4 , 	8 , 	31 , 	11 , 	25 , 	75 , 	131 , 	16 , 	11 , 	19 , 	10 , 	11 , 	6 , 	5 , 	5 , 	7 , 	23 , 	12 , 	18 , 	5 , 	5 , 	7 , 	12 , 	872 ," 	1,064 ", 	741 , 	531 , 	172 , 	155 , 	64 , 	103 , 	40 , 	14 , 	2 , 	21 , 	7 , 	27 , 	28 , 	62 , 	125 , 	96 , 	4 , 	2 , 	-   ," 	4,633 ",,,,,,,,,
