Exit stations,Entry stations->,,SATURDAY,,,Apr 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
LF, 	5 , 	7 , 	8 , 	11 , 	61 , 	10 , 	26 , 	27 , 	30 , 	4 , 	19 , 	75 , 	4 , 	3 , 	6 , 	3 , 	1 , 	4 , 	74 , 	19 , 	48 , 	8 , 	17 , 	72 , 	5 , 	209 , 	133 , 	293 , 	130 , 	29 , 	24 , 	14 , 	11 , 	15 , 	5 , 	2 , 	3 , 	7 , 	16 , 	4 , 	3 , 	67 , 	10 ," 	1,518 ",,,CM line," 	30,986 "," 	3,714 "," 	5,663 ",,,,,
OR, 	5 , 	7 , 	6 , 	4 , 	44 , 	5 , 	17 , 	21 , 	37 , 	6 , 	16 , 	49 , 	2 , 	5 , 	4 , 	2 , 	2 , 	5 , 	22 , 	17 , 	43 , 	15 , 	4 , 	47 , 	3 , 	165 , 	99 , 	217 , 	95 , 	21 , 	20 , 	7 , 	8 , 	8 , 	4 , 	2 , 	4 , 	2 , 	15 , 	3 , 	1 , 	43 , 	6 ," 	1,104 ",,,RM line," 	14,409 "," 	4,930 "," 	4,087 "," 	4,183 ",,,,
RR, 	14 , 	19 , 	22 , 	17 , 	50 , 	17 , 	40 , 	62 , 	81 , 	18 , 	35 , 	68 , 	12 , 	12 , 	12 , 	6 , 	8 , 	15 , 	39 , 	54 , 	102 , 	70 , 	57 , 	13 , 	17 , 	327 , 	260 , 	582 , 	315 , 	147 , 	111 , 	31 , 	14 , 	20 , 	3 , 	6 , 	10 , 	8 , 	27 , 	3 , 	4 , 	75 , 	18 ," 	2,816 ",,,WP line," 	13,598 "," 	2,217 "," 	2,423 "," 	1,711 "," 	2,855 ",,,
OW, 	14 , 	31 , 	10 , 	10 , 	70 , 	41 , 	44 , 	30 , 	64 , 	18 , 	87 , 	73 , 	22 , 	33 , 	22 , 	7 , 	8 , 	11 , 	9 , 	3 , 	9 , 	2 , 	4 , 	12 , 	4 , 	375 , 	285 , 	783 , 	267 , 	131 , 	104 , 	24 , 	34 , 	22 , 	6 , 	6 , 	14 , 	2 , 	18 , 	4 , 	10 , 	26 , 	10 ," 	2,755 ",,,FT/ED line," 	18,435 "," 	5,410 "," 	3,889 "," 	5,768 "," 	2,781 "," 	9,384 ",,
EM, 	112 , 	285 , 	182 , 	264 , 	700 , 	226 , 	401 , 	272 , 	331 , 	228 , 	288 , 	313 , 	185 , 	188 , 	117 , 	65 , 	145 , 	297 , 	223 , 	294 , 	416 , 	234 , 	209 , 	420 , 	465 , 	56 , 	43 , 	331 , 	183 , 	506 , 	637 , 	342 , 	471 , 	252 , 	101 , 	151 , 	830 , 	92 , 	220 , 	76 , 	92 , 	316 , 	219 ," 	11,773 ",,,SFIA," 	8,440 ", 	625 ," 	3,559 "," 	1,136 "," 	1,226 ", 	931 , 	593 ," 	169,961 "
MT, 	87 , 	226 , 	148 , 	221 , 	467 , 	185 , 	309 , 	231 , 	298 , 	220 , 	235 , 	199 , 	158 , 	147 , 	68 , 	59 , 	109 , 	188 , 	124 , 	161 , 	237 , 	131 , 	114 , 	301 , 	347 , 	33 , 	30 , 	79 , 	107 , 	467 , 	610 , 	446 ," 	1,142 ", 	291 , 	112 , 	87 , 	309 , 	54 , 	129 , 	83 , 	71 , 	262 , 	159 ," 	9,435 ",,,,,,,,,,,
PL, 	216 , 	549 , 	313 , 	346 ," 	1,199 ", 	293 , 	611 , 	405 , 	543 , 	453 , 	569 , 	420 , 	338 , 	356 , 	187 , 	138 , 	225 , 	449 , 	265 , 	346 , 	460 , 	262 , 	202 , 	532 , 	779 , 	363 , 	62 , 	105 , 	259 ," 	1,477 "," 	1,823 "," 	1,077 "," 	1,905 ", 	975 , 	357 , 	202 , 	869 , 	132 , 	313 , 	307 , 	258 ," 	1,223 ", 	595 ," 	22,752 ",,,,,,,,,,,
CC, 	77 , 	188 , 	147 , 	219 , 	492 , 	189 , 	363 , 	249 , 	238 , 	164 , 	303 , 	178 , 	92 , 	99 , 	66 , 	48 , 	59 , 	144 , 	96 , 	119 , 	185 , 	112 , 	89 , 	281 , 	272 , 	151 , 	88 , 	237 , 	54 , 	588 , 	745 , 	356 , 	641 , 	284 , 	143 , 	76 , 	260 , 	42 , 	91 , 	88 , 	126 , 	355 , 	257 ," 	9,045 ",,,,,,,,,,,
16, 	63 , 	68 , 	48 , 	106 , 	285 , 	142 , 	193 , 	181 , 	119 , 	90 , 	151 , 	71 , 	53 , 	46 , 	48 , 	19 , 	20 , 	39 , 	30 , 	36 , 	50 , 	25 , 	23 , 	147 , 	136 , 	423 , 	346 ," 	1,516 ", 	613 , 	34 , 	293 , 	298 , 	474 , 	197 , 	88 , 	17 , 	89 , 	6 , 	41 , 	53 , 	78 , 	123 , 	129 ," 	7,002 ",,,,,,,,,,,
24, 	80 , 	104 , 	44 , 	93 , 	191 , 	114 , 	165 , 	120 , 	112 , 	68 , 	138 , 	84 , 	51 , 	33 , 	24 , 	25 , 	17 , 	37 , 	35 , 	29 , 	46 , 	23 , 	17 , 	110 , 	123 , 	519 , 	434 ," 	2,005 ", 	833 , 	272 , 	43 , 	246 , 	509 , 	229 , 	125 , 	19 , 	37 , 	11 , 	58 , 	70 , 	116 , 	112 , 	121 ," 	7,637 ",,,,,,,,,,,
