Exit stations,Entry stations->,,WEEKDAY,,,Mar 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
WC, 	26 , 	30 , 	25 , 	23 , 	133 , 	23 , 	153 , 	336 , 	341 , 	26 , 	32 , 	43 , 	25 , 	10 , 	18 , 	13 , 	14 , 	14 , 	256 , 	124 , 	26 , 	59 , 	38 , 	141 , 	19 ," 	1,362 "," 	1,362 ", 	531 , 	465 , 	128 , 	72 , 	51 , 	41 , 	59 , 	16 , 	4 , 	4 , 	49 , 	126 , 	24 , 	24 , 	165 , 	27 , 	2 , 	40 , 	13 , 	-   , 	-   , 	45 , 	93 ," 	6,650 ",,,,,,,,,,,,,
LF, 	8 , 	7 , 	8 , 	6 , 	55 , 	10 , 	56 , 	169 , 	146 , 	8 , 	15 , 	21 , 	7 , 	2 , 	5 , 	2 , 	2 , 	6 , 	97 , 	56 , 	62 , 	15 , 	13 , 	70 , 	4 , 	875 , 	847 , 	285 , 	294 , 	75 , 	36 , 	20 , 	13 , 	23 , 	4 , 	1 , 	1 , 	10 , 	23 , 	6 , 	10 , 	84 , 	16 , 	1 , 	23 , 	5 , 	-   , 	-   , 	16 , 	16 ," 	3,535 ",,,,,,,,,,,,,
OR, 	7 , 	14 , 	5 , 	8 , 	47 , 	7 , 	42 , 	116 , 	125 , 	9 , 	17 , 	16 , 	9 , 	2 , 	4 , 	2 , 	3 , 	7 , 	35 , 	29 , 	42 , 	16 , 	17 , 	50 , 	2 , 	800 , 	714 , 	247 , 	237 , 	59 , 	32 , 	29 , 	17 , 	18 , 	3 , 	2 , 	2 , 	7 , 	11 , 	7 , 	9 , 	71 , 	11 , 	0 , 	12 , 	6 , 	-   , 	-   , 	7 , 	11 ," 	2,944 ",,,,,,,,,,,,,
RR, 	21 , 	32 , 	30 , 	16 , 	50 , 	10 , 	55 , 	189 , 	190 , 	34 , 	46 , 	32 , 	21 , 	7 , 	14 , 	7 , 	12 , 	16 , 	83 , 	116 , 	137 , 	65 , 	60 , 	23 , 	23 ," 	1,065 "," 	1,150 ", 	559 , 	655 , 	210 , 	106 , 	47 , 	47 , 	38 , 	4 , 	4 , 	9 , 	20 , 	37 , 	11 , 	13 , 	123 , 	27 , 	4 , 	17 , 	12 , 	-   , 	-   , 	18 , 	33 ," 	5,493 ",,,,,,,,,,,,,
OW, 	24 , 	32 , 	11 , 	13 , 	72 , 	24 , 	41 , 	64 , 	96 , 	29 , 	88 , 	86 , 	37 , 	36 , 	28 , 	14 , 	12 , 	11 , 	16 , 	11 , 	17 , 	5 , 	2 , 	18 , 	25 ," 	1,803 "," 	1,563 "," 	1,073 ", 	890 , 	370 , 	202 , 	52 , 	73 , 	58 , 	11 , 	9 , 	27 , 	6 , 	16 , 	17 , 	23 , 	93 , 	38 , 	10 , 	7 , 	14 , 	-   , 	-   , 	8 , 	16 ," 	7,192 ",,,,,,,,,,,,,
EM, 	483 , 	994 , 	712 , 	732 ," 	1,094 ", 	912 ," 	1,346 "," 	1,898 "," 	1,726 "," 	1,207 "," 	1,205 ", 	687 , 	999 , 	861 , 	620 , 	509 ," 	1,057 "," 	1,534 "," 	1,052 "," 	2,053 "," 	1,626 "," 	1,026 ", 	935 ," 	1,212 "," 	2,257 ", 	180 , 	132 , 	507 , 	662 ," 	1,228 "," 	1,955 "," 	1,283 "," 	1,656 "," 	1,382 ", 	893 , 	654 ," 	2,432 ", 	404 , 	609 , 	660 , 	650 , 	368 ," 	1,109 ", 	930 , 	147 , 	837 , 	-   , 	-   , 	144 , 	464 ," 	48,020 ",,,,,,,,,,,,,
MT, 	518 , 	959 , 	666 , 	682 , 	886 , 	832 ," 	1,223 "," 	1,562 "," 	1,242 "," 	1,177 "," 	1,080 ", 	589 , 	893 , 	784 , 	593 , 	462 , 	861 ," 	1,166 ", 	917 ," 	1,784 "," 	1,299 ", 	782 , 	663 ," 	1,054 "," 	1,807 ", 	157 , 	188 , 	179 , 	651 ," 	1,525 "," 	2,487 "," 	1,736 "," 	2,658 "," 	2,102 "," 	1,200 ", 	586 ," 	1,864 ", 	399 , 	567 , 	864 , 	829 , 	395 ," 	1,630 ", 	701 , 	103 , 	851 , 	-   , 	-   , 	127 , 	359 ," 	46,636 ",,,,,,,,,,,,,
PL, 	399 , 	636 , 	321 , 	319 , 	566 , 	368 , 	647 , 	808 , 	820 , 	594 , 	720 , 	453 , 	492 , 	446 , 	284 , 	207 , 	300 , 	352 , 	409 , 	518 , 	407 , 	226 , 	187 , 	418 ," 	1,018 ", 	761 , 	300 , 	127 , 	333 ," 	1,200 "," 	1,555 "," 	1,035 "," 	1,914 "," 	1,198 ", 	539 , 	228 , 	675 , 	187 , 	340 , 	404 , 	406 , 	837 , 	668 , 	266 , 	98 , 	266 , 	-   , 	-   , 	99 , 	239 ," 	25,592 ",,,,,,,,,,,,,
CC, 	338 , 	614 , 	405 , 	402 , 	579 , 	465 , 	773 , 	894 , 	760 , 	613 , 	735 , 	371 , 	465 , 	429 , 	288 , 	241 , 	319 , 	345 , 	402 , 	551 , 	389 , 	266 , 	202 , 	535 , 	904 , 	653 , 	599 , 	318 , 	87 , 	588 , 	956 , 	751 ," 	1,249 ", 	829 , 	514 , 	241 , 	597 , 	199 , 	311 , 	402 , 	370 , 	360 , 	620 , 	244 , 	48 , 	258 , 	-   , 	-   , 	76 , 	224 ," 	22,781 ",,,,,,,,,,,,,
16, 	163 , 	232 , 	125 , 	149 , 	299 , 	231 , 	348 , 	434 , 	325 , 	241 , 	315 , 	146 , 	145 , 	134 , 	99 , 	77 , 	85 , 	91 , 	119 , 	159 , 	93 , 	57 , 	49 , 	173 , 	378 ," 	1,257 "," 	1,611 "," 	1,421 ", 	671 , 	34 , 	191 , 	298 , 	601 , 	318 , 	158 , 	68 , 	196 , 	58 , 	122 , 	143 , 	146 , 	170 , 	260 , 	70 , 	20 , 	76 , 	-   , 	-   , 	34 , 	95 ," 	12,686 ",,,,,,,,,,,,,
