Exit stations,Entry stations->,,SATURDAY,,,Mar 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
WC, 	12 , 	16 , 	16 , 	17 , 	60 , 	11 , 	42 , 	62 , 	61 , 	9 , 	19 , 	36 , 	10 , 	6 , 	7 , 	4 , 	5 , 	6 , 	144 , 	65 , 	17 , 	30 , 	21 , 	76 , 	10 , 	274 , 	178 , 	337 , 	232 , 	58 , 	34 , 	22 , 	20 , 	22 , 	7 , 	2 , 	3 , 	15 , 	49 , 	7 , 	9 , 	113 , 	12 , 	1 , 	20 , 	8 , 	-   , 	-   , 	17 , 	35 ," 	2,238 ",,,,,,,,,,
LF, 	4 , 	4 , 	6 , 	3 , 	29 , 	4 , 	19 , 	30 , 	25 , 	5 , 	12 , 	23 , 	2 , 	3 , 	2 , 	1 , 	2 , 	2 , 	43 , 	27 , 	33 , 	8 , 	6 , 	36 , 	3 , 	161 , 	102 , 	205 , 	170 , 	37 , 	24 , 	12 , 	6 , 	10 , 	3 , 	1 , 	1 , 	6 , 	11 , 	1 , 	4 , 	63 , 	7 , 	1 , 	13 , 	4 , 	-   , 	-   , 	9 , 	4 ," 	1,188 ",,,,,,,,,,
OR, 	5 , 	5 , 	4 , 	3 , 	25 , 	3 , 	14 , 	20 , 	25 , 	5 , 	6 , 	25 , 	2 , 	2 , 	3 , 	1 , 	1 , 	2 , 	17 , 	9 , 	20 , 	8 , 	11 , 	30 , 	2 , 	140 , 	93 , 	184 , 	160 , 	36 , 	29 , 	8 , 	7 , 	7 , 	1 , 	1 , 	2 , 	2 , 	6 , 	4 , 	2 , 	48 , 	5 , 	1 , 	7 , 	1 , 	-   , 	-   , 	3 , 	5 , 	996 ,,,,,,,,,,
RR, 	13 , 	21 , 	17 , 	11 , 	31 , 	7 , 	34 , 	71 , 	56 , 	10 , 	29 , 	37 , 	11 , 	7 , 	5 , 	2 , 	6 , 	4 , 	41 , 	47 , 	69 , 	36 , 	32 , 	23 , 	19 , 	282 , 	228 , 	407 , 	325 , 	160 , 	101 , 	34 , 	13 , 	18 , 	2 , 	4 , 	6 , 	9 , 	16 , 	4 , 	5 , 	117 , 	20 , 	4 , 	13 , 	10 , 	-   , 	-   , 	5 , 	14 ," 	2,436 ",,,,,,,,,,
OW, 	10 , 	20 , 	8 , 	11 , 	50 , 	15 , 	29 , 	38 , 	43 , 	16 , 	44 , 	54 , 	22 , 	16 , 	11 , 	4 , 	5 , 	10 , 	9 , 	11 , 	9 , 	4 , 	2 , 	14 , 	16 , 	562 , 	483 , 	922 , 	499 , 	291 , 	199 , 	42 , 	41 , 	37 , 	10 , 	7 , 	17 , 	2 , 	8 , 	7 , 	12 , 	69 , 	19 , 	6 , 	9 , 	9 , 	-   , 	-   , 	3 , 	5 ," 	3,728 ",,,,,,,,,,
EM, 	144 , 	276 , 	182 , 	226 , 	582 , 	227 , 	333 , 	393 , 	393 , 	304 , 	334 , 	286 , 	217 , 	173 , 	126 , 	70 , 	152 , 	177 , 	184 , 	236 , 	320 , 	194 , 	161 , 	350 , 	671 , 	80 , 	36 , 	248 , 	175 , 	403 , 	459 , 	241 , 	367 , 	301 , 	88 , 	134 , 	433 , 	65 , 	109 , 	74 , 	89 , 	243 , 	233 , 	170 , 	60 , 	156 , 	-   , 	-   , 	22 , 	78 ," 	10,973 ",,,,,,,,,,
MT, 	122 , 	235 , 	161 , 	183 , 	444 , 	170 , 	300 , 	346 , 	292 , 	282 , 	295 , 	194 , 	201 , 	194 , 	94 , 	71 , 	120 , 	143 , 	151 , 	175 , 	234 , 	123 , 	125 , 	289 , 	640 , 	31 , 	54 , 	57 , 	117 , 	374 , 	459 , 	332 , 	787 , 	416 , 	114 , 	106 , 	243 , 	40 , 	100 , 	104 , 	105 , 	236 , 	233 , 	95 , 	37 , 	110 , 	-   , 	-   , 	15 , 	53 ," 	9,803 ",,,,,,,,,,
PL, 	220 , 	413 , 	253 , 	223 , 	609 , 	215 , 	400 , 	426 , 	425 , 	378 , 	469 , 	359 , 	322 , 	288 , 	148 , 	102 , 	171 , 	177 , 	213 , 	265 , 	308 , 	202 , 	181 , 	383 , 	904 , 	280 , 	58 , 	144 , 	192 ," 	1,108 "," 	1,271 ", 	754 ," 	1,225 ", 	989 , 	250 , 	170 , 	457 , 	89 , 	179 , 	209 , 	226 , 	785 , 	510 , 	184 , 	63 , 	173 , 	-   , 	-   , 	27 , 	113 ," 	17,513 ",,,,,,,,,,
CC, 	100 , 	184 , 	142 , 	203 , 	362 , 	164 , 	324 , 	328 , 	264 , 	226 , 	290 , 	174 , 	169 , 	129 , 	89 , 	59 , 	101 , 	124 , 	121 , 	158 , 	236 , 	188 , 	181 , 	345 , 	548 , 	150 , 	98 , 	197 , 	73 , 	425 , 	512 , 	270 , 	385 , 	426 , 	125 , 	102 , 	276 , 	48 , 	73 , 	106 , 	158 , 	274 , 	531 , 	103 , 	27 , 	117 , 	-   , 	-   , 	9 , 	52 ," 	9,744 ",,,,,,,,,,
16, 	59 , 	93 , 	65 , 	111 , 	251 , 	133 , 	235 , 	285 , 	161 , 	142 , 	162 , 	94 , 	61 , 	45 , 	31 , 	21 , 	37 , 	47 , 	45 , 	45 , 	67 , 	37 , 	40 , 	156 , 	329 , 	388 , 	361 ," 	1,211 ", 	460 , 	44 , 	162 , 	197 , 	285 , 	208 , 	73 , 	29 , 	64 , 	14 , 	32 , 	59 , 	79 , 	138 , 	210 , 	34 , 	16 , 	42 , 	-   , 	-   , 	7 , 	15 ," 	6,879 ",,,,,,,,,,
24, 	85 , 	90 , 	50 , 	82 , 	177 , 	91 , 	152 , 	179 , 	124 , 	101 , 	136 , 	94 , 	49 , 	48 , 	27 , 	17 , 	21 , 	27 , 	34 , 	29 , 	43 , 	29 , 	27 , 	105 , 	226 , 	432 , 	396 ," 	1,420 ", 	586 , 	168 , 	42 , 	179 , 	292 , 	226 , 	69 , 	14 , 	46 , 	10 , 	35 , 	61 , 	99 , 	112 , 	154 , 	14 , 	16 , 	16 , 	-   , 	-   , 	6 , 	19 ," 	6,454 ",,,,,,,,,,
GP, 	22 , 	26 , 	16 , 	26 , 	79 , 	20 , 	35 , 	55 , 	50 , 	29 , 	36 , 	45 , 	16 , 	13 , 	11 , 	5 , 	7 , 	7 , 	13 , 	13 , 	19 , 	10 , 	8 , 	34 , 	45 , 	213 , 	231 , 	837 , 	259 , 	165 , 	198 , 	15 , 	43 , 	31 , 	29 , 	5 , 	22 , 	3 , 	13 , 	15 , 	44 , 	63 , 	56 , 	5 , 	8 , 	9 , 	-   , 	-   , 	1 , 	7 ," 	2,912 ",,,,,,,,,,
BP, 	25 , 	31 , 	12 , 	9 , 	46 , 	15 , 	26 , 	38 , 	43 , 	28 , 	35 , 	43 , 	23 , 	17 , 	12 , 	8 , 	10 , 	12 , 	14 , 	11 , 	18 , 	5 , 	6 , 	17 , 	41 , 	314 , 	384 ," 	1,534 ", 	338 , 	247 , 	258 , 	42 , 	26 , 	41 , 	34 , 	12 , 	25 , 	4 , 	15 , 	16 , 	73 , 	97 , 	53 , 	9 , 	6 , 	12 , 	-   , 	-   , 	4 , 	11 ," 	4,100 ",,,,,,,,,,
DC, 	29 , 	39 , 	18 , 	15 , 	69 , 	13 , 	19 , 	43 , 	48 , 	33 , 	39 , 	62 , 	23 , 	24 , 	17 , 	10 , 	11 , 	19 , 	18 , 	13 , 	22 , 	6 , 	5 , 	20 , 	45 , 	281 , 	297 ," 	1,161 ", 	426 , 	226 , 	228 , 	41 , 	55 , 	27 , 	20 , 	9 , 	35 , 	6 , 	20 , 	26 , 	82 , 	171 , 	76 , 	13 , 	10 , 	20 , 	-   , 	-   , 	4 , 	15 ," 	3,909 ",,,,,,,,,,
CM, 	6 , 	16 , 	7 , 	5 , 	13 , 	2 , 	8 , 	12 , 	17 , 	4 , 	5 , 	7 , 	3 , 	5 , 	3 , 	3 , 	3 , 	2 , 	8 , 	4 , 	8 , 	3 , 	2 , 	3 , 	11 , 	79 , 	77 , 	291 , 	114 , 	55 , 	60 , 	25 , 	41 , 	19 , 	11 , 	2 , 	3 , 	2 , 	11 , 	4 , 	25 , 	107 , 	23 , 	2 , 	1 , 	2 , 	-   , 	-   , 	4 , 	5 ," 	1,122 ",,,,,,,,,,
CV, 	3 , 	3 , 	3 , 	3 , 	15 , 	4 , 	8 , 	13 , 	13 , 	50 , 	29 , 	75 , 	21 , 	37 , 	13 , 	7 , 	8 , 	8 , 	1 , 	2 , 	1 , 	1 , 	0 , 	5 , 	7 , 	117 , 	83 , 	192 , 	83 , 	25 , 	15 , 	6 , 	12 , 	9 , 	1 , 	6 , 	47 , 	1 , 	1 , 	2 , 	4 , 	13 , 	3 , 	52 , 	4 , 	7 , 	-   , 	-   , 	0 , 	1 ," 	1,019 ",,,,,,,,,,
ED, 	5 , 	11 , 	6 , 	9 , 	59 , 	13 , 	15 , 	28 , 	21 , 	63 , 	73 , 	178 , 	33 , 	55 , 	24 , 	9 , 	21 , 	22 , 	7 , 	4 , 	5 , 	0 , 	2 , 	8 , 	15 , 	380 , 	191 , 	486 , 	264 , 	70 , 	38 , 	23 , 	25 , 	41 , 	6 , 	46 , 	24 , 	1 , 	4 , 	4 , 	4 , 	77 , 	8 , 	23 , 	36 , 	21 , 	-   , 	-   , 	1 , 	3 ," 	2,463 ",,,,,,,,,,
NC, 	2 , 	4 , 	1 , 	1 , 	13 , 	3 , 	10 , 	7 , 	9 , 	1 , 	5 , 	10 , 	1 , 	2 , 	1 , 	0 , 	2 , 	1 , 	14 , 	12 , 	13 , 	5 , 	3 , 	9 , 	3 , 	57 , 	40 , 	87 , 	54 , 	16 , 	8 , 	4 , 	5 , 	8 , 	2 , 	0 , 	1 , 	4 , 	9 , 	1 , 	2 , 	27 , 	4 , 	0 , 	2 , 	3 , 	-   , 	-   , 	4 , 	4 , 	472 ,,,,,,,,,,
WP, 	9 , 	11 , 	3 , 	2 , 	16 , 	6 , 	27 , 	16 , 	24 , 	5 , 	16 , 	30 , 	8 , 	8 , 	6 , 	4 , 	4 , 	3 , 	79 , 	34 , 	51 , 	11 , 	7 , 	19 , 	12 , 	108 , 	79 , 	198 , 	80 , 	36 , 	36 , 	15 , 	19 , 	22 , 	10 , 	1 , 	2 , 	9 , 	12 , 	10 , 	9 , 	56 , 	6 , 	1 , 	12 , 	9 , 	-   , 	-   , 	9 , 	13 ," 	1,168 ",,,,,,,,,,
SS, 	4 , 	8 , 	2 , 	2 , 	13 , 	2 , 	5 , 	8 , 	14 , 	5 , 	7 , 	10 , 	7 , 	3 , 	1 , 	4 , 	2 , 	2 , 	5 , 	7 , 	8 , 	1 , 	3 , 	4 , 	7 , 	70 , 	74 , 	248 , 	95 , 	61 , 	57 , 	16 , 	21 , 	19 , 	6 , 	4 , 	4 , 	2 , 	9 , 	12 , 	22 , 	41 , 	12 , 	1 , 	1 , 	1 , 	-   , 	-   , 	4 , 	7 , 	922 ,,,,,,,,,,
SB, 	9 , 	13 , 	4 , 	4 , 	19 , 	3 , 	7 , 	14 , 	18 , 	10 , 	11 , 	15 , 	3 , 	7 , 	3 , 	3 , 	3 , 	2 , 	10 , 	8 , 	8 , 	4 , 	1 , 	8 , 	10 , 	85 , 	67 , 	269 , 	153 , 	88 , 	107 , 	42 , 	74 , 	76 , 	29 , 	4 , 	7 , 	2 , 	9 , 	23 , 	11 , 	44 , 	20 , 	2 , 	2 , 	2 , 	-   , 	-   , 	3 , 	8 ," 	1,323 ",,,,,,,,,,
SO, 	31 , 	60 , 	38 , 	50 , 	176 , 	35 , 	52 , 	39 , 	58 , 	18 , 	33 , 	19 , 	18 , 	12 , 	8 , 	7 , 	7 , 	10 , 	65 , 	68 , 	84 , 	44 , 	49 , 	87 , 	71 , 	165 , 	155 , 	637 , 	232 , 	93 , 	78 , 	49 , 	82 , 	132 , 	90 , 	8 , 	51 , 	25 , 	59 , 	34 , 	28 , 	31 , 	134 , 	15 , 	16 , 	5 , 	-   , 	-   , 	6 , 	37 ," 	3,301 ",,,,,,,,,,
MB, 	10 , 	17 , 	12 , 	11 , 	83 , 	10 , 	21 , 	21 , 	35 , 	7 , 	12 , 	16 , 	5 , 	4 , 	4 , 	4 , 	1 , 	2 , 	13 , 	9 , 	11 , 	6 , 	5 , 	19 , 	17 , 	182 , 	167 , 	502 , 	403 , 	176 , 	121 , 	44 , 	53 , 	84 , 	21 , 	1 , 	6 , 	4 , 	5 , 	15 , 	19 , 	157 , 	36 , 	3 , 	5 , 	1 , 	-   , 	-   , 	1 , 	5 ," 	2,366 ",,,,,,,,,,
