Exit stations,Entry stations->,,TOTAL,,,Sep 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	539 ," 	1,941 "," 	1,679 ", 	958 ," 	6,826 "," 	1,181 "," 	2,026 "," 	1,367 "," 	1,593 ", 	586 ," 	1,323 "," 	1,092 ", 	475 , 	230 , 	543 , 	260 , 	147 , 	180 , 	291 , 	211 , 	287 , 	175 , 	114 , 	304 , 	551 ," 	4,943 "," 	3,425 "," 	6,633 "," 	3,736 "," 	2,794 "," 	2,824 ", 	750 , 	793 ," 	1,439 ", 	330 , 	87 , 	162 , 	93 , 	146 , 	237 , 	305 ," 	1,061 ", 	280 , 	91 , 	228 , 	467 , 	127 , 	242 , 	197 , 	231 ," 	56,500 ",,,,,,,,,,,,,
SL, 	493 , 	661 , 	406 , 	483 ," 	2,108 ", 	693 ," 	1,591 "," 	1,865 "," 	2,668 "," 	3,948 "," 	4,010 "," 	2,906 ", 	663 ," 	2,123 "," 	2,739 "," 	1,676 "," 	1,066 "," 	1,269 ", 	350 , 	224 , 	292 , 	54 , 	68 , 	253 , 	718 ," 	7,958 "," 	6,505 "," 	7,878 "," 	5,468 "," 	1,936 "," 	1,568 ", 	528 , 	898 ," 	1,221 ", 	138 , 	752 ," 	1,443 ", 	70 , 	206 , 	152 , 	153 , 	705 , 	153 , 	714 , 	237 ," 	1,018 ", 	455 , 	664 , 	111 , 	279 ," 	74,537 ",,,,,,,,,,,,,
BF, 	248 , 	534 , 	249 , 	264 ," 	1,711 ", 	280 , 	852 ," 	1,492 "," 	2,358 "," 	2,886 "," 	3,327 "," 	2,643 "," 	2,348 ", 	598 ," 	1,871 "," 	1,171 "," 	1,028 "," 	1,211 ", 	349 , 	137 , 	164 , 	45 , 	72 , 	151 , 	588 ," 	6,419 "," 	5,569 "," 	7,685 "," 	4,713 "," 	1,516 ", 	919 , 	426 , 	691 , 	832 , 	139 , 	724 ," 	1,759 ", 	16 , 	171 , 	165 , 	163 , 	418 , 	121 ," 	1,119 ", 	230 ," 	1,168 ", 	551 , 	768 , 	93 , 	140 ," 	63,092 ",,,,,,,,,,,,,
HY, 	551 , 	869 , 	257 , 	254 ," 	1,632 ", 	428 ," 	1,145 "," 	1,242 "," 	2,172 "," 	1,777 "," 	3,431 "," 	2,616 "," 	2,659 "," 	1,761 ", 	488 ," 	1,413 "," 	2,554 "," 	2,507 ", 	438 , 	207 , 	177 , 	57 , 	48 , 	189 , 	601 ," 	4,057 "," 	2,841 "," 	3,412 "," 	2,521 "," 	1,194 ", 	727 , 	255 , 	463 , 	615 , 	66 , 	243 , 	898 , 	59 , 	368 , 	93 , 	197 , 	301 , 	118 , 	593 , 	227 ," 	1,729 "," 	1,322 "," 	1,221 ", 	144 , 	510 ," 	53,647 ",,,,,,,,,,,,,
SH, 	300 , 	243 , 	143 , 	199 ," 	1,526 ", 	235 , 	592 , 	844 ," 	1,218 "," 	1,312 "," 	1,524 "," 	1,229 "," 	1,421 "," 	1,195 "," 	1,336 ", 	361 , 	749 ," 	1,253 ", 	192 , 	62 , 	149 , 	19 , 	28 , 	68 , 	313 ," 	3,409 "," 	2,449 "," 	2,778 "," 	2,314 ", 	791 , 	698 , 	160 , 	288 , 	552 , 	105 , 	209 , 	425 , 	47 , 	83 , 	80 , 	62 , 	270 , 	91 , 	274 , 	185 ," 	1,310 ", 	564 , 	850 , 	28 , 	105 ," 	34,638 ",,,,,,,,,,,,,
UC, 	166 , 	413 , 	150 , 	172 ," 	1,619 ", 	303 , 	619 , 	922 ," 	1,470 "," 	1,091 "," 	1,335 "," 	1,182 "," 	1,167 "," 	1,123 "," 	2,845 ", 	769 , 	425 ," 	1,612 ", 	201 , 	107 , 	152 , 	27 , 	32 , 	151 , 	252 ," 	4,516 "," 	3,283 "," 	2,818 "," 	2,063 ", 	747 , 	409 , 	163 , 	244 , 	544 , 	107 , 	213 , 	669 , 	9 , 	86 , 	42 , 	34 , 	340 , 	56 , 	325 , 	290 ," 	1,599 "," 	1,283 "," 	1,482 ", 	72 , 	103 ," 	39,802 ",,,,,,,,,,,,,
FM, 	217 , 	435 , 	227 , 	276 ," 	1,404 ", 	279 , 	684 ," 	1,036 "," 	1,307 ", 	962 ," 	1,496 "," 	1,131 "," 	1,257 "," 	1,202 "," 	2,751 "," 	1,360 "," 	1,507 ", 	798 , 	203 , 	103 , 	77 , 	24 , 	69 , 	140 , 	168 ," 	5,367 "," 	3,585 "," 	2,850 "," 	2,145 ", 	804 , 	357 , 	181 , 	255 , 	539 , 	117 , 	245 , 	549 , 	14 , 	87 , 	20 , 	60 , 	496 , 	43 , 	248 , 	335 ," 	1,676 "," 	1,833 "," 	2,053 ", 	27 , 	181 ," 	43,180 ",,,,,,,,,,,,,
CN, 	382 , 	427 , 	324 , 	197 ," 	1,026 ", 	171 ," 	1,322 "," 	1,524 "," 	1,812 ", 	240 , 	450 , 	609 , 	361 , 	343 , 	432 , 	209 , 	173 , 	203 , 	847 ," 	1,095 "," 	3,366 "," 	1,764 ", 	572 ," 	1,022 ", 	287 ," 	6,622 "," 	4,964 "," 	5,541 "," 	4,336 "," 	1,581 "," 	1,115 ", 	609 , 	654 , 	897 , 	150 , 	48 , 	131 , 	648 ," 	2,539 ", 	181 , 	244 ," 	2,048 ", 	243 , 	44 , 	548 , 	102 , 	137 , 	183 ," 	1,582 "," 	1,904 "," 	56,209 ",,,,,,,,,,,,,
PH, 	258 , 	215 , 	160 , 	206 ," 	1,305 ", 	195 ," 	1,169 "," 	1,637 "," 	2,013 ", 	218 , 	331 , 	516 , 	211 , 	155 , 	209 , 	66 , 	87 , 	84 ," 	1,122 ", 	470 ," 	1,336 ", 	950 , 	460 ," 	1,414 ", 	176 ," 	9,461 "," 	7,967 "," 	5,805 "," 	4,293 "," 	1,355 ", 	823 , 	602 , 	507 , 	735 , 	113 , 	18 , 	76 , 	291 , 	918 , 	192 , 	229 ," 	2,433 ", 	159 , 	27 , 	723 , 	106 , 	111 , 	173 , 	573 , 	931 ," 	53,584 ",,,,,,,,,,,,,
WC, 	289 , 	343 , 	340 , 	244 ," 	1,286 ", 	185 ," 	1,456 "," 	1,940 "," 	2,351 ", 	250 , 	474 , 	450 , 	296 , 	171 , 	178 , 	146 , 	160 , 	79 ," 	4,008 "," 	1,352 ", 	513 , 	996 , 	533 ," 	1,650 ", 	307 ," 	9,964 "," 	6,989 "," 	4,832 "," 	4,081 "," 	1,269 ", 	772 , 	441 , 	407 , 	590 , 	173 , 	55 , 	89 , 	502 ," 	1,650 ", 	228 , 	172 ," 	2,878 ", 	238 , 	25 , 	689 , 	54 , 	77 , 	131 , 	840 ," 	1,312 "," 	58,455 ",,,,,,,,,,,,,
LF, 	168 , 	132 , 	109 , 	105 , 	744 , 	83 , 	594 , 	904 , 	938 , 	85 , 	216 , 	253 , 	47 , 	31 , 	63 , 	22 , 	29 , 	20 ," 	2,266 "," 	1,100 "," 	1,055 ", 	400 , 	368 ," 	1,032 ", 	66 ," 	7,345 "," 	5,005 "," 	2,698 "," 	2,292 ", 	789 , 	516 , 	198 , 	200 , 	245 , 	54 , 	21 , 	25 , 	104 , 	462 , 	44 , 	130 ," 	1,557 ", 	65 , 	9 , 	366 , 	13 , 	48 , 	64 , 	212 , 	362 ," 	33,654 ",,,,,,,,,,,,,
OR, 	134 , 	167 , 	88 , 	124 , 	571 , 	74 , 	543 , 	776 , 	819 , 	54 , 	234 , 	364 , 	67 , 	79 , 	56 , 	26 , 	23 , 	60 , 	524 , 	413 , 	573 , 	384 , 	265 , 	984 , 	72 ," 	6,621 "," 	4,167 "," 	2,440 "," 	1,920 ", 	707 , 	374 , 	235 , 	141 , 	250 , 	40 , 	77 , 	24 , 	48 , 	168 , 	25 , 	59 ," 	1,114 ", 	67 , 	11 , 	216 , 	8 , 	54 , 	47 , 	119 , 	167 ," 	26,573 ",,,,,,,,,,,,,
RR, 	342 , 	408 , 	434 , 	216 , 	436 , 	148 ," 	1,055 "," 	1,721 "," 	1,731 ", 	305 , 	624 , 	487 , 	293 , 	174 , 	196 , 	46 , 	122 , 	153 ," 	1,071 "," 	1,380 "," 	1,690 "," 	1,083 "," 	1,008 ", 	585 , 	380 ," 	9,588 "," 	7,155 "," 	5,432 "," 	5,123 "," 	2,492 "," 	1,488 ", 	658 , 	902 , 	533 , 	90 , 	69 , 	55 , 	189 , 	657 , 	104 , 	174 ," 	2,163 ", 	148 , 	30 , 	277 , 	127 , 	94 , 	107 , 	240 , 	541 ," 	54,524 ",,,,,,,,,,,,,
OW, 	556 , 	479 , 	167 , 	164 , 	995 , 	512 , 	896 , 	852 ," 	1,175 ", 	467 ," 	1,858 "," 	1,447 ", 	691 , 	565 , 	631 , 	249 , 	183 , 	153 , 	291 , 	180 , 	325 , 	63 , 	68 , 	419 , 	820 ," 	18,043 "," 	11,419 "," 	13,990 "," 	10,144 "," 	5,125 "," 	3,210 ", 	881 ," 	1,250 ", 	763 , 	224 , 	190 , 	393 , 	46 , 	257 , 	230 , 	351 ," 	2,207 ", 	424 , 	128 , 	247 , 	248 , 	68 , 	150 , 	185 , 	292 ," 	84,671 ",,,,,,,,,,,,,
EM," 	5,712 "," 	10,862 "," 	6,391 "," 	6,775 "," 	11,849 "," 	6,632 "," 	12,484 "," 	14,607 "," 	14,356 "," 	9,740 "," 	10,925 "," 	6,240 "," 	9,461 "," 	7,464 "," 	5,115 "," 	4,288 "," 	5,129 "," 	6,073 "," 	8,068 "," 	11,657 "," 	11,694 "," 	8,839 "," 	7,854 "," 	10,834 "," 	20,863 "," 	5,319 ", 	907 ," 	4,926 "," 	4,710 "," 	10,655 "," 	14,612 "," 	9,186 "," 	12,179 "," 	11,750 "," 	4,691 "," 	5,187 "," 	16,248 "," 	2,472 "," 	5,708 "," 	4,171 "," 	3,480 "," 	8,177 "," 	5,300 "," 	6,161 "," 	2,179 "," 	2,196 "," 	2,737 "," 	3,437 "," 	1,145 "," 	6,695 "," 	388,140 ",,,,,,,,,,,,,
MT," 	4,687 "," 	8,631 "," 	4,869 "," 	4,966 "," 	8,159 "," 	5,096 "," 	8,810 "," 	10,733 "," 	10,169 "," 	7,532 "," 	8,040 "," 	4,365 "," 	7,369 "," 	6,776 "," 	3,616 "," 	3,043 "," 	3,632 "," 	3,908 "," 	5,682 "," 	8,241 "," 	7,409 "," 	5,169 "," 	4,419 "," 	7,770 "," 	13,380 ", 	920 ," 	2,785 "," 	1,417 "," 	3,613 "," 	10,263 "," 	16,394 "," 	11,068 "," 	17,868 "," 	14,677 "," 	5,577 "," 	4,147 "," 	9,389 "," 	1,715 "," 	4,919 "," 	4,457 "," 	4,223 "," 	9,580 "," 	5,850 "," 	3,413 "," 	1,568 "," 	1,771 "," 	2,207 "," 	2,368 "," 	1,017 "," 	5,189 "," 	312,866 ",,,,,,,,,,,,,
PL," 	5,741 "," 	8,974 "," 	3,510 "," 	3,298 "," 	7,978 "," 	3,553 "," 	7,289 "," 	7,677 "," 	8,792 "," 	6,076 "," 	8,693 "," 	5,344 "," 	6,291 "," 	6,188 "," 	2,942 "," 	2,401 "," 	2,390 "," 	2,516 "," 	4,753 "," 	4,713 "," 	4,401 "," 	2,448 "," 	2,306 "," 	4,676 "," 	13,074 "," 	5,207 "," 	1,460 "," 	3,704 "," 	2,930 "," 	13,727 "," 	17,576 "," 	10,975 "," 	20,270 "," 	15,127 "," 	5,176 "," 	2,641 "," 	7,031 "," 	1,499 "," 	5,361 "," 	4,369 "," 	4,433 "," 	28,162 "," 	5,903 "," 	2,148 "," 	2,170 "," 	1,242 "," 	1,725 "," 	2,056 "," 	1,249 "," 	4,331 "," 	306,496 ",,,,,,,,,,,,,
CC," 	3,584 "," 	5,912 "," 	3,386 "," 	3,927 "," 	6,398 "," 	4,139 "," 	7,604 "," 	7,997 "," 	7,179 "," 	5,351 "," 	8,820 "," 	3,974 "," 	4,845 "," 	4,075 "," 	2,430 "," 	2,021 "," 	1,791 "," 	1,897 "," 	3,854 "," 	3,811 "," 	3,558 "," 	2,112 "," 	1,769 "," 	4,680 "," 	10,112 "," 	4,512 "," 	3,109 "," 	2,867 "," 	2,387 "," 	6,535 "," 	9,709 "," 	7,773 "," 	11,169 "," 	10,163 "," 	4,375 "," 	2,315 "," 	4,724 "," 	1,316 "," 	3,069 "," 	3,610 "," 	3,637 "," 	10,357 "," 	4,931 "," 	1,725 "," 	1,000 ", 	883 ," 	1,102 "," 	1,290 ", 	768 ," 	3,482 "," 	222,034 ",,,,,,,,,,,,,
16," 	2,519 "," 	2,821 "," 	1,397 "," 	1,915 "," 	3,935 "," 	2,143 "," 	4,487 "," 	4,769 "," 	3,892 "," 	2,955 "," 	3,523 "," 	1,837 "," 	1,894 "," 	1,520 "," 	1,235 ", 	831 , 	739 , 	714 ," 	1,422 "," 	1,301 "," 	1,148 ", 	738 , 	670 ," 	2,451 "," 	5,423 "," 	10,198 "," 	10,244 "," 	15,890 "," 	7,458 "," 	1,390 "," 	2,593 "," 	4,375 "," 	7,200 "," 	6,328 "," 	2,516 ", 	730 ," 	1,679 ", 	422 ," 	1,433 "," 	1,781 "," 	2,185 "," 	6,346 "," 	2,844 ", 	633 , 	434 , 	340 , 	315 , 	551 , 	447 ," 	1,328 "," 	145,939 ",,,,,,,,,,,,,
24," 	2,536 "," 	2,640 ", 	944 ," 	1,138 "," 	3,028 "," 	1,318 "," 	2,885 "," 	3,322 "," 	2,889 "," 	1,907 "," 	2,947 "," 	2,021 "," 	1,559 ", 	770 , 	732 , 	747 , 	356 , 	390 ," 	1,061 ", 	790 , 	819 , 	510 , 	394 ," 	1,356 "," 	3,419 "," 	13,289 "," 	13,646 "," 	20,580 "," 	10,650 "," 	2,339 "," 	1,127 "," 	3,955 "," 	6,070 "," 	5,042 "," 	2,545 ", 	381 , 	905 , 	353 ," 	1,231 "," 	1,691 "," 	2,191 "," 	3,912 "," 	2,340 ", 	436 , 	423 , 	215 , 	257 , 	291 , 	308 , 	967 ," 	135,622 ",,,,,,,,,,,,,
GP, 	690 , 	834 , 	414 , 	382 ," 	1,787 ", 	342 , 	953 ," 	1,231 "," 	1,332 ", 	657 , 	765 , 	705 , 	433 , 	413 , 	277 , 	161 , 	169 , 	154 , 	533 , 	483 , 	392 , 	204 , 	220 , 	595 , 	932 ," 	8,538 "," 	9,676 "," 	12,424 "," 	7,331 "," 	4,454 "," 	3,858 ", 	534 ," 	1,420 "," 	1,355 ", 	847 , 	210 , 	415 , 	106 , 	450 , 	787 , 	852 ," 	2,712 "," 	1,308 ", 	147 , 	268 , 	119 , 	110 , 	162 , 	114 , 	500 ," 	73,755 ",,,,,,,,,,,,,
BP, 	803 ," 	1,250 ", 	412 , 	402 ," 	1,318 ", 	500 , 	980 ," 	1,143 "," 	1,440 ", 	939 ," 	1,293 ", 	979 , 	796 , 	631 , 	480 , 	320 , 	273 , 	230 , 	602 , 	490 , 	407 , 	152 , 	103 , 	855 ," 	1,496 "," 	10,413 "," 	10,924 "," 	24,559 "," 	9,989 "," 	6,460 "," 	5,993 "," 	1,197 ", 	692 ," 	1,818 "," 	1,604 ", 	303 , 	522 , 	178 , 	590 ," 	1,009 "," 	1,417 "," 	2,538 "," 	1,887 ", 	221 , 	171 , 	146 , 	161 , 	186 , 	187 , 	580 ," 	102,039 ",,,,,,,,,,,,,
DC," 	1,520 "," 	2,026 ", 	696 , 	448 ," 	1,560 ", 	417 , 	837 ," 	1,229 "," 	1,719 "," 	1,016 "," 	2,119 "," 	1,741 "," 	1,274 ", 	812 , 	638 , 	584 , 	519 , 	599 , 	888 , 	731 , 	598 , 	276 , 	269 , 	476 , 	849 ," 	11,721 "," 	12,901 "," 	17,925 "," 	10,766 "," 	6,581 "," 	5,429 "," 	1,381 "," 	2,203 ", 	905 , 	751 , 	394 ," 	1,170 ", 	302 , 	848 ," 	1,326 "," 	2,013 "," 	5,079 "," 	3,296 ", 	374 , 	245 , 	231 , 	336 , 	424 , 	261 ," 	1,150 "," 	111,853 ",,,,,,,,,,,,,
CM, 	274 , 	242 , 	75 , 	116 , 	391 , 	89 , 	221 , 	315 , 	745 , 	100 , 	230 , 	98 , 	127 , 	113 , 	69 , 	66 , 	77 , 	87 , 	149 , 	102 , 	176 , 	58 , 	40 , 	104 , 	227 ," 	4,449 "," 	4,602 "," 	6,296 "," 	4,273 "," 	2,344 "," 	2,324 ", 	816 ," 	1,651 ", 	793 , 	337 , 	34 , 	75 , 	32 , 	252 , 	288 , 	662 ," 	3,007 "," 	1,292 ", 	25 , 	24 , 	18 , 	20 , 	24 , 	82 , 	288 ," 	38,299 ",,,,,,,,,,,,,
CV, 	86 , 	99 , 	98 , 	94 , 	564 , 	101 , 	175 , 	360 , 	339 ," 	1,295 ", 	901 , 	954 , 	822 , 	765 , 	272 , 	198 , 	218 , 	219 , 	55 , 	19 , 	41 , 	18 , 	64 , 	70 , 	282 ," 	4,485 "," 	3,690 "," 	3,141 "," 	2,530 ", 	837 , 	360 , 	212 , 	322 , 	419 , 	45 , 	238 ," 	1,565 ", 	12 , 	33 , 	65 , 	80 , 	302 , 	47 , 	979 , 	148 , 	132 , 	117 , 	122 , 	11 , 	46 ," 	28,047 ",,,,,,,,,,,,,
ED, 	169 , 	209 , 	121 , 	158 ," 	1,484 ", 	254 , 	544 , 	787 ," 	1,041 "," 	2,080 "," 	1,780 "," 	2,840 "," 	1,453 "," 	1,580 ", 	837 , 	483 , 	685 , 	547 , 	155 , 	68 , 	80 , 	15 , 	21 , 	66 , 	390 ," 	14,483 "," 	8,594 "," 	7,888 "," 	4,999 "," 	1,716 ", 	876 , 	465 , 	560 ," 	1,197 ", 	80 ," 	1,548 ", 	907 , 	17 , 	44 , 	152 , 	123 ," 	1,983 ", 	179 , 	527 ," 	1,138 ", 	414 , 	437 , 	490 , 	40 , 	53 ," 	66,757 ",,,,,,,,,,,,,
NC, 	63 , 	105 , 	38 , 	100 , 	209 , 	54 , 	248 , 	399 , 	514 , 	143 , 	73 , 	181 , 	82 , 	11 , 	63 , 	36 , 	16 , 	13 , 	574 , 	345 , 	398 , 	109 , 	73 , 	247 , 	54 ," 	1,893 "," 	1,445 "," 	1,673 "," 	1,366 ", 	465 , 	377 , 	115 , 	200 , 	307 , 	41 , 	12 , 	25 , 	144 , 	413 , 	95 , 	40 , 	706 , 	33 , 	3 , 	176 , 	25 , 	21 , 	20 , 	350 , 	375 ," 	14,468 ",,,,,,,,,,,,,
