Exit stations,Entry stations->,,SUNDAY,,,Jan 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
LF, 	5 , 	5 , 	10 , 	8 , 	32 , 	7 , 	13 , 	10 , 	17 , 	6 , 	12 , 	13 , 	3 , 	2 , 	2 , 	1 , 	4 , 	7 , 	60 , 	16 , 	33 , 	5 , 	10 , 	33 , 	5 , 	108 , 	78 , 	166 , 	83 , 	22 , 	13 , 	10 , 	11 , 	7 , 	2 , 	2 , 	2 , 	2 , 	18 , 	3 , 	3 , 	48 , 	10 , 	1 , 	900 ,,,CM line," 	20,726 "," 	3,174 "," 	3,870 ",,,,,
OR, 	5 , 	3 , 	4 , 	5 , 	26 , 	6 , 	14 , 	13 , 	19 , 	6 , 	6 , 	10 , 	3 , 	2 , 	2 , 	1 , 	2 , 	6 , 	25 , 	15 , 	26 , 	9 , 	3 , 	53 , 	2 , 	85 , 	65 , 	130 , 	66 , 	23 , 	14 , 	8 , 	10 , 	8 , 	2 , 	1 , 	5 , 	2 , 	7 , 	2 , 	2 , 	39 , 	3 , 	0 , 	731 ,,,RM line," 	8,450 "," 	3,462 "," 	2,939 "," 	2,574 ",,,,
RR, 	13 , 	16 , 	26 , 	12 , 	37 , 	12 , 	40 , 	53 , 	51 , 	20 , 	28 , 	33 , 	8 , 	13 , 	8 , 	6 , 	6 , 	12 , 	29 , 	41 , 	65 , 	39 , 	49 , 	9 , 	13 , 	237 , 	173 , 	385 , 	217 , 	119 , 	89 , 	33 , 	23 , 	20 , 	5 , 	4 , 	7 , 	4 , 	17 , 	3 , 	3 , 	109 , 	19 , 	3 ," 	2,104 ",,,WP line," 	8,083 "," 	1,541 "," 	1,972 "," 	1,256 "," 	2,139 ",,,
OW, 	20 , 	20 , 	9 , 	9 , 	41 , 	22 , 	35 , 	26 , 	50 , 	22 , 	64 , 	48 , 	16 , 	20 , 	13 , 	9 , 	9 , 	6 , 	5 , 	2 , 	8 , 	5 , 	2 , 	10 , 	7 , 	221 , 	168 , 	526 , 	203 , 	129 , 	84 , 	17 , 	35 , 	19 , 	3 , 	6 , 	10 , 	3 , 	17 , 	7 , 	6 , 	30 , 	9 , 	3 ," 	1,971 ",,,FT/ED line," 	10,571 "," 	3,790 "," 	2,751 "," 	3,552 "," 	1,570 "," 	4,960 ",,
EM, 	80 , 	142 , 	91 , 	164 , 	355 , 	134 , 	243 , 	198 , 	197 , 	144 , 	192 , 	135 , 	94 , 	93 , 	70 , 	37 , 	78 , 	146 , 	108 , 	156 , 	187 , 	114 , 	81 , 	254 , 	267 , 	42 , 	27 , 	152 , 	92 , 	283 , 	333 , 	151 , 	258 , 	134 , 	47 , 	77 , 	266 , 	42 , 	138 , 	31 , 	43 , 	307 , 	101 , 	62 ," 	6,338 ",,,SFIA," 	6,588 ", 	697 ," 	3,470 "," 	1,171 "," 	1,272 ", 	781 , 	793 ," 	113,858 "
MT, 	64 , 	116 , 	85 , 	130 , 	231 , 	117 , 	181 , 	168 , 	197 , 	179 , 	155 , 	99 , 	102 , 	96 , 	47 , 	28 , 	55 , 	108 , 	68 , 	104 , 	127 , 	78 , 	62 , 	169 , 	189 , 	24 , 	30 , 	48 , 	68 , 	296 , 	360 , 	264 , 	788 , 	171 , 	75 , 	55 , 	142 , 	34 , 	92 , 	42 , 	38 , 	268 , 	103 , 	41 ," 	5,889 ",,,,,,,,,,,
PL, 	129 , 	320 , 	158 , 	222 , 	602 , 	214 , 	396 , 	297 , 	357 , 	340 , 	407 , 	244 , 	218 , 	230 , 	119 , 	99 , 	130 , 	252 , 	176 , 	201 , 	242 , 	148 , 	115 , 	302 , 	519 , 	173 , 	37 , 	118 , 	157 ," 	1,068 "," 	1,242 ", 	671 ," 	1,256 ", 	646 , 	237 , 	130 , 	387 , 	67 , 	180 , 	164 , 	180 , 	910 , 	356 , 	103 ," 	14,515 ",,,,,,,,,,,
CC, 	60 , 	95 , 	76 , 	143 , 	256 , 	130 , 	252 , 	186 , 	179 , 	168 , 	221 , 	110 , 	63 , 	58 , 	33 , 	28 , 	48 , 	96 , 	62 , 	65 , 	126 , 	74 , 	65 , 	179 , 	205 , 	71 , 	52 , 	153 , 	63 , 	430 , 	546 , 	252 , 	428 , 	192 , 	100 , 	49 , 	139 , 	21 , 	64 , 	49 , 	109 , 	392 , 	171 , 	31 ," 	6,285 ",,,,,,,,,,,
16, 	44 , 	53 , 	36 , 	81 , 	163 , 	105 , 	159 , 	129 , 	98 , 	94 , 	94 , 	45 , 	28 , 	29 , 	19 , 	21 , 	16 , 	37 , 	30 , 	28 , 	32 , 	23 , 	15 , 	108 , 	124 , 	271 , 	238 ," 	1,134 ", 	494 , 	32 , 	221 , 	198 , 	300 , 	145 , 	56 , 	18 , 	50 , 	11 , 	32 , 	38 , 	80 , 	178 , 	108 , 	10 ," 	5,216 ",,,,,,,,,,,
24, 	59 , 	54 , 	35 , 	72 , 	128 , 	95 , 	149 , 	100 , 	87 , 	78 , 	93 , 	53 , 	28 , 	34 , 	24 , 	12 , 	14 , 	22 , 	31 , 	23 , 	23 , 	12 , 	12 , 	81 , 	100 , 	319 , 	263 ," 	1,394 ", 	632 , 	200 , 	43 , 	174 , 	301 , 	151 , 	89 , 	12 , 	37 , 	6 , 	41 , 	41 , 	102 , 	160 , 	101 , 	7 ," 	5,487 ",,,,,,,,,,,
