Exit stations,Entry stations->,,SATURDAY,,,Nov 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
PL, 	257 , 	461 , 	255 , 	245 , 	669 , 	238 , 	420 , 	460 , 	434 , 	353 , 	463 , 	243 , 	311 , 	292 , 	169 , 	115 , 	180 , 	189 , 	211 , 	252 , 	266 , 	182 , 	208 , 	360 , 	889 , 	248 , 	50 , 	124 , 	182 ," 	1,071 "," 	1,298 ", 	768 ," 	1,323 ", 	980 , 	293 , 	169 , 	491 , 	80 , 	165 , 	214 , 	226 , 	846 , 	417 , 	180 , 	80 , 	157 , 	-   , 	-   , 	41 , 	115 ," 	17,638 ",,,,,,,,,,
CC, 	111 , 	171 , 	126 , 	211 , 	378 , 	151 , 	283 , 	319 , 	247 , 	194 , 	275 , 	120 , 	145 , 	115 , 	62 , 	42 , 	65 , 	80 , 	96 , 	106 , 	155 , 	102 , 	120 , 	263 , 	479 , 	96 , 	64 , 	151 , 	53 , 	386 , 	525 , 	243 , 	380 , 	328 , 	99 , 	85 , 	199 , 	27 , 	52 , 	88 , 	108 , 	319 , 	237 , 	76 , 	28 , 	80 , 	-   , 	-   , 	12 , 	39 ," 	8,090 ",,,,,,,,,,
16, 	78 , 	84 , 	64 , 	110 , 	248 , 	138 , 	227 , 	267 , 	151 , 	138 , 	169 , 	72 , 	62 , 	54 , 	33 , 	23 , 	36 , 	37 , 	42 , 	46 , 	57 , 	28 , 	48 , 	149 , 	313 , 	321 , 	309 ," 	1,100 ", 	431 , 	34 , 	191 , 	193 , 	320 , 	234 , 	68 , 	35 , 	72 , 	13 , 	30 , 	66 , 	85 , 	151 , 	158 , 	23 , 	16 , 	46 , 	-   , 	-   , 	7 , 	19 ," 	6,596 ",,,,,,,,,,
24, 	105 , 	120 , 	64 , 	91 , 	212 , 	115 , 	177 , 	219 , 	134 , 	114 , 	165 , 	71 , 	56 , 	41 , 	35 , 	20 , 	20 , 	27 , 	33 , 	34 , 	42 , 	26 , 	32 , 	125 , 	229 , 	386 , 	367 ," 	1,416 ", 	596 , 	175 , 	43 , 	222 , 	328 , 	264 , 	96 , 	20 , 	62 , 	12 , 	44 , 	71 , 	89 , 	120 , 	138 , 	21 , 	16 , 	24 , 	-   , 	-   , 	8 , 	16 ," 	6,840 ",,,,,,,,,,
GP, 	22 , 	31 , 	21 , 	22 , 	96 , 	24 , 	39 , 	61 , 	47 , 	24 , 	37 , 	21 , 	16 , 	17 , 	9 , 	7 , 	9 , 	7 , 	20 , 	18 , 	17 , 	9 , 	11 , 	40 , 	44 , 	227 , 	226 , 	839 , 	227 , 	177 , 	210 , 	22 , 	41 , 	41 , 	33 , 	10 , 	25 , 	4 , 	15 , 	17 , 	39 , 	84 , 	48 , 	8 , 	9 , 	10 , 	-   , 	-   , 	3 , 	12 ," 	2,995 ",,,,,,,,,,
BP, 	25 , 	32 , 	11 , 	10 , 	54 , 	17 , 	31 , 	34 , 	39 , 	32 , 	43 , 	22 , 	27 , 	20 , 	10 , 	7 , 	8 , 	9 , 	16 , 	7 , 	14 , 	3 , 	8 , 	21 , 	43 , 	287 , 	334 ," 	1,576 ", 	339 , 	268 , 	273 , 	43 , 	29 , 	36 , 	35 , 	10 , 	25 , 	4 , 	17 , 	19 , 	76 , 	100 , 	50 , 	10 , 	6 , 	5 , 	-   , 	-   , 	4 , 	8 ," 	4,100 ",,,,,,,,,,
DC, 	29 , 	39 , 	18 , 	17 , 	104 , 	14 , 	30 , 	46 , 	40 , 	29 , 	49 , 	30 , 	26 , 	21 , 	13 , 	12 , 	17 , 	16 , 	20 , 	17 , 	22 , 	5 , 	11 , 	21 , 	35 , 	246 , 	254 ," 	1,129 ", 	312 , 	230 , 	275 , 	46 , 	50 , 	26 , 	21 , 	15 , 	31 , 	6 , 	17 , 	25 , 	84 , 	196 , 	67 , 	14 , 	13 , 	13 , 	-   , 	-   , 	2 , 	13 ," 	3,764 ",,,,,,,,,,
CM, 	6 , 	17 , 	4 , 	4 , 	20 , 	3 , 	13 , 	8 , 	16 , 	3 , 	10 , 	6 , 	5 , 	3 , 	3 , 	3 , 	2 , 	2 , 	8 , 	6 , 	8 , 	2 , 	4 , 	7 , 	8 , 	70 , 	77 , 	316 , 	92 , 	60 , 	72 , 	27 , 	39 , 	16 , 	9 , 	1 , 	6 , 	3 , 	13 , 	9 , 	25 , 	124 , 	22 , 	1 , 	1 , 	2 , 	-   , 	-   , 	2 , 	8 ," 	1,163 ",,,,,,,,,,
CV, 	3 , 	7 , 	3 , 	3 , 	28 , 	6 , 	5 , 	8 , 	15 , 	54 , 	58 , 	20 , 	19 , 	31 , 	13 , 	6 , 	9 , 	6 , 	1 , 	3 , 	1 , 	0 , 	2 , 	2 , 	8 , 	113 , 	79 , 	195 , 	81 , 	29 , 	18 , 	13 , 	12 , 	14 , 	2 , 	9 , 	50 , 	0 , 	1 , 	2 , 	4 , 	16 , 	2 , 	56 , 	6 , 	7 , 	-   , 	-   , 	0 , 	1 ," 	1,019 ",,,,,,,,,,
ED, 	7 , 	12 , 	8 , 	5 , 	84 , 	10 , 	16 , 	23 , 	26 , 	80 , 	91 , 	45 , 	32 , 	57 , 	23 , 	15 , 	25 , 	22 , 	3 , 	2 , 	4 , 	2 , 	1 , 	6 , 	16 , 	348 , 	216 , 	511 , 	198 , 	79 , 	54 , 	24 , 	26 , 	39 , 	7 , 	46 , 	25 , 	1 , 	4 , 	4 , 	7 , 	85 , 	14 , 	28 , 	45 , 	23 , 	-   , 	-   , 	1 , 	3 ," 	2,404 ",,,,,,,,,,
