Exit stations,Entry stations->,,SUNDAY,,,Oct 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,,,
LF, 	4 , 	8 , 	6 , 	4 , 	33 , 	5 , 	17 , 	25 , 	18 , 	5 , 	9 , 	85 , 	2 , 	2 , 	2 , 	1 , 	1 , 	8 , 	46 , 	20 , 	23 , 	10 , 	7 , 	42 , 	10 , 	225 , 	96 , 	157 , 	112 , 	33 , 	17 , 	10 , 	7 , 	6 , 	2 , 	0 , 	2 , 	1 , 	20 , 	2 , 	3 , 	98 , 	9 , 	0 , 	23 , 	-   ," 	1,222 ",,,,,,,,,,,
OR, 	3 , 	4 , 	7 , 	4 , 	23 , 	3 , 	16 , 	18 , 	21 , 	3 , 	7 , 	86 , 	4 , 	3 , 	2 , 	1 , 	2 , 	6 , 	13 , 	11 , 	17 , 	9 , 	7 , 	38 , 	5 , 	190 , 	93 , 	152 , 	87 , 	21 , 	14 , 	9 , 	6 , 	8 , 	2 , 	0 , 	1 , 	2 , 	8 , 	1 , 	2 , 	80 , 	7 , 	1 , 	19 , 	-   ," 	1,020 ",,,,,,,,,,,
RR, 	11 , 	23 , 	22 , 	13 , 	30 , 	11 , 	34 , 	61 , 	59 , 	12 , 	32 , 	78 , 	10 , 	8 , 	11 , 	4 , 	4 , 	23 , 	29 , 	35 , 	60 , 	50 , 	36 , 	14 , 	26 , 	293 , 	180 , 	371 , 	285 , 	123 , 	95 , 	35 , 	20 , 	22 , 	6 , 	4 , 	7 , 	10 , 	28 , 	4 , 	7 , 	153 , 	25 , 	2 , 	32 , 	-   ," 	2,397 ",,,,,,,,,,,
OW, 	11 , 	21 , 	12 , 	16 , 	56 , 	31 , 	47 , 	36 , 	49 , 	22 , 	55 , 	89 , 	22 , 	21 , 	12 , 	6 , 	4 , 	11 , 	6 , 	6 , 	10 , 	8 , 	7 , 	24 , 	18 , 	477 , 	308 , 	656 , 	359 , 	204 , 	137 , 	36 , 	33 , 	22 , 	6 , 	7 , 	14 , 	3 , 	20 , 	5 , 	12 , 	93 , 	13 , 	7 , 	9 , 	-   ," 	3,026 ",,,,,,,,,,,
EM, 	147 , 	313 , 	184 , 	276 , 	521 , 	210 , 	365 , 	315 , 	325 , 	280 , 	349 , 	432 , 	219 , 	237 , 	132 , 	87 , 	166 , 	363 , 	211 , 	281 , 	366 , 	255 , 	229 , 	354 , 	598 , 	78 , 	32 , 	197 , 	108 , 	303 , 	381 , 	214 , 	306 , 	319 , 	92 , 	152 , 	649 , 	101 , 	243 , 	96 , 	122 , 	387 , 	317 , 	224 , 	113 , 	-   ," 	11,650 ",,,,,,,,,,,
MT, 	82 , 	199 , 	106 , 	141 , 	293 , 	130 , 	246 , 	220 , 	208 , 	218 , 	241 , 	232 , 	138 , 	126 , 	62 , 	41 , 	67 , 	147 , 	112 , 	125 , 	161 , 	97 , 	76 , 	194 , 	384 , 	23 , 	38 , 	42 , 	61 , 	253 , 	314 , 	247 , 	516 , 	228 , 	78 , 	80 , 	185 , 	48 , 	127 , 	61 , 	65 , 	288 , 	132 , 	70 , 	59 , 	-   ," 	6,960 ",,,,,,,,,,,
PL, 	168 , 	318 , 	176 , 	200 , 	484 , 	185 , 	350 , 	322 , 	335 , 	332 , 	427 , 	539 , 	246 , 	264 , 	119 , 	69 , 	122 , 	260 , 	172 , 	190 , 	240 , 	127 , 	132 , 	286 , 	640 , 	207 , 	45 , 	120 , 	136 , 	849 , 	992 , 	591 , 	952 , 	729 , 	210 , 	120 , 	334 , 	87 , 	224 , 	163 , 	174 , 	974 , 	332 , 	131 , 	91 , 	-   ," 	14,165 ",,,,,,,,,,,
CC, 	76 , 	143 , 	101 , 	165 , 	359 , 	180 , 	313 , 	269 , 	217 , 	194 , 	273 , 	237 , 	98 , 	96 , 	46 , 	32 , 	59 , 	149 , 	84 , 	107 , 	157 , 	100 , 	73 , 	234 , 	362 , 	91 , 	43 , 	130 , 	52 , 	340 , 	446 , 	242 , 	374 , 	258 , 	99 , 	55 , 	203 , 	36 , 	96 , 	83 , 	100 , 	433 , 	252 , 	69 , 	59 , 	-   ," 	7,584 ",,,,,,,,,,,
16, 	55 , 	70 , 	51 , 	85 , 	182 , 	117 , 	188 , 	158 , 	103 , 	110 , 	142 , 	107 , 	47 , 	40 , 	24 , 	11 , 	22 , 	42 , 	33 , 	32 , 	46 , 	32 , 	22 , 	111 , 	226 , 	295 , 	230 , 	906 , 	370 , 	43 , 	133 , 	164 , 	247 , 	180 , 	56 , 	20 , 	50 , 	11 , 	40 , 	45 , 	66 , 	219 , 	126 , 	20 , 	23 , 	-   ," 	5,301 ",,,,,,,,,,,
24, 	64 , 	68 , 	35 , 	60 , 	139 , 	75 , 	142 , 	134 , 	88 , 	91 , 	133 , 	105 , 	36 , 	28 , 	20 , 	16 , 	14 , 	38 , 	24 , 	23 , 	35 , 	18 , 	15 , 	90 , 	151 , 	368 , 	267 ," 	1,131 ", 	512 , 	136 , 	38 , 	129 , 	202 , 	118 , 	53 , 	13 , 	34 , 	6 , 	46 , 	35 , 	83 , 	194 , 	94 , 	10 , 	27 , 	-   ," 	5,134 ",,,,,,,,,,,
