Exit stations,Entry stations->,,TOTAL,,,Oct 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	373 ," 	1,666 "," 	1,228 ", 	769 ," 	4,833 "," 	1,147 "," 	1,632 "," 	1,101 "," 	1,470 ", 	327 ," 	1,263 ", 	867 , 	525 , 	357 , 	471 , 	198 , 	177 , 	178 , 	298 , 	126 , 	324 , 	134 , 	115 , 	311 , 	423 ," 	3,877 "," 	2,996 "," 	5,889 "," 	3,038 "," 	2,581 "," 	2,777 ", 	556 , 	760 , 	792 , 	245 , 	74 , 	150 , 	84 , 	168 , 	185 , 	241 , 	623 , 	183 , 	47 , 	209 , 	169 , 	111 , 	210 , 	149 , 	223 ," 	46,650 ",,,,,,,,,,,,,
LF, 	147 , 	92 , 	137 , 	74 , 	469 , 	83 , 	411 , 	674 , 	564 , 	65 , 	254 , 	135 , 	77 , 	52 , 	42 , 	20 , 	29 , 	12 ," 	1,532 ", 	586 , 	722 , 	195 , 	286 , 	744 , 	33 ," 	4,192 "," 	2,815 "," 	1,787 "," 	1,675 ", 	684 , 	432 , 	134 , 	79 , 	148 , 	54 , 	20 , 	33 , 	87 , 	336 , 	28 , 	54 ," 	1,194 ", 	57 , 	5 , 	320 , 	29 , 	22 , 	43 , 	213 , 	191 ," 	22,067 ",,,,,,,,,,,,,
OR, 	113 , 	109 , 	44 , 	145 , 	422 , 	41 , 	344 , 	481 , 	508 , 	64 , 	320 , 	100 , 	71 , 	61 , 	71 , 	7 , 	10 , 	39 , 	352 , 	275 , 	428 , 	232 , 	128 , 	604 , 	90 ," 	3,872 "," 	2,577 "," 	1,579 "," 	1,186 ", 	581 , 	243 , 	142 , 	138 , 	198 , 	31 , 	39 , 	10 , 	55 , 	157 , 	26 , 	28 , 	838 , 	60 , 	5 , 	178 , 	11 , 	30 , 	42 , 	128 , 	130 ," 	17,343 ",,,,,,,,,,,,,
RR, 	295 , 	420 , 	375 , 	227 , 	294 , 	103 , 	741 ," 	1,390 "," 	1,048 ", 	204 , 	714 , 	242 , 	326 , 	192 , 	192 , 	49 , 	98 , 	143 , 	946 ," 	1,141 "," 	1,171 ", 	811 , 	721 , 	324 , 	354 ," 	5,903 "," 	4,496 "," 	4,317 "," 	4,232 "," 	2,103 "," 	1,251 ", 	603 , 	760 , 	356 , 	83 , 	75 , 	104 , 	190 , 	433 , 	110 , 	117 ," 	1,827 ", 	168 , 	16 , 	201 , 	40 , 	75 , 	76 , 	235 , 	628 ," 	40,920 ",,,,,,,,,,,,,
OW, 	360 , 	479 , 	127 , 	167 , 	930 , 	245 , 	723 , 	500 , 	969 , 	331 ," 	1,522 "," 	1,241 ", 	622 , 	495 , 	483 , 	266 , 	156 , 	116 , 	235 , 	126 , 	279 , 	47 , 	50 , 	331 , 	401 ," 	12,053 "," 	7,575 "," 	9,959 "," 	6,865 "," 	3,659 "," 	2,670 ", 	689 , 	849 , 	661 , 	184 , 	178 , 	288 , 	39 , 	236 , 	253 , 	279 ," 	1,312 ", 	261 , 	97 , 	152 , 	138 , 	49 , 	143 , 	141 , 	325 ," 	60,256 ",,,,,,,,,,,,,
EM," 	4,293 "," 	8,339 "," 	4,108 "," 	4,296 "," 	8,695 "," 	4,404 "," 	7,875 "," 	8,827 "," 	7,920 "," 	6,493 "," 	7,593 "," 	4,487 "," 	6,411 "," 	5,490 "," 	3,295 "," 	2,922 "," 	2,892 "," 	2,963 "," 	5,645 "," 	7,475 "," 	7,043 "," 	5,295 "," 	4,641 "," 	6,677 "," 	14,091 "," 	2,098 ", 	472 ," 	2,333 "," 	2,828 "," 	6,673 "," 	9,149 "," 	5,509 "," 	8,155 "," 	7,508 "," 	2,737 "," 	3,046 "," 	9,521 "," 	1,703 "," 	4,078 "," 	2,056 "," 	1,936 "," 	4,178 "," 	2,710 "," 	3,339 "," 	1,494 "," 	1,057 "," 	1,332 "," 	1,679 ", 	979 ," 	4,659 "," 	243,399 ",,,,,,,,,,,,,
MT," 	3,905 "," 	6,690 "," 	3,249 "," 	3,029 "," 	6,444 "," 	3,215 "," 	6,648 "," 	7,397 "," 	6,320 "," 	5,228 "," 	6,117 "," 	3,153 "," 	5,518 "," 	4,563 "," 	2,542 "," 	2,105 "," 	1,971 "," 	2,172 "," 	4,221 "," 	5,291 "," 	4,776 "," 	2,868 "," 	2,724 "," 	4,980 "," 	9,289 ", 	516 ," 	1,474 ", 	736 ," 	2,083 "," 	6,755 "," 	10,791 "," 	7,264 "," 	13,207 "," 	8,615 "," 	3,583 "," 	2,667 "," 	5,265 "," 	1,286 "," 	3,844 "," 	2,592 "," 	2,388 "," 	4,469 "," 	2,904 "," 	1,975 "," 	1,005 ", 	876 , 	927 ," 	1,109 ", 	810 ," 	3,097 "," 	204,653 ",,,,,,,,,,,,,
PL," 	4,758 "," 	6,689 "," 	2,591 "," 	2,107 "," 	6,707 "," 	2,889 "," 	5,429 "," 	6,152 "," 	6,618 "," 	4,939 "," 	7,804 "," 	3,873 "," 	5,025 "," 	4,519 "," 	2,282 "," 	1,842 "," 	1,725 "," 	1,624 "," 	3,634 "," 	3,497 "," 	3,080 "," 	1,630 "," 	1,408 "," 	3,738 "," 	9,483 "," 	2,897 ", 	861 ," 	2,234 "," 	2,115 "," 	10,662 "," 	14,378 "," 	8,263 "," 	13,857 "," 	11,182 "," 	4,130 "," 	1,720 "," 	4,155 "," 	1,263 "," 	3,860 "," 	3,212 "," 	2,971 "," 	12,319 "," 	3,055 "," 	1,590 "," 	1,637 ", 	765 ," 	1,012 ", 	976 ," 	1,058 "," 	3,133 "," 	217,348 ",,,,,,,,,,,,,
CC," 	2,713 "," 	4,907 "," 	2,688 "," 	3,113 "," 	5,467 "," 	3,179 "," 	6,123 "," 	6,181 "," 	5,306 "," 	4,190 "," 	6,904 "," 	3,035 "," 	3,531 "," 	2,887 "," 	1,862 "," 	1,420 "," 	1,265 "," 	1,570 "," 	3,058 "," 	2,650 "," 	3,006 "," 	1,641 "," 	1,315 "," 	4,136 "," 	7,208 "," 	2,676 "," 	2,005 "," 	2,152 "," 	1,455 "," 	5,069 "," 	7,909 "," 	5,423 "," 	8,401 "," 	6,697 "," 	3,530 "," 	1,447 "," 	3,270 ", 	996 ," 	2,719 "," 	2,355 "," 	2,522 "," 	5,020 "," 	3,159 "," 	1,206 ", 	676 , 	578 , 	678 , 	927 , 	536 ," 	2,597 "," 	163,358 ",,,,,,,,,,,,,
16," 	2,461 "," 	2,280 "," 	1,021 "," 	1,490 "," 	3,235 "," 	1,883 "," 	3,824 "," 	3,908 "," 	2,925 "," 	2,473 "," 	2,987 "," 	1,536 "," 	1,451 "," 	1,340 ", 	898 , 	590 , 	605 , 	671 ," 	1,305 "," 	1,036 "," 	1,164 ", 	766 , 	583 ," 	2,045 "," 	4,141 "," 	6,285 "," 	6,666 "," 	11,879 "," 	5,432 ", 	850 ," 	1,834 "," 	3,350 "," 	5,483 "," 	4,615 "," 	2,033 ", 	467 ," 	1,189 ", 	399 ," 	1,384 "," 	1,503 "," 	1,614 "," 	3,425 "," 	1,994 ", 	503 , 	332 , 	225 , 	269 , 	391 , 	536 ," 	1,162 "," 	110,438 ",,,,,,,,,,,,,
24," 	2,468 "," 	2,205 ", 	862 , 	942 ," 	2,807 "," 	1,199 "," 	2,810 "," 	2,576 "," 	2,137 "," 	1,674 "," 	2,808 "," 	1,601 "," 	1,391 ", 	709 , 	674 , 	527 , 	371 , 	355 , 	849 , 	654 , 	683 , 	496 , 	240 ," 	1,359 "," 	2,963 "," 	8,299 "," 	9,121 "," 	16,730 "," 	8,429 "," 	1,833 ", 	974 ," 	3,174 "," 	4,696 "," 	4,202 "," 	1,986 ", 	320 , 	692 , 	346 ," 	1,100 "," 	1,470 "," 	1,785 "," 	2,625 "," 	1,779 ", 	329 , 	315 , 	147 , 	192 , 	271 , 	385 ," 	1,018 "," 	107,578 ",,,,,,,,,,,,,
