Exit stations,Entry stations->,,SUNDAY,,,Oct 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RM, 	11 , 	21 , 	16 , 	11 , 	54 , 	9 , 	19 , 	16 , 	24 , 	9 , 	24 , 	14 , 	11 , 	3 , 	6 , 	4 , 	1 , 	3 , 	6 , 	2 , 	3 , 	4 , 	1 , 	7 , 	5 , 	50 , 	23 , 	96 , 	35 , 	29 , 	33 , 	4 , 	12 , 	6 , 	3 , 	1 , 	1 , 	-   , 	1 , 	4 , 	3 , 	14 , 	1 , 	1 , 	4 , 	3 , 	2 , 	7 , 	2 , 	4 , 	624 ,,,,,,,,,,,
RR, 	7 , 	6 , 	5 , 	4 , 	2 , 	3 , 	14 , 	19 , 	10 , 	4 , 	17 , 	1 , 	5 , 	5 , 	3 , 	1 , 	1 , 	1 , 	14 , 	16 , 	19 , 	18 , 	12 , 	14 , 	7 , 	113 , 	61 , 	113 , 	71 , 	45 , 	35 , 	14 , 	7 , 	15 , 	2 , 	2 , 	1 , 	2 , 	5 , 	2 , 	4 , 	69 , 	10 , 	0 , 	7 , 	1 , 	1 , 	2 , 	1 , 	7 , 	801 ,,,,,,,,,,,
OW, 	3 , 	7 , 	3 , 	3 , 	14 , 	5 , 	13 , 	9 , 	15 , 	9 , 	26 , 	11 , 	10 , 	7 , 	4 , 	2 , 	1 , 	1 , 	4 , 	1 , 	4 , 	1 , 	1 , 	5 , 	17 , 	176 , 	80 , 	198 , 	120 , 	83 , 	57 , 	12 , 	14 , 	10 , 	4 , 	3 , 	4 , 	1 , 	3 , 	3 , 	4 , 	39 , 	4 , 	2 , 	4 , 	2 , 	1 , 	3 , 	1 , 	5 ," 	1,011 ",,,,,,,,,,,
EM, 	55 , 	95 , 	73 , 	74 , 	155 , 	64 , 	122 , 	123 , 	119 , 	84 , 	109 , 	53 , 	103 , 	79 , 	43 , 	47 , 	32 , 	51 , 	85 , 	92 , 	116 , 	84 , 	77 , 	119 , 	222 , 	72 , 	6 , 	47 , 	26 , 	93 , 	116 , 	61 , 	91 , 	110 , 	38 , 	62 , 	210 , 	27 , 	59 , 	30 , 	39 , 	88 , 	76 , 	56 , 	31 , 	18 , 	40 , 	36 , 	10 , 	52 ," 	3,769 ",,,,,,,,,,,
MT, 	39 , 	50 , 	30 , 	35 , 	96 , 	31 , 	79 , 	91 , 	83 , 	55 , 	72 , 	29 , 	47 , 	51 , 	17 , 	19 , 	11 , 	24 , 	37 , 	40 , 	48 , 	26 , 	30 , 	72 , 	107 , 	7 , 	47 , 	10 , 	17 , 	61 , 	88 , 	52 , 	101 , 	60 , 	26 , 	27 , 	59 , 	11 , 	30 , 	19 , 	21 , 	85 , 	28 , 	21 , 	20 , 	10 , 	23 , 	15 , 	5 , 	18 ," 	2,080 ",,,,,,,,,,,
PL, 	80 , 	84 , 	40 , 	38 , 	136 , 	50 , 	108 , 	103 , 	121 , 	105 , 	127 , 	70 , 	75 , 	83 , 	33 , 	28 , 	19 , 	26 , 	51 , 	57 , 	58 , 	29 , 	26 , 	80 , 	196 , 	46 , 	9 , 	108 , 	30 , 	208 , 	267 , 	121 , 	226 , 	195 , 	71 , 	32 , 	68 , 	21 , 	45 , 	43 , 	59 , 	200 , 	55 , 	25 , 	21 , 	11 , 	36 , 	22 , 	16 , 	32 ," 	3,788 ",,,,,,,,,,,
CC, 	30 , 	48 , 	32 , 	44 , 	95 , 	45 , 	109 , 	93 , 	93 , 	67 , 	99 , 	40 , 	45 , 	32 , 	27 , 	14 , 	8 , 	22 , 	32 , 	36 , 	54 , 	33 , 	28 , 	75 , 	134 , 	27 , 	22 , 	45 , 	69 , 	84 , 	110 , 	64 , 	85 , 	96 , 	49 , 	20 , 	58 , 	7 , 	22 , 	22 , 	39 , 	145 , 	64 , 	18 , 	18 , 	11 , 	13 , 	20 , 	4 , 	18 ," 	2,467 ",,,,,,,,,,,
16, 	33 , 	30 , 	14 , 	20 , 	57 , 	29 , 	75 , 	74 , 	58 , 	44 , 	55 , 	21 , 	21 , 	19 , 	7 , 	9 , 	5 , 	7 , 	19 , 	20 , 	18 , 	14 , 	12 , 	40 , 	95 , 	79 , 	66 , 	257 , 	90 , 	46 , 	30 , 	49 , 	60 , 	67 , 	28 , 	4 , 	28 , 	2 , 	10 , 	23 , 	21 , 	102 , 	35 , 	8 , 	12 , 	4 , 	9 , 	9 , 	8 , 	8 ," 	1,853 ",,,,,,,,,,,
24, 	35 , 	24 , 	10 , 	18 , 	42 , 	21 , 	52 , 	42 , 	35 , 	43 , 	46 , 	21 , 	15 , 	12 , 	9 , 	10 , 	4 , 	6 , 	12 , 	7 , 	12 , 	6 , 	4 , 	31 , 	61 , 	109 , 	70 , 	341 , 	127 , 	29 , 	62 , 	41 , 	55 , 	58 , 	26 , 	8 , 	14 , 	3 , 	12 , 	23 , 	36 , 	88 , 	24 , 	7 , 	11 , 	3 , 	7 , 	10 , 	3 , 	5 ," 	1,751 ",,,,,,,,,,,
GP, 	8 , 	11 , 	4 , 	6 , 	19 , 	5 , 	14 , 	13 , 	15 , 	9 , 	10 , 	6 , 	5 , 	6 , 	2 , 	2 , 	1 , 	2 , 	7 , 	4 , 	6 , 	5 , 	4 , 	15 , 	14 , 	61 , 	44 , 	154 , 	55 , 	40 , 	48 , 	22 , 	11 , 	10 , 	7 , 	3 , 	7 , 	2 , 	4 , 	5 , 	13 , 	45 , 	10 , 	3 , 	6 , 	1 , 	2 , 	2 , 	1 , 	5 , 	752 ,,,,,,,,,,,
BP, 	9 , 	9 , 	3 , 	4 , 	9 , 	3 , 	9 , 	9 , 	11 , 	11 , 	12 , 	7 , 	6 , 	7 , 	4 , 	2 , 	1 , 	3 , 	8 , 	4 , 	3 , 	1 , 	1 , 	5 , 	15 , 	88 , 	60 , 	297 , 	80 , 	55 , 	51 , 	7 , 	29 , 	9 , 	19 , 	1 , 	6 , 	1 , 	7 , 	8 , 	25 , 	40 , 	17 , 	2 , 	4 , 	2 , 	5 , 	3 , 	1 , 	5 , 	979 ,,,,,,,,,,,
DC, 	6 , 	9 , 	3 , 	5 , 	15 , 	5 , 	5 , 	8 , 	12 , 	7 , 	14 , 	3 , 	8 , 	5 , 	4 , 	5 , 	1 , 	4 , 	7 , 	10 , 	7 , 	2 , 	2 , 	11 , 	12 , 	98 , 	56 , 	261 , 	106 , 	68 , 	64 , 	14 , 	11 , 	28 , 	12 , 	3 , 	19 , 	1 , 	6 , 	9 , 	31 , 	87 , 	23 , 	4 , 	5 , 	4 , 	4 , 	5 , 	2 , 	6 ," 	1,098 ",,,,,,,,,,,
CM, 	3 , 	6 , 	1 , 	2 , 	5 , 	1 , 	3 , 	5 , 	8 , 	3 , 	2 , 	1 , 	1 , 	2 , 	3 , 	2 , 	0 , 	1 , 	4 , 	3 , 	2 , 	-   , 	1 , 	2 , 	3 , 	32 , 	17 , 	92 , 	46 , 	27 , 	34 , 	9 , 	15 , 	11 , 	8 , 	0 , 	1 , 	0 , 	5 , 	1 , 	11 , 	63 , 	6 , 	1 , 	1 , 	0 , 	1 , 	1 , 	0 , 	4 , 	448 ,,,,,,,,,,,
CV, 	1 , 	2 , 	-   , 	0 , 	4 , 	0 , 	1 , 	2 , 	2 , 	15 , 	14 , 	7 , 	11 , 	13 , 	5 , 	3 , 	1 , 	2 , 	0 , 	-   , 	0 , 	0 , 	0 , 	1 , 	2 , 	56 , 	24 , 	39 , 	20 , 	6 , 	6 , 	3 , 	2 , 	1 , 	1 , 	6 , 	14 , 	-   , 	0 , 	0 , 	0 , 	8 , 	1 , 	19 , 	3 , 	1 , 	1 , 	1 , 	0 , 	1 , 	303 ,,,,,,,,,,,
ED, 	3 , 	3 , 	3 , 	1 , 	14 , 	5 , 	7 , 	4 , 	5 , 	25 , 	24 , 	10 , 	22 , 	22 , 	8 , 	7 , 	5 , 	6 , 	2 , 	2 , 	1 , 	0 , 	-   , 	0 , 	5 , 	195 , 	64 , 	112 , 	54 , 	24 , 	15 , 	9 , 	7 , 	12 , 	2 , 	12 , 	12 , 	0 , 	1 , 	1 , 	1 , 	38 , 	2 , 	6 , 	27 , 	2 , 	8 , 	7 , 	1 , 	1 , 	795 ,,,,,,,,,,,
NC, 	0 , 	0 , 	1 , 	0 , 	2 , 	1 , 	5 , 	2 , 	1 , 	-   , 	1 , 	1 , 	1 , 	1 , 	1 , 	0 , 	0 , 	1 , 	7 , 	3 , 	3 , 	3 , 	1 , 	2 , 	1 , 	23 , 	5 , 	19 , 	7 , 	2 , 	2 , 	3 , 	1 , 	2 , 	1 , 	0 , 	0 , 	2 , 	5 , 	0 , 	1 , 	16 , 	1 , 	-   , 	5 , 	-   , 	1 , 	-   , 	2 , 	2 , 	138 ,,,,,,,,,,,
WP, 	3 , 	3 , 	2 , 	1 , 	7 , 	1 , 	10 , 	5 , 	6 , 	2 , 	6 , 	3 , 	2 , 	3 , 	2 , 	3 , 	1 , 	2 , 	31 , 	13 , 	27 , 	8 , 	2 , 	6 , 	3 , 	55 , 	29 , 	64 , 	21 , 	10 , 	12 , 	5 , 	7 , 	7 , 	4 , 	1 , 	1 , 	3 , 	8 , 	2 , 	4 , 	25 , 	2 , 	0 , 	7 , 	2 , 	1 , 	2 , 	4 , 	7 , 	437 ,,,,,,,,,,,
SS, 	3 , 	4 , 	2 , 	1 , 	2 , 	1 , 	2 , 	3 , 	3 , 	1 , 	4 , 	1 , 	1 , 	1 , 	0 , 	1 , 	1 , 	0 , 	3 , 	3 , 	3 , 	2 , 	1 , 	2 , 	5 , 	30 , 	15 , 	57 , 	25 , 	23 , 	21 , 	4 , 	9 , 	13 , 	2 , 	0 , 	2 , 	-   , 	2 , 	7 , 	7 , 	26 , 	2 , 	1 , 	1 , 	-   , 	-   , 	1 , 	1 , 	2 , 	297 ,,,,,,,,,,,
SB, 	5 , 	7 , 	3 , 	1 , 	7 , 	1 , 	5 , 	6 , 	3 , 	2 , 	3 , 	6 , 	2 , 	4 , 	2 , 	1 , 	1 , 	1 , 	4 , 	5 , 	3 , 	2 , 	1 , 	5 , 	5 , 	39 , 	19 , 	75 , 	42 , 	26 , 	37 , 	16 , 	25 , 	30 , 	12 , 	0 , 	2 , 	1 , 	5 , 	9 , 	10 , 	28 , 	3 , 	1 , 	1 , 	-   , 	0 , 	0 , 	1 , 	2 , 	469 ,,,,,,,,,,,
SO, 	10 , 	15 , 	13 , 	14 , 	34 , 	6 , 	25 , 	21 , 	27 , 	4 , 	8 , 	7 , 	6 , 	8 , 	3 , 	8 , 	1 , 	2 , 	30 , 	24 , 	34 , 	21 , 	15 , 	30 , 	23 , 	103 , 	98 , 	410 , 	89 , 	55 , 	32 , 	16 , 	25 , 	54 , 	41 , 	1 , 	20 , 	7 , 	22 , 	13 , 	11 , 	48 , 	43 , 	7 , 	11 , 	1 , 	1 , 	0 , 	2 , 	16 ," 	1,513 ",,,,,,,,,,,
