Exit stations,Entry stations->,,SUNDAY,,,Aug 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
LF, 	7 , 	5 , 	11 , 	11 , 	40 , 	8 , 	19 , 	17 , 	30 , 	5 , 	12 , 	54 , 	3 , 	5 , 	5 , 	1 , 	3 , 	6 , 	69 , 	19 , 	50 , 	6 , 	12 , 	45 , 	2 , 	187 , 	101 , 	229 , 	140 , 	27 , 	19 , 	15 , 	6 , 	11 , 	2 , 	1 , 	2 , 	3 , 	18 , 	2 , 	2 , 	71 , 	6 , 	1 ," 	1,284 ",,,CM line," 	24,221 "," 	3,605 "," 	4,530 ",,,,,
OR, 	3 , 	4 , 	4 , 	6 , 	42 , 	4 , 	13 , 	12 , 	31 , 	6 , 	11 , 	38 , 	7 , 	4 , 	1 , 	1 , 	0 , 	6 , 	22 , 	17 , 	27 , 	10 , 	4 , 	53 , 	1 , 	163 , 	72 , 	167 , 	108 , 	17 , 	15 , 	8 , 	9 , 	9 , 	2 , 	1 , 	2 , 	2 , 	9 , 	1 , 	2 , 	56 , 	6 , 	1 , 	970 ,,,RM line," 	11,416 "," 	4,019 "," 	3,162 "," 	2,877 ",,,,
RR, 	14 , 	16 , 	25 , 	16 , 	34 , 	15 , 	43 , 	67 , 	99 , 	19 , 	28 , 	73 , 	10 , 	9 , 	8 , 	5 , 	5 , 	17 , 	39 , 	52 , 	76 , 	44 , 	45 , 	12 , 	21 , 	289 , 	208 , 	414 , 	316 , 	131 , 	81 , 	39 , 	19 , 	19 , 	5 , 	1 , 	9 , 	9 , 	21 , 	3 , 	5 , 	127 , 	23 , 	1 ," 	2,506 ",,,WP line," 	11,565 "," 	1,989 "," 	2,167 "," 	1,494 "," 	2,437 ",,,
OW, 	15 , 	24 , 	10 , 	12 , 	42 , 	29 , 	45 , 	31 , 	65 , 	24 , 	65 , 	58 , 	17 , 	23 , 	13 , 	7 , 	9 , 	9 , 	8 , 	4 , 	8 , 	2 , 	1 , 	20 , 	8 , 	313 , 	212 , 	579 , 	269 , 	152 , 	93 , 	24 , 	34 , 	21 , 	5 , 	7 , 	8 , 	4 , 	19 , 	4 , 	9 , 	51 , 	10 , 	5 ," 	2,366 ",,,FT/ED line," 	14,779 "," 	5,085 "," 	3,153 "," 	4,208 "," 	2,384 "," 	7,277 ",,
EM, 	116 , 	238 , 	142 , 	254 , 	609 , 	204 , 	362 , 	244 , 	352 , 	213 , 	250 , 	304 , 	150 , 	146 , 	89 , 	79 , 	130 , 	274 , 	214 , 	271 , 	381 , 	236 , 	188 , 	344 , 	383 , 	67 , 	31 , 	221 , 	152 , 	357 , 	434 , 	231 , 	328 , 	210 , 	77 , 	128 , 	689 , 	108 , 	219 , 	61 , 	82 , 	477 , 	176 , 	146 ," 	10,360 ",,,SFIA," 	10,045 ", 	948 ," 	4,275 "," 	1,369 "," 	1,662 "," 	1,066 "," 	1,051 "," 	145,448 "
MT, 	66 , 	133 , 	94 , 	163 , 	324 , 	136 , 	224 , 	173 , 	254 , 	174 , 	170 , 	165 , 	110 , 	119 , 	58 , 	33 , 	70 , 	151 , 	81 , 	124 , 	167 , 	105 , 	65 , 	208 , 	235 , 	23 , 	34 , 	49 , 	86 , 	355 , 	401 , 	289 , 	724 , 	217 , 	90 , 	70 , 	204 , 	46 , 	108 , 	57 , 	64 , 	422 , 	114 , 	68 ," 	7,015 ",,,,,,,,,,,
PL, 	178 , 	375 , 	211 , 	275 , 	793 , 	230 , 	458 , 	303 , 	470 , 	385 , 	450 , 	407 , 	275 , 	272 , 	120 , 	93 , 	174 , 	324 , 	203 , 	246 , 	331 , 	193 , 	136 , 	328 , 	562 , 	236 , 	40 , 	122 , 	230 ," 	1,229 "," 	1,366 ", 	738 ," 	1,363 ", 	802 , 	322 , 	147 , 	453 , 	82 , 	216 , 	208 , 	247 ," 	1,585 ", 	432 , 	141 ," 	17,744 ",,,,,,,,,,,
CC, 	75 , 	113 , 	98 , 	178 , 	385 , 	195 , 	325 , 	226 , 	230 , 	185 , 	259 , 	199 , 	83 , 	73 , 	49 , 	37 , 	56 , 	141 , 	102 , 	132 , 	198 , 	131 , 	104 , 	248 , 	261 , 	125 , 	78 , 	221 , 	61 , 	583 , 	713 , 	297 , 	484 , 	285 , 	110 , 	65 , 	192 , 	45 , 	98 , 	88 , 	153 , 	612 , 	321 , 	60 ," 	8,670 ",,,,,,,,,,,
16, 	49 , 	58 , 	43 , 	94 , 	215 , 	129 , 	194 , 	158 , 	113 , 	109 , 	117 , 	85 , 	37 , 	40 , 	20 , 	16 , 	19 , 	38 , 	37 , 	39 , 	41 , 	33 , 	19 , 	116 , 	140 , 	322 , 	290 ," 	1,325 ", 	595 , 	36 , 	256 , 	238 , 	358 , 	168 , 	65 , 	24 , 	63 , 	9 , 	36 , 	46 , 	93 , 	272 , 	141 , 	16 ," 	6,306 ",,,,,,,,,,,
24, 	60 , 	55 , 	32 , 	78 , 	137 , 	95 , 	147 , 	96 , 	92 , 	92 , 	104 , 	86 , 	33 , 	29 , 	16 , 	17 , 	18 , 	37 , 	31 , 	23 , 	35 , 	21 , 	17 , 	72 , 	105 , 	410 , 	321 ," 	1,479 ", 	743 , 	253 , 	39 , 	204 , 	343 , 	176 , 	87 , 	18 , 	39 , 	8 , 	48 , 	46 , 	131 , 	255 , 	118 , 	13 ," 	6,253 ",,,,,,,,,,,
GP, 	17 , 	33 , 	14 , 	22 , 	58 , 	18 , 	38 , 	30 , 	43 , 	32 , 	28 , 	51 , 	14 , 	14 , 	8 , 	3 , 	9 , 	23 , 	22 , 	15 , 	24 , 	15 , 	8 , 	37 , 	34 , 	231 , 	194 , 	913 , 	275 , 	218 , 	239 , 	24 , 	55 , 	40 , 	35 , 	8 , 	26 , 	6 , 	27 , 	22 , 	66 , 	114 , 	62 , 	8 ," 	3,167 ",,,,,,,,,,,
BP, 	27 , 	40 , 	9 , 	14 , 	51 , 	18 , 	39 , 	21 , 	53 , 	40 , 	47 , 	39 , 	22 , 	29 , 	14 , 	10 , 	14 , 	19 , 	24 , 	15 , 	19 , 	6 , 	9 , 	13 , 	37 , 	314 , 	277 ," 	1,858 ", 	419 , 	324 , 	332 , 	60 , 	39 , 	56 , 	64 , 	10 , 	30 , 	5 , 	37 , 	28 , 	129 , 	101 , 	72 , 	6 ," 	4,783 ",,,,,,,,,,,
