Exit stations,Entry stations->,,SATURDAY,,,Nov 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
LF, 	8 , 	9 , 	8 , 	9 , 	42 , 	8 , 	21 , 	22 , 	34 , 	3 , 	23 , 	17 , 	3 , 	5 , 	4 , 	3 , 	4 , 	9 , 	75 , 	28 , 	49 , 	5 , 	10 , 	65 , 	4 , 	279 , 	187 , 	383 , 	127 , 	35 , 	22 , 	9 , 	9 , 	18 , 	3 , 	3 , 	3 , 	7 , 	25 , 	4 , 	4 , 	68 , 	10 , 	-   ," 	1,656 ",,,CM line," 	32,935 "," 	4,014 "," 	5,558 ",,,,,
OR, 	5 , 	7 , 	5 , 	3 , 	34 , 	6 , 	17 , 	18 , 	33 , 	5 , 	18 , 	15 , 	3 , 	3 , 	1 , 	2 , 	3 , 	5 , 	26 , 	17 , 	34 , 	9 , 	5 , 	43 , 	2 , 	258 , 	159 , 	305 , 	93 , 	26 , 	15 , 	11 , 	6 , 	12 , 	7 , 	3 , 	2 , 	3 , 	10 , 	3 , 	1 , 	49 , 	9 , 	1 ," 	1,285 ",,,RM line," 	16,299 "," 	5,010 "," 	3,928 "," 	3,855 ",,,,
RR, 	15 , 	23 , 	29 , 	23 , 	51 , 	14 , 	50 , 	83 , 	84 , 	18 , 	35 , 	36 , 	14 , 	15 , 	9 , 	8 , 	5 , 	15 , 	42 , 	47 , 	85 , 	54 , 	43 , 	13 , 	18 , 	405 , 	360 , 	680 , 	301 , 	149 , 	98 , 	36 , 	20 , 	23 , 	5 , 	6 , 	6 , 	10 , 	25 , 	3 , 	4 , 	110 , 	22 , 	4 ," 	3,091 ",,,WP line," 	16,094 "," 	2,252 "," 	2,493 "," 	1,777 "," 	2,966 ",,,
OW, 	17 , 	30 , 	9 , 	9 , 	59 , 	35 , 	52 , 	48 , 	77 , 	16 , 	89 , 	70 , 	22 , 	32 , 	27 , 	11 , 	9 , 	8 , 	9 , 	6 , 	5 , 	6 , 	3 , 	11 , 	7 , 	422 , 	358 , 	919 , 	277 , 	152 , 	100 , 	24 , 	37 , 	24 , 	5 , 	6 , 	15 , 	2 , 	19 , 	3 , 	10 , 	39 , 	8 , 	5 ," 	3,085 ",,,FT/ED line," 	18,330 "," 	5,214 "," 	3,366 "," 	4,536 "," 	1,878 "," 	6,635 ",,
EM, 	117 , 	319 , 	245 , 	398 , 	931 , 	289 , 	466 , 	308 , 	385 , 	232 , 	352 , 	260 , 	210 , 	176 , 	115 , 	67 , 	134 , 	288 , 	213 , 	336 , 	499 , 	351 , 	333 , 	569 , 	549 , 	50 , 	50 , 	441 , 	185 , 	512 , 	650 , 	333 , 	471 , 	264 , 	93 , 	174 , 	559 , 	98 , 	171 , 	64 , 	96 , 	378 , 	239 , 	136 ," 	13,100 ",,,SFIA," 	9,400 ", 	856 ," 	4,457 "," 	1,364 "," 	1,567 ", 	998 , 	965 ," 	175,677 "
MT, 	92 , 	262 , 	189 , 	270 , 	643 , 	186 , 	352 , 	245 , 	289 , 	223 , 	259 , 	149 , 	179 , 	167 , 	92 , 	56 , 	109 , 	227 , 	138 , 	211 , 	269 , 	177 , 	162 , 	371 , 	409 , 	37 , 	37 , 	71 , 	115 , 	483 , 	610 , 	448 ," 	1,120 ", 	341 , 	121 , 	101 , 	272 , 	61 , 	147 , 	88 , 	89 , 	302 , 	185 , 	83 ," 	10,434 ",,,,,,,,,,,
PL, 	240 , 	639 , 	348 , 	425 ," 	1,163 ", 	357 , 	676 , 	478 , 	552 , 	491 , 	650 , 	386 , 	396 , 	365 , 	219 , 	164 , 	270 , 	546 , 	302 , 	424 , 	573 , 	372 , 	298 , 	613 , 	933 , 	432 , 	87 , 	138 , 	261 ," 	1,563 "," 	2,018 "," 	1,140 "," 	2,047 "," 	1,279 ", 	409 , 	255 , 	908 , 	151 , 	373 , 	311 , 	316 ," 	1,192 ", 	741 , 	221 ," 	25,715 ",,,,,,,,,,,
CC, 	90 , 	157 , 	137 , 	220 , 	383 , 	209 , 	344 , 	267 , 	246 , 	165 , 	253 , 	151 , 	93 , 	93 , 	65 , 	52 , 	71 , 	136 , 	91 , 	115 , 	171 , 	112 , 	78 , 	276 , 	259 , 	145 , 	81 , 	252 , 	55 , 	607 , 	775 , 	376 , 	600 , 	302 , 	144 , 	69 , 	203 , 	38 , 	104 , 	90 , 	140 , 	499 , 	225 , 	50 ," 	8,987 ",,,,,,,,,,,
16, 	71 , 	76 , 	48 , 	105 , 	231 , 	156 , 	251 , 	189 , 	151 , 	95 , 	131 , 	62 , 	37 , 	43 , 	30 , 	15 , 	19 , 	43 , 	30 , 	43 , 	53 , 	33 , 	25 , 	161 , 	151 , 	465 , 	389 ," 	1,700 ", 	654 , 	33 , 	303 , 	295 , 	459 , 	206 , 	100 , 	20 , 	66 , 	16 , 	57 , 	51 , 	101 , 	210 , 	147 , 	13 ," 	7,531 ",,,,,,,,,,,
24, 	81 , 	90 , 	50 , 	86 , 	197 , 	105 , 	182 , 	128 , 	115 , 	70 , 	118 , 	71 , 	38 , 	31 , 	28 , 	21 , 	17 , 	41 , 	47 , 	28 , 	46 , 	19 , 	16 , 	99 , 	114 , 	540 , 	452 ," 	2,190 ", 	846 , 	267 , 	43 , 	232 , 	474 , 	224 , 	123 , 	16 , 	46 , 	11 , 	52 , 	59 , 	132 , 	208 , 	145 , 	11 ," 	7,906 ",,,,,,,,,,,
