Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Aug 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
LF, 	10 , 	4 , 	5 , 	6 , 	52 , 	9 , 	11 , 	9 , 	35 , 	4 , 	7 , 	80 , 	4 , 	1 , 	1 , 	0 , 	3 , 	4 , 	101 , 	33 , 	47 , 	9 , 	7 , 	50 , 	1 , 	239 , 	112 , 	215 , 	80 , 	14 , 	17 , 	7 , 	8 , 	8 , 	2 , 	1 , 	3 , 	6 , 	16 , 	2 , 	1 , 	26 , 	7 ," 	1,258 ",,,CM line," 	28,517 "," 	2,472 "," 	4,792 ",,,,,
OR, 	5 , 	6 , 	6 , 	3 , 	37 , 	4 , 	8 , 	7 , 	33 , 	2 , 	15 , 	73 , 	4 , 	3 , 	3 , 	1 , 	1 , 	4 , 	28 , 	14 , 	15 , 	6 , 	17 , 	37 , 	3 , 	179 , 	90 , 	172 , 	46 , 	13 , 	15 , 	6 , 	8 , 	8 , 	4 , 	1 , 	3 , 	2 , 	8 , 	1 , 	1 , 	18 , 	7 , 	916 ,,,RM line," 	12,388 "," 	4,327 "," 	3,014 "," 	3,869 ",,,,
RR, 	16 , 	19 , 	17 , 	11 , 	46 , 	12 , 	28 , 	32 , 	70 , 	12 , 	24 , 	101 , 	10 , 	8 , 	9 , 	2 , 	4 , 	12 , 	37 , 	48 , 	80 , 	42 , 	39 , 	9 , 	10 , 	344 , 	273 , 	500 , 	193 , 	72 , 	65 , 	19 , 	15 , 	19 , 	5 , 	3 , 	9 , 	10 , 	24 , 	3 , 	4 , 	41 , 	15 ," 	2,313 ",,,WP line," 	12,421 "," 	1,746 "," 	2,082 "," 	1,620 "," 	3,162 ",,,
OW, 	19 , 	20 , 	4 , 	9 , 	36 , 	27 , 	28 , 	24 , 	68 , 	10 , 	74 , 	72 , 	18 , 	30 , 	14 , 	6 , 	9 , 	9 , 	9 , 	3 , 	7 , 	2 , 	1 , 	9 , 	4 , 	306 , 	235 , 	534 , 	147 , 	70 , 	69 , 	15 , 	23 , 	14 , 	4 , 	3 , 	9 , 	1 , 	11 , 	3 , 	3 , 	15 , 	5 ," 	1,980 ",,,FT/ED line," 	18,026 "," 	5,551 "," 	3,573 "," 	5,503 "," 	2,989 "," 	11,032 ",,
EM, 	81 , 	280 , 	170 , 	236 , 	558 , 	152 , 	299 , 	174 , 	335 , 	166 , 	225 , 	393 , 	181 , 	147 , 	99 , 	67 , 	125 , 	294 , 	215 , 	338 , 	376 , 	258 , 	201 , 	437 , 	330 , 	63 , 	46 , 	217 , 	107 , 	365 , 	526 , 	297 , 	337 , 	195 , 	116 , 	121 , 	780 , 	101 , 	188 , 	45 , 	66 , 	219 , 	208 ," 	10,135 ",,,SFIA," 	5,456 "," 	1,254 "," 	1,434 ", 	752 , 	870 , 	461 , 	418 ," 	150,866 "
MT, 	82 , 	206 , 	132 , 	186 , 	375 , 	140 , 	244 , 	158 , 	372 , 	179 , 	195 , 	255 , 	153 , 	122 , 	64 , 	54 , 	111 , 	233 , 	127 , 	178 , 	200 , 	113 , 	82 , 	285 , 	253 , 	37 , 	34 , 	82 , 	85 , 	496 , 	604 , 	561 ," 	1,454 ", 	287 , 	149 , 	67 , 	277 , 	38 , 	116 , 	43 , 	43 , 	171 , 	121 ," 	9,162 ",,,,,,,,,,,
PL, 	192 , 	525 , 	260 , 	306 ," 	1,105 ", 	282 , 	467 , 	283 , 	593 , 	342 , 	473 , 	739 , 	310 , 	260 , 	171 , 	144 , 	227 , 	518 , 	243 , 	345 , 	413 , 	225 , 	158 , 	471 , 	547 , 	215 , 	73 , 	116 , 	230 ," 	1,079 "," 	1,578 ", 	930 ," 	1,554 ", 	789 , 	443 , 	126 , 	875 , 	109 , 	280 , 	151 , 	153 , 	772 , 	400 ," 	19,474 ",,,,,,,,,,,
CC, 	60 , 	169 , 	88 , 	138 , 	393 , 	161 , 	233 , 	156 , 	201 , 	129 , 	188 , 	250 , 	116 , 	99 , 	62 , 	39 , 	68 , 	173 , 	111 , 	118 , 	144 , 	81 , 	52 , 	191 , 	161 , 	86 , 	76 , 	192 , 	71 , 	633 , 	796 , 	343 , 	672 , 	294 , 	190 , 	55 , 	269 , 	42 , 	91 , 	54 , 	78 , 	286 , 	160 ," 	7,969 ",,,,,,,,,,,
16, 	61 , 	63 , 	25 , 	60 , 	171 , 	73 , 	111 , 	65 , 	89 , 	48 , 	100 , 	93 , 	30 , 	28 , 	25 , 	21 , 	15 , 	34 , 	30 , 	23 , 	29 , 	16 , 	13 , 	77 , 	73 , 	244 , 	313 ," 	1,182 ", 	632 , 	31 , 	207 , 	184 , 	372 , 	158 , 	80 , 	5 , 	31 , 	6 , 	37 , 	21 , 	56 , 	69 , 	47 ," 	5,048 ",,,,,,,,,,,
24, 	116 , 	90 , 	30 , 	55 , 	138 , 	74 , 	106 , 	70 , 	78 , 	37 , 	148 , 	118 , 	45 , 	35 , 	31 , 	27 , 	23 , 	28 , 	57 , 	32 , 	32 , 	16 , 	10 , 	74 , 	73 , 	373 , 	424 ," 	1,624 ", 	774 , 	213 , 	51 , 	183 , 	406 , 	218 , 	162 , 	11 , 	36 , 	9 , 	71 , 	43 , 	75 , 	68 , 	57 ," 	6,339 ",,,,,,,,,,,
GP, 	19 , 	29 , 	13 , 	21 , 	60 , 	12 , 	30 , 	18 , 	46 , 	19 , 	23 , 	73 , 	21 , 	14 , 	5 , 	6 , 	13 , 	18 , 	26 , 	13 , 	16 , 	7 , 	4 , 	24 , 	19 , 	252 , 	281 ," 	1,175 ", 	303 , 	163 , 	187 , 	23 , 	76 , 	42 , 	49 , 	4 , 	24 , 	5 , 	24 , 	10 , 	21 , 	47 , 	29 ," 	3,265 ",,,,,,,,,,,
