Exit stations,Entry stations->,,ADJUSTED SATURDAY,,,Dec 05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,
OR, 	4 , 	6 , 	5 , 	5 , 	28 , 	5 , 	13 , 	12 , 	31 , 	9 , 	13 , 	31 , 	5 , 	2 , 	1 , 	1 , 	1 , 	5 , 	28 , 	15 , 	26 , 	10 , 	5 , 	35 , 	4 , 	189 , 	119 , 	359 , 	128 , 	22 , 	14 , 	8 , 	5 , 	10 , 	2 , 	1 , 	1 , 	4 , 	10 , 	2 , 	2 , 	27 , 	6 ," 	1,209 ",,,,,,,,,,
RR, 	11 , 	16 , 	19 , 	15 , 	42 , 	13 , 	34 , 	46 , 	71 , 	15 , 	28 , 	43 , 	9 , 	15 , 	7 , 	3 , 	5 , 	16 , 	31 , 	46 , 	78 , 	37 , 	33 , 	11 , 	16 , 	329 , 	279 , 	714 , 	320 , 	95 , 	83 , 	28 , 	15 , 	21 , 	3 , 	4 , 	14 , 	6 , 	19 , 	4 , 	2 , 	41 , 	15 ," 	2,653 ",,,,,,,,,,
OW, 	20 , 	28 , 	11 , 	9 , 	63 , 	37 , 	53 , 	33 , 	101 , 	14 , 	89 , 	70 , 	22 , 	34 , 	23 , 	10 , 	11 , 	14 , 	6 , 	6 , 	4 , 	2 , 	4 , 	14 , 	8 , 	298 , 	295 , 	898 , 	242 , 	101 , 	100 , 	19 , 	27 , 	17 , 	5 , 	6 , 	16 , 	2 , 	20 , 	5 , 	4 , 	25 , 	6 ," 	2,771 ",,,,,,,,,,
EM, 	82 , 	271 , 	178 , 	242 , 	388 , 	173 , 	311 , 	167 , 	294 , 	238 , 	293 , 	357 , 	187 , 	198 , 	136 , 	91 , 	188 , 	401 , 	179 , 	298 , 	358 , 	224 , 	233 , 	428 , 	358 , 	58 , 	56 , 	441 , 	188 , 	467 , 	534 , 	313 , 	396 , 	332 , 	125 , 	147 , 	530 , 	66 , 	184 , 	90 , 	81 , 	195 , 	261 ," 	10,737 ",,,,,,,,,,
MT, 	73 , 	210 , 	136 , 	184 , 	274 , 	147 , 	244 , 	148 , 	288 , 	207 , 	218 , 	175 , 	136 , 	122 , 	67 , 	50 , 	92 , 	177 , 	108 , 	158 , 	187 , 	124 , 	136 , 	281 , 	311 , 	47 , 	29 , 	85 , 	99 , 	485 , 	618 , 	504 ," 	1,331 ", 	298 , 	108 , 	94 , 	264 , 	30 , 	101 , 	67 , 	57 , 	133 , 	136 ," 	8,741 ",,,,,,,,,,
PL, 	188 , 	590 , 	372 , 	384 , 	871 , 	331 , 	668 , 	328 , 	531 , 	424 , 	643 , 	578 , 	371 , 	347 , 	194 , 	161 , 	292 , 	581 , 	266 , 	501 , 	649 , 	354 , 	371 , 	708 , 	863 , 	456 , 	93 , 	125 , 	407 ," 	1,456 "," 	2,028 "," 	1,179 "," 	1,818 "," 	1,071 ", 	383 , 	292 ," 	1,249 ", 	114 , 	328 , 	255 , 	239 , 	735 , 	654 ," 	24,446 ",,,,,,,,,,
CC, 	69 , 	173 , 	133 , 	194 , 	321 , 	196 , 	319 , 	160 , 	196 , 	165 , 	223 , 	223 , 	101 , 	94 , 	60 , 	42 , 	65 , 	143 , 	101 , 	160 , 	224 , 	145 , 	134 , 	304 , 	240 , 	156 , 	85 , 	351 , 	52 , 	756 , 	816 , 	362 , 	675 , 	329 , 	155 , 	90 , 	336 , 	57 , 	104 , 	79 , 	116 , 	283 , 	201 ," 	9,189 ",,,,,,,,,,
16, 	76 , 	71 , 	48 , 	77 , 	141 , 	111 , 	150 , 	88 , 	92 , 	64 , 	120 , 	73 , 	44 , 	32 , 	33 , 	12 , 	13 , 	36 , 	33 , 	26 , 	32 , 	25 , 	22 , 	115 , 	104 , 	376 , 	348 ," 	1,582 ", 	826 , 	29 , 	278 , 	205 , 	437 , 	179 , 	85 , 	16 , 	41 , 	9 , 	39 , 	32 , 	71 , 	76 , 	73 ," 	6,340 ",,,,,,,,,,
24, 	94 , 	102 , 	36 , 	72 , 	114 , 	90 , 	147 , 	71 , 	81 , 	57 , 	163 , 	100 , 	41 , 	36 , 	30 , 	19 , 	14 , 	29 , 	41 , 	31 , 	27 , 	20 , 	16 , 	91 , 	107 , 	454 , 	420 ," 	2,138 ", 	889 , 	275 , 	43 , 	204 , 	439 , 	205 , 	121 , 	17 , 	44 , 	7 , 	59 , 	52 , 	124 , 	83 , 	70 ," 	7,272 ",,,,,,,,,,
GP, 	15 , 	31 , 	9 , 	22 , 	50 , 	20 , 	28 , 	21 , 	39 , 	25 , 	28 , 	47 , 	13 , 	13 , 	10 , 	6 , 	8 , 	14 , 	13 , 	24 , 	19 , 	10 , 	9 , 	30 , 	23 , 	266 , 	275 ," 	1,454 ", 	315 , 	192 , 	179 , 	24 , 	81 , 	50 , 	36 , 	7 , 	17 , 	7 , 	27 , 	14 , 	38 , 	47 , 	32 ," 	3,590 ",,,,,,,,,,
