Exit stations,Entry stations->,,SATURDAY,,,Feb 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
GP, 	13 , 	38 , 	18 , 	21 , 	93 , 	30 , 	39 , 	56 , 	47 , 	24 , 	38 , 	65 , 	18 , 	13 , 	13 , 	8 , 	6 , 	14 , 	13 , 	29 , 	22 , 	11 , 	11 , 	43 , 	36 , 	314 , 	387 ," 	1,256 ", 	359 , 	275 , 	248 , 	24 , 	73 , 	54 , 	45 , 	9 , 	18 , 	3 , 	22 , 	18 , 	63 , 	70 , 	64 , 	9 ," 	4,024 ",,,,,,,,,,,
BP, 	31 , 	57 , 	16 , 	25 , 	81 , 	23 , 	40 , 	49 , 	68 , 	34 , 	56 , 	69 , 	24 , 	27 , 	21 , 	14 , 	13 , 	25 , 	16 , 	20 , 	15 , 	5 , 	7 , 	17 , 	37 , 	441 , 	577 ," 	2,395 ", 	546 , 	424 , 	419 , 	63 , 	40 , 	78 , 	68 , 	9 , 	26 , 	5 , 	27 , 	35 , 	135 , 	71 , 	83 , 	12 ," 	6,238 ",,,,,,,,,,,
DC, 	25 , 	46 , 	14 , 	18 , 	88 , 	28 , 	34 , 	52 , 	47 , 	28 , 	49 , 	138 , 	22 , 	27 , 	22 , 	16 , 	18 , 	41 , 	22 , 	27 , 	26 , 	12 , 	9 , 	25 , 	36 , 	309 , 	450 ," 	1,508 ", 	391 , 	263 , 	280 , 	64 , 	76 , 	26 , 	37 , 	13 , 	40 , 	5 , 	30 , 	37 , 	114 , 	111 , 	101 , 	13 ," 	4,733 ",,,,,,,,,,,
CM, 	8 , 	22 , 	8 , 	5 , 	16 , 	6 , 	13 , 	12 , 	18 , 	5 , 	9 , 	23 , 	8 , 	8 , 	6 , 	3 , 	5 , 	5 , 	9 , 	11 , 	13 , 	5 , 	2 , 	6 , 	9 , 	100 , 	124 , 	428 , 	148 , 	91 , 	100 , 	40 , 	74 , 	38 , 	12 , 	4 , 	9 , 	3 , 	20 , 	9 , 	60 , 	75 , 	45 , 	3 ," 	1,611 ",,,,,,,,,,,
CV, 	3 , 	9 , 	5 , 	7 , 	30 , 	9 , 	10 , 	13 , 	18 , 	49 , 	50 , 	163 , 	33 , 	63 , 	24 , 	13 , 	13 , 	17 , 	2 , 	3 , 	3 , 	1 , 	1 , 	6 , 	8 , 	140 , 	124 , 	230 , 	82 , 	30 , 	24 , 	8 , 	14 , 	14 , 	6 , 	4 , 	57 , 	1 , 	4 , 	3 , 	3 , 	14 , 	3 , 	78 ," 	1,386 ",,,,,,,,,,,
ED, 	11 , 	15 , 	6 , 	9 , 	76 , 	14 , 	26 , 	40 , 	31 , 	67 , 	81 , 	414 , 	36 , 	109 , 	41 , 	26 , 	30 , 	67 , 	7 , 	6 , 	8 , 	3 , 	1 , 	7 , 	18 , 	491 , 	318 , 	700 , 	202 , 	76 , 	51 , 	18 , 	27 , 	48 , 	7 , 	61 , 	36 , 	2 , 	9 , 	6 , 	6 , 	80 , 	14 , 	22 ," 	3,321 ",,,,,,,,,,,
NC, 	2 , 	4 , 	4 , 	2 , 	14 , 	4 , 	8 , 	13 , 	13 , 	3 , 	6 , 	7 , 	2 , 	1 , 	3 , 	1 , 	3 , 	4 , 	18 , 	6 , 	18 , 	8 , 	2 , 	8 , 	0 , 	79 , 	78 , 	116 , 	40 , 	10 , 	8 , 	4 , 	4 , 	5 , 	1 , 	1 , 	1 , 	7 , 	52 , 	2 , 	3 , 	21 , 	5 , 	1 , 	587 ,,,,,,,,,,,
WP, 	34 , 	31 , 	7 , 	9 , 	45 , 	19 , 	81 , 	41 , 	59 , 	12 , 	50 , 	79 , 	17 , 	23 , 	22 , 	8 , 	9 , 	24 , 	162 , 	58 , 	105 , 	22 , 	14 , 	26 , 	26 , 	161 , 	134 , 	300 , 	106 , 	44 , 	57 , 	28 , 	36 , 	33 , 	21 , 	7 , 	6 , 	47 , 	28 , 	15 , 	15 , 	56 , 	15 , 	3 ," 	2,091 ",,,,,,,,,,,
SS, 	4 , 	9 , 	6 , 	5 , 	16 , 	2 , 	7 , 	8 , 	17 , 	7 , 	11 , 	30 , 	4 , 	7 , 	4 , 	5 , 	5 , 	2 , 	7 , 	6 , 	8 , 	3 , 	1 , 	5 , 	8 , 	93 , 	110 , 	334 , 	98 , 	66 , 	72 , 	19 , 	42 , 	40 , 	12 , 	4 , 	4 , 	2 , 	14 , 	9 , 	34 , 	26 , 	20 , 	3 ," 	1,186 ",,,,,,,,,,,
SB, 	11 , 	20 , 	3 , 	5 , 	15 , 	5 , 	12 , 	12 , 	19 , 	5 , 	22 , 	32 , 	8 , 	13 , 	9 , 	4 , 	4 , 	5 , 	11 , 	11 , 	9 , 	4 , 	3 , 	5 , 	14 , 	96 , 	116 , 	365 , 	164 , 	109 , 	123 , 	71 , 	134 , 	116 , 	56 , 	2 , 	6 , 	3 , 	17 , 	38 , 	11 , 	45 , 	31 , 	1 ," 	1,762 ",,,,,,,,,,,
