Exit stations,Entry stations->,,SATURDAY,,,Jul 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	11 , 	20 , 	21 , 	14 , 	63 , 	23 , 	31 , 	17 , 	18 , 	6 , 	31 , 	21 , 	11 , 	7 , 	8 , 	6 , 	3 , 	4 , 	3 , 	5 , 	4 , 	3 , 	1 , 	4 , 	6 , 	61 , 	41 , 	125 , 	52 , 	40 , 	51 , 	8 , 	11 , 	11 , 	5 , 	1 , 	3 , 	0 , 	3 , 	3 , 	5 , 	13 , 	3 , 	1 , 	3 , 	4 , 	4 , 	4 , 	2 , 	3 , 	798 ,,,,,,,,,,
LF, 	3 , 	2 , 	1 , 	1 , 	4 , 	3 , 	10 , 	10 , 	8 , 	1 , 	3 , 	14 , 	2 , 	1 , 	2 , 	-   , 	0 , 	1 , 	33 , 	17 , 	15 , 	3 , 	6 , 	16 , 	1 , 	70 , 	31 , 	34 , 	25 , 	14 , 	10 , 	4 , 	2 , 	4 , 	1 , 	0 , 	0 , 	3 , 	9 , 	0 , 	0 , 	17 , 	2 , 	-   , 	4 , 	1 , 	0 , 	1 , 	7 , 	2 , 	399 ,,,,,,,,,,
OR, 	2 , 	1 , 	1 , 	1 , 	5 , 	1 , 	6 , 	6 , 	4 , 	0 , 	5 , 	12 , 	1 , 	2 , 	1 , 	1 , 	1 , 	-   , 	7 , 	5 , 	8 , 	6 , 	4 , 	16 , 	1 , 	71 , 	30 , 	32 , 	23 , 	13 , 	5 , 	4 , 	3 , 	3 , 	0 , 	-   , 	-   , 	1 , 	4 , 	1 , 	1 , 	15 , 	1 , 	0 , 	3 , 	-   , 	-   , 	1 , 	4 , 	2 , 	311 ,,,,,,,,,,
RR, 	3 , 	9 , 	6 , 	3 , 	3 , 	3 , 	15 , 	24 , 	17 , 	5 , 	16 , 	17 , 	9 , 	4 , 	3 , 	3 , 	3 , 	3 , 	21 , 	19 , 	27 , 	20 , 	22 , 	10 , 	9 , 	122 , 	64 , 	101 , 	54 , 	61 , 	33 , 	18 , 	8 , 	8 , 	3 , 	1 , 	2 , 	2 , 	4 , 	2 , 	3 , 	30 , 	4 , 	0 , 	6 , 	1 , 	1 , 	2 , 	3 , 	9 , 	811 ,,,,,,,,,,
OW, 	4 , 	5 , 	2 , 	3 , 	14 , 	5 , 	14 , 	11 , 	16 , 	6 , 	29 , 	16 , 	8 , 	11 , 	5 , 	3 , 	1 , 	1 , 	3 , 	3 , 	6 , 	2 , 	1 , 	5 , 	13 , 	224 , 	119 , 	250 , 	111 , 	89 , 	61 , 	14 , 	16 , 	12 , 	1 , 	3 , 	5 , 	1 , 	4 , 	4 , 	8 , 	28 , 	4 , 	4 , 	2 , 	2 , 	1 , 	3 , 	1 , 	3 ," 	1,157 ",,,,,,,,,,
EM, 	82 , 	124 , 	72 , 	90 , 	151 , 	70 , 	158 , 	150 , 	148 , 	98 , 	117 , 	101 , 	88 , 	85 , 	39 , 	35 , 	59 , 	78 , 	96 , 	138 , 	159 , 	90 , 	82 , 	150 , 	260 , 	84 , 	11 , 	73 , 	33 , 	131 , 	177 , 	88 , 	121 , 	120 , 	38 , 	62 , 	289 , 	34 , 	59 , 	35 , 	42 , 	104 , 	56 , 	74 , 	32 , 	33 , 	35 , 	37 , 	9 , 	58 ," 	4,553 ",,,,,,,,,,
MT, 	53 , 	78 , 	35 , 	48 , 	109 , 	47 , 	118 , 	116 , 	116 , 	83 , 	94 , 	57 , 	70 , 	78 , 	19 , 	18 , 	25 , 	33 , 	44 , 	66 , 	66 , 	38 , 	32 , 	82 , 	147 , 	13 , 	46 , 	10 , 	17 , 	104 , 	141 , 	86 , 	190 , 	89 , 	42 , 	36 , 	83 , 	16 , 	40 , 	21 , 	29 , 	100 , 	24 , 	29 , 	18 , 	15 , 	17 , 	16 , 	4 , 	27 ," 	2,887 ",,,,,,,,,,
PL, 	99 , 	122 , 	66 , 	57 , 	117 , 	49 , 	119 , 	122 , 	146 , 	107 , 	140 , 	108 , 	102 , 	87 , 	42 , 	26 , 	44 , 	42 , 	75 , 	65 , 	79 , 	31 , 	29 , 	80 , 	238 , 	78 , 	12 , 	79 , 	29 , 	270 , 	322 , 	176 , 	321 , 	247 , 	82 , 	39 , 	129 , 	22 , 	61 , 	54 , 	68 , 	278 , 	62 , 	38 , 	36 , 	19 , 	26 , 	33 , 	19 , 	42 ," 	4,731 ",,,,,,,,,,
CC, 	49 , 	50 , 	29 , 	36 , 	85 , 	42 , 	98 , 	96 , 	79 , 	58 , 	107 , 	53 , 	51 , 	32 , 	27 , 	9 , 	15 , 	29 , 	27 , 	28 , 	49 , 	29 , 	18 , 	56 , 	121 , 	36 , 	15 , 	25 , 	44 , 	80 , 	100 , 	63 , 	96 , 	98 , 	48 , 	17 , 	54 , 	6 , 	18 , 	28 , 	42 , 	100 , 	40 , 	18 , 	10 , 	9 , 	17 , 	22 , 	6 , 	14 ," 	2,280 ",,,,,,,,,,
16, 	45 , 	38 , 	19 , 	38 , 	67 , 	36 , 	93 , 	104 , 	75 , 	57 , 	64 , 	39 , 	27 , 	22 , 	13 , 	6 , 	12 , 	13 , 	20 , 	20 , 	28 , 	11 , 	12 , 	54 , 	103 , 	133 , 	95 , 	302 , 	93 , 	49 , 	29 , 	59 , 	85 , 	79 , 	40 , 	9 , 	31 , 	5 , 	12 , 	23 , 	45 , 	63 , 	39 , 	19 , 	6 , 	4 , 	8 , 	13 , 	8 , 	14 ," 	2,280 ",,,,,,,,,,
24, 	49 , 	48 , 	17 , 	18 , 	41 , 	26 , 	55 , 	62 , 	46 , 	34 , 	54 , 	39 , 	24 , 	18 , 	9 , 	9 , 	6 , 	7 , 	23 , 	10 , 	15 , 	8 , 	9 , 	34 , 	74 , 	150 , 	117 , 	392 , 	119 , 	23 , 	49 , 	60 , 	81 , 	73 , 	42 , 	4 , 	19 , 	4 , 	18 , 	26 , 	49 , 	45 , 	32 , 	7 , 	9 , 	5 , 	6 , 	11 , 	5 , 	7 ," 	2,087 ",,,,,,,,,,
