Exit stations,Entry stations->,,WEEKDAY,,,Jul 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
16, 	75 , 	77 , 	34 , 	45 , 	65 , 	49 , 	102 , 	94 , 	76 , 	70 , 	96 , 	57 , 	51 , 	42 , 	31 , 	21 , 	22 , 	24 , 	44 , 	36 , 	40 , 	16 , 	14 , 	50 , 	115 , 	183 , 	209 , 	318 , 	144 , 	19 , 	45 , 	95 , 	148 , 	127 , 	66 , 	15 , 	40 , 	13 , 	59 , 	45 , 	49 , 	89 , 	61 , 	15 , 	11 , 	9 , 	9 , 	10 , 	17 , 	38 ," 	3,176 ",,,,,,,,,,,,,
24, 	78 , 	80 , 	28 , 	30 , 	51 , 	29 , 	67 , 	65 , 	65 , 	42 , 	84 , 	53 , 	40 , 	26 , 	18 , 	17 , 	11 , 	13 , 	37 , 	24 , 	22 , 	13 , 	6 , 	29 , 	85 , 	244 , 	301 , 	450 , 	222 , 	43 , 	21 , 	82 , 	115 , 	100 , 	59 , 	6 , 	21 , 	12 , 	41 , 	47 , 	54 , 	65 , 	51 , 	11 , 	11 , 	4 , 	5 , 	7 , 	13 , 	28 ," 	3,024 ",,,,,,,,,,,,,
GP, 	20 , 	21 , 	8 , 	7 , 	18 , 	8 , 	20 , 	24 , 	32 , 	18 , 	19 , 	13 , 	11 , 	12 , 	8 , 	5 , 	3 , 	3 , 	13 , 	12 , 	6 , 	5 , 	3 , 	16 , 	20 , 	151 , 	194 , 	258 , 	134 , 	88 , 	79 , 	8 , 	20 , 	22 , 	21 , 	5 , 	8 , 	3 , 	16 , 	14 , 	26 , 	39 , 	25 , 	5 , 	7 , 	2 , 	1 , 	1 , 	3 , 	17 ," 	1,472 ",,,,,,,,,,,,,
BP, 	23 , 	26 , 	6 , 	5 , 	18 , 	9 , 	16 , 	21 , 	37 , 	20 , 	23 , 	19 , 	14 , 	12 , 	8 , 	5 , 	5 , 	4 , 	11 , 	5 , 	10 , 	2 , 	3 , 	6 , 	24 , 	214 , 	277 , 	542 , 	235 , 	125 , 	102 , 	22 , 	10 , 	19 , 	29 , 	4 , 	14 , 	2 , 	14 , 	23 , 	43 , 	41 , 	35 , 	4 , 	4 , 	1 , 	2 , 	3 , 	3 , 	10 ," 	2,110 ",,,,,,,,,,,,,
DC, 	16 , 	25 , 	5 , 	8 , 	14 , 	4 , 	17 , 	21 , 	35 , 	16 , 	21 , 	23 , 	15 , 	10 , 	12 , 	6 , 	8 , 	6 , 	10 , 	9 , 	12 , 	3 , 	4 , 	6 , 	16 , 	240 , 	253 , 	381 , 	228 , 	132 , 	97 , 	23 , 	24 , 	14 , 	12 , 	6 , 	20 , 	3 , 	11 , 	19 , 	45 , 	72 , 	41 , 	4 , 	6 , 	5 , 	3 , 	2 , 	6 , 	17 ," 	1,985 ",,,,,,,,,,,,,
CM, 	6 , 	8 , 	1 , 	3 , 	4 , 	2 , 	6 , 	6 , 	15 , 	2 , 	5 , 	3 , 	3 , 	2 , 	2 , 	4 , 	2 , 	2 , 	7 , 	3 , 	5 , 	2 , 	1 , 	2 , 	5 , 	78 , 	96 , 	147 , 	103 , 	58 , 	54 , 	21 , 	32 , 	11 , 	5 , 	1 , 	3 , 	1 , 	7 , 	6 , 	19 , 	61 , 	23 , 	0 , 	1 , 	1 , 	0 , 	0 , 	3 , 	8 , 	843 ,,,,,,,,,,,,,
CV, 	1 , 	1 , 	3 , 	2 , 	5 , 	2 , 	6 , 	5 , 	8 , 	38 , 	22 , 	24 , 	22 , 	13 , 	9 , 	5 , 	5 , 	5 , 	1 , 	1 , 	2 , 	0 , 	1 , 	2 , 	6 , 	70 , 	71 , 	57 , 	43 , 	15 , 	7 , 	5 , 	4 , 	5 , 	1 , 	5 , 	32 , 	1 , 	0 , 	1 , 	3 , 	5 , 	1 , 	21 , 	3 , 	2 , 	1 , 	1 , 	0 , 	0 , 	544 ,,,,,,,,,,,,,
ED, 	4 , 	9 , 	3 , 	3 , 	19 , 	6 , 	13 , 	13 , 	14 , 	54 , 	61 , 	64 , 	38 , 	49 , 	21 , 	10 , 	16 , 	12 , 	4 , 	2 , 	2 , 	0 , 	0 , 	3 , 	9 , 	226 , 	148 , 	143 , 	104 , 	40 , 	22 , 	8 , 	14 , 	19 , 	3 , 	33 , 	17 , 	1 , 	2 , 	3 , 	2 , 	40 , 	3 , 	9 , 	30 , 	7 , 	6 , 	7 , 	1 , 	1 ," 	1,320 ",,,,,,,,,,,,,
NC, 	2 , 	2 , 	1 , 	1 , 	4 , 	0 , 	5 , 	8 , 	13 , 	2 , 	1 , 	5 , 	3 , 	2 , 	1 , 	1 , 	0 , 	0 , 	9 , 	7 , 	11 , 	1 , 	1 , 	6 , 	1 , 	43 , 	41 , 	41 , 	41 , 	10 , 	12 , 	3 , 	3 , 	3 , 	1 , 	1 , 	1 , 	2 , 	11 , 	3 , 	1 , 	16 , 	1 , 	0 , 	6 , 	0 , 	0 , 	0 , 	7 , 	8 , 	346 ,,,,,,,,,,,,,
WP, 	6 , 	7 , 	3 , 	3 , 	13 , 	4 , 	36 , 	29 , 	41 , 	3 , 	8 , 	9 , 	6 , 	4 , 	3 , 	3 , 	2 , 	3 , 	63 , 	28 , 	45 , 	8 , 	7 , 	13 , 	8 , 	112 , 	106 , 	164 , 	123 , 	63 , 	44 , 	15 , 	14 , 	11 , 	8 , 	0 , 	1 , 	11 , 	12 , 	9 , 	9 , 	41 , 	2 , 	0 , 	11 , 	3 , 	1 , 	1 , 	5 , 	12 ," 	1,133 ",,,,,,,,,,,,,
SS, 	6 , 	11 , 	2 , 	4 , 	7 , 	2 , 	12 , 	8 , 	14 , 	4 , 	5 , 	3 , 	4 , 	6 , 	4 , 	1 , 	1 , 	1 , 	5 , 	6 , 	8 , 	1 , 	1 , 	1 , 	10 , 	67 , 	84 , 	110 , 	75 , 	51 , 	48 , 	14 , 	26 , 	22 , 	8 , 	1 , 	3 , 	3 , 	9 , 	6 , 	8 , 	22 , 	17 , 	1 , 	1 , 	1 , 	1 , 	0 , 	1 , 	10 , 	713 ,,,,,,,,,,,,,
SB, 	11 , 	12 , 	2 , 	2 , 	8 , 	6 , 	6 , 	7 , 	11 , 	2 , 	11 , 	9 , 	6 , 	6 , 	6 , 	3 , 	1 , 	3 , 	10 , 	7 , 	6 , 	3 , 	2 , 	4 , 	9 , 	60 , 	64 , 	106 , 	74 , 	56 , 	52 , 	28 , 	41 , 	47 , 	18 , 	3 , 	2 , 	2 , 	10 , 	9 , 	8 , 	28 , 	12 , 	1 , 	2 , 	1 , 	0 , 	0 , 	3 , 	7 , 	784 ,,,,,,,,,,,,,
