Exit stations,Entry stations->,,SUNDAY,,,Aug 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
RR, 	3 , 	3 , 	4 , 	0 , 	2 , 	1 , 	7 , 	8 , 	9 , 	4 , 	8 , 	2 , 	3 , 	2 , 	2 , 	-   , 	1 , 	0 , 	6 , 	6 , 	10 , 	4 , 	3 , 	2 , 	3 , 	15 , 	12 , 	16 , 	14 , 	11 , 	6 , 	3 , 	2 , 	1 , 	0 , 	-   , 	-   , 	1 , 	3 , 	0 , 	1 , 	7 , 	2 , 	-   , 	1 , 	0 , 	1 , 	0 , 	1 , 	2 , 	193 ,,,,,,,,,,,
OW, 	2 , 	3 , 	1 , 	2 , 	9 , 	3 , 	6 , 	5 , 	8 , 	6 , 	17 , 	10 , 	3 , 	8 , 	2 , 	2 , 	2 , 	1 , 	3 , 	1 , 	2 , 	-   , 	0 , 	3 , 	5 , 	66 , 	35 , 	97 , 	54 , 	35 , 	21 , 	6 , 	11 , 	7 , 	2 , 	3 , 	2 , 	0 , 	1 , 	2 , 	4 , 	15 , 	1 , 	1 , 	3 , 	1 , 	0 , 	2 , 	1 , 	3 , 	474 ,,,,,,,,,,,
EM, 	28 , 	30 , 	12 , 	13 , 	24 , 	11 , 	27 , 	27 , 	44 , 	32 , 	47 , 	22 , 	23 , 	26 , 	8 , 	8 , 	6 , 	9 , 	23 , 	16 , 	15 , 	6 , 	5 , 	14 , 	68 , 	8 , 	5 , 	11 , 	10 , 	22 , 	27 , 	15 , 	30 , 	23 , 	7 , 	10 , 	28 , 	5 , 	14 , 	7 , 	5 , 	17 , 	3 , 	7 , 	4 , 	3 , 	4 , 	6 , 	6 , 	12 , 	833 ,,,,,,,,,,,
MT, 	24 , 	33 , 	11 , 	8 , 	18 , 	11 , 	21 , 	23 , 	30 , 	56 , 	76 , 	46 , 	38 , 	56 , 	12 , 	11 , 	10 , 	16 , 	14 , 	14 , 	10 , 	3 , 	3 , 	12 , 	71 , 	7 , 	8 , 	7 , 	9 , 	21 , 	22 , 	20 , 	54 , 	27 , 	10 , 	17 , 	30 , 	3 , 	13 , 	5 , 	9 , 	16 , 	7 , 	11 , 	7 , 	4 , 	5 , 	9 , 	5 , 	7 , 	960 ,,,,,,,,,,,
PL, 	45 , 	48 , 	16 , 	8 , 	26 , 	17 , 	38 , 	43 , 	51 , 	24 , 	39 , 	22 , 	20 , 	27 , 	4 , 	4 , 	4 , 	6 , 	27 , 	18 , 	20 , 	5 , 	5 , 	15 , 	76 , 	6 , 	2 , 	23 , 	10 , 	67 , 	89 , 	48 , 	115 , 	87 , 	26 , 	8 , 	15 , 	6 , 	22 , 	12 , 	16 , 	43 , 	14 , 	4 , 	3 , 	2 , 	1 , 	5 , 	6 , 	10 ," 	1,248 ",,,,,,,,,,,
CC, 	23 , 	25 , 	7 , 	5 , 	22 , 	12 , 	31 , 	29 , 	33 , 	19 , 	44 , 	20 , 	10 , 	15 , 	3 , 	2 , 	3 , 	5 , 	17 , 	12 , 	8 , 	5 , 	2 , 	12 , 	57 , 	7 , 	9 , 	12 , 	17 , 	31 , 	41 , 	28 , 	64 , 	48 , 	18 , 	5 , 	6 , 	2 , 	8 , 	13 , 	13 , 	36 , 	11 , 	4 , 	4 , 	1 , 	2 , 	3 , 	2 , 	8 , 	814 ,,,,,,,,,,,
16, 	28 , 	19 , 	5 , 	4 , 	17 , 	12 , 	23 , 	23 , 	26 , 	17 , 	28 , 	10 , 	8 , 	10 , 	3 , 	3 , 	2 , 	2 , 	9 , 	5 , 	5 , 	4 , 	4 , 	7 , 	36 , 	24 , 	24 , 	85 , 	43 , 	10 , 	8 , 	21 , 	44 , 	40 , 	19 , 	2 , 	6 , 	1 , 	8 , 	7 , 	13 , 	23 , 	11 , 	2 , 	2 , 	1 , 	1 , 	8 , 	5 , 	7 , 	723 ,,,,,,,,,,,
24, 	22 , 	18 , 	5 , 	5 , 	11 , 	6 , 	15 , 	13 , 	15 , 	16 , 	23 , 	11 , 	8 , 	9 , 	2 , 	3 , 	3 , 	1 , 	9 , 	5 , 	6 , 	1 , 	1 , 	6 , 	27 , 	28 , 	24 , 	114 , 	66 , 	10 , 	11 , 	18 , 	36 , 	26 , 	17 , 	1 , 	4 , 	3 , 	11 , 	14 , 	18 , 	20 , 	10 , 	0 , 	3 , 	0 , 	1 , 	5 , 	3 , 	5 , 	691 ,,,,,,,,,,,
GP, 	6 , 	8 , 	2 , 	1 , 	3 , 	3 , 	7 , 	5 , 	3 , 	2 , 	6 , 	4 , 	3 , 	2 , 	0 , 	0 , 	0 , 	0 , 	5 , 	3 , 	3 , 	1 , 	2 , 	3 , 	5 , 	14 , 	15 , 	61 , 	26 , 	17 , 	21 , 	6 , 	6 , 	7 , 	7 , 	2 , 	3 , 	0 , 	3 , 	3 , 	6 , 	11 , 	5 , 	1 , 	0 , 	0 , 	-   , 	1 , 	0 , 	3 , 	294 ,,,,,,,,,,,
BP, 	6 , 	10 , 	3 , 	1 , 	5 , 	2 , 	8 , 	4 , 	7 , 	6 , 	6 , 	4 , 	3 , 	4 , 	2 , 	1 , 	1 , 	2 , 	5 , 	2 , 	4 , 	0 , 	1 , 	2 , 	12 , 	28 , 	28 , 	152 , 	63 , 	43 , 	35 , 	8 , 	8 , 	8 , 	5 , 	1 , 	4 , 	0 , 	6 , 	6 , 	15 , 	25 , 	12 , 	1 , 	1 , 	1 , 	2 , 	2 , 	2 , 	3 , 	560 ,,,,,,,,,,,
DC, 	6 , 	4 , 	1 , 	3 , 	2 , 	1 , 	5 , 	6 , 	6 , 	6 , 	8 , 	3 , 	4 , 	3 , 	2 , 	2 , 	1 , 	2 , 	2 , 	3 , 	3 , 	0 , 	1 , 	1 , 	8 , 	25 , 	16 , 	118 , 	48 , 	38 , 	28 , 	5 , 	8 , 	9 , 	3 , 	1 , 	5 , 	1 , 	4 , 	2 , 	9 , 	29 , 	12 , 	1 , 	1 , 	2 , 	0 , 	1 , 	3 , 	5 , 	460 ,,,,,,,,,,,
CM, 	2 , 	5 , 	1 , 	0 , 	2 , 	1 , 	1 , 	1 , 	4 , 	1 , 	3 , 	2 , 	2 , 	1 , 	1 , 	0 , 	1 , 	1 , 	1 , 	1 , 	1 , 	0 , 	-   , 	1 , 	2 , 	7 , 	5 , 	39 , 	23 , 	14 , 	14 , 	5 , 	6 , 	2 , 	4 , 	0 , 	-   , 	0 , 	3 , 	1 , 	5 , 	24 , 	5 , 	0 , 	1 , 	0 , 	-   , 	1 , 	1 , 	3 , 	197 ,,,,,,,,,,,
CV, 	0 , 	0 , 	1 , 	1 , 	3 , 	0 , 	1 , 	2 , 	0 , 	10 , 	6 , 	4 , 	7 , 	6 , 	0 , 	1 , 	1 , 	1 , 	0 , 	0 , 	-   , 	1 , 	0 , 	-   , 	1 , 	7 , 	9 , 	12 , 	4 , 	5 , 	3 , 	2 , 	2 , 	0 , 	0 , 	1 , 	11 , 	0 , 	0 , 	-   , 	0 , 	4 , 	-   , 	9 , 	0 , 	-   , 	1 , 	1 , 	0 , 	1 , 	120 ,,,,,,,,,,,
ED, 	1 , 	4 , 	1 , 	1 , 	3 , 	1 , 	5 , 	3 , 	2 , 	6 , 	16 , 	7 , 	9 , 	14 , 	2 , 	3 , 	2 , 	3 , 	1 , 	2 , 	1 , 	0 , 	-   , 	-   , 	4 , 	28 , 	14 , 	15 , 	8 , 	7 , 	4 , 	3 , 	3 , 	5 , 	0 , 	10 , 	4 , 	-   , 	1 , 	1 , 	2 , 	13 , 	1 , 	5 , 	7 , 	0 , 	2 , 	3 , 	-   , 	1 , 	227 ,,,,,,,,,,,
NC, 	1 , 	0 , 	0 , 	-   , 	0 , 	0 , 	2 , 	2 , 	1 , 	-   , 	0 , 	0 , 	0 , 	0 , 	0 , 	0 , 	0 , 	0 , 	4 , 	2 , 	2 , 	1 , 	0 , 	1 , 	-   , 	4 , 	1 , 	7 , 	3 , 	2 , 	2 , 	0 , 	0 , 	1 , 	0 , 	-   , 	0 , 	0 , 	7 , 	-   , 	-   , 	5 , 	-   , 	-   , 	2 , 	0 , 	0 , 	0 , 	1 , 	2 , 	59 ,,,,,,,,,,,
