Exit stations,Entry stations->,,SATURDAY,,,Aug 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
WC, 	5 , 	6 , 	4 , 	4 , 	7 , 	2 , 	9 , 	9 , 	8 , 	2 , 	7 , 	4 , 	4 , 	3 , 	2 , 	0 , 	1 , 	1 , 	66 , 	19 , 	2 , 	8 , 	7 , 	11 , 	2 , 	29 , 	20 , 	28 , 	12 , 	7 , 	6 , 	2 , 	3 , 	5 , 	-   , 	2 , 	1 , 	6 , 	23 , 	2 , 	2 , 	9 , 	0 , 	-   , 	2 , 	0 , 	1 , 	2 , 	9 , 	8 , 	371 ,,,,,,,,,,
LF, 	1 , 	1 , 	0 , 	0 , 	2 , 	2 , 	4 , 	5 , 	1 , 	1 , 	6 , 	1 , 	0 , 	2 , 	1 , 	-   , 	1 , 	1 , 	32 , 	12 , 	9 , 	1 , 	2 , 	4 , 	1 , 	13 , 	6 , 	10 , 	7 , 	4 , 	3 , 	1 , 	1 , 	0 , 	0 , 	-   , 	1 , 	2 , 	10 , 	-   , 	0 , 	3 , 	0 , 	-   , 	0 , 	-   , 	1 , 	0 , 	2 , 	2 , 	156 ,,,,,,,,,,
OR, 	1 , 	1 , 	1 , 	0 , 	1 , 	0 , 	3 , 	2 , 	4 , 	0 , 	4 , 	0 , 	0 , 	1 , 	0 , 	0 , 	0 , 	0 , 	4 , 	3 , 	7 , 	2 , 	1 , 	4 , 	0 , 	6 , 	8 , 	9 , 	4 , 	5 , 	1 , 	1 , 	2 , 	1 , 	0 , 	0 , 	-   , 	1 , 	1 , 	-   , 	-   , 	2 , 	0 , 	-   , 	0 , 	0 , 	0 , 	0 , 	1 , 	1 , 	87 ,,,,,,,,,,
RR, 	4 , 	4 , 	6 , 	0 , 	3 , 	1 , 	7 , 	7 , 	8 , 	3 , 	8 , 	5 , 	5 , 	3 , 	1 , 	1 , 	1 , 	1 , 	10 , 	10 , 	14 , 	4 , 	6 , 	2 , 	3 , 	23 , 	15 , 	19 , 	16 , 	11 , 	8 , 	3 , 	3 , 	2 , 	1 , 	0 , 	0 , 	1 , 	4 , 	1 , 	0 , 	7 , 	2 , 	0 , 	1 , 	1 , 	-   , 	0 , 	2 , 	6 , 	245 ,,,,,,,,,,
OW, 	4 , 	6 , 	3 , 	2 , 	10 , 	3 , 	12 , 	8 , 	13 , 	6 , 	18 , 	9 , 	7 , 	7 , 	3 , 	3 , 	2 , 	2 , 	2 , 	1 , 	1 , 	1 , 	0 , 	4 , 	4 , 	89 , 	58 , 	128 , 	65 , 	42 , 	38 , 	6 , 	10 , 	8 , 	2 , 	3 , 	4 , 	1 , 	5 , 	2 , 	5 , 	9 , 	1 , 	1 , 	2 , 	1 , 	1 , 	3 , 	1 , 	1 , 	617 ,,,,,,,,,,
EM, 	37 , 	45 , 	23 , 	17 , 	44 , 	24 , 	47 , 	41 , 	53 , 	42 , 	60 , 	25 , 	37 , 	36 , 	15 , 	6 , 	8 , 	13 , 	29 , 	27 , 	28 , 	13 , 	8 , 	26 , 	101 , 	9 , 	5 , 	15 , 	22 , 	44 , 	45 , 	30 , 	58 , 	40 , 	15 , 	13 , 	39 , 	6 , 	20 , 	10 , 	8 , 	20 , 	9 , 	13 , 	4 , 	8 , 	9 , 	14 , 	6 , 	18 ," 	1,285 ",,,,,,,,,,
MT, 	40 , 	42 , 	16 , 	11 , 	34 , 	12 , 	28 , 	36 , 	46 , 	36 , 	41 , 	27 , 	38 , 	42 , 	8 , 	7 , 	12 , 	8 , 	17 , 	18 , 	17 , 	6 , 	8 , 	16 , 	63 , 	5 , 	7 , 	8 , 	13 , 	41 , 	46 , 	29 , 	104 , 	40 , 	18 , 	13 , 	20 , 	6 , 	14 , 	6 , 	12 , 	23 , 	5 , 	7 , 	3 , 	3 , 	7 , 	3 , 	5 , 	11 ," 	1,079 ",,,,,,,,,,
PL, 	52 , 	70 , 	24 , 	9 , 	41 , 	21 , 	45 , 	46 , 	62 , 	55 , 	95 , 	50 , 	49 , 	55 , 	16 , 	7 , 	11 , 	11 , 	34 , 	25 , 	27 , 	11 , 	8 , 	17 , 	132 , 	16 , 	6 , 	17 , 	18 , 	108 , 	142 , 	76 , 	169 , 	134 , 	40 , 	15 , 	24 , 	5 , 	26 , 	24 , 	29 , 	37 , 	21 , 	12 , 	6 , 	4 , 	5 , 	12 , 	10 , 	13 ," 	1,944 ",,,,,,,,,,
CC, 	32 , 	37 , 	9 , 	11 , 	31 , 	22 , 	44 , 	39 , 	40 , 	31 , 	87 , 	31 , 	25 , 	25 , 	7 , 	6 , 	6 , 	7 , 	13 , 	11 , 	11 , 	3 , 	3 , 	14 , 	70 , 	23 , 	11 , 	14 , 	12 , 	56 , 	60 , 	32 , 	69 , 	55 , 	26 , 	7 , 	15 , 	4 , 	6 , 	16 , 	15 , 	27 , 	14 , 	6 , 	2 , 	2 , 	5 , 	8 , 	4 , 	8 ," 	1,113 ",,,,,,,,,,
16, 	34 , 	25 , 	9 , 	9 , 	32 , 	16 , 	36 , 	35 , 	34 , 	22 , 	42 , 	21 , 	17 , 	15 , 	5 , 	3 , 	4 , 	4 , 	13 , 	10 , 	7 , 	6 , 	5 , 	9 , 	50 , 	48 , 	44 , 	123 , 	71 , 	9 , 	19 , 	33 , 	72 , 	57 , 	25 , 	5 , 	8 , 	2 , 	11 , 	13 , 	19 , 	21 , 	19 , 	2 , 	1 , 	1 , 	3 , 	8 , 	7 , 	10 ," 	1,093 ",,,,,,,,,,
