Avg Saturday Trip OD																																																			
																																																			
2025 / 01																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
BP	15	19	8	7	23	9	18	22	22	19	27	11	17	14	9	8	4	8	12	4	9	4	2	11	26	150	142	613	177	144	132	25	15	29	37	2	11	2	9	23	39	58	30	5	3	5	4	11	4	6	"1,997"
DC	16	21	10	8	28	11	17	22	23	21	21	17	19	18	11	8	10	11	12	8	11	3	5	12	26	167	139	515	269	218	183	32	38	18	21	6	24	2	12	33	54	138	68	4	3	9	1	9	4	11	"2,342"
CM	13	10	4	3	8	3	8	7	11	4	5	2	2	3	4	1	4	1	3	2	5	3	2	4	5	42	33	160	86	55	66	27	40	17	5	1	3	2	5	6	17	50	23	1	1	1	2	2	0	2	757
CV	2	2	4	2	6	3	5	5	5	32	28	10	26	14	8	7	9	7	4	2	1		0	1	4	66	47	98	42	21	14	7	3	7		2	41	1	0	2	2	4	0	37	4	3		1	4	8	599
ED	5	9	5	7	23	10	11	13	12	43	73	34	37	43	29	14	16	17	4	2	3	1	1	4	9	286	110	232	128	43	27	10	15	23	4	41	24	2	2	3	3	61	8	14	20	9	2	3	17	31	"1,536"
NC	2	2	1	1	2	1	3	6	6	1	2	1	2	2	1	0	0	1	12	4	9	3	2	3	2	21	14	26	17	7	4	4	4	3	1	1	2	2	8	1	1	19	2	0	2	1	6	9	1	2	222
WP	6	11	4	3	8	3	20	9	11	2	11	5	4	6	5	3	2	3	60	28	46	10	6	14	6	55	43	126	36	24	20	9	11	13	6	1	2	7	8	5	4	35	1	3	6	2	5	10	2	4	717
SS	4	6	3	3	8	2	4	6	9	1	3	4	5	3	4	4		1	4	1	5	1	1	3	6	49	31	130	75	49	43	14	23	32	8	2	2	0	5	4	12	30	13	1	1	1	2	6		2	618
SB	13	13	4	2	8	3	7	8	17	4	6	9	6	3	2	2	4	1	7	4	5	3	2	3	11	46	32	120	90	54	58	27	46	50	15	2	2	0	5	13	6	73	6	1	1	0		5		1	796
SO	38	32	28	33	71	14	37	28	41	8	15	10	9	5	3	3	5	9	41	39	69	25	21	35	54	109	86	371	134	72	51	40	47	87	31	4	42	13	31	19	41	43	185	8	7	3	4	35	4	2	"2,134"
MB	9	10	9	7	45	9	12	19	22	5	7	5	2	2	4	1	2	1	5	2	6	3	2	4	9	77	44	126	107	67	67	28	35	65	22	1	6	1	3	9	8	303	25	0	3	0	0	3		0	"1,195"
WD	3	2	2	2	9	4	8	6	4	22	30	12	23	33	14	15	6	9	1	2	1	1	1	1	5	84	37	74	49	15	6	6	4	5	1	46	15	0	3	1	2	14	2	8	7	3	1	2	7	9	608
OA	2	7	6	5	13	4	4	8	6	5	3	5	3	2	4	2	4	3	2	6	7	1	1	2	2	14	8	12	9	3	5	1	2	2		2	9	1	3	0	1	4	1	4	3	2	1	3	2	4	198
WS	5	7	1	3	21	4	11	10	5	10	16	15	16	14	24	19	30	24	3	1	2	1	0	1	4	62	19	40	27	10	6	2	5	7	1	2	6		1	1	1	5	2	4	2	5	1	2	22	29	498
PC	3	4	1	1	2	3	8	7	9	1	4	6	3	4	2	1	1	1	44	11	18	4	4	3	4	11	11	22	12	7	6	1	4	3	2	0	2	7	7	2	2	4	0		2	1	1	16	0	1	267
AN	7	7	5	1	7	4	34	12	13	4	8	14	5	4	8	4	5	6	48	18	35	6	4	16	6	53	38	93	42	19	16	10	11	15	3	1	3	7	9	8	5	43	4	1	9	2	18	13	2	5	703
ML	8	9	6	11	48	7	11	13	12	14	17	13	19	16	38	19	42	54	4	5	4	2	1	2	2	50	30	60	30	10	10	3	6	7	1	5	16	1	1	0		5	0	5	3	27	1	3	14	22	681
BE	13	20	13	11	74	16	21	30	19	31	34	18	26	30	42	32	46	58	6	5	7	3	3	7	6	64	35	77	41	27	15	7	13	10	1	8	21	1	8	1	1	3	0	8	4	42	1	6	19	14	991
Grand Total	"1,373"	"1,735"	"1,156"	"1,161"	"3,216"	"1,184"	"2,064"	"2,394"	"2,124"	"1,430"	"2,197"	"1,146"	"1,525"	"1,368"	"1,166"	724	813	926	"1,168"	907	"1,440"	740	604	"1,468"	"2,409"	"5,950"	"3,707"	"9,273"	"4,798"	"3,745"	"3,581"	"1,676"	"2,213"	"2,182"	729	596	"1,503"	211	707	605	732	"3,216"	"1,133"	588	407	543	240	620	680	931	"87,001"
