Total Trip OD																																																			
																																																			
2025 / 01																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
LM	588	974	659	412	"2,122"	611	671	411	284	320	"2,412"	"2,415"	"4,412"	"3,341"	"1,910"	"1,363"	"1,292"	"1,184"	257	189	291	73	99	259	476	"7,707"	"5,877"	"6,976"	"5,775"	"2,717"	"2,016"	769	970	812	119	"1,371"	"2,474"	103	256	93	111	445	77	"1,204"	338	870	174	326	685	899	"70,189"
FV	"1,698"	"1,848"	711	892	"3,555"	"1,412"	"2,481"	"1,694"	"1,726"	"2,245"	688	"3,478"	"3,954"	"3,622"	"3,805"	"1,655"	"1,345"	"1,333"	587	316	472	241	357	761	"1,814"	"8,949"	"7,454"	"9,857"	"8,755"	"4,194"	"3,395"	973	"1,231"	"1,430"	131	977	"2,483"	151	378	193	348	820	232	954	195	"1,129"	212	439	975	"1,174"	"99,719"
CL	"1,204"	"1,216"	384	352	"1,932"	747	"1,890"	"1,824"	"1,924"	"2,199"	"3,255"	485	"1,941"	"2,289"	"2,491"	"1,130"	"1,050"	868	440	347	257	145	100	284	"1,298"	"4,059"	"3,086"	"5,027"	"3,860"	"1,708"	"1,794"	581	627	"1,081"	176	635	"1,552"	71	413	179	184	410	218	578	277	924	200	625	822	977	"60,116"
SL	715	914	381	425	"1,803"	656	"1,576"	"2,154"	"3,051"	"4,356"	"4,270"	"2,076"	360	"2,115"	"3,012"	"1,785"	"1,392"	"1,874"	417	286	351	77	102	400	744	"8,182"	"7,578"	"8,036"	"6,121"	"2,098"	"1,650"	563	931	"1,180"	111	840	"2,428"	99	216	229	228	558	143	967	205	"1,172"	111	342	"1,015"	991	"81,286"
BF	390	567	301	278	"1,344"	346	"1,018"	"1,643"	"2,181"	"3,333"	"3,801"	"2,355"	"2,132"	392	"1,768"	"1,338"	"1,226"	"1,565"	347	72	231	64	52	241	641	"6,198"	"5,813"	"7,969"	"4,755"	"1,705"	"1,296"	410	648	801	106	649	"1,978"	46	168	189	205	357	116	"1,180"	125	"1,047"	82	150	707	865	"65,191"
HY	512	754	294	360	"1,470"	408	"1,123"	"1,723"	"2,041"	"1,767"	"3,694"	"2,530"	"3,137"	"1,678"	597	"1,601"	"2,936"	"3,481"	404	218	235	91	52	251	618	"3,859"	"3,183"	"3,494"	"2,531"	"1,078"	684	305	428	509	96	257	"1,212"	71	206	142	147	267	206	529	157	"1,961"	129	268	"1,587"	"1,591"	"56,872"
SH	282	347	110	100	831	248	578	816	"1,300"	"1,277"	"1,554"	"1,140"	"1,548"	"1,335"	"1,352"	423	"1,314"	"1,863"	131	119	158	36	30	51	234	"3,056"	"2,358"	"2,524"	"2,261"	589	779	116	305	288	54	290	598	14	110	75	41	153	96	374	93	"1,787"	50	102	942	"1,048"	"35,280"
UC	283	384	219	241	"1,413"	286	636	"1,175"	"1,618"	"1,282"	"1,348"	"1,069"	"1,369"	"1,332"	"2,844"	"1,269"	410	"1,557"	165	124	295	25	48	113	276	"4,971"	"4,213"	"2,944"	"2,243"	807	387	172	282	379	82	274	883	24	95	48	63	302	56	344	219	"1,956"	16	99	"1,808"	"1,582"	"44,030"
FM	232	481	246	293	"1,324"	286	639	"1,276"	"1,645"	"1,225"	"1,364"	846	"1,859"	"1,602"	"3,355"	"1,882"	"1,554"	479	217	104	165	11	69	138	194	"6,211"	"4,438"	"2,850"	"2,301"	880	430	188	264	391	61	362	767	28	111	41	100	457	62	344	242	"1,680"	25	188	"2,307"	"2,334"	"48,548"
CN	469	606	250	300	"1,197"	237	"1,973"	"1,810"	"2,445"	310	596	496	411	288	423	140	159	251	554	"1,497"	"4,009"	"2,314"	740	"1,269"	317	"7,040"	"5,899"	"5,578"	"4,779"	"1,364"	"1,214"	560	644	770	143	101	142	725	"3,045"	236	299	"1,768"	285	78	363	60	"1,697"	"2,350"	231	206	"62,638"
PH	145	257	219	270	"1,102"	217	"1,443"	"2,118"	"2,656"	170	299	354	249	86	216	140	105	92	"1,520"	305	"1,695"	819	411	"1,388"	236	"11,471"	"9,796"	"5,468"	"4,947"	"1,480"	925	597	404	611	144	53	96	358	"1,103"	210	192	"2,250"	224	78	446	156	525	974	136	187	"59,343"
WC	457	522	394	415	"1,476"	260	"1,808"	"2,244"	"2,523"	333	474	219	335	214	249	165	242	133	"4,130"	"1,678"	324	"1,136"	799	"2,243"	258	"12,699"	"9,853"	"5,622"	"4,957"	"1,548"	875	571	510	700	183	50	91	523	"1,925"	257	251	"2,786"	224	41	405	80	699	"1,624"	147	212	"69,864"
LF	315	229	184	120	575	131	685	"1,193"	"1,324"	88	233	116	96	60	63	41	26	33	"2,691"	"1,001"	"1,175"	193	227	"1,082"	54	"9,257"	"7,041"	"2,847"	"2,819"	918	474	222	292	143	49	12	31	178	414	74	87	"1,584"	89	9	227	31	258	301	40	54	"39,386"
OR	180	128	121	152	470	88	527	822	"1,062"	75	256	62	120	63	39	20	40	69	639	385	763	225	150	818	60	"8,461"	"5,776"	"2,418"	"2,403"	690	375	271	191	155	59	24	29	32	210	45	94	"1,235"	89	5	143	10	99	181	61	85	"30,475"
RR	354	481	494	245	442	176	"1,005"	"2,054"	"2,121"	231	723	342	360	284	227	60	124	124	"1,293"	"1,407"	"2,198"	"1,026"	"1,001"	314	441	"13,389"	"9,952"	"5,805"	"6,490"	"2,671"	"1,718"	771	562	405	83	64	128	209	681	130	172	"2,252"	155	30	197	59	249	618	85	146	"64,548"
OW	592	527	134	156	898	340	829	948	"1,399"	361	"1,818"	"1,271"	653	680	588	232	234	186	330	192	296	75	79	429	444	"19,648"	"13,011"	"14,080"	"10,951"	"5,949"	"3,546"	907	"1,095"	793	156	184	453	74	195	174	460	"2,000"	343	170	133	132	183	265	110	198	"88,901"
EM	"5,911"	"10,579"	"6,671"	"7,998"	"12,148"	"7,427"	"12,866"	"16,946"	"15,704"	"8,568"	"10,521"	"4,568"	"9,829"	"7,690"	"4,684"	"3,711"	"5,652"	"6,697"	"8,307"	"13,268"	"14,516"	"10,490"	"9,652"	"14,562"	"22,884"	"2,306"	647	"2,824"	"3,855"	"11,276"	"16,799"	"10,822"	"11,641"	"13,562"	"4,760"	"5,609"	"17,247"	"2,662"	"7,111"	"4,040"	"3,710"	"5,884"	"3,816"	"6,854"	"1,163"	"2,678"	805	"5,003"	"3,249"	"3,736"	"403,908"
MT	"4,655"	"8,699"	"5,377"	"5,909"	"8,216"	"5,535"	"9,297"	"11,745"	"11,041"	"6,375"	"8,292"	"3,650"	"8,441"	"6,849"	"3,743"	"2,933"	"4,385"	"4,648"	"6,367"	"10,174"	"9,888"	"7,058"	"5,794"	"10,328"	"15,431"	751	"1,982"	"1,130"	"2,391"	"11,051"	"18,854"	"12,912"	"16,560"	"17,361"	"5,740"	"4,315"	"11,599"	"1,893"	"5,628"	"4,966"	"4,984"	"5,617"	"4,468"	"4,588"	720	"2,039"	798	"4,505"	"2,558"	"2,730"	"334,970"
PL	"5,792"	"9,335"	"3,641"	"3,381"	"7,818"	"3,666"	"7,464"	"9,051"	"10,302"	"5,778"	"8,745"	"4,771"	"6,825"	"6,421"	"3,254"	"2,067"	"2,601"	"2,482"	"4,953"	"5,084"	"4,994"	"2,790"	"2,513"	"5,108"	"14,375"	"3,512"	"1,182"	"2,628"	"2,267"	"12,910"	"17,320"	"11,416"	"21,490"	"16,059"	"5,089"	"2,835"	"6,473"	"1,405"	"5,843"	"4,322"	"3,622"	"15,949"	"3,468"	"2,243"	867	"1,197"	"1,076"	"3,824"	"1,391"	"1,780"	"293,379"
CC	"4,249"	"6,391"	"3,396"	"4,303"	"5,870"	"4,241"	"7,562"	"8,852"	"8,149"	"5,419"	"8,175"	"3,456"	"5,270"	"3,893"	"2,300"	"1,972"	"1,953"	"2,102"	"4,132"	"4,282"	"4,338"	"2,643"	"2,235"	"5,945"	"11,735"	"3,608"	"2,314"	"2,236"	"1,499"	"6,192"	"10,057"	"7,689"	"11,719"	"11,501"	"4,604"	"2,575"	"5,415"	"1,595"	"3,652"	"4,261"	"3,748"	"6,790"	"3,926"	"2,024"	460	"1,044"	851	"3,565"	"1,099"	"1,506"	"226,793"
16	"2,475"	"3,171"	"1,242"	"1,974"	"3,554"	"2,284"	"4,752"	"5,313"	"4,282"	"2,522"	"4,169"	"1,608"	"2,024"	"1,523"	"1,002"	599	788	846	"1,217"	"1,291"	"1,453"	919	630	"2,475"	"5,934"	"10,733"	"10,484"	"14,130"	"6,791"	720	"2,768"	"4,990"	"7,854"	"7,311"	"2,677"	744	"1,559"	497	"1,780"	"1,888"	"2,225"	"4,410"	"2,112"	744	235	374	310	"1,345"	412	649	"145,789"
24	"2,911"	"2,258"	933	"1,054"	"2,840"	"1,381"	"3,283"	"3,789"	"3,339"	"1,826"	"2,900"	"1,646"	"1,601"	"1,202"	697	763	330	470	"1,237"	947	900	453	403	"1,650"	"3,902"	"15,065"	"15,971"	"20,222"	"11,016"	"2,739"	689	"4,413"	"6,073"	"5,883"	"2,352"	381	"1,027"	353	"1,471"	"1,734"	"2,016"	"2,993"	"1,932"	392	239	289	233	838	318	367	"141,721"
GP	721	871	444	542	"1,518"	530	"1,049"	"1,606"	"1,627"	694	941	568	419	422	272	152	177	234	468	481	448	228	208	736	"1,036"	"10,160"	"11,433"	"12,325"	"7,776"	"4,982"	"4,295"	319	"1,101"	"1,278"	"1,032"	167	548	118	546	662	976	"2,232"	"1,314"	242	148	109	76	661	139	138	"79,169"
BP	884	929	432	312	"1,026"	393	928	"1,133"	"1,545"	910	"1,188"	579	859	624	421	305	240	200	656	318	545	256	143	495	"1,290"	"10,122"	"11,393"	"23,567"	"11,130"	"7,220"	"5,686"	"1,127"	339	"1,614"	"1,525"	252	523	210	660	"1,096"	"1,631"	"1,897"	"1,617"	184	85	147	188	513	134	201	"99,672"
DC	"1,031"	"1,418"	455	291	"1,101"	392	817	"1,120"	"1,633"	853	"1,372"	"1,049"	"1,135"	795	492	313	338	376	785	574	701	153	183	420	944	"13,054"	"15,620"	"18,021"	"12,244"	"7,676"	"6,366"	"1,367"	"2,057"	509	676	312	900	193	644	"1,484"	"2,157"	"4,215"	"3,207"	305	138	279	130	667	255	355	"111,572"
CM	400	312	121	118	421	102	224	350	734	108	123	93	96	90	91	62	86	45	143	136	184	60	65	90	183	"4,896"	"5,036"	"6,096"	"4,611"	"2,384"	"2,218"	977	"1,550"	599	250	45	109	30	253	410	670	"1,750"	"1,240"	15	14	41	55	201	17	25	"37,929"
CV	94	100	100	56	451	74	207	423	436	"1,408"	999	592	858	625	275	264	342	341	95	39	32	13	27	54	193	"5,018"	"4,037"	"3,230"	"2,864"	755	389	155	289	340	29	139	"1,626"	17	51	47	61	226	60	"1,192"	103	147	1	29	140	205	"29,248"
ED	294	360	171	183	"1,059"	275	648	"1,174"	"1,723"	"2,411"	"2,560"	"1,465"	"2,326"	"1,804"	"1,210"	643	835	799	131	73	105	23	28	84	428	"15,730"	"11,186"	"7,019"	"5,854"	"1,648"	"1,054"	552	565	952	117	"1,645"	714	33	102	102	105	"2,084"	206	552	718	414	54	80	625	823	"73,746"
NC	115	62	64	40	208	58	424	450	747	83	140	43	81	45	55	21	32	23	522	343	381	151	40	174	71	"1,920"	"1,532"	"1,452"	"1,634"	504	353	136	170	194	26	17	42	92	461	102	62	526	61	6	101	12	352	475	18	48	"14,669"
WP	238	283	78	95	752	164	"1,803"	"1,037"	"1,846"	267	367	324	186	131	208	128	99	101	"3,095"	"1,366"	"1,993"	462	259	858	200	"5,874"	"4,978"	"7,148"	"5,128"	"2,013"	"1,660"	724	668	660	233	55	75	439	270	191	293	"1,710"	168	53	258	115	167	410	64	131	"49,825"
SS	268	325	125	68	325	99	234	413	732	88	195	153	199	207	125	78	49	43	250	176	237	73	42	132	238	"4,009"	"4,578"	"4,953"	"4,452"	"1,937"	"1,672"	693	"1,301"	"1,461"	385	36	115	122	215	265	449	938	567	17	20	39	25	311	14	24	"33,472"
SB	372	429	169	78	367	155	322	669	707	147	376	229	209	181	132	43	61	99	292	212	254	89	103	155	487	"3,530"	"4,485"	"4,275"	"3,866"	"2,276"	"2,088"	"1,023"	"1,634"	"2,082"	661	63	155	92	273	479	255	"2,321"	369	37	45	16	40	284	15	13	"36,714"
SO	"1,271"	"1,477"	"1,015"	"1,254"	"2,502"	778	"1,442"	"1,227"	"1,710"	392	575	359	365	246	167	115	152	326	"1,418"	"1,858"	"2,349"	"1,384"	"1,068"	"1,515"	"1,949"	"4,331"	"3,990"	"12,764"	"4,790"	"2,804"	"1,807"	"1,376"	"1,447"	"2,936"	"1,262"	173	"1,413"	547	"1,462"	660	"1,273"	"1,709"	"6,540"	439	221	127	238	"1,276"	115	75	"80,689"
MB	307	640	267	271	"1,346"	349	429	815	848	122	212	226	142	105	145	51	56	58	257	190	220	91	102	139	365	"3,754"	"3,926"	"3,705"	"3,651"	"1,789"	"1,716"	"1,083"	"1,846"	"2,801"	"1,071"	47	189	58	161	449	339	"9,910"	778	43	51	26	42	181	8	5	"45,382"
WD	132	187	114	43	323	115	359	524	660	"1,256"	972	621	"1,060"	"1,098"	516	447	376	367	77	59	36	12	9	34	149	"6,341"	"4,469"	"2,438"	"2,339"	804	376	263	196	320	18	"1,261"	545	9	64	33	43	565	68	215	306	180	24	56	230	338	"31,047"
OA	143	345	272	297	533	195	241	289	291	213	139	218	142	92	81	63	134	151	265	300	274	139	64	96	80	876	568	700	444	171	179	102	91	92	9	51	506	71	194	9	22	216	21	199	106	77	57	175	91	128	"10,212"
WS	187	420	206	133	679	218	584	764	527	854	"1,077"	818	"1,123"	923	"1,590"	"1,533"	"1,684"	"1,627"	94	89	56	30	9	47	138	"2,489"	"1,921"	"1,377"	"1,132"	429	301	96	183	265	24	165	324	21	80	26	17	230	32	141	78	278	65	124	"1,493"	"1,724"	"28,425"
PC	152	127	29	14	132	78	405	270	419	166	201	225	115	79	125	50	21	41	"1,822"	506	653	197	118	256	175	682	593	"1,080"	841	347	268	70	185	135	47	6	45	351	184	30	55	228	43	17	73	66	60	723	17	35	"12,557"
AN	303	270	118	74	601	213	"1,853"	"1,215"	"1,630"	320	384	649	362	157	269	124	132	186	"2,378"	980	"1,592"	299	225	685	296	"4,516"	"4,046"	"4,384"	"3,916"	"1,462"	899	766	561	766	202	42	99	553	457	364	266	"1,541"	175	44	345	180	736	524	103	162	"42,424"
ML	217	369	187	219	"1,488"	233	538	818	774	606	920	748	982	688	"1,548"	865	"1,863"	"2,210"	205	115	150	40	45	84	102	"2,945"	"2,479"	"1,605"	"1,230"	440	291	141	191	260	10	161	605	22	54	21	15	216	9	184	149	"1,663"	20	103	372	583	"29,783"
BE	372	533	304	250	"2,068"	450	729	"1,094"	960	914	"1,198"	912	"1,052"	947	"1,602"	"1,098"	"1,712"	"2,350"	237	200	241	67	82	169	247	"3,344"	"2,521"	"2,030"	"1,576"	641	421	154	242	346	21	174	805	45	161	12	21	190	9	298	213	"2,076"	43	146	586	421	"36,284"
Grand Total	"62,372"	"87,150"	"50,684"	"45,285"	"122,597"	"50,212"	"95,085"	"114,109"	"123,905"	"68,771"	"99,115"	"59,910"	"79,454"	"63,959"	"56,342"	"36,265"	"43,331"	"48,365"	"62,643"	"59,695"	"68,928"	"39,353"	"31,984"	"62,982"	"96,618"	"357,443"	"299,367"	"321,080"	"240,864"	"145,279"	"142,151"	"80,139"	"107,533"	"107,971"	"37,341"	"29,243"	"73,510"	"16,537"	"47,113"	"32,562"	"35,283"	"110,351"	"44,266"	"30,292"	"15,131"	"30,301"	"12,673"	"40,937"	"29,790"	"35,060"	"4,151,331"
