Avg Sunday Trip OD																																																			
																																																			
2025 / 01																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
HY	8	15	4	5	19	7	12	26	26	26	66	33	51	34	13	26	36	45	4	2	7	2	1	4	10	42	31	56	30	15	15	4	7	9	1	8	20	2	3	2	2	5	5	11	8	22	2	4	22	30	831
SH	7	6	3	2	10	5	8	8	9	23	26	17	19	20	23	12	13	33	1	2	2		1	0	3	31	22	49	17	6	7	5	3	5	1	3	8		0	2	1	4	3	8	5	19	1	2	15	17	481
UC	4	7	2	3	18	5	9	12	10	16	16	11	15	15	37	20	8	25	3	2	3	0	1	1	4	42	24	57	26	14	6	6	6	10	1	4	17	1	2	1	1	11	2	5	7	25	0	3	33	29	573
FM	5	7	5	6	21	7	7	13	14	15	26	9	15	22	43	25	26	12	4	2	5	0		4	5	66	32	60	34	14	8	3	7	10	2	4	9	0	3	1	2	15	1	6	10	21	0	2	42	42	684
CN	10	13	5	4	12	4	19	16	16	5	10	8	7	6	4	2	1	3	12	28	82	56	13	20	5	62	38	90	50	17	15	6	8	7	1	1	3	9	51	4	3	50	3	1	9	2	31	32	4	7	857
PH	2	5	3	5	14	3	18	18	17	5	6	4	4	1	4	2	3	2	28	7	33	20	6	24	4	74	40	87	51	15	8	6	4	8	2	2	2	4	21	3	5	59	4	2	10	3	6	15	1	4	666
WC	9	9	9	10	24	8	23	20	25	6	8	3	3	5	5	3	2	3	90	38	7	28	14	51	6	108	58	105	82	18	13	8	7	8	4	1	1	8	35	3	4	79	5	1	13	0	13	21	2	7	"1,005"
LF	10	5	4	4	11	2	9	12	12	1	4	2	1	2	2	1	1		58	23	24	5	5	22	1	61	39	55	65	8	8	7	5	2	2			3	3	0	1	41	3	0	5	1	5	4	1	3	538
OR	3	1	3	2	11	2	12	8	8	1	3	1	1	4	1		1	2	11	7	19	8	4	15	1	58	25	51	41	13	10	6	2	4	1		1	0	4		1	24	2	0	5	1	2	3	1	3	378
RR	6	6	11	5	8	3	26	40	33	5	11	4	7	4	4	1	2	3	18	21	53	25	21	10	12	139	73	129	112	56	44	15	5	6	2	2	1	2	9	2	4	75	5	1	4	0	2	9	3	5	"1,038"
OW	8	11	3	3	14	6	15	13	25	14	39	18	8	14	10	5	2	7	5	3	6	2	1	12	9	236	136	321	198	130	77	16	21	17	4	6	8	2	4	5	8	55	4	5	5	3	2	4	2	6	"1,522"
EM	72	114	77	99	260	99	171	198	195	110	123	56	99	88	48	39	48	68	73	85	114	72	63	140	283	52	9	55	52	129	183	90	103	113	23	42	153	17	50	24	27	146	48	57	32	18	9	39	46	43	"4,346"
MT	52	82	49	76	172	63	98	117	129	89	84	39	79	59	34	29	30	38	40	46	62	39	30	89	170	6	28	21	18	112	153	77	146	104	35	37	80	5	38	26	25	141	34	25	16	23	11	30	25	34	"3,037"
PL	113	156	67	67	213	77	142	144	202	137	150	91	129	118	56	37	45	58	85	69	80	45	50	94	306	59	16	88	54	331	406	210	386	301	92	61	145	17	67	80	77	407	88	36	21	19	14	62	36	41	"5,838"
CC	54	83	55	82	162	90	128	158	122	97	123	44	74	51	27	21	24	32	47	46	73	67	38	103	235	41	20	54	39	145	219	117	148	181	61	26	87	16	29	50	56	214	78	28	16	18	11	24	21	45	"3,776"
16	39	48	24	48	76	58	86	99	65	68	64	28	26	16	16	7	8	15	18	16	22	10	12	50	125	135	102	348	164	17	64	83	130	145	47	9	29	2	10	32	41	143	45	8	8	6	2	11	9	22	"2,650"
24	42	35	16	26	70	32	70	75	52	53	61	28	18	21	16	7	7	8	16	10	19	7	9	37	92	179	108	474	251	56	21	84	92	102	43	8	18	4	14	34	42	94	42	6	8	2	2	9	6	12	"2,533"
GP	9	14	7	12	29	10	21	23	22	11	18	7	9	7	5	4	2	6	7	3	11	9	4	18	21	79	62	256	122	89	81	8	10	23	16	5	11	5	8	13	20	67	29	3	3	3	1	9	3	7	"1,216"
BP	8	11	5	4	16	5	10	14	18	15	16	7	12	13	7	4	2	6	7	5	10	4	1	6	21	98	91	457	130	106	88	13	10	22	31	4	10	1	13	14	33	60	23	3	4	3	1	12	5	10	"1,466"
DC	14	13	4	4	28	7	8	14	17	20	20	9	14	13	9	6	6	7	9	6	10	4	4	5	23	95	99	398	189	146	112	22	31	11	14	6	17	3	9	20	38	155	59	5	3	3	2	12	4	10	"1,726"
CM	12	8	4	2	6	2	3	3	11	2	3	0	2	2	1	2	2	2	3	1	4	2	1	1	4	22	23	125	62	44	36	16	29	13	8	0	1	1	6	3	14	56	15				1	3	1	1	559
CV	2	4	2	2	9	2	5	4	2	29	19	9	16	11	6	3	3	3	2	2	1	0		1	5	49	31	80	31	10	7	4	5	6	1	3	28		1	1	1	7	2	36	2	2		1	2	4	450
ED	8	4	3	6	22	5	7	12	8	31	48	20	26	39	21	9	15	15	4	3	3	1	0	2	9	152	74	163	80	30	18	8	6	14	2	26	19	1	2	0	1	59	2	12	18	5	1	1	11	20	"1,038"
NC	2	1	1	1	2	1	5	2	3	2	0	0	0	1	1	1	1		9	4	7	2	1	2	1	19	8	16	11	3	4	2	1	3	1		0	2	7	0	1	15	1	1	2		4	4	0	2	150
WP	4	6	1		5	2	20	7	8	2	8	2	2	4	2	2	2	2	47	26	36	7	4	13	3	46	33	86	30	13	14	6	6	10	6		0	8	6	3	5	35	1	1	8	2	2	6	3	3	541
SS	4	5	2	1	6	1	2	4	7	2	4	1	2	2	2	2	1	0	3	3	3	2	0	2	4	27	22	93	52	37	33	13	17	24	3	1	2	2	4	5	8	28	10	1	1	1	1	5	0	1	448
SB	11	5	1	2	7	2	6	4	10	2	6	4	4	2	3	1	1	2	6	5	4	1	0	4	9	23	23	84	55	40	42	24	30	33	14	1	2	1	5	9	8	87	7	1	3	0	1	2	0	2	592
SO	35	28	23	28	65	19	35	26	29	9	13	9	4	6	3	2	3	4	27	36	56	30	27	35	37	128	113	459	119	79	45	29	34	75	23	3	32	8	41	13	26	32	121	11	5	2	4	30	2	2	"2,016"
MB	9	10	4	10	38	11	6	12	13	5	6	5	2	2	2	2	1	1	2	3	4	3	2	5	6	40	31	89	78	41	42	22	24	44	14	2	3	2	3	7	7	372	13	1	2	0	0	4	1	0	"1,000"
WD	3	3	1	2	6	4	7	5	3	14	24	10	19	28	9	10	4	7		2	1		1		3	55	23	45	32	10	6	2	5	5	0	30	13		1	1	1	18	1	5	6	2	1	1	4	5	433
OA	1	4	3	6	13	3	4	6	3	6	4	7	2	3	1	1	2	2	4	5	4	1	1	1	1	19	10	22	8	5	3	3	2	2	1	2	14	1	3		1	8		3	3	1	1	4	3	2	204
WS	4	6	4	3	15	3	8	10	4	13	13	16	12	13	19	19	26	19	3	0	0	1			4	20	20	29	16	5	6	2	4	4	1	4	6	1	1	1		6	1	4	2	7	1	2	19	24	394
PC	4	2		0	2	2	8	3	3	1	2	5	2	2	1		0	0	35	9	14	6	3	2	3	11	10	19	9	3	4	1	1	1	1		1	3	2	0	1	5	1	0	1	1	1	9		1	189
AN	4	4	2	3	6	2	22	11	10	3	9	8	6	4	4	4	3	3	38	14	24	5	5	10	5	41	28	72	32	10	7	10	10	14	5	0	2	6	8	7	2	44	3	2	12	2	9	10	2	5	546
ML	3	5	4	7	34	5	10	7	7	12	15	6	11	12	23	10	38	36	3	1	2	0	0	2	2	44	20	48	21	11	8	3	3	3	0	3	11	1	2	1		7	0	4	7	19		1	9	18	495
BE	11	15	6	8	56	15	16	16	10	23	30	13	20	16	33	24	40	40	9	4	9	4	3	3	8	48	26	56	44	21	14	6	8	12		2	20	1	3	1	2	6		5	6	31	0	3	16	13	773
Grand Total	"1,018"	"1,211"	774	768	"2,332"	864	"1,452"	"1,550"	"1,521"	"1,228"	"1,607"	850	"1,058"	971	828	500	544	676	865	627	972	538	375	949	"1,626"	"3,976"	"2,534"	"6,937"	"3,753"	"2,553"	"2,413"	"1,133"	"1,474"	"1,543"	508	401	"1,029"	158	528	410	526	"3,329"	783	410	473	364	166	472	505	744	"62,819"
