Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,Sep 02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
OR, 	12 , 	10 , 	11 , 	11 , 	61 , 	12 , 	39 , 	83 , 	144 , 	12 , 	36 , 	64 , 	7 , 	7 , 	7 , 	3 , 	6 , 	13 , 	64 , 	54 , 	48 , 	17 , 	4 , 	73 , 	4 , 	708 , 	626 , 	210 , 	195 , 	20 , 	24 , 	13 , 	16 , 	38 , 	19 , 	1 , 	3 , 	11 , 	27 ," 	2,712 ",,,FT/ED line," 	39,909 "," 	14,926 "," 	6,387 "," 	8,989 "," 	3,638 "," 	14,230 "," 	309,640 ",
RR, 	26 , 	32 , 	20 , 	26 , 	59 , 	11 , 	50 , 	113 , 	218 , 	44 , 	60 , 	104 , 	23 , 	16 , 	13 , 	8 , 	11 , 	22 , 	113 , 	124 , 	160 , 	78 , 	72 , 	8 , 	14 , 	914 , 	943 , 	487 , 	501 , 	106 , 	77 , 	38 , 	56 , 	80 , 	27 , 	7 , 	11 , 	17 , 	48 ," 	4,738 ",,,,,,,,,,,
OW, 	30 , 	36 , 	8 , 	14 , 	69 , 	35 , 	50 , 	38 , 	70 , 	29 , 	106 , 	95 , 	39 , 	39 , 	34 , 	20 , 	17 , 	15 , 	13 , 	8 , 	13 , 	3 , 	3 , 	14 , 	6 ," 	1,162 "," 	1,101 ", 	526 , 	397 , 	94 , 	82 , 	28 , 	48 , 	73 , 	19 , 	8 , 	23 , 	3 , 	27 ," 	4,395 ",,,,,,,,,,,
EM, 	244 , 	884 , 	456 , 	477 , 	835 , 	514 , 	764 , 	874 ," 	1,227 ", 	567 , 	653 , 	649 , 	654 , 	612 , 	440 , 	328 , 	618 , 	871 , 	846 ," 	1,729 "," 	1,262 ", 	820 , 	727 , 	892 ," 	1,289 ", 	107 , 	139 , 	344 , 	337 , 	798 ," 	1,447 "," 	1,134 "," 	1,582 "," 	1,213 "," 	1,314 ", 	477 ," 	1,472 ", 	391 , 	746 ," 	30,732 ",,,,,,,,,,,
MT, 	523 , 	920 , 	607 , 	431 , 	970 , 	487 , 	738 , 	646 , 	798 , 	482 , 	859 , 	614 , 	644 , 	580 , 	351 , 	296 , 	497 , 	790 , 	759 ," 	1,310 ", 	976 , 	565 , 	567 , 	713 ," 	1,011 ", 	285 , 	87 , 	201 , 	305 ," 	1,140 "," 	1,912 "," 	1,614 "," 	3,060 "," 	1,399 "," 	1,362 ", 	383 , 	949 , 	287 , 	535 ," 	30,650 ",,,,,,,,,,,
PL, 	268 , 	625 , 	277 , 	299 , 	823 , 	305 , 	545 , 	520 , 	933 , 	435 , 	624 , 	668 , 	395 , 	364 , 	263 , 	197 , 	290 , 	440 , 	393 , 	499 , 	420 , 	225 , 	199 , 	436 , 	549 , 	509 , 	279 , 	127 , 	331 ," 	1,292 "," 	2,004 "," 	1,287 "," 	2,960 "," 	1,155 ", 	959 , 	178 , 	622 , 	170 , 	376 ," 	23,239 ",,,,,,,,,,,
CC, 	167 , 	520 , 	230 , 	270 , 	533 , 	304 , 	454 , 	396 , 	543 , 	296 ," 	2,319 ", 	368 , 	309 , 	258 , 	191 , 	170 , 	223 , 	286 , 	315 , 	388 , 	271 , 	166 , 	150 , 	382 , 	373 , 	302 , 	302 , 	275 , 	87 , 	779 ," 	1,193 ", 	792 ," 	2,054 ", 	715 , 	718 , 	147 , 	391 , 	118 , 	329 ," 	18,084 ",,,,,,,,,,,
16, 	85 , 	98 , 	40 , 	79 , 	221 , 	91 , 	162 , 	134 , 	183 , 	92 , 	142 , 	115 , 	44 , 	52 , 	50 , 	31 , 	28 , 	39 , 	52 , 	50 , 	44 , 	19 , 	15 , 	90 , 	101 , 	673 , 	949 ," 	1,365 ", 	854 , 	36 , 	303 , 	289 , 	849 , 	230 , 	201 , 	18 , 	61 , 	14 , 	71 ," 	7,970 ",,,,,,,,,,,
24, 	129 , 	134 , 	36 , 	58 , 	261 , 	94 , 	139 , 	149 , 	219 , 	73 , 	204 , 	132 , 	66 , 	58 , 	51 , 	42 , 	34 , 	42 , 	85 , 	59 , 	60 , 	28 , 	23 , 	79 , 	86 ," 	1,203 "," 	1,571 "," 	2,113 "," 	1,287 ", 	321 , 	55 , 	305 , 	957 , 	328 , 	259 , 	24 , 	64 , 	22 , 	94 ," 	10,945 ",,,,,,,,,,,
GP, 	22 , 	54 , 	25 , 	26 , 	142 , 	25 , 	58 , 	97 , 	144 , 	40 , 	47 , 	73 , 	31 , 	26 , 	25 , 	11 , 	12 , 	27 , 	43 , 	56 , 	49 , 	20 , 	15 , 	36 , 	33 ," 	1,099 "," 	1,350 "," 	1,482 ", 	760 , 	292 , 	300 , 	28 , 	183 , 	78 , 	92 , 	12 , 	60 , 	11 , 	42 ," 	6,925 ",,,,,,,,,,,
BP, 	48 , 	87 , 	34 , 	38 , 	115 , 	42 , 	79 , 	109 , 	170 , 	64 , 	100 , 	72 , 	61 , 	39 , 	32 , 	15 , 	31 , 	29 , 	42 , 	45 , 	31 , 	7 , 	15 , 	58 , 	58 ," 	1,410 "," 	1,873 "," 	3,774 "," 	2,026 ", 	820 , 	992 , 	185 , 	51 , 	172 , 	227 , 	13 , 	38 , 	12 , 	58 ," 	13,075 ",,,,,,,,,,,
DC, 	70 , 	199 , 	78 , 	85 , 	229 , 	80 , 	120 , 	166 , 	254 , 	135 , 	144 , 	116 , 	91 , 	84 , 	44 , 	49 , 	61 , 	80 , 	111 , 	134 , 	95 , 	40 , 	35 , 	80 , 	95 ," 	1,186 "," 	1,519 "," 	1,172 ", 	756 , 	241 , 	332 , 	86 , 	198 , 	17 , 	75 , 	38 , 	134 , 	50 , 	99 ," 	8,579 ",,,,,,,,,,,
CM, 	22 , 	59 , 	18 , 	13 , 	105 , 	20 , 	39 , 	141 , 	218 , 	27 , 	39 , 	60 , 	23 , 	21 , 	20 , 	12 , 	12 , 	21 , 	61 , 	74 , 	46 , 	16 , 	19 , 	30 , 	22 ," 	1,288 "," 	1,358 ", 	977 , 	733 , 	179 , 	252 , 	100 , 	251 , 	67 , 	10 , 	8 , 	48 , 	16 , 	85 ," 	6,509 ",,,,,,,,,,,
CV, 	7 , 	8 , 	3 , 	3 , 	51 , 	7 , 	13 , 	46 , 	85 , 	71 , 	55 , 	110 , 	35 , 	52 , 	25 , 	18 , 	17 , 	28 , 	5 , 	3 , 	4 , 	2 , 	2 , 	7 , 	11 , 	422 , 	416 , 	178 , 	163 , 	19 , 	25 , 	12 , 	12 , 	39 , 	10 , 	4 , 	130 , 	3 , 	4 ," 	2,104 ",,,,,,,,,,,
ED, 	25 , 	39 , 	19 , 	16 , 	136 , 	28 , 	49 , 	167 , 	272 , 	193 , 	168 , 	261 , 	102 , 	262 , 	104 , 	70 , 	57 , 	92 , 	14 , 	8 , 	6 , 	4 , 	4 , 	12 , 	25 ," 	1,329 "," 	1,083 ", 	579 , 	463 , 	66 , 	64 , 	68 , 	42 , 	149 , 	50 , 	148 , 	20 , 	4 , 	10 ," 	6,208 ",,,,,,,,,,,
NC, 	8 , 	6 , 	5 , 	2 , 	43 , 	3 , 	21 , 	93 , 	109 , 	8 , 	7 , 	32 , 	8 , 	5 , 	6 , 	3 , 	6 , 	7 , 	73 , 	38 , 	64 , 	12 , 	10 , 	18 , 	3 , 	328 , 	305 , 	156 , 	130 , 	17 , 	22 , 	11 , 	13 , 	49 , 	14 , 	3 , 	3 , 	3 , 	76 ," 	1,723 ",,,,,,,,,,,
WP, 	31 , 	29 , 	10 , 	8 , 	92 , 	18 , 	109 , 	195 , 	280 , 	25 , 	42 , 	90 , 	29 , 	16 , 	23 , 	14 , 	20 , 	33 , 	576 , 	177 , 	220 , 	34 , 	29 , 	59 , 	26 , 	618 , 	545 , 	397 , 	378 , 	79 , 	102 , 	43 , 	57 , 	102 , 	83 , 	5 , 	10 , 	94 , 	26 ," 	4,723 ",,,,,,,,,,,
Entries," 	3,934 "," 	7,544 "," 	3,896 "," 	3,278 "," 	11,417 "," 	4,048 "," 	6,005 "," 	7,942 "," 	12,042 "," 	4,898 "," 	8,928 "," 	7,864 "," 	4,942 "," 	4,919 "," 	4,747 "," 	3,089 "," 	3,953 "," 	5,910 "," 	5,849 "," 	6,424 "," 	5,602 "," 	2,871 "," 	2,558 "," 	4,216 "," 	4,470 "," 	27,522 "," 	28,228 "," 	24,308 "," 	18,434 "," 	8,308 "," 	11,453 "," 	7,148 "," 	13,655 "," 	8,300 "," 	6,515 "," 	2,123 "," 	5,968 "," 	1,785 "," 	4,549 "," 	309,640 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
