Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Mar 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,
OR, 	3 , 	2 , 	4 , 	5 , 	23 , 	6 , 	7 , 	6 , 	18 , 	1 , 	8 , 	15 , 	1 , 	2 , 	1 , 	1 , 	2 , 	2 , 	21 , 	14 , 	14 , 	8 , 	3 , 	28 , 	1 , 	67 , 	39 , 	95 , 	81 , 	7 , 	8 , 	5 , 	5 , 	4 , 	9 , 	0 , 	1 , 	2 , 	6 , 	525 ,,,FT/ED line," 	9,514 "," 	3,175 "," 	2,622 "," 	3,574 "," 	1,205 "," 	4,944 "," 	85,716 "
RR, 	10 , 	9 , 	12 , 	7 , 	23 , 	11 , 	18 , 	29 , 	39 , 	16 , 	19 , 	37 , 	9 , 	9 , 	6 , 	2 , 	4 , 	14 , 	21 , 	28 , 	51 , 	24 , 	29 , 	3 , 	9 , 	141 , 	118 , 	329 , 	229 , 	62 , 	59 , 	20 , 	14 , 	18 , 	24 , 	2 , 	5 , 	5 , 	12 ," 	1,477 ",,,,,,,,,,
OW, 	28 , 	16 , 	4 , 	7 , 	43 , 	22 , 	30 , 	19 , 	33 , 	12 , 	50 , 	32 , 	11 , 	16 , 	8 , 	1 , 	3 , 	4 , 	4 , 	3 , 	6 , 	0 , 	2 , 	5 , 	2 , 	117 , 	94 , 	276 , 	131 , 	51 , 	42 , 	10 , 	10 , 	6 , 	8 , 	1 , 	10 , 	1 , 	8 ," 	1,129 ",,,,,,,,,,
EM, 	55 , 	94 , 	69 , 	105 , 	252 , 	90 , 	118 , 	98 , 	184 , 	110 , 	121 , 	245 , 	78 , 	79 , 	41 , 	23 , 	53 , 	121 , 	92 , 	127 , 	145 , 	83 , 	80 , 	150 , 	125 , 	31 , 	23 , 	104 , 	71 , 	178 , 	260 , 	115 , 	163 , 	100 , 	101 , 	58 , 	235 , 	31 , 	90 ," 	4,301 ",,,,,,,,,,
MT, 	48 , 	95 , 	66 , 	82 , 	184 , 	83 , 	122 , 	109 , 	232 , 	120 , 	111 , 	147 , 	83 , 	74 , 	30 , 	28 , 	51 , 	106 , 	53 , 	82 , 	87 , 	48 , 	41 , 	128 , 	121 , 	20 , 	29 , 	52 , 	70 , 	305 , 	321 , 	320 , 	942 , 	180 , 	155 , 	41 , 	118 , 	26 , 	58 ," 	4,968 ",,,,,,,,,,
PL, 	111 , 	227 , 	139 , 	176 , 	515 , 	166 , 	295 , 	184 , 	399 , 	228 , 	329 , 	323 , 	171 , 	159 , 	91 , 	56 , 	114 , 	218 , 	118 , 	171 , 	213 , 	127 , 	101 , 	320 , 	330 , 	98 , 	42 , 	93 , 	152 , 	744 ," 	1,132 ", 	597 ," 	1,054 ", 	501 , 	451 , 	96 , 	348 , 	46 , 	171 ," 	10,807 ",,,,,,,,,,
CC, 	54 , 	96 , 	73 , 	122 , 	235 , 	107 , 	180 , 	112 , 	167 , 	101 , 	447 , 	174 , 	76 , 	56 , 	34 , 	25 , 	42 , 	96 , 	67 , 	83 , 	130 , 	88 , 	79 , 	195 , 	150 , 	61 , 	45 , 	146 , 	68 , 	460 , 	626 , 	266 , 	478 , 	273 , 	280 , 	48 , 	170 , 	16 , 	59 ," 	5,985 ",,,,,,,,,,
16, 	57 , 	41 , 	15 , 	47 , 	100 , 	56 , 	82 , 	52 , 	61 , 	44 , 	81 , 	82 , 	26 , 	17 , 	22 , 	8 , 	9 , 	22 , 	22 , 	15 , 	19 , 	17 , 	7 , 	63 , 	46 , 	155 , 	203 , 	792 , 	504 , 	36 , 	151 , 	109 , 	245 , 	133 , 	108 , 	6 , 	28 , 	5 , 	28 ," 	3,514 ",,,,,,,,,,
24, 	69 , 	57 , 	20 , 	29 , 	79 , 	53 , 	68 , 	48 , 	53 , 	43 , 	104 , 	84 , 	28 , 	23 , 	20 , 	15 , 	16 , 	28 , 	37 , 	18 , 	26 , 	9 , 	9 , 	45 , 	43 , 	215 , 	255 ," 	1,175 ", 	650 , 	155 , 	39 , 	114 , 	291 , 	158 , 	146 , 	8 , 	33 , 	7 , 	52 ," 	4,325 ",,,,,,,,,,
GP, 	14 , 	18 , 	11 , 	14 , 	41 , 	17 , 	20 , 	13 , 	24 , 	15 , 	25 , 	48 , 	13 , 	11 , 	4 , 	4 , 	6 , 	13 , 	15 , 	10 , 	11 , 	6 , 	4 , 	25 , 	15 , 	113 , 	139 , 	807 , 	265 , 	115 , 	103 , 	25 , 	43 , 	31 , 	53 , 	6 , 	16 , 	4 , 	19 ," 	2,136 ",,,,,,,,,,
