Exit stations,Entry stations->,,ADJUSTED WEEKDAY,,,May 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,Exits,,,,,,,,,,,
OR, 	9 , 	10 , 	12 , 	13 , 	50 , 	12 , 	33 , 	70 , 	147 , 	11 , 	33 , 	51 , 	8 , 	4 , 	7 , 	3 , 	4 , 	9 , 	67 , 	44 , 	46 , 	17 , 	3 , 	67 , 	5 , 	645 , 	575 , 	203 , 	175 , 	22 , 	24 , 	11 , 	15 , 	23 , 	17 , 	2 , 	2 , 	9 , 	27 ," 	2,484 ",,,FT/ED line," 	36,317 "," 	14,055 "," 	5,621 "," 	7,862 "," 	3,336 "," 	13,365 "," 	289,681 ",
RR, 	25 , 	25 , 	17 , 	25 , 	46 , 	13 , 	41 , 	105 , 	201 , 	31 , 	47 , 	81 , 	16 , 	12 , 	18 , 	7 , 	11 , 	18 , 	98 , 	112 , 	132 , 	66 , 	62 , 	5 , 	18 , 	837 , 	891 , 	486 , 	425 , 	96 , 	79 , 	33 , 	46 , 	50 , 	23 , 	5 , 	11 , 	20 , 	54 ," 	4,286 ",,,,,,,,,,,
OW, 	27 , 	35 , 	8 , 	15 , 	58 , 	33 , 	39 , 	46 , 	75 , 	20 , 	93 , 	84 , 	33 , 	34 , 	31 , 	17 , 	14 , 	13 , 	15 , 	12 , 	12 , 	3 , 	5 , 	15 , 	4 ," 	1,077 ", 	947 , 	528 , 	379 , 	93 , 	80 , 	30 , 	32 , 	50 , 	17 , 	8 , 	26 , 	2 , 	22 ," 	4,035 ",,,,,,,,,,,
EM, 	223 , 	797 , 	442 , 	428 , 	724 , 	467 , 	762 , 	835 ," 	1,193 ", 	527 , 	589 , 	642 , 	641 , 	587 , 	405 , 	327 , 	555 , 	848 , 	782 ," 	1,612 "," 	1,199 ", 	760 , 	667 , 	813 ," 	1,165 ", 	87 , 	119 , 	334 , 	293 , 	756 ," 	1,353 "," 	1,123 "," 	1,438 "," 	1,138 "," 	1,234 ", 	453 ," 	1,416 ", 	365 , 	680 ," 	28,777 ",,,,,,,,,,,
MT, 	236 , 	735 , 	428 , 	390 , 	573 , 	466 , 	707 , 	617 , 	879 , 	469 , 	654 , 	504 , 	593 , 	549 , 	330 , 	276 , 	476 , 	775 , 	661 ," 	1,198 ", 	855 , 	523 , 	505 , 	769 ," 	1,014 ", 	118 , 	73 , 	182 , 	313 ," 	1,193 "," 	1,915 "," 	1,660 "," 	2,905 "," 	1,493 "," 	1,403 ", 	388 , 	995 , 	283 , 	554 ," 	28,656 ",,,,,,,,,,,
PL, 	232 , 	539 , 	260 , 	266 , 	749 , 	308 , 	520 , 	479 , 	833 , 	398 , 	537 , 	610 , 	344 , 	316 , 	226 , 	178 , 	264 , 	391 , 	340 , 	455 , 	377 , 	205 , 	181 , 	424 , 	493 , 	488 , 	259 , 	114 , 	332 ," 	1,267 "," 	1,853 "," 	1,187 "," 	2,467 "," 	1,032 ", 	884 , 	157 , 	539 , 	137 , 	326 ," 	20,966 ",,,,,,,,,,,
CC, 	186 , 	496 , 	262 , 	273 , 	523 , 	296 , 	507 , 	437 , 	594 , 	311 , 	416 , 	405 , 	310 , 	256 , 	204 , 	179 , 	218 , 	323 , 	293 , 	412 , 	288 , 	177 , 	152 , 	377 , 	399 , 	304 , 	308 , 	306 , 	95 , 	932 ," 	1,331 ", 	875 ," 	1,899 ", 	798 , 	819 , 	151 , 	435 , 	133 , 	362 ," 	17,045 ",,,,,,,,,,,
16, 	88 , 	79 , 	43 , 	76 , 	218 , 	94 , 	162 , 	143 , 	203 , 	88 , 	156 , 	110 , 	58 , 	56 , 	46 , 	38 , 	24 , 	37 , 	52 , 	46 , 	49 , 	21 , 	20 , 	85 , 	90 , 	659 , 	943 ," 	1,440 ", 	903 , 	33 , 	327 , 	321 , 	787 , 	234 , 	200 , 	19 , 	68 , 	19 , 	80 ," 	8,115 ",,,,,,,,,,,
24, 	113 , 	119 , 	43 , 	58 , 	217 , 	92 , 	131 , 	142 , 	231 , 	74 , 	170 , 	135 , 	62 , 	46 , 	44 , 	38 , 	25 , 	46 , 	73 , 	53 , 	50 , 	29 , 	26 , 	81 , 	89 ," 	1,167 "," 	1,554 "," 	2,088 "," 	1,317 ", 	357 , 	49 , 	276 , 	800 , 	303 , 	261 , 	20 , 	61 , 	21 , 	103 ," 	10,563 ",,,,,,,,,,,
GP, 	26 , 	54 , 	22 , 	27 , 	120 , 	25 , 	54 , 	109 , 	149 , 	38 , 	45 , 	64 , 	31 , 	26 , 	22 , 	8 , 	14 , 	21 , 	34 , 	48 , 	45 , 	15 , 	16 , 	32 , 	32 ," 	1,058 "," 	1,308 "," 	1,485 ", 	761 , 	321 , 	284 , 	27 , 	173 , 	85 , 	99 , 	11 , 	50 , 	8 , 	43 ," 	6,790 ",,,,,,,,,,,
