Total Trip OD																																																			
																																																			
2024 / 03																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
LM	526	"1,043"	814	743	"2,523"	880	777	418	403	439	"2,499"	"2,466"	"4,372"	"3,194"	"2,035"	"1,295"	"1,306"	"1,206"	272	178	328	116	104	307	569	"8,360"	"6,679"	"7,339"	"6,192"	"3,162"	"2,253"	867	944	"1,090"	152	"1,548"	"2,647"	147	262	101	138	379	142	"1,261"	404	"1,001"	90	348	722	"1,043"	"76,084"
FV	"1,328"	"1,814"	793	872	"3,606"	"1,460"	"2,402"	"1,911"	"1,598"	"2,230"	666	"3,389"	"3,971"	"3,691"	"3,406"	"1,668"	"1,282"	"1,432"	465	261	451	260	285	574	"1,878"	"8,401"	"7,283"	"9,695"	"8,425"	"4,169"	"3,454"	912	"1,187"	"1,985"	205	985	"2,153"	86	320	182	305	790	214	877	230	"1,107"	157	310	753	"1,118"	"96,996"
CL	"1,086"	"1,324"	406	456	"1,988"	723	"1,871"	"1,758"	"1,951"	"2,293"	"3,397"	260	"2,046"	"2,172"	"2,049"	"1,052"	"1,134"	941	519	359	364	240	179	403	"1,085"	"4,012"	"2,885"	"4,655"	"3,255"	"1,532"	"1,677"	581	755	"1,264"	98	879	"1,993"	142	453	191	163	294	233	592	399	999	193	581	869	"1,113"	"59,864"
SL	605	862	400	440	"1,913"	643	"1,637"	"2,136"	"3,281"	"4,472"	"4,235"	"2,304"	411	"1,990"	"3,244"	"1,631"	"1,376"	"2,106"	395	285	275	42	116	395	695	"7,588"	"7,163"	"7,665"	"5,637"	"2,161"	"1,582"	637	930	"1,463"	98	677	"2,268"	40	207	156	125	500	133	930	155	"1,299"	63	344	897	"1,159"	"79,766"
BF	317	615	301	289	"1,444"	367	987	"1,544"	"2,128"	"3,167"	"3,707"	"2,099"	"1,993"	517	"1,670"	"1,219"	"1,050"	"1,529"	318	86	239	28	59	147	559	"5,703"	"5,710"	"7,278"	"4,694"	"1,525"	"1,210"	541	598	896	131	705	"2,178"	29	148	183	142	303	134	957	109	"1,224"	85	137	701	936	"62,636"
HY	457	864	277	317	"1,580"	450	935	"1,478"	"2,024"	"1,882"	"3,309"	"2,164"	"3,316"	"1,804"	409	"1,505"	"2,930"	"3,355"	385	170	248	87	66	186	575	"3,602"	"3,041"	"3,497"	"2,540"	968	643	298	388	727	131	302	"1,102"	46	269	124	203	189	121	518	132	"1,842"	78	302	"1,418"	"1,591"	"54,845"
SH	270	253	129	81	905	217	625	791	"1,191"	"1,165"	"1,580"	961	"1,493"	"1,073"	"1,370"	280	"1,025"	"1,469"	164	104	136	38	24	78	250	"3,021"	"2,477"	"2,404"	"1,976"	648	716	136	248	384	41	300	512	25	95	86	54	130	59	370	131	"1,566"	20	107	774	"1,019"	"32,971"
UC	222	499	173	184	"1,780"	249	729	"1,410"	"1,988"	"1,210"	"1,296"	"1,138"	"1,433"	"1,213"	"2,865"	"1,066"	406	"1,531"	169	169	206	22	33	123	253	"5,181"	"3,779"	"3,114"	"2,398"	797	426	198	241	571	74	173	766	34	126	64	84	308	41	349	178	"1,687"	50	86	"1,582"	"1,888"	"44,562"
FM	201	435	242	312	"1,681"	293	698	"1,261"	"1,691"	"1,208"	"1,484"	933	"2,216"	"1,436"	"3,290"	"1,616"	"1,501"	447	259	84	122	32	78	162	212	"6,431"	"4,333"	"3,131"	"2,312"	816	428	175	235	531	94	316	734	29	106	37	58	434	35	264	227	"1,887"	41	119	"2,154"	"2,605"	"49,426"
CN	415	500	286	259	"1,202"	267	"2,102"	"1,884"	"2,260"	382	480	478	375	280	402	168	153	227	635	"1,564"	"4,035"	"2,540"	585	"1,417"	294	"6,715"	"6,025"	"5,161"	"4,556"	"1,387"	"1,191"	573	549	"1,122"	194	64	152	632	"2,949"	178	269	"1,530"	246	68	360	108	"1,522"	"2,066"	175	210	"61,192"
PH	173	257	236	175	"1,304"	272	"1,408"	"2,001"	"2,617"	205	280	387	233	118	175	139	131	90	"1,651"	363	"1,637"	683	441	"1,556"	216	"10,391"	"9,015"	"5,606"	"4,396"	"1,487"	731	559	495	751	137	39	85	271	"1,046"	235	209	"2,146"	142	39	513	133	502	998	123	156	"56,953"
WC	516	522	314	414	"1,552"	298	"1,782"	"2,809"	"2,751"	393	518	384	305	203	251	135	181	123	"4,447"	"1,478"	466	"1,043"	599	"2,248"	219	"11,837"	"9,219"	"5,425"	"4,580"	"1,547"	910	564	491	747	192	63	102	501	"1,725"	247	241	"2,536"	235	21	500	58	660	"1,550"	163	194	"68,259"
LF	311	275	148	152	746	181	746	"1,235"	"1,218"	131	324	198	34	43	69	44	25	26	"2,976"	879	"1,091"	247	275	974	64	"8,407"	"6,362"	"2,829"	"2,299"	886	529	213	245	216	37	11	14	157	369	55	154	"1,573"	96	8	304	42	137	315	29	73	"37,772"
OR	154	175	109	127	389	82	505	928	"1,147"	91	231	182	97	75	58	31	19	78	519	356	599	248	214	921	71	"7,678"	"5,586"	"2,311"	"2,181"	780	324	344	213	306	68	33	13	47	192	42	64	"1,126"	75	23	163	23	146	153	51	68	"29,416"
RR	351	550	385	243	542	192	"1,124"	"2,150"	"1,917"	356	595	353	418	215	178	92	158	182	"1,441"	"1,591"	"2,241"	978	983	411	383	"12,254"	"9,154"	"5,758"	"6,195"	"3,024"	"1,749"	816	697	575	71	45	126	194	656	192	199	"2,285"	131	44	279	95	258	641	98	146	"63,711"
OW	480	494	112	330	"1,116"	395	"1,011"	"1,003"	"1,291"	460	"1,836"	"1,113"	679	664	570	210	249	247	259	222	240	56	62	368	714	"18,485"	"12,779"	"13,354"	"10,362"	"5,952"	"3,689"	953	"1,094"	953	156	205	447	43	244	273	402	"1,681"	327	137	144	156	158	248	136	191	"86,750"
EM	"5,265"	"10,451"	"6,798"	"7,856"	"13,051"	"7,287"	"12,105"	"16,001"	"15,365"	"9,574"	"10,121"	"4,474"	"9,318"	"6,889"	"4,472"	"3,668"	"5,698"	"7,088"	"8,002"	"12,216"	"13,513"	"9,711"	"8,821"	"13,687"	"21,939"	"2,310"	744	"3,796"	"4,723"	"11,879"	"17,753"	"11,075"	"11,975"	"13,177"	"4,759"	"5,506"	"16,047"	"2,499"	"6,181"	"4,023"	"3,890"	"6,089"	"4,700"	"6,544"	"1,460"	"2,470"	840	"5,269"	"3,407"	"3,848"	"398,334"
MT	"4,686"	"8,827"	"4,918"	"5,701"	"9,555"	"5,744"	"9,612"	"11,970"	"10,427"	"7,326"	"8,431"	"3,405"	"7,917"	"6,836"	"3,703"	"2,866"	"4,153"	"4,647"	"6,276"	"9,565"	"9,268"	"6,498"	"5,549"	"9,554"	"15,017"	850	"1,652"	"1,063"	"3,344"	"11,255"	"18,460"	"12,561"	"16,750"	"16,718"	"5,495"	"4,333"	"10,779"	"1,704"	"5,482"	"4,987"	"4,907"	"5,411"	"5,166"	"4,006"	971	"1,913"	872	"4,464"	"2,860"	"2,851"	"331,305"
PL	"5,396"	"8,809"	"3,756"	"3,520"	"9,998"	"4,084"	"7,743"	"8,799"	"9,942"	"6,168"	"8,483"	"4,180"	"6,397"	"5,905"	"3,141"	"2,219"	"2,920"	"2,750"	"4,734"	"5,075"	"5,086"	"2,725"	"2,335"	"5,306"	"13,228"	"4,078"	"1,265"	"2,488"	"2,691"	"14,392"	"18,590"	"11,499"	"21,109"	"15,492"	"4,801"	"2,635"	"6,346"	"1,430"	"5,826"	"4,163"	"3,871"	"14,957"	"4,155"	"2,341"	"1,155"	"1,218"	"1,057"	"3,480"	"1,645"	"2,060"	"295,443"
CC	"3,793"	"6,451"	"3,673"	"3,817"	"6,517"	"4,401"	"7,386"	"8,816"	"7,674"	"5,294"	"7,839"	"3,209"	"4,830"	"3,890"	"2,286"	"1,656"	"1,942"	"2,126"	"3,742"	"3,706"	"3,776"	"2,044"	"2,037"	"5,275"	"10,768"	"3,938"	"2,765"	"2,786"	"1,683"	"6,570"	"10,498"	"8,154"	"11,862"	"10,496"	"4,279"	"2,378"	"4,505"	"1,187"	"3,155"	"3,947"	"3,851"	"6,203"	"3,839"	"1,619"	549	944	736	"3,452"	"1,250"	"1,364"	"218,958"
16	"2,313"	"3,097"	"1,362"	"2,147"	"4,233"	"2,515"	"4,972"	"5,534"	"4,399"	"2,879"	"4,088"	"1,471"	"2,146"	"1,373"	987	662	796	841	"1,318"	"1,394"	"1,371"	834	705	"2,754"	"6,155"	"11,275"	"11,182"	"16,046"	"7,565"	705	"3,182"	"5,497"	"7,207"	"7,129"	"2,839"	796	"1,650"	464	"1,876"	"1,968"	"2,137"	"4,387"	"2,458"	616	343	438	287	"1,325"	422	704	"152,844"
24	"2,442"	"2,520"	999	"1,357"	"3,343"	"1,548"	"3,180"	"3,814"	"3,366"	"1,930"	"3,001"	"1,552"	"1,409"	"1,176"	642	725	366	390	"1,162"	757	841	565	370	"1,705"	"4,111"	"15,536"	"15,935"	"21,459"	"12,088"	"3,177"	662	"4,704"	"5,764"	"6,038"	"2,226"	433	941	312	"1,483"	"1,736"	"1,984"	"3,070"	"2,032"	369	321	223	170	976	309	451	"145,670"
GP	630	857	430	494	"1,869"	445	"1,003"	"1,652"	"1,618"	811	813	545	495	493	269	135	191	173	506	457	414	219	270	786	"1,056"	"10,126"	"11,243"	"12,632"	"8,008"	"5,332"	"4,862"	369	"1,312"	"1,443"	847	153	540	95	521	642	930	"1,861"	"1,135"	206	183	122	63	570	108	154	"80,088"
BP	866	"1,133"	385	492	"1,155"	420	922	"1,254"	"1,655"	898	"1,054"	722	884	529	355	248	221	173	484	424	511	275	225	633	"1,466"	"10,385"	"11,458"	"23,286"	"11,200"	"6,558"	"5,677"	"1,284"	418	"1,686"	"1,411"	249	546	154	555	"1,003"	"1,436"	"1,764"	"1,419"	259	100	153	135	459	182	226	"99,387"
DC	"1,298"	"2,425"	602	447	"1,490"	511	"1,061"	"1,465"	"1,784"	"1,044"	"2,037"	"1,226"	"1,382"	957	648	350	546	552	"1,004"	721	715	237	332	610	"1,092"	"12,531"	"15,196"	"17,724"	"11,515"	"7,484"	"6,316"	"1,598"	"1,993"	535	746	422	"1,103"	274	993	"1,678"	"2,288"	"3,545"	"3,528"	400	205	284	300	"1,021"	363	450	"117,028"
CM	265	284	99	110	430	102	158	403	671	123	170	66	105	92	134	42	42	84	209	121	205	53	68	104	172	"4,603"	"4,761"	"5,897"	"4,434"	"2,632"	"2,284"	817	"1,345"	647	287	43	98	29	220	235	735	"1,603"	"1,124"	12	21	24	79	270	12	20	"36,544"
CV	76	118	79	36	473	77	201	418	445	"1,446"	980	803	697	742	344	261	224	285	82	30	61	13	19	33	213	"4,870"	"3,938"	"3,187"	"2,606"	856	463	141	294	454	26	224	"1,785"	9	39	84	70	264	84	"1,223"	101	191	20	60	138	181	"29,464"
ED	151	292	153	138	"1,361"	196	529	"1,180"	"1,623"	"2,214"	"2,180"	"1,960"	"2,196"	"1,896"	"1,098"	565	798	688	153	63	92	16	12	118	464	"14,175"	"10,271"	"7,000"	"5,062"	"1,678"	989	553	548	"1,208"	87	"1,618"	835	23	53	82	118	"1,792"	170	534	859	319	36	65	506	846	"69,563"
NC	72	72	46	33	227	33	337	526	719	160	58	139	66	27	37	27	20	32	547	311	445	108	55	239	43	"1,900"	"1,552"	"1,500"	"1,445"	458	368	108	157	289	22	10	32	100	388	103	122	521	26	4	119	68	309	361	14	60	"14,415"
WP	285	193	81	105	677	128	"1,608"	"1,019"	"1,686"	241	340	439	197	136	251	83	127	126	"3,257"	"1,127"	"1,904"	435	245	822	244	"4,986"	"4,833"	"6,977"	"4,787"	"2,012"	"1,490"	691	651	"1,026"	219	34	43	381	374	145	298	"1,372"	232	24	221	118	198	497	93	133	"47,591"
SS	285	512	104	64	451	110	254	479	794	97	154	169	141	211	108	71	62	28	199	204	246	59	52	189	269	"3,952"	"4,462"	"4,833"	"4,120"	"2,053"	"1,767"	636	"1,192"	"1,616"	284	69	110	126	169	248	639	893	564	39	29	42	28	306	30	16	"33,535"
SB	308	438	170	92	519	139	348	590	757	195	377	197	153	158	168	62	60	77	282	226	228	146	52	230	465	"3,761"	"4,321"	"4,590"	"3,981"	"2,212"	"2,076"	"1,018"	"1,590"	"2,446"	672	110	114	132	287	613	300	"2,040"	429	43	39	48	58	250	25	34	"37,626"
SO	"1,115"	"1,402"	"1,142"	"1,621"	"4,842"	"1,084"	"1,735"	"1,444"	"1,729"	435	750	317	428	267	165	120	185	361	"1,518"	"2,087"	"2,456"	"1,554"	"1,326"	"2,294"	"1,925"	"4,762"	"4,206"	"12,907"	"5,286"	"3,315"	"2,267"	"1,461"	"1,451"	"3,148"	"1,422"	226	"1,479"	489	"1,370"	712	"1,349"	"2,083"	"6,595"	377	279	164	167	"1,322"	147	105	"89,391"
MB	327	620	268	244	"1,758"	282	410	668	783	170	183	235	129	99	94	36	42	16	197	130	214	87	59	132	328	"4,168"	"4,527"	"4,297"	"3,615"	"2,226"	"1,819"	"1,013"	"1,540"	"3,086"	990	52	154	27	212	475	367	"7,459"	801	54	51	5	28	170	6	11	"44,664"
WD	85	192	119	43	382	77	300	574	568	"1,077"	902	564	"1,022"	"1,016"	606	374	377	260	74	42	11	11	5	43	169	"5,939"	"3,917"	"2,542"	"2,034"	699	348	229	274	455	20	"1,163"	523	10	39	45	58	495	70	254	355	184	48	12	239	370	"29,215"
OA	150	412	392	478	"2,275"	361	371	393	506	330	162	276	118	80	120	87	138	193	302	386	363	239	129	203	110	"1,499"	993	"1,177"	737	358	328	208	124	202	21	76	663	100	259	20	27	306	53	306	222	85	35	234	159	173	"16,939"
WS	329	441	153	179	916	197	520	821	707	933	"1,067"	946	"1,177"	900	"1,559"	"1,339"	"1,461"	"1,678"	120	106	46	38	22	71	160	"2,148"	"1,605"	"1,348"	"1,024"	477	249	127	186	284	17	194	272	61	106	49	46	191	11	147	70	206	47	181	"1,744"	"1,938"	"28,614"
PC	106	60	32	20	187	57	368	299	300	104	130	164	54	94	95	34	22	42	"1,511"	476	658	112	144	242	181	605	579	"1,005"	691	309	181	68	119	266	59	27	35	270	298	34	65	174	35	46	49	30	32	462	12	20	"10,963"
AN	301	305	54	62	589	147	"1,448"	"1,245"	"1,802"	314	279	584	343	149	307	108	113	122	"2,065"	905	"1,568"	316	168	622	313	"4,560"	"4,028"	"3,862"	"3,910"	"1,402"	956	585	533	"1,050"	261	66	80	387	575	322	210	"1,428"	214	14	348	227	483	347	98	162	"40,337"
ML	219	361	204	210	"1,990"	278	440	834	788	684	705	825	801	653	"1,364"	829	"1,455"	"1,982"	175	105	161	39	42	104	156	"2,887"	"2,505"	"1,814"	"1,384"	403	340	137	232	351	19	135	458	14	67	23	19	196	12	221	157	"1,860"	24	114	443	580	"29,799"
BE	256	579	244	290	"3,097"	486	772	"1,056"	"1,060"	970	"1,079"	"1,098"	"1,163"	999	"1,759"	"1,175"	"1,965"	"2,495"	215	182	204	76	78	167	235	"3,497"	"2,554"	"2,461"	"1,660"	692	482	173	265	535	27	147	766	48	126	24	34	176	6	389	180	"2,266"	26	126	645	515	"39,520"
Grand Total	"57,889"	"89,809"	"52,438"	"46,981"	"144,895"	"53,090"	"96,540"	"118,093"	"124,579"	"73,684"	"97,670"	"59,833"	"78,285"	"62,096"	"54,897"	"34,488"	"43,693"	"48,721"	"62,023"	"57,446"	"67,588"	"37,914"	"30,937"	"63,207"	"94,496"	"347,326"	"294,722"	"325,088"	"239,618"	"151,566"	"146,665"	"82,445"	"106,883"	"114,750"	"36,449"	"29,155"	"70,127"	"14,925"	"45,663"	"32,653"	"35,993"	"100,537"	"46,631"	"28,523"	"18,107"	"30,918"	"11,720"	"39,764"	"30,523"	"37,854"	"4,169,897"
