Avg Weekday Trip OD																																																			
																																																			
2024 / 03																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
OW	20	18	4	12	40	15	38	38	47	16	68	43	25	26	23	8	10	9	10	9	9	2	2	12	24	739	520	467	392	205	131	36	43	36	5	8	16	2	10	10	15	58	12	5	5	6	7	10	5	7	"3,277"
EM	219	425	280	309	451	287	478	641	630	381	410	178	396	283	185	157	245	299	341	528	578	420	387	555	872	82	29	134	186	466	716	463	501	557	208	235	670	108	269	175	160	206	183	281	53	99	36	232	128	146	"16,260"
MT	203	364	207	231	333	235	397	490	427	300	348	136	335	287	161	123	181	198	271	421	401	286	242	398	615	34	60	41	136	463	791	547	704	724	240	184	467	75	241	220	213	183	223	175	37	79	37	198	115	113	"13,886"
PL	214	330	137	120	304	146	283	320	375	222	318	153	239	217	114	84	106	94	178	195	188	95	85	184	469	150	50	78	93	474	636	421	793	564	177	97	224	53	236	156	137	488	139	85	39	42	44	140	47	60	"10,590"
CC	162	261	141	143	214	169	280	340	304	204	309	125	200	161	95	67	78	80	159	151	144	76	76	196	404	156	115	94	55	231	386	323	492	408	168	98	176	51	133	164	148	205	133	65	20	37	32	155	43	42	"8,471"
16	93	119	48	72	146	85	177	196	166	102	151	54	88	54	40	27	32	33	53	54	50	31	26	94	211	447	460	529	264	22	108	205	280	260	109	31	61	20	82	77	77	143	81	24	11	17	12	57	13	21	"5,609"
24	95	90	35	45	118	53	110	133	125	66	111	60	55	45	24	28	13	13	45	30	31	21	12	55	142	629	675	734	441	110	21	174	222	220	83	17	33	13	60	65	69	102	72	14	10	9	7	39	10	13	"5,397"
GP	26	33	16	17	68	15	37	65	65	30	31	20	20	19	11	5	7	6	20	18	15	8	10	29	40	430	491	459	314	203	179	12	54	55	31	6	20	3	20	25	35	63	42	8	5	4	2	25	3	4	"3,127"
BP	36	45	16	19	44	16	38	51	68	36	42	27	36	20	14	10	8	6	20	16	19	11	9	26	60	434	489	875	462	258	220	53	15	67	54	10	20	7	22	39	53	60	56	10	3	5	5	18	5	7	"3,942"
DC	55	105	26	18	51	21	43	59	75	42	87	49	59	39	28	15	23	22	43	30	29	9	14	23	41	536	668	632	437	274	231	61	78	18	28	17	42	12	41	69	88	115	142	17	7	11	13	43	13	16	"4,614"
CM	11	10	3	4	17	3	6	17	28	5	6	2	4	3	6	2	1	3	8	5	7	1	3	3	6	203	210	216	175	100	85	30	51	25	10	2	4	1	8	9	28	54	48	0	1	1	3	10	0	1	"1,435"
CV	3	4	3	2	18	2	8	18	20	55	37	28	26	27	13	11	9	12	3	1	3	0	1	1	8	207	170	115	107	34	18	5	11	19	1	8	69	0	2	4	3	9	4	43	4	8	1	2	5	6	"1,166"
ED	6	10	5	5	47	7	21	47	73	90	84	69	89	72	42	23	31	26	6	2	4	0	0	4	16	594	450	245	201	62	35	22	21	48	3	63	32	1	2	4	5	63	6	19	31	13	1	3	16	30	"2,746"
NC	3	3	2	1	9	1	14	23	32	7	2	5	3	1	1	1	1	1	22	13	16	4	2	10	2	81	67	58	62	19	16	4	7	13	1	0	1	3	15	5	5	17	1	0	5	3	13	15	1	2	593
WP	13	7	3	4	29	6	69	44	75	10	12	17	8	5	11	3	5	5	131	44	73	17	9	33	10	217	212	284	210	87	61	29	26	43	9	1	2	15	13	5	12	51	10	1	9	4	7	20	3	4	"1,979"
SS	12	20	4	2	18	4	11	20	34	4	6	7	6	9	4	3	2	1	8	8	10	2	2	7	10	173	200	181	168	81	67	24	46	66	11	3	5	5	7	9	23	30	23	2	1	2	1	13	1	0	"1,353"
SB	12	16	7	3	20	5	13	24	30	7	16	7	5	6	6	2	3	3	11	9	9	6	2	8	17	158	191	160	151	80	74	38	58	94	24	4	5	5	12	22	10	67	18	2	1	2	2	11	1	1	"1,440"
SO	41	51	42	60	155	39	64	56	62	16	28	12	15	10	7	4	7	12	56	77	90	57	50	83	71	165	151	392	183	117	79	53	50	108	51	7	55	19	53	25	48	75	244	14	9	6	6	50	5	4	"3,133"
MB	13	26	10	9	60	11	16	27	32	7	6	9	5	3	4	2	2	0	8	5	9	3	2	4	12	173	198	140	123	74	66	38	61	125	41	2	6	1	9	19	14	241	28	2	2	0	1	7	0	0	"1,657"
WD	3	8	5	1	13	2	12	24	26	44	33	19	38	36	21	13	15	10	3	1	0	0	0	1	6	256	172	91	83	27	13	9	11	19	1	40	19	0	1	2	2	17	2	9	13	7	2	0	8	14	"1,154"
OA	6	15	15	19	75	13	14	16	19	12	6	9	5	3	5	4	5	7	12	16	15	10	5	7	4	59	38	40	27	13	12	8	5	8	1	3	25	4	10	1	1	10	2	12	8	4	1	9	6	7	632
WS	14	18	6	7	32	8	22	33	31	39	43	35	50	37	65	55	58	70	5	4	2	1	1	3	5	86	69	45	40	19	10	4	7	11	0	8	11	3	4	2	2	7	0	5	2	7	2	8	72	81	"1,149"
PC	4	2	1	1	8	2	14	12	13	4	5	7	2	4	4	1	1	2	58	17	25	4	6	10	7	25	24	40	30	13	7	3	5	11	3	1	1	11	11	1	3	6	1	2	2	1	1	19	0	1	437
AN	12	11	2	2	24	6	59	52	80	14	10	24	13	5	12	4	4	5	84	35	61	12	7	24	12	195	178	153	173	59	37	25	21	44	10	2	3	16	23	13	9	51	9	0	13	10	20	14	3	5	"1,661"
ML	8	12	8	7	66	9	16	31	34	26	26	22	33	23	52	31	55	72	6	4	6	2	1	4	6	110	105	53	49	13	12	4	7	14	0	5	15	1	2	1	0	6	0	8	5	77	1	5	13	20	"1,083"
BE	9	18	8	9	101	14	26	38	43	34	37	35	44	36	67	43	76	99	7	6	6	2	3	5	8	130	102	71	53	20	13	5	7	19	1	5	25	2	4	0	1	6	0	15	6	94	1	4	23	16	"1,399"
Grand Total	"2,337"	"3,518"	"2,038"	"1,767"	"5,269"	"1,998"	"3,738"	"4,630"	"5,050"	"2,835"	"3,785"	"2,251"	"3,158"	"2,435"	"2,174"	"1,377"	"1,766"	"1,937"	"2,481"	"2,352"	"2,680"	"1,512"	"1,263"	"2,408"	"3,583"	"14,222"	"12,480"	"11,578"	"9,335"	"5,610"	"5,520"	"3,240"	"4,250"	"4,557"	"1,440"	"1,159"	"2,767"	618	"1,893"	"1,322"	"1,387"	"3,363"	"1,763"	"1,136"	616	"1,245"	481	"1,670"	"1,103"	"1,363"	"162,459"
