Exit stations,Entry stations->,,SATURDAY,,,Aug 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	7 , 	23 , 	23 , 	14 , 	91 , 	24 , 	29 , 	20 , 	22 , 	5 , 	34 , 	32 , 	9 , 	7 , 	8 , 	4 , 	3 , 	4 , 	7 , 	4 , 	9 , 	3 , 	1 , 	7 , 	7 , 	59 , 	38 , 	135 , 	45 , 	45 , 	62 , 	13 , 	17 , 	15 , 	3 , 	2 , 	4 , 	1 , 	2 , 	4 , 	6 , 	17 , 	4 , 	2 , 	3 , 	3 , 	3 , 	4 , 	4 , 	3 , 	883 ,,,,,,,,,,
LF, 	5 , 	3 , 	1 , 	1 , 	7 , 	2 , 	6 , 	9 , 	7 , 	2 , 	5 , 	39 , 	4 , 	1 , 	1 , 	0 , 	-   , 	1 , 	41 , 	12 , 	15 , 	7 , 	5 , 	19 , 	3 , 	59 , 	31 , 	44 , 	41 , 	13 , 	7 , 	4 , 	2 , 	3 , 	1 , 	-   , 	-   , 	3 , 	8 , 	0 , 	0 , 	25 , 	2 , 	-   , 	9 , 	1 , 	1 , 	1 , 	5 , 	4 , 	455 ,,,,,,,,,,
OR, 	2 , 	3 , 	3 , 	1 , 	7 , 	2 , 	8 , 	10 , 	6 , 	1 , 	7 , 	24 , 	1 , 	2 , 	1 , 	0 , 	1 , 	0 , 	7 , 	6 , 	8 , 	4 , 	2 , 	11 , 	1 , 	41 , 	23 , 	45 , 	30 , 	16 , 	7 , 	4 , 	3 , 	2 , 	0 , 	0 , 	1 , 	1 , 	5 , 	1 , 	1 , 	16 , 	2 , 	0 , 	1 , 	-   , 	1 , 	0 , 	5 , 	-   , 	319 ,,,,,,,,,,
RR, 	6 , 	8 , 	11 , 	5 , 	5 , 	5 , 	20 , 	31 , 	20 , 	5 , 	21 , 	32 , 	6 , 	6 , 	3 , 	1 , 	4 , 	2 , 	21 , 	19 , 	25 , 	19 , 	11 , 	9 , 	12 , 	96 , 	64 , 	99 , 	73 , 	54 , 	35 , 	18 , 	10 , 	8 , 	2 , 	1 , 	1 , 	2 , 	4 , 	1 , 	1 , 	40 , 	4 , 	1 , 	7 , 	1 , 	2 , 	2 , 	2 , 	5 , 	835 ,,,,,,,,,,
OW, 	4 , 	10 , 	4 , 	3 , 	20 , 	9 , 	18 , 	18 , 	19 , 	7 , 	27 , 	29 , 	9 , 	13 , 	7 , 	5 , 	3 , 	2 , 	5 , 	2 , 	6 , 	2 , 	0 , 	10 , 	8 , 	207 , 	124 , 	278 , 	147 , 	91 , 	66 , 	11 , 	20 , 	13 , 	2 , 	3 , 	5 , 	1 , 	5 , 	4 , 	10 , 	27 , 	6 , 	3 , 	2 , 	2 , 	4 , 	5 , 	1 , 	6 ," 	1,275 ",,,,,,,,,,
EM, 	57 , 	106 , 	70 , 	99 , 	333 , 	87 , 	137 , 	170 , 	141 , 	103 , 	135 , 	167 , 	75 , 	81 , 	47 , 	38 , 	43 , 	69 , 	82 , 	92 , 	133 , 	74 , 	54 , 	122 , 	245 , 	65 , 	10 , 	85 , 	51 , 	165 , 	172 , 	91 , 	134 , 	115 , 	37 , 	41 , 	211 , 	18 , 	56 , 	33 , 	32 , 	106 , 	61 , 	63 , 	39 , 	30 , 	44 , 	52 , 	9 , 	49 ," 	4,520 ",,,,,,,,,,
MT, 	57 , 	94 , 	39 , 	55 , 	204 , 	64 , 	123 , 	125 , 	111 , 	76 , 	96 , 	101 , 	77 , 	71 , 	26 , 	27 , 	26 , 	35 , 	54 , 	58 , 	63 , 	29 , 	30 , 	84 , 	157 , 	13 , 	47 , 	11 , 	30 , 	127 , 	150 , 	77 , 	194 , 	97 , 	43 , 	32 , 	70 , 	13 , 	35 , 	23 , 	26 , 	114 , 	34 , 	25 , 	22 , 	20 , 	17 , 	28 , 	8 , 	30 ," 	3,164 ",,,,,,,,,,
PL, 	106 , 	154 , 	66 , 	58 , 	254 , 	69 , 	133 , 	152 , 	154 , 	111 , 	156 , 	165 , 	115 , 	104 , 	47 , 	33 , 	39 , 	45 , 	80 , 	81 , 	74 , 	44 , 	36 , 	82 , 	266 , 	87 , 	18 , 	78 , 	53 , 	345 , 	433 , 	204 , 	371 , 	302 , 	101 , 	40 , 	125 , 	33 , 	72 , 	68 , 	84 , 	308 , 	84 , 	34 , 	30 , 	19 , 	29 , 	40 , 	23 , 	40 ," 	5,639 ",,,,,,,,,,
CC, 	41 , 	67 , 	36 , 	60 , 	168 , 	65 , 	108 , 	129 , 	104 , 	74 , 	136 , 	82 , 	63 , 	44 , 	35 , 	22 , 	32 , 	30 , 	39 , 	52 , 	67 , 	49 , 	32 , 	68 , 	163 , 	49 , 	25 , 	48 , 	38 , 	119 , 	145 , 	92 , 	114 , 	132 , 	58 , 	28 , 	73 , 	14 , 	25 , 	33 , 	63 , 	132 , 	88 , 	26 , 	15 , 	12 , 	28 , 	26 , 	7 , 	24 ," 	3,175 ",,,,,,,,,,
16, 	45 , 	44 , 	22 , 	39 , 	105 , 	53 , 	105 , 	106 , 	80 , 	61 , 	69 , 	58 , 	31 , 	19 , 	16 , 	7 , 	10 , 	12 , 	23 , 	18 , 	26 , 	13 , 	13 , 	52 , 	106 , 	157 , 	110 , 	352 , 	131 , 	28 , 	46 , 	82 , 	104 , 	96 , 	46 , 	10 , 	28 , 	5 , 	11 , 	28 , 	37 , 	79 , 	52 , 	9 , 	7 , 	7 , 	9 , 	23 , 	6 , 	18 ," 	2,611 ",,,,,,,,,,
24, 	62 , 	45 , 	15 , 	20 , 	74 , 	40 , 	65 , 	65 , 	51 , 	36 , 	66 , 	48 , 	23 , 	19 , 	12 , 	9 , 	9 , 	12 , 	16 , 	11 , 	14 , 	8 , 	8 , 	40 , 	63 , 	169 , 	112 , 	486 , 	154 , 	42 , 	22 , 	69 , 	88 , 	84 , 	50 , 	9 , 	17 , 	5 , 	20 , 	29 , 	57 , 	49 , 	46 , 	7 , 	8 , 	5 , 	6 , 	6 , 	4 , 	13 ," 	2,384 ",,,,,,,,,,
GP, 	8 , 	12 , 	7 , 	11 , 	22 , 	10 , 	19 , 	22 , 	19 , 	11 , 	13 , 	26 , 	7 , 	5 , 	3 , 	2 , 	3 , 	3 , 	6 , 	5 , 	9 , 	6 , 	4 , 	13 , 	13 , 	75 , 	60 , 	219 , 	75 , 	75 , 	70 , 	11 , 	13 , 	19 , 	16 , 	4 , 	6 , 	1 , 	9 , 	11 , 	22 , 	29 , 	17 , 	3 , 	3 , 	1 , 	3 , 	5 , 	1 , 	6 ," 	1,003 ",,,,,,,,,,
BP, 	14 , 	16 , 	4 , 	4 , 	21 , 	5 , 	13 , 	15 , 	19 , 	14 , 	17 , 	14 , 	16 , 	9 , 	5 , 	1 , 	4 , 	5 , 	7 , 	4 , 	8 , 	3 , 	2 , 	6 , 	19 , 	116 , 	105 , 	443 , 	91 , 	90 , 	85 , 	13 , 	14 , 	15 , 	29 , 	2 , 	11 , 	2 , 	12 , 	10 , 	33 , 	40 , 	22 , 	3 , 	2 , 	2 , 	5 , 	3 , 	2 , 	8 ," 	1,396 ",,,,,,,,,,
DC, 	11 , 	22 , 	4 , 	6 , 	26 , 	9 , 	10 , 	17 , 	14 , 	13 , 	22 , 	36 , 	14 , 	7 , 	8 , 	6 , 	7 , 	4 , 	10 , 	5 , 	11 , 	2 , 	2 , 	8 , 	18 , 	99 , 	83 , 	346 , 	136 , 	104 , 	91 , 	20 , 	19 , 	15 , 	11 , 	5 , 	15 , 	2 , 	6 , 	15 , 	36 , 	78 , 	26 , 	3 , 	4 , 	4 , 	4 , 	7 , 	7 , 	7 ," 	1,429 ",,,,,,,,,,
CM, 	4 , 	6 , 	1 , 	2 , 	5 , 	1 , 	2 , 	3 , 	8 , 	1 , 	3 , 	5 , 	1 , 	5 , 	5 , 	3 , 	1 , 	1 , 	2 , 	2 , 	1 , 	-   , 	1 , 	3 , 	3 , 	35 , 	28 , 	123 , 	51 , 	39 , 	46 , 	15 , 	27 , 	9 , 	5 , 	1 , 	2 , 	1 , 	7 , 	3 , 	15 , 	51 , 	10 , 	0 , 	0 , 	1 , 	-   , 	-   , 	2 , 	2 , 	538 ,,,,,,,,,,
CV, 	1 , 	2 , 	2 , 	-   , 	9 , 	1 , 	4 , 	3 , 	4 , 	18 , 	15 , 	47 , 	14 , 	13 , 	6 , 	3 , 	3 , 	4 , 	1 , 	1 , 	2 , 	-   , 	-   , 	2 , 	4 , 	33 , 	27 , 	52 , 	25 , 	9 , 	7 , 	5 , 	2 , 	5 , 	1 , 	7 , 	25 , 	-   , 	-   , 	-   , 	3 , 	6 , 	1 , 	16 , 	3 , 	1 , 	3 , 	3 , 	1 , 	0 , 	389 ,,,,,,,,,,
ED, 	2 , 	5 , 	3 , 	6 , 	30 , 	4 , 	7 , 	7 , 	9 , 	26 , 	42 , 	295 , 	23 , 	31 , 	9 , 	5 , 	8 , 	7 , 	5 , 	2 , 	2 , 	-   , 	-   , 	2 , 	7 , 	179 , 	73 , 	131 , 	71 , 	32 , 	25 , 	7 , 	13 , 	22 , 	2 , 	17 , 	22 , 	1 , 	1 , 	1 , 	2 , 	24 , 	1 , 	12 , 	24 , 	4 , 	7 , 	8 , 	1 , 	2 ," 	1,208 ",,,,,,,,,,
NC, 	0 , 	1 , 	0 , 	1 , 	2 , 	1 , 	3 , 	6 , 	4 , 	2 , 	2 , 	13 , 	1 , 	2 , 	1 , 	1 , 	0 , 	-   , 	11 , 	5 , 	8 , 	3 , 	1 , 	3 , 	0 , 	18 , 	9 , 	32 , 	13 , 	6 , 	4 , 	2 , 	2 , 	1 , 	3 , 	-   , 	0 , 	1 , 	8 , 	1 , 	1 , 	13 , 	2 , 	-   , 	2 , 	0 , 	1 , 	1 , 	2 , 	3 , 	192 ,,,,,,,,,,
WP, 	4 , 	7 , 	2 , 	1 , 	9 , 	3 , 	12 , 	7 , 	7 , 	3 , 	7 , 	20 , 	5 , 	4 , 	3 , 	3 , 	1 , 	2 , 	47 , 	15 , 	33 , 	9 , 	6 , 	6 , 	4 , 	48 , 	33 , 	96 , 	26 , 	12 , 	24 , 	9 , 	11 , 	6 , 	7 , 	1 , 	1 , 	7 , 	9 , 	3 , 	5 , 	37 , 	2 , 	1 , 	5 , 	1 , 	3 , 	3 , 	3 , 	8 , 	574 ,,,,,,,,,,
SS, 	3 , 	5 , 	1 , 	0 , 	4 , 	1 , 	1 , 	2 , 	3 , 	2 , 	1 , 	7 , 	2 , 	1 , 	2 , 	1 , 	2 , 	-   , 	6 , 	4 , 	2 , 	0 , 	1 , 	2 , 	4 , 	33 , 	17 , 	78 , 	34 , 	31 , 	30 , 	11 , 	14 , 	19 , 	2 , 	0 , 	2 , 	0 , 	3 , 	3 , 	13 , 	25 , 	9 , 	-   , 	2 , 	0 , 	1 , 	1 , 	0 , 	5 , 	385 ,,,,,,,,,,
SB, 	7 , 	16 , 	3 , 	3 , 	6 , 	1 , 	4 , 	6 , 	12 , 	2 , 	4 , 	7 , 	5 , 	5 , 	4 , 	2 , 	1 , 	1 , 	6 , 	4 , 	4 , 	-   , 	-   , 	3 , 	7 , 	38 , 	17 , 	95 , 	57 , 	46 , 	62 , 	23 , 	38 , 	38 , 	17 , 	3 , 	2 , 	2 , 	6 , 	15 , 	6 , 	20 , 	6 , 	1 , 	1 , 	-   , 	1 , 	-   , 	1 , 	5 , 	610 ,,,,,,,,,,
