Exit stations,Entry stations->,,TOTAL,,,Aug 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	238 ," 	1,444 "," 	1,068 ", 	790 ," 	3,750 ", 	986 ," 	1,646 ", 	890 ," 	1,226 ", 	396 ," 	1,149 ", 	984 , 	438 , 	352 , 	382 , 	179 , 	173 , 	155 , 	219 , 	101 , 	305 , 	128 , 	68 , 	258 , 	340 ," 	3,290 "," 	2,788 "," 	5,367 "," 	3,106 "," 	2,289 "," 	2,345 ", 	607 , 	684 , 	567 , 	227 , 	65 , 	126 , 	81 , 	137 , 	154 , 	291 , 	526 , 	225 , 	72 , 	203 , 	110 , 	77 , 	174 , 	138 , 	97 ," 	41,411 ",,,,,,,,,,,,,
LF, 	134 , 	119 , 	61 , 	50 , 	361 , 	82 , 	347 , 	625 , 	538 , 	89 , 	214 , 	618 , 	75 , 	37 , 	50 , 	13 , 	23 , 	15 ," 	1,401 ", 	494 , 	645 , 	185 , 	206 , 	576 , 	61 ," 	3,209 "," 	2,388 "," 	1,437 "," 	1,459 ", 	513 , 	365 , 	127 , 	72 , 	102 , 	68 , 	21 , 	24 , 	70 , 	328 , 	23 , 	65 , 	941 , 	82 , 	3 , 	285 , 	16 , 	16 , 	27 , 	211 , 	187 ," 	19,058 ",,,,,,,,,,,,,
OR, 	112 , 	102 , 	40 , 	61 , 	261 , 	49 , 	277 , 	392 , 	464 , 	51 , 	313 , 	392 , 	70 , 	84 , 	48 , 	22 , 	21 , 	37 , 	312 , 	248 , 	417 , 	186 , 	144 , 	438 , 	52 ," 	2,583 "," 	2,038 "," 	1,222 "," 	1,157 ", 	462 , 	231 , 	150 , 	108 , 	124 , 	22 , 	16 , 	16 , 	27 , 	160 , 	32 , 	21 , 	668 , 	63 , 	2 , 	138 , 	24 , 	23 , 	21 , 	120 , 	91 ," 	14,112 ",,,,,,,,,,,,,
RR, 	218 , 	361 , 	360 , 	130 , 	197 , 	109 , 	584 ," 	1,135 ", 	903 , 	155 , 	642 , 	646 , 	206 , 	175 , 	164 , 	62 , 	94 , 	90 , 	785 , 	896 ," 	1,029 ", 	598 , 	523 , 	276 , 	298 ," 	4,344 "," 	3,357 "," 	3,151 "," 	3,032 "," 	1,569 ", 	982 , 	455 , 	600 , 	259 , 	58 , 	38 , 	54 , 	151 , 	462 , 	53 , 	106 ," 	1,524 ", 	138 , 	14 , 	230 , 	48 , 	69 , 	55 , 	171 , 	439 ," 	31,995 ",,,,,,,,,,,,,
OW, 	266 , 	362 , 	100 , 	94 , 	809 , 	263 , 	611 , 	525 , 	795 , 	257 ," 	1,367 "," 	1,322 ", 	551 , 	447 , 	401 , 	267 , 	155 , 	141 , 	245 , 	140 , 	256 , 	45 , 	38 , 	270 , 	373 ," 	9,585 "," 	6,365 "," 	8,051 "," 	6,186 "," 	3,180 "," 	2,399 ", 	568 , 	780 , 	486 , 	144 , 	134 , 	262 , 	19 , 	161 , 	296 , 	222 ," 	1,149 ", 	313 , 	85 , 	125 , 	101 , 	50 , 	115 , 	80 , 	285 ," 	51,241 ",,,,,,,,,,,,,
EM," 	3,545 "," 	7,042 "," 	3,319 "," 	3,391 "," 	7,515 "," 	3,300 "," 	6,101 "," 	6,940 "," 	6,294 "," 	4,914 "," 	6,520 "," 	4,598 "," 	5,299 "," 	4,338 "," 	2,575 "," 	2,396 "," 	2,219 "," 	2,506 "," 	4,390 "," 	6,050 "," 	5,553 "," 	3,617 "," 	3,022 "," 	4,952 "," 	10,829 "," 	1,724 ", 	425 ," 	2,018 "," 	2,376 "," 	5,158 "," 	7,652 "," 	4,709 "," 	7,063 "," 	6,185 "," 	2,128 "," 	2,243 "," 	7,445 "," 	1,411 "," 	3,563 "," 	1,707 "," 	1,380 "," 	3,637 "," 	1,832 "," 	2,456 "," 	1,282 ", 	808 , 	929 ," 	1,315 ", 	807 ," 	3,918 "," 	195,396 ",,,,,,,,,,,,,
MT," 	3,776 "," 	5,881 "," 	2,680 "," 	2,414 "," 	5,049 "," 	2,657 "," 	5,489 "," 	5,967 "," 	5,167 "," 	4,524 "," 	5,398 "," 	3,634 "," 	5,002 "," 	4,237 "," 	2,092 "," 	1,891 "," 	1,979 "," 	1,889 "," 	3,786 "," 	4,521 "," 	4,037 "," 	2,382 "," 	2,193 "," 	3,703 "," 	7,639 ", 	420 ," 	1,153 ", 	577 ," 	1,688 "," 	5,710 "," 	8,998 "," 	5,688 "," 	12,133 "," 	7,090 "," 	2,980 "," 	2,261 "," 	4,438 "," 	1,223 "," 	3,628 "," 	2,228 "," 	2,034 "," 	3,786 "," 	2,450 "," 	1,486 ", 	793 , 	792 , 	723 ," 	1,038 ", 	802 ," 	2,713 "," 	174,819 ",,,,,,,,,,,,,
PL," 	4,317 "," 	6,188 "," 	2,401 "," 	1,840 "," 	5,677 "," 	2,216 "," 	4,448 "," 	4,690 "," 	5,503 "," 	4,289 "," 	6,733 "," 	4,596 "," 	4,136 "," 	3,678 "," 	2,030 "," 	1,515 "," 	1,582 "," 	1,378 "," 	3,446 "," 	3,093 "," 	2,613 "," 	1,256 "," 	1,078 "," 	2,656 "," 	7,672 "," 	2,307 ", 	702 ," 	1,767 "," 	1,626 "," 	8,937 "," 	11,960 "," 	6,918 "," 	12,975 "," 	9,553 "," 	3,723 "," 	1,400 "," 	3,707 "," 	1,231 "," 	3,548 "," 	2,830 "," 	2,674 "," 	9,446 "," 	2,393 "," 	1,280 "," 	1,135 ", 	622 , 	735 , 	818 ," 	1,149 "," 	2,651 "," 	185,118 ",,,,,,,,,,,,,
CC," 	2,937 "," 	4,405 "," 	2,217 "," 	2,527 "," 	4,132 "," 	2,427 "," 	4,832 "," 	4,730 "," 	4,412 "," 	3,370 "," 	6,413 "," 	3,283 "," 	3,515 "," 	2,605 "," 	1,949 "," 	1,255 "," 	1,351 "," 	1,228 "," 	3,001 "," 	2,514 "," 	2,699 "," 	1,562 "," 	1,129 "," 	2,750 "," 	6,203 "," 	2,325 "," 	1,437 "," 	1,358 "," 	1,085 "," 	3,790 "," 	6,117 "," 	4,532 "," 	7,385 "," 	5,992 "," 	3,091 "," 	1,377 "," 	3,047 "," 	1,006 "," 	2,533 "," 	2,261 "," 	2,153 "," 	4,119 "," 	2,643 "," 	1,175 ", 	535 , 	491 , 	581 , 	831 , 	494 ," 	2,406 "," 	140,210 ",,,,,,,,,,,,,
16," 	2,079 "," 	2,055 ", 	908 ," 	1,121 "," 	2,544 "," 	1,601 "," 	3,035 "," 	3,098 "," 	2,469 "," 	2,100 "," 	2,632 "," 	1,784 "," 	1,407 "," 	1,247 ", 	853 , 	559 , 	520 , 	580 ," 	1,183 ", 	835 ," 	1,032 ", 	564 , 	413 ," 	1,464 "," 	3,413 "," 	4,834 "," 	5,236 "," 	9,838 "," 	4,323 ", 	632 ," 	1,428 "," 	2,836 "," 	4,480 "," 	3,718 "," 	1,859 ", 	429 ," 	1,064 ", 	371 ," 	1,237 "," 	1,226 "," 	1,470 "," 	2,871 "," 	1,681 ", 	446 , 	290 , 	245 , 	261 , 	391 , 	431 ," 	1,030 "," 	92,123 ",,,,,,,,,,,,,
24," 	2,204 "," 	2,083 ", 	742 , 	802 ," 	2,066 ", 	974 ," 	2,230 "," 	1,924 "," 	1,804 "," 	1,298 "," 	2,542 "," 	1,586 "," 	1,300 ", 	645 , 	576 , 	499 , 	322 , 	399 , 	987 , 	642 , 	582 , 	422 , 	256 ," 	1,068 "," 	2,508 "," 	6,850 "," 	7,656 "," 	13,997 "," 	6,900 "," 	1,301 ", 	669 ," 	2,452 "," 	3,839 "," 	3,272 "," 	1,718 ", 	208 , 	639 , 	326 ," 	1,097 "," 	1,299 "," 	1,584 "," 	2,155 "," 	1,472 ", 	328 , 	302 , 	137 , 	158 , 	210 , 	311 , 	858 ," 	90,199 ",,,,,,,,,,,,,
