Total Trip OD																																																			
																																																			
2025 / 04																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
LM	631	"1,076"	711	493	"2,906"	751	782	411	389	362	"2,551"	"2,995"	"4,803"	"3,623"	"2,192"	"1,477"	"1,436"	"1,351"	296	216	348	100	116	262	524	"8,277"	"6,154"	"7,197"	"6,598"	"2,816"	"2,057"	744	"1,108"	"1,161"	101	"1,406"	"2,434"	92	276	143	162	488	109	"1,092"	370	827	177	381	718	"1,019"	"76,709"
FV	"1,742"	"1,932"	723	954	"4,082"	"1,380"	"2,313"	"1,657"	"2,115"	"2,381"	643	"3,937"	"4,093"	"4,032"	"4,110"	"1,667"	"1,588"	"1,318"	637	288	539	248	341	848	"1,972"	"10,742"	"8,085"	"10,309"	"9,723"	"4,465"	"3,647"	"1,018"	"1,413"	"2,821"	203	"1,005"	"2,440"	115	381	223	472	886	314	910	267	"1,095"	233	460	969	"1,454"	"109,190"
CL	"1,201"	"1,410"	513	450	"2,172"	990	"1,891"	"1,825"	"2,125"	"2,629"	"3,819"	406	"1,978"	"2,365"	"2,571"	"1,360"	"1,063"	962	625	429	291	148	114	484	"1,474"	"4,778"	"3,649"	"4,813"	"4,332"	"1,918"	"1,870"	609	823	"1,815"	161	639	"1,596"	86	474	160	255	472	217	588	381	763	345	710	698	"1,028"	"66,475"
SL	718	946	370	482	"2,576"	718	"1,872"	"2,171"	"3,599"	"4,614"	"4,459"	"2,157"	481	"2,349"	"3,394"	"1,826"	"1,502"	"2,240"	436	337	327	89	80	434	862	"9,738"	"8,471"	"8,358"	"6,859"	"2,503"	"1,924"	670	"1,011"	"1,888"	96	"1,044"	"2,445"	98	292	254	260	658	215	938	196	"1,239"	146	387	"1,056"	"1,281"	"91,066"
BF	480	633	268	280	"1,780"	362	"1,033"	"1,850"	"2,617"	"3,633"	"4,160"	"2,404"	"2,243"	377	"1,857"	"1,324"	"1,339"	"1,721"	378	117	211	46	62	195	760	"7,363"	"6,351"	"8,174"	"5,249"	"1,672"	"1,268"	444	766	"1,345"	107	722	"2,205"	84	173	174	215	399	88	"1,167"	121	945	110	161	747	"1,185"	"71,365"
HY	508	864	322	462	"2,007"	520	"1,236"	"1,814"	"2,139"	"2,062"	"3,857"	"2,636"	"3,474"	"1,722"	417	"1,576"	"3,280"	"3,803"	452	187	282	123	58	226	672	"4,808"	"3,638"	"3,701"	"2,971"	"1,156"	793	285	430	744	115	272	"1,249"	66	294	88	212	243	213	666	237	"2,155"	148	343	"1,789"	"1,824"	"63,139"
SH	336	270	87	114	"1,031"	272	699	"1,054"	"1,692"	"1,303"	"1,684"	"1,288"	"1,691"	"1,236"	"1,447"	315	"1,267"	"1,946"	183	110	159	39	52	95	308	"3,721"	"2,881"	"2,679"	"2,493"	652	805	147	330	473	57	343	682	10	129	56	28	142	82	410	120	"1,631"	66	108	"1,022"	"1,335"	"39,080"
UC	398	427	230	241	"1,995"	347	639	"1,374"	"2,038"	"1,401"	"1,628"	"1,162"	"1,574"	"1,411"	"3,175"	"1,186"	353	"1,763"	134	113	297	31	44	84	350	"6,270"	"4,986"	"3,172"	"2,690"	881	444	146	329	598	65	275	872	37	113	51	106	296	59	331	219	"1,901"	25	107	"1,824"	"1,990"	"50,182"
FM	338	459	223	284	"1,940"	358	771	"1,596"	"2,152"	"1,180"	"1,431"	"1,015"	"2,184"	"1,723"	"3,809"	"1,950"	"1,752"	514	195	124	189	20	83	140	209	"7,266"	"5,274"	"3,273"	"2,619"	879	481	171	265	624	58	395	796	50	110	52	63	526	65	288	245	"1,753"	26	187	"2,459"	"2,748"	"55,312"
CN	561	590	281	270	"1,364"	273	"2,205"	"2,288"	"2,879"	293	682	629	478	324	427	165	140	220	729	"1,832"	"4,309"	"2,493"	875	"1,709"	323	"8,651"	"6,811"	"5,869"	"5,531"	"1,564"	"1,438"	565	799	"1,329"	181	151	195	936	"3,481"	242	260	"1,998"	404	113	437	55	"2,296"	"2,827"	194	235	"72,901"
PH	234	323	216	339	"1,447"	231	"1,488"	"2,414"	"3,294"	129	297	413	272	109	186	127	89	109	"1,805"	327	"1,721"	897	488	"1,661"	240	"13,938"	"11,127"	"5,493"	"5,333"	"1,594"	940	727	371	978	155	73	98	336	"1,038"	204	204	"2,734"	229	79	535	96	599	"1,261"	147	176	"67,321"
WC	568	643	423	386	"1,763"	254	"1,834"	"2,567"	"3,078"	398	485	290	330	212	274	190	256	154	"4,514"	"1,758"	341	"1,187"	670	"2,567"	247	"15,106"	"10,797"	"5,855"	"5,295"	"1,619"	959	525	518	911	228	59	108	507	"1,993"	267	253	"3,212"	278	41	487	62	948	"1,767"	163	217	"77,564"
LF	272	250	177	133	844	157	738	"1,225"	"1,585"	94	215	160	100	52	95	41	32	33	"2,769"	"1,111"	"1,245"	254	240	"1,227"	59	"11,746"	"7,884"	"3,270"	"2,784"	864	557	223	261	287	43	9	22	210	478	73	92	"1,997"	110	6	254	31	249	306	36	79	"44,979"
OR	174	199	115	134	601	112	469	887	"1,306"	83	207	99	93	74	59	56	40	88	803	445	754	242	180	"1,028"	80	"9,771"	"6,579"	"2,667"	"2,674"	759	438	319	232	306	84	37	33	49	188	56	94	"1,692"	114	7	195	22	122	225	81	76	"35,148"
RR	384	484	418	362	532	184	"1,057"	"2,442"	"3,494"	271	774	545	470	266	218	99	113	139	"1,678"	"1,841"	"2,553"	"1,171"	"1,198"	385	523	"15,868"	"11,193"	"6,198"	"8,126"	"2,920"	"1,763"	893	676	598	99	40	123	241	875	139	159	"2,644"	204	54	235	43	286	746	120	190	"76,034"
OW	652	610	160	209	"1,078"	365	805	"1,008"	"1,241"	430	"1,839"	"1,413"	821	754	613	256	321	218	345	209	252	84	76	480	398	"22,959"	"14,426"	"14,700"	"12,672"	"6,420"	"3,890"	"1,054"	"1,194"	"1,061"	207	146	459	52	256	156	491	"2,250"	406	142	132	133	174	367	125	210	"98,719"
EM	"7,461"	"12,590"	"7,820"	"9,474"	"18,774"	"8,811"	"13,839"	"19,999"	"19,136"	"8,987"	"12,258"	"5,594"	"11,799"	"9,110"	"5,760"	"4,634"	"7,195"	"8,292"	"10,056"	"16,287"	"17,263"	"13,428"	"11,072"	"17,603"	"26,971"	"3,893"	729	"3,256"	"4,525"	"11,925"	"19,440"	"12,797"	"13,287"	"15,804"	"5,539"	"6,801"	"22,819"	"3,159"	"9,044"	"4,819"	"4,327"	"7,432"	"4,359"	"8,351"	"1,556"	"3,278"	"1,272"	"6,484"	"3,975"	"4,473"	"487,557"
MT	"5,446"	"9,501"	"6,000"	"6,511"	"11,550"	"6,215"	"9,871"	"13,065"	"12,251"	"6,217"	"9,361"	"3,985"	"9,260"	"7,393"	"4,250"	"3,463"	"5,113"	"5,387"	"7,285"	"11,286"	"10,769"	"7,935"	"6,519"	"11,594"	"17,132"	898	"1,875"	"1,084"	"2,707"	"11,855"	"20,504"	"13,798"	"18,074"	"19,747"	"6,516"	"5,067"	"13,549"	"2,022"	"6,556"	"5,758"	"5,739"	"6,902"	"5,166"	"5,199"	883	"2,622"	887	"5,329"	"3,258"	"3,384"	"376,738"
PL	"5,970"	"9,273"	"3,774"	"3,535"	"10,465"	"3,822"	"7,560"	"9,655"	"10,779"	"5,749"	"9,296"	"4,742"	"6,849"	"6,406"	"3,369"	"2,382"	"2,951"	"2,882"	"5,296"	"5,092"	"5,243"	"3,042"	"2,395"	"5,275"	"14,559"	"3,884"	"1,226"	"2,652"	"2,419"	"12,785"	"17,533"	"11,629"	"21,929"	"16,550"	"5,289"	"2,916"	"6,866"	"1,459"	"6,656"	"4,573"	"3,756"	"19,248"	"3,634"	"2,460"	"1,108"	"1,264"	"1,271"	"4,051"	"1,749"	"1,755"	"309,023"
CC	"4,387"	"7,063"	"4,439"	"5,350"	"8,965"	"5,301"	"8,553"	"10,566"	"9,598"	"5,915"	"8,771"	"4,015"	"5,789"	"4,163"	"2,729"	"2,090"	"2,324"	"2,400"	"4,759"	"4,698"	"4,452"	"2,596"	"2,530"	"7,282"	"13,174"	"4,409"	"2,389"	"2,404"	"1,689"	"7,000"	"12,278"	"9,716"	"13,004"	"12,980"	"5,102"	"2,831"	"5,531"	"1,536"	"4,468"	"5,159"	"4,321"	"8,652"	"4,832"	"2,019"	553	"1,264"	919	"4,137"	"1,251"	"1,651"	"262,004"
16	"2,760"	"3,076"	"1,400"	"1,957"	"5,561"	"2,412"	"4,949"	"6,140"	"4,618"	"2,557"	"4,352"	"1,705"	"2,340"	"1,584"	"1,099"	690	824	883	"1,469"	"1,418"	"1,503"	885	712	"2,753"	"6,776"	"11,691"	"11,177"	"14,573"	"7,511"	825	"3,047"	"5,308"	"7,854"	"7,657"	"2,956"	732	"1,794"	541	"1,917"	"2,180"	"2,327"	"4,745"	"2,087"	691	246	464	347	"1,461"	387	627	"157,568"
24	"3,087"	"2,415"	"1,065"	"1,125"	"3,897"	"1,536"	"2,961"	"3,805"	"3,775"	"1,750"	"3,056"	"1,628"	"1,813"	"1,214"	772	867	353	496	"1,302"	952	936	516	427	"1,740"	"4,168"	"17,177"	"17,097"	"20,541"	"12,988"	"2,950"	728	"4,625"	"6,147"	"6,728"	"2,348"	386	"1,114"	379	"1,602"	"1,768"	"2,051"	"3,350"	"1,941"	393	292	304	298	808	249	349	"152,269"
GP	719	915	429	511	"2,028"	494	"1,020"	"1,703"	"1,962"	713	"1,006"	558	504	408	218	139	159	182	480	497	424	232	256	835	"1,187"	"11,623"	"12,248"	"12,541"	"9,631"	"5,328"	"4,557"	332	"1,279"	"1,492"	941	176	553	136	583	739	"1,089"	"2,557"	"1,355"	205	190	108	135	586	131	173	"86,267"
BP	989	"1,063"	397	367	"1,440"	397	945	"1,310"	"1,778"	"1,089"	"1,354"	657	935	614	432	291	263	194	777	381	541	242	159	528	"1,359"	"11,400"	"12,170"	"23,769"	"12,574"	"7,269"	"5,947"	"1,313"	394	"1,655"	"1,491"	308	546	183	631	"1,222"	"1,591"	"2,045"	"1,718"	153	103	190	292	525	133	242	"106,366"
DC	"2,032"	"2,586"	794	496	"1,981"	595	947	"1,621"	"2,333"	"1,187"	"2,823"	"1,900"	"1,816"	"1,237"	677	536	597	642	"1,256"	960	862	340	281	603	"1,364"	"15,222"	"17,912"	"18,458"	"13,639"	"8,208"	"7,342"	"1,603"	"1,917"	607	967	540	"1,275"	344	"1,316"	"1,858"	"3,021"	"4,481"	"4,411"	498	166	319	222	"1,255"	412	459	"136,918"
CM	373	336	108	110	624	104	147	445	899	102	181	87	77	96	108	65	56	36	221	143	205	41	92	113	226	"5,326"	"5,516"	"6,130"	"5,185"	"2,782"	"2,119"	937	"1,620"	748	251	47	106	33	297	370	692	"1,815"	"1,238"	12	20	7	104	246	15	33	"40,644"
CV	66	94	89	58	623	100	206	576	707	"1,388"	"1,004"	618	973	709	328	310	287	333	115	65	61	20	32	38	193	"5,919"	"4,848"	"3,225"	"3,050"	769	468	172	355	552	42	170	"1,825"	12	49	48	72	302	69	"1,350"	113	166	24	34	125	291	"33,043"
ED	288	297	148	229	"1,625"	290	663	"1,352"	"2,203"	"2,379"	"2,593"	"1,587"	"2,371"	"2,078"	"1,187"	709	834	770	223	68	76	13	35	99	478	"20,167"	"13,255"	"7,759"	"6,143"	"1,859"	"1,192"	557	626	"1,386"	96	"1,819"	606	17	57	113	175	"2,121"	197	645	901	391	26	85	631	801	"84,220"
NC	75	57	51	46	275	64	300	570	959	92	101	55	96	57	69	14	28	47	782	316	478	154	40	283	64	"2,376"	"1,830"	"1,599"	"1,795"	539	415	169	172	354	40	10	20	95	615	125	75	636	55		149	28	538	477	20	26	"17,231"
WP	314	313	119	96	845	204	"1,761"	"1,377"	"2,318"	284	391	398	229	136	261	145	131	115	"3,541"	"1,208"	"2,154"	510	255	"1,074"	297	"7,352"	"6,026"	"7,677"	"6,359"	"2,187"	"1,814"	696	749	"1,309"	280	35	84	550	320	174	363	"1,890"	210	49	249	93	326	459	68	149	"57,944"
SS	238	367	93	74	540	58	217	481	854	129	263	138	203	185	98	48	55	46	275	204	259	74	45	115	184	"4,670"	"5,426"	"5,156"	"5,185"	"2,008"	"1,781"	721	"1,440"	"1,788"	345	48	116	131	198	218	499	"1,058"	595	29	37	13	33	349	15	24	"37,126"
SB	424	465	193	89	578	125	353	751	844	178	440	280	295	209	175	35	83	98	267	200	261	75	81	165	520	"4,306"	"5,019"	"4,470"	"4,404"	"2,371"	"2,211"	"1,149"	"1,710"	"2,759"	709	56	124	96	283	504	258	"2,287"	386	30	35	13	77	340	13	15	"40,809"
SO	"1,322"	"1,735"	"1,383"	"1,704"	"4,090"	"1,106"	"1,799"	"1,807"	"2,111"	362	803	357	532	317	169	120	262	406	"1,969"	"2,569"	"2,973"	"1,863"	"1,356"	"2,230"	"2,425"	"5,832"	"4,992"	"15,457"	"6,634"	"3,497"	"2,279"	"1,986"	"1,662"	"3,480"	"1,356"	236	"1,619"	645	"1,738"	807	"1,594"	"1,617"	"9,863"	487	240	201	233	"1,491"	164	115	"103,995"
MB	354	675	298	374	"2,006"	436	453	915	"1,007"	164	234	232	184	92	126	54	52	39	369	183	266	89	75	138	393	"4,041"	"4,514"	"3,665"	"4,317"	"1,887"	"1,617"	"1,017"	"1,835"	"4,142"	"1,054"	49	132	36	178	463	363	"11,902"	804	61	60	18	63	224	10	7	"51,667"
WD	106	167	108	38	593	131	357	575	842	"1,094"	892	620	935	"1,183"	630	414	315	294	125	47	48	6	12	50	142	"7,517"	"5,195"	"2,747"	"2,411"	765	366	236	210	509	20	"1,433"	576	4	51	29	42	657	54	237	326	148	4	27	224	345	"33,857"
OA	128	424	366	415	"1,246"	313	335	386	418	256	182	298	149	59	126	69	172	216	345	446	364	206	124	147	105	"1,304"	807	"1,012"	644	231	235	164	106	103	18	78	607	115	271	33	27	265	33	277	119	114	50	220	128	204	"14,460"
WS	234	408	198	133	"1,020"	245	493	810	706	737	"1,064"	660	"1,046"	918	"1,646"	"1,427"	"1,643"	"1,631"	63	53	51	38	28	48	135	"2,929"	"2,287"	"1,462"	"1,357"	502	293	103	223	345	7	162	290	31	83	15	20	230	19	90	94	232	50	153	"1,668"	"1,924"	"30,004"
PC	169	126	71	37	215	97	522	517	579	151	172	310	149	120	163	50	19	45	"2,298"	587	868	204	118	317	192	"1,099"	728	"1,342"	894	405	312	126	262	235	93	11	26	470	282	49	66	291	61	5	74	52	145	754	20	63	"15,961"
AN	407	321	97	146	705	224	"1,851"	"1,526"	"2,306"	402	405	633	432	203	364	104	132	179	"2,720"	"1,081"	"1,700"	339	247	749	376	"5,540"	"4,779"	"4,545"	"4,485"	"1,570"	925	748	671	"1,311"	245	45	93	508	548	387	324	"1,728"	244	29	388	166	785	544	103	152	"48,512"
ML	223	379	196	217	"2,204"	330	507	"1,105"	954	649	883	543	"1,060"	786	"1,722"	"1,079"	"1,836"	"2,159"	195	141	167	33	71	138	136	"3,511"	"2,974"	"1,841"	"1,463"	419	303	98	174	386	27	114	632	16	58	11	8	216	16	209	164	"1,598"	21	88	330	816	"33,206"
BE	421	600	312	271	"3,432"	464	703	"1,350"	"1,178"	"1,110"	"1,482"	902	"1,363"	"1,239"	"1,877"	"1,337"	"2,174"	"2,901"	220	196	213	91	83	234	236	"3,912"	"3,225"	"2,022"	"1,836"	624	352	169	270	524	26	294	798	49	165	28	24	178	16	330	233	"2,280"	48	132	686	313	"42,923"
Grand Total	"70,428"	"97,900"	"58,152"	"53,312"	"168,795"	"57,730"	"100,475"	"131,974"	"148,848"	"73,009"	"108,964"	"66,215"	"88,896"	"69,861"	"62,897"	"40,216"	"49,727"	"55,226"	"72,795"	"68,570"	"76,901"	"45,394"	"35,613"	"74,897"	"107,942"	"427,850"	"339,225"	"339,357"	"281,357"	"156,702"	"156,645"	"88,760"	"116,082"	"133,717"	"40,945"	"33,462"	"84,104"	"18,041"	"55,650"	"36,762"	"40,001"	"126,130"	"53,396"	"33,529"	"17,699"	"32,399"	"16,447"	"47,843"	"33,964"	"41,619"	"4,736,423"
