Avg Sunday Trip OD																																																			
																																																			
2025 / 04																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
LM	17	25	14	11	44	18	15	9	5	9	79	49	72	65	31	18	27	19	4	2	5	1	2	5	23	156	95	185	124	106	65	17	28	14	1	21	37	1	3	2	4	14	4	18	14	9	1	2	16	22	"1,525"
FV	32	40	14	20	68	32	39	34	25	72	11	62	61	69	68	25	25	23	11	4	7	5	4	15	33	157	93	224	135	83	69	20	24	21	5	18	38	1	9	3	8	32	4	20	10	10	3	10	22	38	"1,852"
CL	20	16	6	5	28	15	25	19	20	45	55	13	37	47	42	23	13	11	8	5	4	1	1	5	23	72	47	80	59	36	26	12	12	16	1	9	28	0	6	3	4	13	3	8	12	10	5	8	11	19	981
SL	10	14	9	7	34	13	24	32	39	69	59	32	12	40	56	22	16	18	8	4	4	1	1	7	16	125	89	178	82	48	30	11	11	19	3	18	36	1	8	3	6	16	4	13	8	10	3	4	13	25	"1,308"
BF	9	15	4	5	30	6	25	32	33	59	81	52	41	10	38	24	21	20	8	4	3	0		4	14	94	69	194	62	31	21	8	12	11	2	14	45	3	5	3	5	9	2	25	4	10	3	4	14	24	"1,208"
HY	6	17	7	8	33	8	22	29	26	25	61	41	54	33	12	28	45	52	5	3	3	2	0	2	6	74	29	74	38	20	15	4	6	7	1	5	24	2	5	1	2	6	4	18	8	29	3	5	33	44	977
SH	6	7	4	4	13	6	10	9	12	15	32	18	25	19	28	9	12	31	3	2	4	1		0	3	46	26	55	29	11	9	6	3	5	3	3	10		1		1	6	2	8	5	20	1	4	18	33	573
UC	5	10	5	4	27	7	11	11	12	21	25	14	19	20	38	15	11	31	1	1	3	1	1	1	5	84	54	76	37	14	8	4	6	8	1	6	13	2	3	1	1	13	1	3	6	22	0	2	34	41	737
FM	5	7	7	8	40	10	11	15	18	15	22	12	17	22	47	27	26	19	3	3	3	1	1	2	6	83	47	79	53	23	12	4	6	9	1	7	15	0	2	2	1	16	1	7	8	18	0	3	46	53	837
CN	10	10	5	6	15	4	28	22	23	5	13	7	5	6	5	2	1	4	20	30	86	59	15	30	5	110	57	107	53	25	20	11	9	10	4	1	5	10	59	4	4	58	6	3	13	1	45	44	4	8	"1,081"
PH	4	5	3	7	13	5	19	22	15	2	3	5	3	3	3	2	1	3	26	7	35	18	5	21	2	113	67	103	51	21	14	9	5	7	3	1	3	4	22	4	4	85	3	1	18	0	7	15	2	5	794
WC	8	14	8	11	37	6	22	25	24	7	7	2	4	4	2	4	4	4	87	36	8	17	14	60	4	179	70	122	84	27	23	11	8	8	5	1	2	7	25	2	4	95	3	1	14	3	15	21	2	5	"1,152"
LF	6	4	3	3	12	4	11	16	15	1	5	2	1	1	3	0	1	1	57	18	19	5	6	23	2	125	51	80	42	21	13	7	5	4	1	1	1	4	7	0	1	63	3		8	1	5	6	2	3	665
OR	3	3	3	3	10	2	7	8	10	1	4	1	1	3	1	0	1	1	17	7	18	7	5	21	2	97	37	69	39	23	13	7	4	1	2	0	1	1	4	1	1	42	2	0	6		2	3	1	4	493
RR	4	5	10	2	9	3	26	40	38	5	14	4	7	4	3	1	2	2	21	23	64	28	23	14	8	195	108	146	140	82	47	16	12	11	1	2	3	4	11	2	4	85	3	1	9	1	3	12	3	7	"1,262"
OW	10	14	2	4	26	9	17	25	16	14	34	24	13	11	11	3	4	5	6	3	3	2	1	7	13	341	161	362	230	201	90	16	24	15	3	3	10	1	4	3	7	69	6	3	5	1	2	6	3	6	"1,847"
EM	124	166	99	136	428	128	206	254	220	150	164	83	144	120	85	55	95	92	119	142	219	135	104	213	399	102	13	71	40	157	198	108	130	139	37	80	349	42	85	31	35	178	53	83	46	36	20	73	65	79	"6,323"
MT	65	97	58	91	325	87	139	152	144	88	118	50	106	86	40	35	55	46	57	66	72	47	41	116	198	13	36	15	25	128	150	89	156	115	38	45	135	12	55	26	34	172	45	49	23	27	10	36	43	61	"3,910"
PL	101	169	81	76	249	77	152	172	187	135	180	83	139	138	56	47	68	75	98	84	99	69	57	109	353	61	12	78	51	334	386	198	378	332	101	60	184	24	77	77	82	485	74	46	29	28	20	66	46	57	"6,335"
CC	50	92	56	85	245	98	152	174	142	104	125	55	70	54	38	28	42	61	52	53	68	46	41	114	250	53	18	55	48	152	226	126	173	197	79	37	99	14	42	64	67	247	87	32	25	16	14	33	36	49	"4,278"
16	51	54	33	61	154	77	146	156	104	88	82	35	44	27	21	10	13	18	23	23	29	23	18	72	210	158	112	376	165	27	76	100	131	174	60	14	45	9	18	52	53	166	59	10	9	8	4	15	16	31	"3,450"
24	44	49	19	28	92	37	66	88	68	53	64	33	23	21	15	10	9	12	20	18	28	15	15	48	109	206	126	468	250	73	19	92	99	132	44	9	21	6	15	40	35	122	48	4	15	7	5	13	7	18	"2,852"
GP	16	10	7	12	50	13	21	21	24	14	20	6	9	5	4	3	5	4	8	7	8	7	7	18	23	102	73	248	131	87	84	7	15	23	14	5	14	5	10	15	20	86	22	1	7	1	2	8	3	6	"1,305"
BP	15	18	5	8	24	11	10	14	22	19	19	11	14	14	8	3	5	5	11	5	8	3	2	7	24	129	93	438	161	130	94	12	12	29	32	4	9	3	14	12	31	69	29	2	5	2	2	8	5	6	"1,610"
DC	18	17	6	5	38	9	16	24	20	18	23	15	16	11	7	6	5	10	17	8	8	4	3	12	22	132	99	404	217	181	145	21	29	19	17	7	27	3	14	22	48	136	76	4	4	3	2	11	4	13	"1,971"
CM	11	8	4	2	12	2	3	5	15	3	6	3	1	2	2	2	1	1	3	2	5	1	2	2	6	27	30	131	72	57	41	15	31	13	6	1	4	2	5	3	16	57	14	1			1	4		1	629
CV	2	2	1	2	16	1	3	5	2	25	19	9	19	11	7	5	4	4	2	1	2	1	0	2	5	68	45	74	32	15	8	4	5	7	1	3	31		1	1	0	11	1	35	4	1	0	1	4	5	501
ED	8	5	3	5	37	5	9	12	10	37	41	23	28	34	21	11	10	15	6	2	2	1	1	3	11	304	128	224	100	47	20	10	5	21	3	29	12		1	1	2	64	4	12	30	3	0	1	15	21	"1,392"
NC	1	1	1	1	2	1	4	3	3	0	1	1	1	3	2	1	0	0	13	3	8	2	1	4	1	32	10	33	15	6	3	5	2	3	1		0	3	8	1	1	15	1		3	0	8	5	1	1	212
WP	5	6	3	1	5	2	22	11	9	4	8	4	4	4	4	2	3	1	48	23	32	9	2	18	6	71	45	104	37	19	15	7	9	12	4	1	1	10	7	2	4	44	1	2	5	1	6	6	2	4	647
SS	5	7	2	1	11	1	3	5	10	2	4	2	3	3	3	1	2		3	3	4	1	1	1	5	34	22	103	61	42	41	12	21	26	3	1	1	1	2	4	12	35	9	1	1	0	0	5	0	1	516
SB	10	7	2	1	13	2	5	4	14	2	8	5	7	2	1	1	2	1	8	4	4	0	1	3	10	33	28	91	68	51	43	18	39	36	15	0	1	2	5	13	4	105	3	1	2	1	1	5		2	679
SO	31	33	31	35	121	21	41	39	44	8	10	9	10	8	3	2	7	8	42	51	66	38	31	50	54	168	132	570	191	105	51	45	36	91	23	7	34	15	31	15	30	47	179	10	11	2	4	29	3	3	"2,620"
MB	10	9	5	10	51	11	9	15	12	6	3	3	3	1	2	0	2	1	4	3	4	3	4	5	6	48	31	103	70	57	40	18	28	48	15	1	3	2	2	7	6	466	22	1	4	1	1	2	0	0	"1,149"
WD	2	3	1	2	18	4	8	3	4	18	19	9	13	22	14	10	3	8	2	1	1			0	4	80	45	63	32	16	5	1	3	6	2	34	13		1	0	1	17	1	4	8	3		1	4	8	512
OA	2	10	9	11	47	6	7	5	4	7	4	7	3	1	3	1	1	4	7	8	9	4	2	3	1	28	20	55	14	8	5	5	4	2	1	1	21	5	4	2	1	8	1	4	5	2	0	3	3	5	365
WS	5	6	1	2	20	4	6	9	6	13	14	12	9	12	20	19	31	15	3	0	2	1	0	1	3	31	24	37	19	7	7	2	3	6		2	4		1	0	0	5	0	2	3	5	1	2	27	30	429
PC	4	3	2	1	2	1	10	6	7	1	4	5	4	4	3	1	1	1	46	11	18	4	4	3	4	23	12	28	15	7	3	2	3	2	3	0	1	7	7	1	1	5	1	1	0	2	3	14	2	1	286
AN	6	7	2	2	9	4	25	13	15	5	9	9	8	3	7	2	3	2	43	15	25	6	4	14	7	73	45	75	39	15	13	9	9	11	3		1	6	8	6	4	42	3	1	8	1	12	9	3	5	638
ML	7	8	3	6	56	5	10	11	10	17	15	9	13	17	34	15	31	41	4	1	4	2		2	4	69	32	53	38	13	9	3	5	3	2	4	16	0	3	0	1	8	2	4	7	22	1	3	14	21	653
BE	14	22	6	12	104	16	21	20	20	29	38	17	30	25	42	35	44	54	8	5	9	3	2	8	5	74	44	74	58	28	13	9	9	11	2	9	25	1	7	2	2	5	1	12	8	32	2	4	22	13	"1,045"
Grand Total	"1,162"	"1,411"	876	918	"3,410"	"1,033"	"1,738"	"1,890"	"1,794"	"1,359"	"1,787"	971	"1,245"	"1,116"	974	564	726	842	"1,050"	773	"1,141"	632	464	"1,170"	"2,005"	"5,711"	"3,284"	"7,709"	"4,365"	"3,335"	"2,669"	"1,250"	"1,636"	"1,782"	598	487	"1,413"	228	662	474	587	"3,796"	924	492	569	405	243	572	691	"1,030"	"75,956"
