Exit stations,Entry stations->,,SATURDAY,,,Nov 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	6 , 	21 , 	21 , 	11 , 	46 , 	16 , 	22 , 	12 , 	20 , 	6 , 	24 , 	11 , 	7 , 	6 , 	3 , 	7 , 	1 , 	4 , 	4 , 	2 , 	4 , 	1 , 	1 , 	4 , 	6 , 	45 , 	32 , 	98 , 	34 , 	44 , 	45 , 	8 , 	12 , 	12 , 	4 , 	1 , 	3 , 	-   , 	3 , 	1 , 	5 , 	6 , 	3 , 	1 , 	2 , 	2 , 	2 , 	2 , 	2 , 	2 , 	629 ,,,,,,,,,,
LF, 	2 , 	1 , 	1 , 	1 , 	3 , 	1 , 	5 , 	3 , 	3 , 	-   , 	4 , 	1 , 	1 , 	1 , 	1 , 	1 , 	1 , 	2 , 	25 , 	13 , 	10 , 	3 , 	2 , 	5 , 	1 , 	16 , 	11 , 	13 , 	13 , 	3 , 	4 , 	1 , 	2 , 	1 , 	1 , 	0 , 	0 , 	2 , 	6 , 	-   , 	0 , 	5 , 	0 , 	-   , 	1 , 	-   , 	-   , 	-   , 	4 , 	2 , 	171 ,,,,,,,,,,
OR, 	2 , 	0 , 	1 , 	-   , 	1 , 	2 , 	3 , 	2 , 	3 , 	1 , 	4 , 	1 , 	0 , 	1 , 	-   , 	-   , 	0 , 	-   , 	6 , 	4 , 	8 , 	2 , 	1 , 	7 , 	1 , 	12 , 	6 , 	15 , 	5 , 	7 , 	2 , 	1 , 	1 , 	1 , 	0 , 	-   , 	0 , 	1 , 	2 , 	-   , 	0 , 	3 , 	-   , 	-   , 	1 , 	-   , 	-   , 	1 , 	2 , 	1 , 	108 ,,,,,,,,,,
RR, 	4 , 	3 , 	7 , 	1 , 	3 , 	1 , 	7 , 	12 , 	9 , 	3 , 	15 , 	4 , 	3 , 	3 , 	2 , 	1 , 	2 , 	1 , 	11 , 	12 , 	12 , 	5 , 	8 , 	4 , 	5 , 	24 , 	14 , 	30 , 	16 , 	14 , 	11 , 	6 , 	3 , 	4 , 	1 , 	1 , 	1 , 	1 , 	3 , 	1 , 	1 , 	5 , 	1 , 	0 , 	1 , 	1 , 	1 , 	1 , 	1 , 	5 , 	278 ,,,,,,,,,,
OW, 	6 , 	5 , 	3 , 	3 , 	14 , 	7 , 	11 , 	6 , 	12 , 	8 , 	25 , 	11 , 	10 , 	10 , 	6 , 	4 , 	3 , 	1 , 	3 , 	2 , 	3 , 	0 , 	0 , 	6 , 	8 , 	109 , 	85 , 	193 , 	74 , 	54 , 	37 , 	7 , 	15 , 	7 , 	3 , 	2 , 	2 , 	0 , 	3 , 	3 , 	5 , 	12 , 	3 , 	2 , 	3 , 	2 , 	1 , 	3 , 	2 , 	3 , 	794 ,,,,,,,,,,
EM, 	43 , 	56 , 	29 , 	22 , 	70 , 	31 , 	65 , 	61 , 	63 , 	46 , 	72 , 	29 , 	37 , 	33 , 	18 , 	12 , 	17 , 	18 , 	30 , 	22 , 	28 , 	10 , 	12 , 	32 , 	125 , 	10 , 	4 , 	30 , 	23 , 	55 , 	76 , 	40 , 	70 , 	54 , 	15 , 	12 , 	45 , 	6 , 	21 , 	9 , 	15 , 	23 , 	7 , 	13 , 	6 , 	8 , 	13 , 	19 , 	5 , 	21 ," 	1,571 ",,,,,,,,,,
MT, 	51 , 	56 , 	25 , 	13 , 	47 , 	29 , 	50 , 	50 , 	63 , 	46 , 	59 , 	33 , 	51 , 	46 , 	13 , 	11 , 	11 , 	17 , 	31 , 	28 , 	27 , 	17 , 	8 , 	20 , 	95 , 	7 , 	9 , 	10 , 	16 , 	59 , 	60 , 	40 , 	119 , 	57 , 	26 , 	14 , 	27 , 	9 , 	18 , 	11 , 	15 , 	29 , 	9 , 	6 , 	4 , 	2 , 	10 , 	13 , 	5 , 	13 ," 	1,478 ",,,,,,,,,,
PL, 	80 , 	99 , 	31 , 	20 , 	66 , 	36 , 	76 , 	65 , 	85 , 	69 , 	112 , 	69 , 	69 , 	74 , 	42 , 	26 , 	24 , 	19 , 	51 , 	42 , 	32 , 	11 , 	16 , 	24 , 	188 , 	32 , 	10 , 	28 , 	19 , 	174 , 	222 , 	117 , 	276 , 	197 , 	62 , 	22 , 	43 , 	14 , 	38 , 	31 , 	41 , 	60 , 	24 , 	18 , 	6 , 	6 , 	8 , 	16 , 	10 , 	27 ," 	2,921 ",,,,,,,,,,
CC, 	30 , 	38 , 	18 , 	17 , 	44 , 	20 , 	46 , 	35 , 	57 , 	39 , 	99 , 	28 , 	23 , 	24 , 	13 , 	8 , 	10 , 	10 , 	19 , 	14 , 	13 , 	9 , 	6 , 	18 , 	80 , 	22 , 	12 , 	16 , 	10 , 	57 , 	67 , 	35 , 	89 , 	67 , 	32 , 	6 , 	17 , 	4 , 	9 , 	16 , 	20 , 	33 , 	16 , 	7 , 	5 , 	3 , 	8 , 	8 , 	4 , 	7 ," 	1,284 ",,,,,,,,,,
16, 	41 , 	35 , 	10 , 	16 , 	38 , 	23 , 	45 , 	50 , 	38 , 	30 , 	52 , 	18 , 	19 , 	14 , 	10 , 	4 , 	6 , 	4 , 	15 , 	12 , 	16 , 	3 , 	7 , 	17 , 	55 , 	65 , 	51 , 	192 , 	82 , 	8 , 	23 , 	40 , 	89 , 	69 , 	28 , 	9 , 	9 , 	1 , 	12 , 	15 , 	19 , 	26 , 	17 , 	5 , 	2 , 	3 , 	5 , 	5 , 	4 , 	8 ," 	1,356 ",,,,,,,,,,
24, 	45 , 	32 , 	6 , 	8 , 	23 , 	12 , 	24 , 	23 , 	24 , 	17 , 	47 , 	23 , 	18 , 	13 , 	8 , 	7 , 	4 , 	6 , 	12 , 	6 , 	7 , 	2 , 	2 , 	9 , 	38 , 	70 , 	58 , 	258 , 	75 , 	22 , 	11 , 	36 , 	58 , 	53 , 	24 , 	4 , 	7 , 	2 , 	15 , 	25 , 	26 , 	16 , 	14 , 	2 , 	2 , 	1 , 	4 , 	4 , 	5 , 	4 ," 	1,206 ",,,,,,,,,,
