Exit stations,Entry stations->,,SUNDAY,,,Nov 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
LF, 	2 , 	1 , 	1 , 	1 , 	2 , 	0 , 	4 , 	2 , 	1 , 	0 , 	3 , 	0 , 	2 , 	-   , 	0 , 	0 , 	0 , 	-   , 	23 , 	10 , 	7 , 	1 , 	2 , 	5 , 	2 , 	5 , 	6 , 	10 , 	6 , 	3 , 	2 , 	1 , 	1 , 	0 , 	-   , 	-   , 	-   , 	2 , 	4 , 	1 , 	0 , 	6 , 	0 , 	-   , 	3 , 	0 , 	0 , 	1 , 	2 , 	2 , 	123 ,,,,,,,,,,,
OR, 	1 , 	0 , 	0 , 	0 , 	2 , 	0 , 	2 , 	3 , 	2 , 	-   , 	2 , 	-   , 	-   , 	2 , 	-   , 	-   , 	0 , 	-   , 	4 , 	4 , 	8 , 	2 , 	1 , 	3 , 	0 , 	4 , 	3 , 	12 , 	2 , 	7 , 	2 , 	1 , 	1 , 	1 , 	0 , 	1 , 	0 , 	1 , 	0 , 	-   , 	0 , 	6 , 	0 , 	-   , 	1 , 	-   , 	-   , 	-   , 	1 , 	1 , 	82 ,,,,,,,,,,,
RR, 	5 , 	2 , 	4 , 	1 , 	2 , 	0 , 	7 , 	10 , 	7 , 	3 , 	8 , 	3 , 	2 , 	1 , 	2 , 	1 , 	2 , 	1 , 	5 , 	11 , 	7 , 	4 , 	6 , 	2 , 	5 , 	20 , 	11 , 	26 , 	15 , 	14 , 	7 , 	3 , 	3 , 	2 , 	0 , 	-   , 	1 , 	1 , 	2 , 	1 , 	1 , 	9 , 	3 , 	0 , 	1 , 	-   , 	1 , 	1 , 	1 , 	4 , 	228 ,,,,,,,,,,,
OW, 	4 , 	3 , 	1 , 	1 , 	8 , 	4 , 	6 , 	5 , 	8 , 	8 , 	14 , 	10 , 	5 , 	8 , 	5 , 	2 , 	0 , 	1 , 	4 , 	1 , 	2 , 	0 , 	0 , 	5 , 	7 , 	76 , 	37 , 	133 , 	53 , 	38 , 	23 , 	6 , 	10 , 	9 , 	3 , 	3 , 	4 , 	0 , 	2 , 	2 , 	5 , 	18 , 	1 , 	2 , 	2 , 	-   , 	0 , 	2 , 	3 , 	3 , 	552 ,,,,,,,,,,,
EM, 	27 , 	43 , 	17 , 	12 , 	31 , 	15 , 	37 , 	31 , 	41 , 	33 , 	53 , 	25 , 	28 , 	23 , 	15 , 	8 , 	9 , 	14 , 	18 , 	18 , 	19 , 	7 , 	5 , 	16 , 	80 , 	10 , 	3 , 	17 , 	14 , 	29 , 	37 , 	13 , 	38 , 	22 , 	13 , 	14 , 	35 , 	5 , 	16 , 	7 , 	7 , 	21 , 	6 , 	8 , 	6 , 	2 , 	7 , 	7 , 	3 , 	10 , 	972 ,,,,,,,,,,,
MT, 	35 , 	27 , 	16 , 	12 , 	29 , 	12 , 	29 , 	30 , 	44 , 	35 , 	42 , 	19 , 	31 , 	37 , 	11 , 	5 , 	8 , 	7 , 	24 , 	18 , 	13 , 	7 , 	5 , 	13 , 	56 , 	3 , 	10 , 	9 , 	8 , 	30 , 	35 , 	25 , 	59 , 	31 , 	19 , 	9 , 	16 , 	4 , 	17 , 	7 , 	12 , 	25 , 	5 , 	5 , 	5 , 	3 , 	5 , 	9 , 	3 , 	9 , 	931 ,,,,,,,,,,,
PL, 	56 , 	65 , 	20 , 	12 , 	40 , 	23 , 	48 , 	53 , 	61 , 	58 , 	96 , 	54 , 	43 , 	56 , 	24 , 	14 , 	10 , 	11 , 	34 , 	28 , 	32 , 	9 , 	9 , 	20 , 	123 , 	15 , 	4 , 	30 , 	19 , 	95 , 	128 , 	74 , 	181 , 	122 , 	45 , 	16 , 	31 , 	10 , 	36 , 	17 , 	30 , 	50 , 	13 , 	13 , 	6 , 	4 , 	7 , 	10 , 	8 , 	15 ," 	1,978 ",,,,,,,,,,,
CC, 	26 , 	30 , 	12 , 	11 , 	30 , 	14 , 	42 , 	38 , 	42 , 	35 , 	71 , 	27 , 	18 , 	17 , 	7 , 	6 , 	5 , 	6 , 	16 , 	14 , 	14 , 	6 , 	2 , 	16 , 	62 , 	11 , 	8 , 	13 , 	17 , 	33 , 	45 , 	28 , 	73 , 	47 , 	27 , 	6 , 	16 , 	3 , 	10 , 	12 , 	17 , 	36 , 	9 , 	6 , 	5 , 	3 , 	4 , 	8 , 	3 , 	12 ," 	1,016 ",,,,,,,,,,,
16, 	27 , 	20 , 	7 , 	9 , 	19 , 	13 , 	24 , 	36 , 	30 , 	32 , 	34 , 	18 , 	10 , 	9 , 	9 , 	6 , 	3 , 	4 , 	11 , 	8 , 	9 , 	2 , 	6 , 	13 , 	38 , 	29 , 	27 , 	122 , 	40 , 	14 , 	12 , 	19 , 	43 , 	41 , 	15 , 	5 , 	9 , 	0 , 	9 , 	10 , 	17 , 	33 , 	13 , 	2 , 	4 , 	2 , 	3 , 	5 , 	3 , 	7 , 	881 ,,,,,,,,,,,
24, 	28 , 	21 , 	5 , 	7 , 	15 , 	8 , 	18 , 	22 , 	21 , 	24 , 	34 , 	14 , 	10 , 	11 , 	5 , 	4 , 	4 , 	4 , 	10 , 	8 , 	6 , 	4 , 	2 , 	5 , 	28 , 	36 , 	30 , 	173 , 	62 , 	14 , 	24 , 	21 , 	41 , 	39 , 	21 , 	3 , 	9 , 	3 , 	9 , 	14 , 	23 , 	23 , 	7 , 	2 , 	2 , 	1 , 	2 , 	6 , 	3 , 	5 , 	890 ,,,,,,,,,,,
