Exit stations,Entry stations->,,SUNDAY,,,Mar 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
LF, 	7 , 	4 , 	6 , 	5 , 	27 , 	6 , 	14 , 	13 , 	35 , 	7 , 	14 , 	31 , 	1 , 	2 , 	2 , 	1 , 	2 , 	5 , 	40 , 	22 , 	25 , 	4 , 	11 , 	39 , 	5 , 	83 , 	59 , 	154 , 	94 , 	16 , 	13 , 	9 , 	3 , 	10 , 	3 , 	1 , 	2 , 	2 , 	9 , 	1 , 	3 , 	46 , 	8 , 	-   , 	837 ,,,CM line," 	19,239 "," 	2,616 "," 	3,575 ",,,,,
OR, 	3 , 	3 , 	5 , 	3 , 	15 , 	3 , 	11 , 	12 , 	33 , 	8 , 	7 , 	18 , 	2 , 	2 , 	3 , 	1 , 	2 , 	4 , 	17 , 	19 , 	21 , 	9 , 	2 , 	27 , 	3 , 	64 , 	44 , 	118 , 	75 , 	19 , 	13 , 	5 , 	7 , 	7 , 	1 , 	1 , 	1 , 	2 , 	5 , 	1 , 	2 , 	46 , 	8 , 	-   , 	648 ,,,RM line," 	7,607 "," 	3,268 "," 	2,485 "," 	2,254 ",,,,
RR, 	8 , 	14 , 	18 , 	11 , 	31 , 	11 , 	38 , 	61 , 	136 , 	16 , 	28 , 	44 , 	8 , 	8 , 	6 , 	5 , 	3 , 	14 , 	21 , 	42 , 	55 , 	40 , 	31 , 	6 , 	20 , 	156 , 	135 , 	372 , 	214 , 	113 , 	74 , 	27 , 	17 , 	16 , 	5 , 	3 , 	5 , 	6 , 	18 , 	3 , 	3 , 	108 , 	16 , 	3 ," 	1,963 ",,,WP line," 	6,851 "," 	1,761 "," 	1,696 "," 	1,110 "," 	1,654 ",,,
OW, 	12 , 	19 , 	9 , 	11 , 	38 , 	20 , 	48 , 	31 , 	89 , 	20 , 	73 , 	52 , 	14 , 	32 , 	13 , 	9 , 	10 , 	7 , 	4 , 	8 , 	8 , 	7 , 	3 , 	19 , 	8 , 	155 , 	130 , 	445 , 	193 , 	101 , 	67 , 	18 , 	22 , 	12 , 	4 , 	7 , 	10 , 	1 , 	13 , 	3 , 	8 , 	32 , 	5 , 	3 ," 	1,788 ",,,FT/ED line," 	9,273 "," 	3,926 "," 	2,727 "," 	3,614 "," 	1,683 "," 	5,331 ",,
EM, 	51 , 	103 , 	76 , 	137 , 	294 , 	113 , 	199 , 	137 , 	219 , 	113 , 	158 , 	203 , 	77 , 	92 , 	39 , 	34 , 	53 , 	103 , 	68 , 	138 , 	154 , 	92 , 	62 , 	177 , 	198 , 	39 , 	18 , 	164 , 	79 , 	251 , 	317 , 	145 , 	240 , 	107 , 	35 , 	58 , 	184 , 	18 , 	70 , 	31 , 	40 , 	286 , 	78 , 	30 ," 	5,274 ",,,SFIA," 	6,528 ", 	621 ," 	3,026 "," 	1,352 "," 	1,246 ", 	862 , 	807 ," 	105,507 "
MT, 	55 , 	103 , 	62 , 	114 , 	228 , 	89 , 	159 , 	128 , 	172 , 	124 , 	116 , 	114 , 	79 , 	68 , 	35 , 	26 , 	42 , 	92 , 	45 , 	100 , 	108 , 	56 , 	43 , 	125 , 	164 , 	19 , 	32 , 	49 , 	53 , 	260 , 	356 , 	230 , 	645 , 	155 , 	72 , 	47 , 	112 , 	18 , 	52 , 	38 , 	35 , 	263 , 	79 , 	23 ," 	4,981 ",,,,,,,,,,,
PL, 	121 , 	251 , 	130 , 	182 , 	588 , 	206 , 	356 , 	249 , 	339 , 	295 , 	370 , 	299 , 	185 , 	169 , 	90 , 	82 , 	108 , 	186 , 	103 , 	200 , 	257 , 	129 , 	96 , 	295 , 	437 , 	169 , 	40 , 	99 , 	159 , 	981 ," 	1,229 ", 	607 ," 	1,116 ", 	559 , 	202 , 	109 , 	325 , 	46 , 	153 , 	144 , 	158 , 	985 , 	295 , 	56 ," 	13,147 ",,,,,,,,,,,
CC, 	59 , 	95 , 	92 , 	119 , 	243 , 	126 , 	232 , 	153 , 	159 , 	133 , 	196 , 	137 , 	62 , 	65 , 	33 , 	23 , 	34 , 	103 , 	50 , 	90 , 	130 , 	81 , 	72 , 	173 , 	188 , 	60 , 	38 , 	151 , 	49 , 	408 , 	514 , 	222 , 	434 , 	200 , 	103 , 	48 , 	151 , 	20 , 	49 , 	67 , 	106 , 	394 , 	170 , 	25 ," 	6,052 ",,,,,,,,,,,
16, 	42 , 	30 , 	32 , 	61 , 	141 , 	100 , 	149 , 	93 , 	79 , 	71 , 	96 , 	55 , 	30 , 	30 , 	17 , 	15 , 	15 , 	31 , 	16 , 	28 , 	38 , 	14 , 	13 , 	94 , 	97 , 	248 , 	203 ," 	1,071 ", 	481 , 	31 , 	196 , 	161 , 	304 , 	142 , 	60 , 	12 , 	36 , 	4 , 	22 , 	30 , 	65 , 	178 , 	86 , 	7 ," 	4,718 ",,,,,,,,,,,
24, 	52 , 	50 , 	31 , 	59 , 	123 , 	79 , 	121 , 	83 , 	74 , 	62 , 	95 , 	78 , 	23 , 	24 , 	16 , 	11 , 	9 , 	24 , 	18 , 	29 , 	29 , 	13 , 	9 , 	68 , 	80 , 	299 , 	263 ," 	1,410 ", 	594 , 	206 , 	53 , 	156 , 	290 , 	121 , 	69 , 	12 , 	34 , 	5 , 	32 , 	36 , 	101 , 	176 , 	82 , 	6 ," 	5,201 ",,,,,,,,,,,
