Avg Saturday Trip OD																																																			
																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
LM	13	19	12	13	55	17	17	8	9	24	57	54	93	73	41	21	23	33	4	4	6	1	1	6	18	185	104	191	125	71	62	18	22	18	2	35	46	1	5	1	2	14	3	21	13	12	1	4	20	28	"1,620"
FV	48	57	23	21	124	37	63	35	38	45	49	111	99	105	77	33	32	34	15	8	9	3	5	22	45	193	122	267	159	123	105	22	32	31	7	32	64	2	11	5	7	25	8	25	6	21	3	10	24	43	"2,478"
CL	30	44	16	13	80	21	45	44	42	39	87	14	72	63	57	31	31	24	17	11	12	6	3	12	32	105	49	120	78	44	50	16	23	31	3	26	67	5	14	6	8	10	6	19	12	18	4	16	35	51	"1,652"
SL	17	19	5	9	91	15	33	44	42	81	102	89	22	63	72	29	26	24	10	5	5	1	2	10	18	174	96	218	95	51	36	15	21	26	3	21	41	1	5	3	3	20	7	21	6	14	1	6	20	29	"1,760"
BF	9	22	6	11	83	9	19	37	39	76	102	71	58	23	51	38	21	30	9	4	7	1	1	6	17	130	68	209	79	31	35	11	19	19	3	18	55	2	4	4	8	13	3	34	5	24	3	8	20	28	"1,579"
HY	13	21	7	9	60	17	22	34	34	36	75	52	76	50	15	41	58	76	9	4	5	3	2	6	14	101	33	88	44	15	21	7	14	14	5	6	29	1	6	3	4	7	5	15	6	29	3	10	35	44	"1,276"
SH	7	7	3	3	43	5	11	15	12	16	37	36	27	30	32	6	22	39	4	1	4	3	2	2	2	70	29	64	30	13	15	2	6	8	3	7	14	1	4	3	3	5	1	11	4	32	1	4	25	29	747
UC	5	13	4	6	73	9	11	18	13	19	28	32	29	33	61	25	15	32	2	4	5	1	1	3	6	128	43	93	51	15	12	6	5	9	2	7	17	1	3	1	1	12	3	10	7	34	1	2	47	47	996
FM	7	12	6	4	97	5	9	21	16	28	36	25	22	38	71	42	31	24	2	4	3	1	2	4	8	142	56	96	61	24	10	4	7	9	2	6	24	1	2	1	0	16	2	7	4	26		4	62	62	"1,141"
CN	17	16	4	6	36	5	31	30	30	4	16	18	9	9	9	4	2	2	25	33	102	67	14	40	8	128	62	125	65	29	23	12	11	18	6	4	5	12	66	7	7	66	6	2	10	2	33	52	5	8	"1,297"
PH	5	7	4	5	60	6	22	23	25	1	9	13	4	1	2	2	5	1	40	19	49	17	9	48	5	176	81	130	74	35	20	8	8	11	3	1	3	8	27	4	3	79	3	2	11	3	12	20	4	5	"1,109"
WC	10	11	12	12	103	9	38	43	35	7	12	13	5	4	4	3	3	5	134	52	30	29	21	83	10	220	96	161	106	35	24	14	14	17	5	2	1	10	44	6	5	95	6	1	12	2	17	42	2	8	"1,625"
LF	11	6	5	3	54	4	15	15	11	1	4	7	2	1	4	3		3	86	25	27	11	8	39	2	136	53	93	63	18	17	7	3	6	1		1	4	11	1	1	67	2		8	1	5	6	2	3	849
OR	3	3	4	3	71	3	12	18	13	1	5	3	1	2	3	2	1	0	16	9	23	9	8	36	3	117	51	79	57	23	13	6	2	3	1		1	2	4	2	2	39	4	0	4		3	3	2	2	663
RR	10	14	13	8	26	4	30	45	46	6	28	15	7	7	5	2	3	3	37	43	90	46	50	23	12	263	124	198	158	99	62	18	11	12	5	4	6	4	16	2	6	72	8	1	8	1	5	18	4	6	"1,679"
OW	13	17	6	6	42	17	26	40	33	12	50	29	18	23	13	6	5	7	14	12	17	6	5	22	64	412	215	446	295	213	114	22	25	20	6	8	17	2	8	5	6	50	7	8	3	4	3	7	3	10	"2,403"
EM	133	214	154	195	780	190	269	355	307	177	223	114	203	155	119	78	135	160	151	205	284	178	165	300	508	122	20	119	86	255	332	197	236	283	74	101	403	42	98	66	80	277	147	136	37	64	17	79	139	142	"9,298"
MT	88	132	60	110	428	93	170	197	182	115	147	57	124	95	44	36	46	59	66	86	95	73	49	162	275	15	62	27	37	185	221	129	258	167	61	47	109	13	63	41	40	226	61	42	13	26	9	39	51	55	"4,979"
PL	139	225	105	119	536	118	239	276	268	155	247	123	179	153	83	54	87	91	119	119	157	87	91	193	453	107	15	129	68	456	561	310	539	432	128	75	208	33	104	106	115	787	120	59	30	31	13	65	83	90	"9,074"
CC	77	108	68	107	343	116	202	233	178	113	151	82	94	68	47	26	51	51	59	81	96	62	58	150	308	75	35	60	91	189	293	158	188	232	96	43	127	21	37	76	86	269	129	48	12	23	14	42	39	75	"5,380"
16	61	69	46	63	197	88	148	170	132	74	113	45	47	30	21	17	17	23	29	36	43	20	22	100	219	237	146	489	203	69	92	121	179	221	60	14	39	7	22	54	59	170	87	17	6	8	6	16	22	21	"4,189"
24	69	60	28	41	150	52	114	135	78	56	115	46	31	35	20	16	11	10	23	22	24	12	15	66	145	276	172	648	305	89	47	140	172	213	76	12	28	5	23	56	74	111	74	12	5	1	7	20	7	15	"3,957"
GP	10	18	13	13	91	13	28	40	31	17	27	13	12	9	5	2	5	5	10	9	12	9	6	23	23	162	100	338	156	113	115	22	26	46	24	5	13	5	11	19	26	74	41	4	5	3	4	7	4	9	"1,766"
BP	20	20	5	7	52	9	13	25	27	16	28	20	21	15	11	6	5	5	9	5	10	3	2	15	28	190	128	592	185	153	156	30	22	34	40	7	12	1	9	27	46	54	33	5	2	2	3	7	6	7	"2,121"
DC	24	27	12	9	97	10	18	38	26	16	32	29	24	15	10	10	8	7	16	13	15	6	3	13	27	207	150	525	273	231	220	41	48	36	22	8	30	5	17	34	69	141	79	6	5	8	1	9	9	16	"2,688"
CM	13	11	4	3	19	3	5	8	11	2	4	3	1	2	3	2	2	2	5	3	6	1	1	6	4	68	46	175	88	65	51	21	41	18	11	1	2	2	8	6	16	59	23	0	0	1	3	7	0	1	831
CV	3	3	2	2	30	2	5	6	6	31	29	25	21	15	10	8	9	7	3	1	2	1	1	2	5	91	38	89	48	14	12	3	4	6		10	35	0	0	1	3	10	1	48	3	2	0	1	5	5	657
ED	7	10	10	9	102	12	13	25	13	45	65	65	38	51	37	17	21	21	7	2	2	1	1	4	11	329	115	223	138	39	25	15	12	28	3	45	44	2	2	1	3	67	7	18	21	6	1	2	24	32	"1,783"
NC		3	2	1	13	1	6	6	6	1	3	5	1	2	1	1	1	1	10	6	8	6	0	3	2	40	14	30	23	6	5	4	6	4	1		3	6	7	1	1	21	2	0	5	1	5	6	1	2	274
WP	5	7	3	4	18	2	20	8	13	3	11	12	4	3	5	4	3	3	70	27	52	10	6	15	5	80	57	129	43	23	23	11	9	19	8	1	2	9	9	5	3	45	2	3	9	3	6	10	2	7	822
SS	6	9	2	4	20	2	3	5	9	1	6	5	4	3	3	3	1	2	5	3	7	1	1	3	8	63	35	117	77	51	51	17	31	30	8	2	1	2	3	9	14	33	12	1	1	0	1	7	1	2	678
SB	12	15	4	3	28	4	6	13	13	2	9	10	6	7	4	2	1	1	8	3	6	1	1	7	8	68	39	125	88	61	66	23	52	66	16	3	3	3	4	15	14	63	7	1	1	2	1	5	1	1	897
SO	32	43	33	44	113	27	50	43	59	15	21	12	13	7	5	3	9	10	48	58	72	45	30	40	56	165	147	655	211	120	66	50	41	119	40	6	40	14	34	27	43	78	238	13	5	5	4	35	5	2	"3,041"
MB	8	11	7	9	95	12	12	15	19	4	9	4	2	2	2	2	1	2	6	4	5	2	4	5	10	125	54	143	115	69	61	30	40	85	20	1	5	2	3	7	9	279	46	1	2	1	0	6	1		"1,355"
WD	3	2	1	2	37	5	7	8	4	25	28	22	20	36	19	11	8	9	1	3	1		0	2	6	111	44	70	43	15	10	6	5	6	0	44	15		2	1	1	18	1	7	6	3	0	1	6	10	678
OA	2	10	7	8	34	9	10	10	11	10	3	8	6	3	4	3	2	4	7	10	7	8	4	5	3	24	10	20	11	6	7	2	3	2	0	3	13	2	7	0	2	10		6	8	1	1	9	3	3	334
WS	6	9	2	5	61	5	9	10	5	11	20	16	12	17	25	25	32	23	2	1	1	1	1	1	3	61	21	34	24	12	5	3	3	6	1	0	7		1	1	1	6	1	4	2	9	1	1	28	29	558
PC	4	3	1	2	4	2	8	9	8	3	3	5	2	3	4	2	1	1	41	13	19	2	3	7	4	17	9	19	12	6	7	2	5	3	2	1	0	6	5	3	4	8	0	1	3	1	1	14	1	1	279
AN	10	6	2	2	32	6	35	15	21	4	14	19	7	6	12	6	4	3	57	20	40	8	4	22	5	82	38	92	48	23	19	10	13	18	6	2	4	6	11	6	6	68	5	0	13	2	14	22	3	10	874
ML	10	12	5	9	121	7	13	18	14	20	19	31	19	14	34	25	46	61	4	4	4	2	2	5	3	108	35	101	45	16	11	7	7	11	2	6	23	0	3	2	2	9	0	7	4	32	1	3	31	24	987
BE	14	23	9	11	200	19	21	38	22	33	48	53	34	27	53	33	48	69	9	6	8	3	3	5	8	119	40	98	66	29	16	9	9	13	2	5	30	1	6	1	1	5	0	9	4	40	0	6	22	20	"1,340"
Grand Total	"1,550"	"2,056"	"1,300"	"1,273"	"6,338"	"1,398"	"2,334"	"2,714"	"2,388"	"1,499"	"2,506"	"1,738"	"1,730"	"1,515"	"1,311"	782	970	"1,130"	"1,364"	"1,155"	"1,654"	889	742	"1,713"	"2,553"	"7,845"	"3,947"	"9,767"	"5,439"	"4,072"	"3,778"	"1,799"	"2,348"	"2,595"	817	678	"1,773"	279	809	672	861	"3,997"	"1,385"	681	453	601	239	733	972	"1,293"	"102,429"
