Avg Sunday Trip OD																																																			
																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
CV	2	3	2	3	8	2	5	3	4	30	20	15	14	13	9	4	4	5	2	1	2	1	0	1	4	95	40	74	43	18	9	4	6	7	0	7	34		2	0	3	9	1	39	3	2	1	2	4	5	559
ED	8	5	3	4	29	8	8	12	9	36	43	36	30	38	20	10	15	14	5	1	2	1		3	14	297	93	208	104	36	15	13	10	20	4	28	23	1		1	1	79	4	15	35	5	0	2	34	23	"1,397"
NC	2	1	0	1	3	0	6	1	4	2	0	4	1	2	1		1	1	8	4	7	3	1	4	1	22	9	25	14	8	5	1	1	3	1		2	1	6	1	1	25	2		5		5	6	1	2	198
WP	6	5	2	1	8	3	18	7	8	3	4	8	4	4	3	2	2	3	51	22	35	7	5	14	4	66	37	108	29	16	11	7	8	11	6		1	5	8	5	6	41	3	1	12	3	4	11	4	4	634
SS	8	5	2	1	7	2	1	3	6	2	6	3	2	2	1	1	1	1	4	2	6	1	1	4	3	62	26	97	61	36	35	15	26	28	6	1	2	2	6	5	9	38	12		2	0	1	4	1	1	547
SB	9	7	2	3	10	2	5	6	10	2	6	5	4	2	2	2	1	1	6	6	5	2	2	6	6	46	26	99	73	44	45	23	43	47	15	2	2	1	4	9	6	97	10	1	2		1	7	2	1	711
SO	35	33	27	40	120	28	50	38	56	14	14	10	6	7	2	2	8	7	46	50	87	45	29	53	47	211	170	718	206	106	74	47	35	101	32	4	48	11	30	23	34	60	182	6	10	6	6	33	3	3	"3,003"
MB	10	14	7	6	70	10	12	12	14	6	5	4	2	3	2	1	3	1	2	6	4	1	2	4	8	106	43	117	119	67	46	24	29	63	17	1	3	2	5	6	8	405	28	1	2	1	1	3	0		"1,302"
WD	2	4	2	1	15	3	7	6	4	17	21	17	16	22	15	8	6	3	1	1	1		0	1	4	90	28	76	33	14	5	2	3	6	0	35	17	0	1	0	1	24	1	9	17	2		0	8	6	551
OA	4	10	6	11	64	10	8	13	17	9	5	9	3	3	2	2	2	3	9	12	10	5	4	4	2	36	19	49	12	10	8	4	2	3	0	1	18	3	7	1		11	1	6	5	1	1	7	6	3	435
WS	4	6	3	6	18	3	7	6	4	7	17	15	10	14	20	19	32	19	3	1	1	1	0	1	3	43	17	33	19	9	4	2	2	4		1	6	0	3	1		6	1	5	3	3	1	2	32	20	431
PC	5	2	1	1	3	2	8	6	4	2	5	4	2	3	1	1	0	1	28	14	15	3	4	5	3	14	8	17	11	4	3	2	4	2	2	0	1	5	4	0	2	5	1		2	1	2	10	1	1	217
AN	6	9	4	2	8	1	25	12	14	3	9	11	6	5	8	1	3	5	45	14	26	6	5	14	8	65	25	70	34	17	14	9	12	15	5	1	3	5	8	6	5	52	3	1	15	2	12	15	4	6	645
ML	9	13	8	9	61	9	15	17	17	25	27	17	23	23	36	32	58	61	10	6	8	2	4	5	7	155	69	251	79	26	12	10	7	12	1	3	30	1	3	0	2	11	1	7	5	21	1	5	32	18	"1,258"
BE	14	26	11	17	99	14	16	20	15	33	29	25	27	33	43	31	32	52	10	7	9	3	1	7	10	94	42	89	69	23	16	7	13	15	2	6	26	1	4	0	2	7	0	8	7	23	2	7	14	15	"1,072"
Grand Total	"1,165"	"1,404"	907	963	"3,194"	"1,060"	"1,720"	"1,781"	"1,648"	"1,387"	"1,876"	"1,145"	"1,249"	"1,141"	920	565	706	842	"1,028"	802	"1,206"	677	514	"1,224"	"2,010"	"6,129"	"2,880"	"8,133"	"4,655"	"3,096"	"2,691"	"1,261"	"1,620"	"1,918"	591	526	"1,393"	194	612	492	645	"4,041"	"1,085"	505	644	403	190	566	"1,237"	"1,065"	"77,697"
