Total Trip OD																																																			
																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
OR	213	155	94	154	880	100	587	874	"1,206"	60	213	117	119	71	64	21	36	82	798	388	733	245	197	875	76	"10,025"	"6,171"	"2,643"	"2,483"	749	403	280	237	393	57	38	14	42	244	56	97	"1,605"	113	8	183	10	140	214	61	79	"34,703"
RR	371	605	438	357	579	175	"1,077"	"2,210"	"2,246"	381	880	456	422	311	246	92	155	170	"1,804"	"1,851"	"2,612"	"1,136"	"1,140"	384	516	"15,108"	"10,459"	"6,273"	"7,367"	"3,151"	"1,892"	936	727	703	102	58	136	244	858	140	231	"3,018"	187	45	300	88	281	767	148	230	"74,063"
OW	612	683	150	235	"1,281"	450	985	"1,186"	"1,330"	476	"1,993"	"1,403"	677	775	692	309	274	265	327	236	284	92	101	513	956	"22,165"	"13,521"	"14,638"	"12,275"	"6,564"	"3,890"	992	"1,239"	"1,161"	196	261	505	83	209	233	431	"2,209"	413	194	153	135	208	319	204	278	"98,761"
EM	"6,973"	"12,122"	"7,756"	"9,362"	"16,846"	"8,611"	"13,960"	"19,299"	"17,592"	"9,815"	"11,949"	"5,303"	"11,389"	"8,532"	"5,569"	"4,181"	"7,064"	"8,689"	"9,912"	"15,460"	"17,385"	"12,379"	"11,592"	"16,621"	"25,882"	"2,872"	723	"3,399"	"4,884"	"12,780"	"19,598"	"12,748"	"13,798"	"16,091"	"5,717"	"6,818"	"20,792"	"2,756"	"8,236"	"4,846"	"4,751"	"8,881"	"5,440"	"8,417"	"1,529"	"3,145"	931	"6,404"	"4,881"	"4,896"	"479,576"
MT	"5,329"	"9,123"	"5,428"	"6,046"	"10,362"	"5,976"	"9,999"	"12,766"	"11,528"	"7,187"	"9,057"	"3,626"	"8,954"	"7,377"	"3,891"	"3,341"	"4,694"	"4,953"	"7,097"	"10,804"	"10,954"	"7,592"	"6,230"	"11,047"	"16,109"	778	"2,039"	"1,204"	"2,768"	"11,442"	"20,170"	"13,960"	"18,165"	"18,539"	"6,297"	"4,619"	"12,062"	"2,012"	"6,217"	"5,489"	"5,184"	"7,550"	"5,222"	"4,820"	800	"2,165"	902	"5,208"	"3,153"	"3,102"	"363,337"
PL	"6,150"	"9,871"	"3,852"	"3,630"	"11,636"	"4,056"	"8,244"	"10,041"	"10,358"	"6,476"	"9,877"	"4,640"	"7,474"	"6,481"	"3,650"	"2,319"	"3,094"	"2,926"	"5,644"	"5,444"	"5,337"	"3,098"	"2,589"	"5,734"	"14,561"	"3,947"	"1,215"	"2,649"	"2,454"	"12,928"	"18,437"	"12,057"	"23,212"	"16,748"	"5,259"	"3,105"	"7,057"	"1,464"	"6,526"	"4,457"	"3,904"	"22,561"	"3,773"	"2,312"	"1,187"	"1,223"	"1,044"	"4,217"	"2,606"	"2,393"	"323,917"
CC	"4,443"	"7,054"	"3,702"	"4,669"	"9,169"	"5,082"	"8,814"	"10,190"	"8,887"	"5,678"	"8,953"	"4,064"	"5,558"	"4,409"	"2,690"	"1,944"	"2,416"	"2,447"	"4,441"	"4,818"	"4,613"	"2,615"	"2,288"	"6,402"	"12,699"	"4,238"	"2,684"	"2,402"	"2,045"	"6,861"	"11,414"	"8,488"	"13,473"	"12,841"	"5,151"	"2,845"	"5,858"	"1,625"	"3,787"	"5,038"	"4,183"	"8,992"	"4,259"	"2,061"	590	"1,166"	"1,010"	"4,143"	"1,504"	"2,150"	"256,853"
16	"2,679"	"3,295"	"1,454"	"2,208"	"4,974"	"2,582"	"5,364"	"5,814"	"4,799"	"2,901"	"4,664"	"1,727"	"2,306"	"1,724"	"1,046"	732	903	926	"1,433"	"1,511"	"1,453"	887	691	"2,927"	"6,836"	"11,865"	"10,809"	"14,713"	"7,277"	"1,114"	"2,968"	"5,479"	"8,957"	"8,386"	"2,962"	778	"1,803"	495	"1,991"	"2,123"	"2,334"	"5,726"	"2,449"	795	287	506	310	"1,584"	584	720	"162,851"
24	"3,270"	"2,489"	"1,044"	"1,261"	"4,191"	"1,444"	"3,356"	"4,168"	"3,835"	"2,173"	"3,390"	"1,850"	"1,666"	"1,360"	729	819	383	466	"1,260"	967	940	542	459	"1,908"	"4,312"	"17,131"	"16,982"	"21,516"	"12,475"	"2,823"	973	"4,868"	"7,709"	"7,521"	"2,646"	436	"1,060"	335	"1,698"	"1,845"	"2,446"	"3,730"	"2,092"	402	304	299	329	"1,156"	293	406	"159,757"
GP	736	965	453	500	"2,133"	514	"1,047"	"1,848"	"1,754"	811	"1,049"	607	567	534	319	140	177	229	548	502	527	226	250	899	"1,194"	"11,950"	"12,312"	"13,063"	"8,622"	"5,481"	"4,827"	425	"1,274"	"1,675"	"1,025"	168	633	125	597	744	"1,137"	"2,701"	"1,486"	231	173	106	107	786	162	189	"88,528"
