Exit stations,Entry stations->,,SATURDAY,,,Apr 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
LF, 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	4 , 	0 , 	1 , 	0 , 	3 , 	1 , 	-   , 	1 , 	-   , 	-   , 	-   , 	0 , 	13 , 	6 , 	4 , 	-   , 	1 , 	2 , 	1 , 	2 , 	1 , 	1 , 	2 , 	1 , 	2 , 	-   , 	0 , 	-   , 	-   , 	-   , 	-   , 	1 , 	4 , 	-   , 	-   , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	2 , 	59 ,,,,,,,,,,
OR, 	0 , 	1 , 	1 , 	-   , 	0 , 	0 , 	-   , 	2 , 	1 , 	1 , 	1 , 	-   , 	-   , 	2 , 	-   , 	-   , 	0 , 	0 , 	3 , 	1 , 	3 , 	2 , 	1 , 	3 , 	0 , 	3 , 	2 , 	2 , 	3 , 	2 , 	0 , 	1 , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	1 , 	-   , 	-   , 	0 , 	0 , 	-   , 	-   , 	0 , 	-   , 	-   , 	1 , 	1 , 	38 ,,,,,,,,,,
RR, 	2 , 	4 , 	2 , 	1 , 	2 , 	1 , 	5 , 	5 , 	4 , 	1 , 	9 , 	3 , 	4 , 	2 , 	3 , 	1 , 	2 , 	0 , 	6 , 	2 , 	4 , 	3 , 	5 , 	1 , 	5 , 	8 , 	2 , 	5 , 	3 , 	1 , 	2 , 	2 , 	3 , 	0 , 	-   , 	-   , 	0 , 	-   , 	3 , 	-   , 	0 , 	2 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	2 , 	3 , 	110 ,,,,,,,,,,
OW, 	3 , 	5 , 	0 , 	2 , 	5 , 	2 , 	5 , 	5 , 	14 , 	3 , 	15 , 	15 , 	8 , 	3 , 	3 , 	2 , 	2 , 	1 , 	3 , 	1 , 	1 , 	1 , 	-   , 	4 , 	3 , 	39 , 	19 , 	42 , 	39 , 	20 , 	15 , 	3 , 	5 , 	4 , 	2 , 	1 , 	4 , 	-   , 	3 , 	2 , 	1 , 	4 , 	1 , 	0 , 	0 , 	1 , 	-   , 	-   , 	2 , 	2 , 	308 ,,,,,,,,,,
EM, 	22 , 	25 , 	6 , 	6 , 	11 , 	6 , 	19 , 	19 , 	15 , 	12 , 	27 , 	12 , 	17 , 	14 , 	7 , 	5 , 	4 , 	4 , 	7 , 	5 , 	3 , 	2 , 	3 , 	6 , 	34 , 	4 , 	2 , 	7 , 	12 , 	17 , 	15 , 	9 , 	22 , 	11 , 	6 , 	5 , 	5 , 	4 , 	11 , 	3 , 	3 , 	6 , 	1 , 	3 , 	1 , 	4 , 	-   , 	-   , 	3 , 	8 , 	446 ,,,,,,,,,,
MT, 	21 , 	23 , 	9 , 	3 , 	11 , 	6 , 	10 , 	10 , 	19 , 	11 , 	28 , 	13 , 	21 , 	15 , 	5 , 	1 , 	3 , 	4 , 	8 , 	3 , 	5 , 	1 , 	2 , 	2 , 	17 , 	4 , 	2 , 	7 , 	6 , 	24 , 	22 , 	19 , 	38 , 	20 , 	6 , 	5 , 	3 , 	1 , 	10 , 	2 , 	5 , 	5 , 	2 , 	2 , 	1 , 	1 , 	-   , 	-   , 	3 , 	7 , 	440 ,,,,,,,,,,
PL, 	19 , 	22 , 	6 , 	5 , 	11 , 	12 , 	20 , 	18 , 	35 , 	21 , 	52 , 	27 , 	18 , 	16 , 	8 , 	6 , 	2 , 	2 , 	15 , 	6 , 	5 , 	2 , 	3 , 	5 , 	41 , 	6 , 	5 , 	8 , 	8 , 	56 , 	64 , 	28 , 	58 , 	46 , 	14 , 	4 , 	3 , 	2 , 	8 , 	11 , 	10 , 	12 , 	3 , 	1 , 	2 , 	3 , 	-   , 	-   , 	6 , 	8 , 	737 ,,,,,,,,,,
CC, 	27 , 	18 , 	4 , 	5 , 	15 , 	7 , 	21 , 	18 , 	33 , 	16 , 	74 , 	31 , 	14 , 	13 , 	9 , 	4 , 	4 , 	3 , 	5 , 	4 , 	6 , 	1 , 	2 , 	4 , 	37 , 	9 , 	6 , 	10 , 	7 , 	57 , 	52 , 	26 , 	59 , 	35 , 	13 , 	4 , 	4 , 	2 , 	5 , 	10 , 	7 , 	13 , 	8 , 	2 , 	1 , 	2 , 	-   , 	-   , 	4 , 	6 , 	709 ,,,,,,,,,,
16, 	13 , 	10 , 	3 , 	2 , 	5 , 	6 , 	10 , 	12 , 	14 , 	8 , 	25 , 	12 , 	7 , 	7 , 	6 , 	2 , 	3 , 	2 , 	5 , 	3 , 	2 , 	1 , 	2 , 	1 , 	20 , 	20 , 	19 , 	66 , 	59 , 	3 , 	11 , 	19 , 	49 , 	35 , 	11 , 	3 , 	2 , 	1 , 	6 , 	8 , 	7 , 	6 , 	4 , 	1 , 	1 , 	2 , 	-   , 	-   , 	4 , 	7 , 	520 ,,,,,,,,,,
24, 	16 , 	12 , 	2 , 	2 , 	6 , 	3 , 	8 , 	6 , 	10 , 	7 , 	19 , 	8 , 	5 , 	3 , 	2 , 	2 , 	2 , 	0 , 	5 , 	2 , 	3 , 	1 , 	1 , 	2 , 	13 , 	22 , 	16 , 	74 , 	73 , 	9 , 	3 , 	20 , 	36 , 	30 , 	13 , 	2 , 	2 , 	2 , 	8 , 	14 , 	8 , 	2 , 	4 , 	0 , 	1 , 	0 , 	-   , 	-   , 	1 , 	1 , 	475 ,,,,,,,,,,
