Exit stations,Entry stations->,,TOTAL,,,Apr 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
OW, 	165 , 	174 , 	53 , 	56 , 	181 , 	89 , 	347 , 	198 , 	598 , 	172 , 	658 , 	631 , 	375 , 	273 , 	132 , 	142 , 	69 , 	35 , 	160 , 	77 , 	50 , 	12 , 	18 , 	95 , 	128 ," 	1,947 "," 	1,466 "," 	2,058 "," 	2,367 ", 	863 , 	587 , 	194 , 	258 , 	180 , 	82 , 	53 , 	126 , 	8 , 	134 , 	106 , 	97 , 	157 , 	53 , 	18 , 	16 , 	13 , 	-   , 	-   , 	88 , 	106 ," 	15,865 ",,,,,,,,,,,,,
EM," 	1,533 "," 	1,939 ", 	403 , 	254 , 	480 , 	415 , 	931 , 	948 ," 	1,108 ", 	864 ," 	1,880 "," 	1,115 "," 	1,453 ", 	945 , 	750 , 	525 , 	253 , 	287 , 	837 , 	635 , 	362 , 	102 , 	154 , 	310 ," 	2,040 ", 	173 , 	123 , 	395 , 	572 , 	944 ," 	1,453 ", 	859 ," 	1,825 "," 	1,142 ", 	508 , 	355 , 	687 , 	277 , 	934 , 	305 , 	247 , 	151 , 	151 , 	219 , 	47 , 	283 , 	-   , 	-   , 	338 , 	868 ," 	33,379 ",,,,,,,,,,,,,
MT," 	1,539 "," 	1,839 ", 	470 , 	258 , 	460 , 	377 , 	726 , 	935 ," 	1,066 ", 	865 ," 	1,968 "," 	1,412 "," 	1,509 "," 	1,030 ", 	487 , 	516 , 	445 , 	302 , 	898 , 	588 , 	455 , 	125 , 	157 , 	262 ," 	1,710 ", 	140 , 	144 , 	261 , 	437 ," 	1,362 "," 	1,860 "," 	1,444 "," 	3,376 "," 	1,938 ", 	672 , 	388 , 	761 , 	275 ," 	1,136 ", 	391 , 	386 , 	171 , 	283 , 	145 , 	18 , 	168 , 	-   , 	-   , 	262 , 	679 ," 	37,096 ",,,,,,,,,,,,,
PL," 	1,539 "," 	1,537 ", 	340 , 	228 , 	425 , 	465 , 	955 , 	875 ," 	1,474 ", 	879 ," 	2,198 "," 	1,118 "," 	1,108 ", 	899 , 	477 , 	378 , 	259 , 	271 , 	747 , 	395 , 	240 , 	50 , 	66 , 	162 ," 	1,950 ", 	412 , 	241 , 	261 , 	437 ," 	2,106 "," 	2,454 "," 	1,431 "," 	2,807 "," 	2,110 ", 	730 , 	226 , 	505 , 	136 , 	691 , 	543 , 	388 , 	438 , 	279 , 	150 , 	44 , 	128 , 	-   , 	-   , 	402 , 	572 ," 	36,526 ",,,,,,,,,,,,,
CC," 	1,572 "," 	1,969 ", 	376 , 	337 , 	649 , 	509 ," 	1,366 "," 	1,091 "," 	1,735 "," 	1,043 "," 	3,259 "," 	1,730 "," 	1,194 "," 	1,286 ", 	784 , 	545 , 	377 , 	300 , 	945 , 	690 , 	441 , 	167 , 	169 , 	323 ," 	2,441 ", 	493 , 	436 , 	454 , 	346 ," 	2,045 "," 	2,247 "," 	1,436 "," 	3,096 "," 	2,567 ", 	905 , 	375 , 	913 , 	359 , 	976 , 	637 , 	637 , 	437 , 	547 , 	207 , 	23 , 	207 , 	-   , 	-   , 	370 , 	989 ," 	46,000 ",,,,,,,,,,,,,
16, 	850 , 	996 , 	244 , 	127 , 	242 , 	240 , 	585 , 	542 , 	621 , 	390 ," 	1,062 ", 	684 , 	545 , 	446 , 	266 , 	218 , 	166 , 	154 , 	272 , 	237 , 	129 , 	38 , 	78 , 	108 , 	867 , 	747 ," 	1,129 "," 	2,272 "," 	2,224 ", 	168 , 	423 , 	858 ," 	1,929 "," 	1,686 ", 	488 , 	143 , 	220 , 	109 , 	416 , 	475 , 	327 , 	297 , 	284 , 	65 , 	32 , 	38 , 	-   , 	-   , 	268 , 	413 ," 	25,118 ",,,,,,,,,,,,,
24, 	767 , 	637 , 	133 , 	98 , 	192 , 	128 , 	412 , 	284 , 	505 , 	400 , 	878 , 	545 , 	274 , 	252 , 	158 , 	189 , 	163 , 	92 , 	325 , 	118 , 	129 , 	31 , 	44 , 	86 , 	629 ," 	1,233 "," 	1,538 "," 	2,761 "," 	2,858 ", 	474 , 	187 , 	705 ," 	1,535 "," 	1,221 ", 	598 , 	78 , 	163 , 	74 , 	464 , 	491 , 	411 , 	132 , 	234 , 	65 , 	12 , 	43 , 	-   , 	-   , 	103 , 	215 ," 	23,064 ",,,,,,,,,,,,,
GP, 	304 , 	278 , 	27 , 	15 , 	57 , 	65 , 	238 , 	173 , 	258 , 	111 , 	185 , 	214 , 	92 , 	173 , 	141 , 	39 , 	36 , 	44 , 	122 , 	81 , 	24 , 	10 , 	3 , 	51 , 	212 , 	836 ," 	1,239 "," 	1,673 "," 	1,413 ", 	738 , 	634 , 	145 , 	355 , 	273 , 	165 , 	22 , 	67 , 	7 , 	171 , 	118 , 	191 , 	144 , 	140 , 	56 , 	10 , 	21 , 	-   , 	-   , 	74 , 	154 ," 	11,599 ",,,,,,,,,,,,,
BP, 	180 , 	293 , 	59 , 	29 , 	96 , 	118 , 	116 , 	119 , 	376 , 	111 , 	324 , 	208 , 	146 , 	214 , 	83 , 	70 , 	26 , 	37 , 	136 , 	60 , 	35 , 	22 , 	7 , 	34 , 	246 ," 	1,617 "," 	2,056 "," 	3,569 "," 	3,052 "," 	1,789 "," 	1,535 ", 	296 , 	116 , 	305 , 	211 , 	17 , 	70 , 	21 , 	84 , 	230 , 	453 , 	444 , 	211 , 	10 , 	18 , 	22 , 	-   , 	-   , 	28 , 	107 ," 	19,406 ",,,,,,,,,,,,,
DC, 	146 , 	168 , 	21 , 	49 , 	118 , 	24 , 	187 , 	184 , 	288 , 	143 , 	277 , 	159 , 	129 , 	122 , 	68 , 	71 , 	87 , 	55 , 	84 , 	53 , 	80 , 	7 , 	13 , 	20 , 	163 ," 	1,243 "," 	1,602 "," 	2,521 "," 	2,601 "," 	1,534 "," 	1,274 ", 	271 , 	329 , 	93 , 	112 , 	20 , 	98 , 	40 , 	108 , 	242 , 	350 , 	642 , 	250 , 	27 , 	8 , 	53 , 	-   , 	-   , 	53 , 	193 ," 	16,380 ",,,,,,,,,,,,,
