Avg Sunday Trip OD																																																			
																																																			
2025 / 02																																																			
	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday	Avg Sunday
ED	7	4	1	4	29	6	7	25	11	34	40	25	28	41	18	16	12	12	5	2	2	0	1	2	9	123	72	167	75	31	19	11	6	15	3	30	15	0	1	1	3	53	5	9	21	4	2	1	9	19	"1,029"
NC	2	1	0	2	4	1	5	4	4	1	1	2	1	2	0		1	1	7	5	5	3	0	3	1	13	9	20	16	5	2	4	2	2	1		0	2	7	1	1	14	1		2		3	7	0	1	163
WP	5	6	2	0	5	1	19	19	7	3	10	4	2	3	4	2	2	2	44	20	36	9	4	12	3	47	39	96	34	14	12	4	8	7	7	1	1	8	6	3	4	32	4	1	8	2	4	5	1	3	567
SS	6	4	2	1	8	2	2	8	5	4	5	2	3	3	2	1	2	1	4	4	5	1	0	2	3	30	21	112	55	34	33	12	20	28	5	1	1	2	2	6	9	30	8	2	1	1	1	6	0	1	493
SB	8	9	1	2	9	1	7	8	12	5	7	3	5	2	2	2	1	1	7	7	4	1	1	2	8	26	23	101	69	40	39	25	28	39	17	1	3	1	5	9	7	91	6	1	2		1	2		2	650
SO	32	31	24	42	75	22	33	30	42	6	9	7	6	4	2	3	2	4	23	42	58	33	23	33	43	136	119	482	152	86	52	36	30	75	23	3	28	7	24	17	30	39	167	8	5	1	3	32	1	2	"2,182"
MB	10	9	6	8	57	8	8	15	19	3	4	4	3	2	2	1	1	1	3	4	4	3	3	3	11	40	26	115	93	43	40	19	25	51	17	1	8	2	3	10	8	355	19	1	2		1	4	1		"1,070"
WD	2	3	0	1	13	3	5	4	5	14	21	12	18	28	13	10	5	4	2	3	0		1	1	4	55	26	56	29	14	2	2	4	8	1	29	10		2	2	1	14	2	5	8	3		0	4	7	452
OA	3	6	6	7	30	4	4	7	5	6	3	6	3	4	2	1	2	2	4	8	6	3	2	2	2	23	12	34	11	6	4	2	2	2	0	1	10	2	4	0	0	7	4	6	6	0		4	1	2	266
WS	5	8	2	2	23	3	10	9	4	9	14	12	10	12	19	15	28	20	2		2	1	0	2	2	31	17	32	15	6	5	3	2	4	1	2	3	0	2	0	0	6	1	4	2	5	1	1	18	21	394
PC	2	1	1	0	2	1	9	5	4	1	3	6	1	1	1	1		0	32	8	14	5	4	2	3	14	9	27	11	4	3	1	3	1	1		2	4	3	1	2	4	1		1	1	1	8	1	1	205
AN	7	5	1	2	8	2	23	24	11	4	8	8	6	5	7	2	2	3	39	13	25	4	4	13	6	49	27	79	29	9	12	12	13	15	4	0	3	6	7	8	4	43	3	0	8	4	8	7	5	4	581
ML	3	6	3	6	47	7	8	12	10	12	15	5	8	10	18	16	25	34	2	2	2	1	0	3	2	43	29	49	28	9	6	4	8	6	1	2	11	1	1		1	6	1	4	5	20	0	2	11	15	516
BE	8	15	10	10	90	12	23	28	15	27	27	14	21	21	30	26	31	47	7	4	8	3	1	3	6	42	29	57	46	20	13	5	7	9	2	5	31	1	4	1	1	3	1	11	8	27	0	5	11	13	833
Grand Total	"1,023"	"1,312"	831	837	"3,038"	912	"1,557"	"2,369"	"1,841"	"1,188"	"1,624"	977	"1,128"	"1,066"	815	520	569	651	906	674	"1,024"	527	401	"1,075"	"1,739"	"4,211"	"2,625"	"7,424"	"3,897"	"2,786"	"2,488"	"1,200"	"1,511"	"1,663"	562	423	"1,050"	169	591	458	569	"3,058"	887	423	411	396	182	511	558	801	"67,453"
