Avg Saturday Trip OD																																																			
																																																			
2025 / 02																																																			
	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday	Avg Saturday
LM	12	21	20	12	50	22	25	15	6	10	64	91	92	85	43	23	23	24	7	3	10	2	3	13	14	183	129	234	134	90	61	26	20	22	2	28	44	1	4	5	2	9	4	20	9	13	1	5	19	31	"1,783"
FV	37	48	19	17	90	36	61	42	35	57	17	114	81	91	74	32	32	28	13	7	12	6	5	19	48	197	158	322	172	111	107	26	24	26	8	29	53	3	9	5	7	17	9	27	5	18	3	9	23	40	"2,423"
CL	30	40	17	16	53	24	62	47	58	68	105	20	113	81	69	29	37	24	13	11	14	10	12	18	44	103	90	181	96	44	55	38	18	46	10	33	67	5	18	11	7	14	8	30	8	26	8	16	29	41	"2,013"
SL	18	20	9	8	57	11	39	47	46	84	95	114	13	60	67	34	23	27	7	2	5	1	1	13	18	133	136	257	101	40	36	11	20	22	2	21	35	1	3	5	6	12	3	25	3	15	1	6	17	26	"1,749"
BF	7	21	6	10	37	10	24	36	43	77	85	82	54	11	44	34	26	30	7	3	6	2	1	3	20	115	86	233	60	26	31	7	21	21	3	16	44	2	4	2	4	8	3	34	3	19	3	6	20	22	"1,466"
HY	13	18	6	10	44	12	24	42	38	39	69	68	67	43	13	37	49	66	9	3	6	2	1	7	11	78	54	104	43	21	24	6	8	12	5	6	32	2	5	2	4	4	3	14	5	27	3	10	33	37	"1,233"
SH	8	7	3	4	31	7	8	12	15	21	34	33	31	27	35	8	24	46	3	3	4	1	0	2	6	45	39	82	40	12	18	7	5	8	1	7	15		2	3	2	5	3	10	2	28	1	3	24	26	756
UC	6	12	3	4	55	8	10	18	17	25	32	31	21	30	51	22	11	29	4	3	5		0	2	5	91	70	127	45	18	14	4	5	9	1	7	20	1	2	2	3	8	3	6	3	33	1	3	37	41	954
FM	6	10	6	7	60	6	13	19	16	23	31	24	24	37	67	44	29	16	4	4	2	2	1	3	7	96	78	116	49	18	12	6	4	11	2	8	16	1	2	0	2	11	2	5	4	26	2	3	57	53	"1,040"
CN	13	13	7	7	20	3	28	31	28	6	13	13	7	8	10	4	3	2	14	35	95	67	16	38	10	96	89	158	73	24	28	9	10	18	4	4	4	7	56	8	6	46	5	2	6	2	38	45	6	11	"1,238"
PH	3	5	3	7	25	4	19	27	25	2	9	10	5	3	3	3	2	3	32	14	40	23	9	37	6	123	108	161	83	24	21	10	7	10	4	2	3	4	25	3	3	61	2	3	11	3	9	19	3	5	"1,022"
WC	10	15	11	12	38	12	36	41	34	7	13	14	5	8	6	3	6	2	117	44	16	31	21	94	8	184	143	193	129	36	29	16	11	14	5	1	4	9	45	5	5	69	7	0	4		17	31	6	6	"1,564"
LF	10	7	6	4	15	5	19	26	16	1	6	9	2	3	2	1	0	2	76	29	25	5	6	34	1	114	99	120	75	16	15	7	6	6	3			4	11	1	2	44	2	0	5	1	6	7	2	2	857
OR	1	4	1	3	15	1	13	19	16	2	6	10	1	1	1	1	0	1	17	7	20	8	6	24	1	95	90	89	75	21	10	5	2	5	1			1	4	3	1	28	1	1	1	0	2	2	2	2	613
RR	11	10	15	12	18	7	32	59	52	12	19	17	13	5	5	3	3	3	40	34	84	40	27	17	13	268	199	220	189	96	64	19	15	15	3	4	3	6	19	2	4	54	6	1	5	1	4	18	3	6	"1,770"
OW	9	14	3	4	29	11	17	25	37	12	43	40	18	22	13	5	6	6	8	5	8	2	2	12	18	421	343	562	310	169	148	26	30	21	5	3	12	1	5	6	8	47	10	4	2	3	4	8	5	9	"2,523"
EM	113	204	130	166	580	176	269	361	304	176	213	134	153	149	91	54	108	102	117	145	234	146	115	286	502	106	23	120	64	236	306	154	186	178	48	90	239	39	75	54	58	188	94	95	23	44	16	67	73	76	"7,671"
MT	96	190	123	153	402	147	221	274	239	147	184	124	157	117	78	51	89	87	107	139	151	115	108	244	424	26	63	29	53	257	348	220	302	302	81	100	198	34	75	65	67	151	144	65	9	37	10	58	59	85	"6,999"
PL	151	278	136	143	420	141	254	318	320	202	279	258	223	182	106	81	98	104	134	165	183	110	107	221	623	120	46	113	105	528	685	432	638	620	174	106	253	43	138	147	154	553	227	90	22	47	23	92	61	103	"10,750"
CC	75	117	75	117	293	124	192	243	210	101	176	87	91	55	40	36	50	50	61	83	117	90	78	187	351	77	60	93	60	195	288	168	190	262	89	55	121	16	40	71	86	197	141	47	9	23	12	34	33	63	"5,520"
16	57	65	39	68	197	79	159	175	138	80	115	50	41	27	25	9	20	22	22	30	38	21	19	97	204	214	238	583	200	27	114	133	167	204	71	17	50	8	21	42	58	129	77	14	6	7	4	18	16	26	"4,232"
24	76	64	32	53	118	56	119	141	97	57	104	47	34	34	26	20	14	13	25	19	27	16	15	80	153	300	302	744	335	103	21	125	147	183	73	15	32	7	26	49	65	82	76	9	4	7	5	20	9	14	"4,187"
GP	15	19	12	12	70	14	25	48	37	18	24	28	8	7	4	6	4	6	9	8	15	5	6	21	32	147	173	441	156	113	114	10	18	28	21	5	11	4	11	17	29	58	33	3	4	1	2	10	2	7	"1,865"
BP	15	19	6	9	34	9	16	22	28	21	26	18	18	16	8	6	6	8	11	7	12	5	2	13	30	153	190	662	181	138	138	17	16	25	36	5	9	1	10	23	31	48	30	6	2	4	3	10	3	8	"2,108"
DC	19	23	9	7	52	12	13	25	28	23	28	36	19	23	16	7	6	10	18	8	14	4	6	16	26	182	242	692	272	197	206	27	39	16	20	8	17	2	14	30	53	121	77	5	3	6	1	12	7	10	"2,702"
CM	10	13	3	4	12	3	5	9	9	4	5	4	2	3	3	2	2	2	5	4	5	3	1	5	6	47	61	203	92	60	68	23	39	19	6	1	2	1	7	4	17	50	22		0	0	1	5		1	846
CV	3	2	2	2	14	4	6	10	8	31	31	29	22	14	8	6	9	5	4	3	1	0		3	4	90	85	121	55	10	14	4	6	7	1	6	32	0		0	4	8	2	39	3	3		1	4	2	714
ED	6	13	4	7	57	8	10	17	14	43	63	62	34	48	29	16	19	16	3	4	3	1	0	6	9	216	188	264	124	40	30	13	12	20	3	33	27	1	1	3	4	40	7	16	13	5	1	3	16	24	"1,590"
NC	1	3	1	2	9	1	5	8	5	2	3	3	1	1	1	2	1		9	6	7	5	1	4	2	32	29	39	21	7	7	3	2	3	1	0	1	4	8	1	1	14	1	0	4	1	6	4	0	1	267
WP	8	6	3	1	13	4	23	10	15	4	8	13	3	5	3	2	2	1	50	26	39	8	7	19	3	66	64	155	45	20	27	9	13	13	6	1	1	8	8	3	4	32	4	2	5	2	6	7	2	5	779
SS	6	9	3	2	11	3	6	8	11	2	6	7	3	3	3	3	1	1	5	4	4	1	1	2	7	48	58	156	80	42	50	12	27	31	5	1	3	1	3	8	13	29	14	0	0	1	2	7	1	1	698
SB	12	12	3	4	18	1	6	11	16	4	7	8	7	5	4	3	4	1	6	3	5	1	2	4	12	49	64	167	94	50	60	25	44	53	16	2	4	1	5	16	10	57	11	2	1	1	1	5	0	2	890
SO	35	39	37	34	98	25	41	32	50	9	12	10	10	8	3	4	6	6	45	42	49	31	20	40	48	128	109	406	136	90	49	39	38	82	29	5	29	11	28	21	46	34	225	7	4	3	3	34	4	2	"2,291"
MB	10	11	9	6	86	10	11	17	25	6	6	6	2	3	3	1	4	1	6	3	8	4	1	8	10	76	121	203	134	65	65	32	36	69	23	0	5		3	9	9	239	28	1	1	0	0	3		0	"1,377"
WD	2	3	3	2	19	3	10	8	2	20	31	28	25	34	18	11	4	5	2	4	1	1	1	2	5	86	58	89	44	14	4	6	2	8	1	43	17	1	3	0	1	14	1	3	4	3	1	1	6	13	659
OA	4	7	7	7	20	8	4	6	9	4	1	11	3	3	3	1	2	5	3	5	6	4	2	3	3	19	8	21	6	5	3	3	1	4	1	1	11	0	3		0	6		1	2	1	1	3	3	3	234
WS	5	8	3	4	36	3	8	12	9	9	17	20	11	13	24	16	27	23	3	2	2	1	0	3	3	37	39	53	29	7	6	3	4	6	1	3	6	1	2	1	0	5	0	3	1	6	2	0	23	27	521
PC	3	2	1	1	3	2	12	6	7	1	3	6	1	2	2	2	1	1	47	12	18	6	3	6	5	12	12	28	14	9	5	1	4	2	1		1	6	6	0	2	3	2		2	1	1	14	0	1	275
AN	9	9	3	3	16	3	32	18	18	5	11	18	4	6	10	5	2	4	45	20	34	7	3	21	7	63	52	113	44	19	17	11	12	16	5	1	5	7	7	9	4	52	4	1	7	2	14	10	3	9	795
ML	9	12	4	8	92	6	12	16	17	19	20	25	16	16	31	19	38	47	5	3	6	1	2	3	4	69	40	71	35	12	10	4	5	7	1	5	14	1	2	1	0	5	0	4	3	32	0	2	12	19	778
BE	13	18	10	11	156	16	22	37	22	29	38	38	31	27	38	33	46	62	9	6	5	1	2	10	10	77	64	103	60	23	13	8	11	12	1	4	21	1	5	1	1	5	1	10	4	38	2	5	17	9	"1,177"
Grand Total	"1,449"	"1,946"	"1,263"	"1,247"	"4,617"	"1,422"	"2,344"	"2,815"	"2,632"	"1,628"	"2,442"	"2,125"	"1,687"	"1,471"	"1,257"	769	940	"1,011"	"1,259"	"1,077"	"1,530"	884	692	"1,822"	"2,862"	"6,697"	"5,691"	"11,102"	"5,573"	"3,905"	"4,026"	"1,919"	"2,334"	"2,631"	829	718	"1,583"	273	789	682	860	"2,976"	"1,454"	638	284	560	242	696	760	"1,093"	"101,499"
