Total Trip OD																																																			
																																																			
2025 / 02																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
LM	581	"1,075"	743	553	"2,824"	738	774	449	312	313	"2,478"	"2,720"	"4,229"	"3,176"	"1,964"	"1,392"	"1,246"	"1,199"	352	183	299	107	73	291	452	"7,400"	"5,569"	"6,679"	"5,565"	"2,546"	"1,932"	760	946	"1,005"	99	"1,208"	"2,278"	82	271	109	121	337	102	"1,000"	304	783	163	360	614	963	"69,719"
FV	"1,484"	"1,691"	690	810	"3,837"	"1,281"	"2,274"	"1,751"	"1,645"	"2,328"	558	"3,453"	"3,586"	"3,373"	"3,796"	"1,458"	"1,284"	"1,164"	568	262	489	194	305	681	"1,691"	"8,912"	"6,915"	"9,579"	"8,352"	"3,948"	"3,311"	870	"1,286"	"2,539"	134	957	"2,122"	132	349	185	394	719	221	815	164	981	176	411	953	"1,276"	"96,354"
CL	"1,119"	"1,249"	458	428	"2,209"	820	"1,833"	"1,788"	"1,858"	"2,486"	"3,357"	478	"2,004"	"2,312"	"2,432"	"1,225"	"1,052"	779	522	331	327	164	167	387	"1,256"	"3,936"	"3,115"	"4,837"	"3,759"	"1,618"	"1,814"	629	665	"1,656"	152	631	"1,487"	76	413	191	185	386	222	537	249	819	212	613	676	"1,060"	"60,979"
SL	655	739	354	330	"2,174"	590	"1,572"	"2,187"	"2,928"	"4,216"	"3,812"	"2,094"	356	"1,929"	"2,935"	"1,556"	"1,330"	"1,846"	413	262	277	63	79	347	695	"7,934"	"7,085"	"7,382"	"5,798"	"1,934"	"1,493"	492	894	"1,749"	98	760	"2,183"	86	210	207	222	467	146	879	147	"1,078"	93	298	859	"1,254"	"77,487"
BF	325	550	273	252	"1,577"	284	953	"1,660"	"2,233"	"3,139"	"3,393"	"2,279"	"1,845"	325	"1,591"	"1,113"	"1,158"	"1,384"	334	74	189	60	58	191	618	"5,884"	"5,194"	"7,256"	"4,290"	"1,478"	"1,220"	376	746	"1,269"	88	665	"1,858"	69	164	180	197	274	92	"1,056"	88	943	87	95	617	"1,079"	"61,123"
HY	454	762	290	295	"1,812"	383	"1,086"	"1,763"	"1,937"	"1,895"	"3,685"	"2,387"	"2,992"	"1,606"	484	"1,336"	"2,846"	"3,188"	426	220	252	89	29	229	637	"3,869"	"2,993"	"3,235"	"2,567"	"1,029"	660	260	358	758	111	203	"1,156"	67	283	152	149	217	196	525	164	"1,806"	135	372	"1,583"	"1,672"	"55,603"
SH	247	290	93	118	940	247	618	825	"1,273"	"1,213"	"1,417"	"1,241"	"1,374"	"1,083"	"1,299"	308	"1,198"	"1,675"	131	112	143	19	18	75	241	"2,914"	"2,275"	"2,457"	"2,192"	557	745	122	363	472	64	243	614	5	109	58	46	135	90	411	93	"1,614"	55	75	817	"1,213"	"33,937"
UC	237	340	181	226	"1,909"	272	606	"1,214"	"1,568"	"1,193"	"1,297"	"1,003"	"1,310"	"1,253"	"2,820"	"1,150"	411	"1,459"	136	97	275	19	41	99	228	"4,710"	"3,962"	"2,790"	"2,175"	756	410	140	275	592	62	262	775	29	70	30	69	237	66	281	180	"1,719"	19	79	"1,636"	"1,936"	"42,604"
FM	214	450	211	268	"1,692"	290	677	"1,296"	"1,704"	"1,122"	"1,182"	784	"1,786"	"1,444"	"3,129"	"1,832"	"1,502"	451	195	128	148	30	62	147	200	"5,644"	"4,262"	"2,589"	"2,217"	737	406	179	249	632	55	313	622	22	115	49	88	376	56	271	182	"1,581"	36	159	"2,074"	"2,705"	"46,563"
CN	500	528	231	252	"1,148"	209	"1,876"	"1,851"	"2,348"	364	555	472	408	280	441	111	123	184	446	"1,474"	"3,535"	"2,090"	717	"1,491"	297	"6,566"	"5,630"	"5,299"	"4,637"	"1,269"	"1,183"	501	646	"1,251"	202	111	149	686	"2,887"	236	250	"1,566"	271	78	286	74	"1,644"	"2,387"	189	228	"60,157"
PH	144	258	183	305	"1,234"	202	"1,318"	"2,083"	"2,665"	144	259	301	230	106	211	115	79	112	"1,467"	294	"1,425"	746	380	"1,332"	217	"10,727"	"9,375"	"4,992"	"4,748"	"1,312"	838	613	384	913	178	67	103	270	995	208	182	"1,972"	208	67	388	114	471	977	112	181	"56,205"
WC	369	469	332	344	"1,534"	249	"1,679"	"2,216"	"2,440"	320	515	294	268	190	276	134	233	127	"3,680"	"1,479"	372	946	696	"2,272"	208	"11,760"	"9,197"	"5,220"	"4,793"	"1,468"	794	479	487	822	177	48	94	403	"1,811"	227	246	"2,446"	247	33	349	75	651	"1,386"	152	193	"65,200"
LF	256	237	165	112	647	156	690	"1,132"	"1,296"	96	190	158	82	53	64	18	17	23	"2,344"	985	"1,014"	173	196	"1,021"	76	"8,756"	"6,542"	"2,673"	"2,539"	765	432	187	266	241	49	8	25	130	473	54	87	"1,552"	88	7	222	23	228	299	43	54	"36,944"
OR	133	155	64	119	456	73	429	822	"1,030"	55	195	127	90	70	45	19	32	58	606	326	684	212	184	820	61	"7,671"	"5,575"	"2,123"	"2,364"	613	311	258	165	263	47	24	19	31	209	61	89	"1,043"	68	6	103	16	80	127	59	68	"28,258"
RR	337	444	445	281	465	157	959	"2,161"	"2,053"	300	625	411	362	223	197	77	115	121	"1,515"	"1,428"	"2,320"	961	998	366	403	"12,743"	"9,279"	"5,385"	"6,561"	"2,580"	"1,623"	785	573	559	74	62	99	196	743	113	136	"1,898"	163	41	174	50	255	600	100	195	"62,711"
OW	597	504	138	200	"1,015"	327	763	990	"1,282"	400	"1,666"	"1,254"	672	641	600	224	210	185	316	179	215	85	92	363	499	"18,730"	"12,272"	"13,342"	"10,620"	"5,387"	"3,463"	872	"1,086"	"1,050"	156	171	403	52	155	181	415	"1,722"	324	136	131	120	184	290	121	204	"85,004"
EM	"5,573"	"10,497"	"6,201"	"7,464"	"14,270"	"7,259"	"12,077"	"16,701"	"15,934"	"8,430"	"10,192"	"4,494"	"9,446"	"7,394"	"4,650"	"3,563"	"5,307"	"6,362"	"7,750"	"12,405"	"13,669"	"9,834"	"8,766"	"13,813"	"21,975"	"2,535"	625	"2,843"	"3,627"	"10,480"	"16,137"	"10,298"	"11,086"	"12,716"	"4,504"	"5,460"	"16,046"	"2,325"	"6,923"	"3,688"	"3,656"	"5,531"	"3,761"	"6,446"	"1,143"	"2,392"	"1,008"	"5,157"	"3,158"	"3,548"	"389,119"
MT	"4,416"	"8,412"	"5,127"	"5,670"	"8,993"	"5,511"	"8,939"	"11,486"	"10,130"	"6,219"	"7,718"	"3,602"	"7,734"	"6,120"	"3,556"	"2,776"	"4,276"	"4,323"	"6,141"	"9,714"	"9,171"	"6,670"	"5,681"	"9,776"	"14,921"	826	"1,544"	"1,078"	"2,371"	"10,613"	"18,265"	"12,372"	"15,857"	"16,827"	"5,729"	"4,250"	"10,762"	"1,676"	"5,564"	"4,700"	"4,813"	"4,886"	"4,666"	"4,242"	615	"1,949"	799	"4,453"	"2,399"	"2,661"	"320,999"
PL	"5,130"	"8,620"	"3,423"	"3,097"	"9,021"	"3,406"	"7,029"	"8,712"	"9,514"	"5,542"	"8,433"	"5,099"	"6,183"	"5,715"	"3,037"	"2,115"	"2,426"	"2,283"	"4,842"	"4,625"	"4,675"	"2,497"	"2,143"	"4,851"	"13,751"	"3,415"	"1,229"	"2,307"	"2,288"	"12,105"	"16,347"	"10,723"	"20,276"	"15,549"	"4,633"	"2,634"	"5,546"	"1,242"	"5,568"	"4,135"	"3,490"	"13,154"	"3,350"	"2,074"	739	"1,001"	"1,123"	"3,573"	"1,369"	"1,749"	"275,788"
CC	"3,945"	"6,040"	"3,170"	"4,021"	"7,122"	"4,192"	"7,374"	"8,648"	"7,893"	"4,942"	"7,656"	"3,434"	"4,890"	"3,531"	"2,252"	"1,778"	"1,919"	"2,022"	"3,918"	"4,107"	"4,064"	"2,371"	"2,226"	"5,921"	"11,044"	"3,604"	"2,202"	"2,324"	"1,495"	"6,081"	"9,877"	"7,440"	"11,252"	"10,741"	"4,100"	"2,493"	"4,942"	"1,372"	"3,628"	"4,095"	"3,661"	"5,691"	"3,754"	"1,839"	365	"1,008"	768	"3,444"	"1,038"	"1,465"	"217,159"
16	"2,425"	"2,807"	"1,111"	"1,696"	"4,564"	"2,134"	"4,659"	"5,270"	"4,234"	"2,431"	"3,871"	"1,548"	"1,865"	"1,314"	967	575	666	829	"1,182"	"1,186"	"1,270"	749	556	"2,365"	"5,685"	"9,979"	"10,206"	"13,572"	"6,546"	662	"2,987"	"4,746"	"7,411"	"6,785"	"2,658"	672	"1,421"	455	"1,615"	"1,768"	"1,983"	"3,900"	"1,890"	667	163	381	281	"1,274"	379	527	"138,887"
24	"2,709"	"2,154"	896	"1,145"	"3,480"	"1,374"	"3,036"	"3,725"	"3,431"	"1,740"	"2,800"	"1,555"	"1,397"	"1,172"	666	738	365	426	"1,133"	834	745	412	353	"1,665"	"3,756"	"14,690"	"15,690"	"18,550"	"11,102"	"2,961"	637	"4,212"	"6,139"	"6,214"	"2,186"	373	956	290	"1,389"	"1,537"	"1,920"	"2,649"	"1,817"	309	212	273	204	821	233	328	"137,399"
GP	640	860	405	483	"1,809"	464	994	"1,582"	"1,678"	666	835	601	397	376	198	100	144	207	466	461	333	174	211	809	"1,081"	"9,627"	"10,887"	"11,485"	"7,627"	"4,823"	"4,130"	264	"1,052"	"1,267"	892	160	472	92	501	604	940	"1,903"	"1,122"	177	130	83	79	611	141	143	"75,186"
BP	866	910	393	315	"1,297"	372	945	"1,202"	"1,561"	955	"1,265"	588	798	647	327	288	245	199	628	401	515	227	125	475	"1,234"	"9,691"	"10,874"	"22,035"	"11,162"	"7,018"	"5,655"	"1,050"	384	"1,523"	"1,382"	260	471	219	676	"1,107"	"1,431"	"1,487"	"1,634"	161	64	177	204	492	121	228	"96,284"
DC	"1,915"	"2,402"	722	504	"1,625"	588	941	"1,389"	"1,961"	"1,121"	"2,589"	"1,708"	"1,723"	"1,185"	708	571	556	686	"1,260"	883	799	257	297	561	"1,224"	"12,526"	"15,008"	"17,063"	"11,585"	"7,182"	"6,779"	"1,382"	"1,992"	556	840	454	"1,196"	335	"1,213"	"1,682"	"2,515"	"3,433"	"3,881"	473	133	304	224	"1,230"	431	481	"121,073"
CM	355	325	87	125	504	86	190	403	683	94	121	84	84	77	112	63	69	41	225	158	177	62	60	102	184	"4,708"	"4,914"	"5,569"	"4,202"	"2,299"	"1,956"	815	"1,357"	677	206	26	84	17	216	328	631	"1,569"	"1,127"	10	9	16	67	198	20	29	"35,521"
CV	61	80	75	39	489	106	216	460	446	"1,291"	"1,010"	587	792	694	263	229	302	293	98	40	56	15	20	41	163	"4,708"	"4,042"	"2,940"	"2,811"	648	382	152	326	465	26	151	"1,611"	12	22	22	60	241	74	"1,140"	100	137	10	29	111	226	"28,312"
ED	232	335	128	162	"1,391"	243	544	"1,183"	"1,691"	"2,151"	"2,221"	"1,438"	"2,135"	"1,716"	"1,112"	669	735	655	130	67	75	17	27	76	381	"14,254"	"10,663"	"6,051"	"5,436"	"1,513"	"1,002"	477	530	"1,264"	102	"1,560"	569	25	61	89	120	"1,596"	185	466	684	343	42	88	581	854	"68,069"
NC	90	67	37	38	253	42	370	478	726	79	129	58	83	51	55	10	22	26	506	307	319	139	19	195	75	"1,819"	"1,460"	"1,332"	"1,600"	480	315	130	193	317	22	7	27	97	404	98	57	477	63	3	107	14	350	413	11	37	"14,007"
WP	264	237	88	79	787	152	"1,682"	"1,096"	"1,825"	302	354	354	155	153	252	111	94	105	"3,053"	"1,186"	"1,888"	468	233	834	165	"5,561"	"4,851"	"6,511"	"5,092"	"1,825"	"1,510"	616	685	"1,164"	238	24	67	394	221	193	271	"1,429"	192	53	219	102	188	368	55	149	"47,895"
SS	241	312	100	50	473	112	226	431	711	96	200	160	199	170	138	51	46	65	221	190	214	43	57	118	244	"3,605"	"4,410"	"4,626"	"4,267"	"1,792"	"1,468"	568	"1,233"	"1,612"	326	21	99	102	197	236	442	838	518	33	25	30	22	301	16	13	"31,668"
SB	389	392	141	87	482	129	284	636	678	164	355	188	213	191	124	51	63	80	253	195	226	87	98	131	451	"3,558"	"4,333"	"4,093"	"3,802"	"2,093"	"2,016"	975	"1,457"	"2,355"	623	51	123	61	238	495	220	"1,846"	351	33	34	7	34	281	3	14	"35,184"
SO	"1,163"	"1,389"	"1,093"	"1,329"	"3,239"	913	"1,453"	"1,332"	"1,753"	331	554	310	391	205	144	91	155	274	"1,314"	"1,826"	"2,115"	"1,431"	"1,040"	"1,710"	"1,846"	"4,478"	"3,977"	"11,177"	"4,915"	"3,022"	"1,902"	"1,349"	"1,270"	"2,714"	"1,166"	178	"1,242"	415	"1,213"	654	"1,332"	"1,445"	"7,276"	348	159	127	180	"1,196"	117	85	"79,338"
MB	312	639	271	266	"1,881"	329	384	766	818	151	185	208	134	98	124	47	57	39	270	194	236	78	74	122	341	"3,474"	"4,013"	"3,506"	"3,616"	"1,673"	"1,583"	942	"1,758"	"3,578"	"1,018"	38	181	58	163	396	316	"8,530"	818	50	35	15	22	183	3	3	"43,996"
WD	94	155	106	24	438	99	341	547	652	974	816	545	910	"1,022"	563	437	300	257	78	65	24	6	6	44	123	"5,782"	"4,258"	"2,274"	"2,263"	699	282	219	170	515	12	"1,132"	497	9	57	39	37	443	58	160	274	165	16	30	190	404	"28,611"
OA	140	339	252	289	"1,019"	234	268	318	339	217	107	243	136	79	111	60	141	169	242	291	278	177	72	141	112	990	650	746	487	189	177	134	89	115	7	75	510	77	183	17	21	209	43	210	88	71	47	184	80	144	"11,317"
WS	231	394	170	124	884	219	503	784	556	698	951	694	988	884	"1,511"	"1,294"	"1,443"	"1,399"	101	64	59	18	16	49	118	"2,175"	"1,809"	"1,077"	"1,076"	418	251	88	190	304	12	145	258	16	75	33	10	176	21	123	78	291	45	127	"1,474"	"1,822"	"26,246"
PC	118	85	32	33	156	75	403	257	422	164	161	225	98	62	138	51	9	52	"1,741"	444	626	197	101	275	163	767	577	"1,147"	772	353	217	66	174	251	49	2	39	323	160	24	48	194	28	7	58	42	42	577	16	39	"12,060"
AN	306	218	87	73	629	166	"1,876"	"1,261"	"1,738"	337	350	581	321	124	384	98	89	136	"2,302"	863	"1,381"	294	164	672	285	"4,445"	"3,931"	"4,050"	"3,824"	"1,381"	906	701	591	"1,307"	228	34	100	409	409	386	248	"1,392"	185	27	270	193	557	411	111	180	"41,011"
ML	202	374	179	198	"2,111"	240	500	854	790	615	869	575	856	582	"1,417"	790	"1,575"	"1,912"	184	109	131	34	57	107	111	"2,781"	"2,266"	"1,504"	"1,220"	360	249	156	159	417	13	116	547	13	56	12	13	166	10	172	148	"1,583"	14	104	323	558	"28,332"
BE	367	544	301	280	"3,141"	409	700	"1,201"	"1,020"	951	"1,251"	"1,039"	"1,302"	"1,164"	"1,692"	"1,290"	"2,059"	"2,842"	229	175	211	60	67	197	235	"3,150"	"2,508"	"1,876"	"1,591"	534	336	158	267	484	26	189	831	50	173	15	13	134	8	358	188	"2,320"	47	163	547	367	"39,060"
Grand Total	"59,324"	"85,368"	"49,015"	"43,712"	"145,224"	"49,402"	"91,551"	"115,395"	"122,578"	"68,358"	"95,372"	"61,069"	"75,624"	"60,318"	"55,432"	"34,578"	"42,017"	"46,281"	"60,435"	"57,050"	"64,264"	"36,865"	"29,985"	"62,041"	"93,108"	"344,520"	"287,264"	"299,589"	"235,749"	"138,129"	"138,371"	"76,408"	"103,877"	"117,511"	"35,521"	"28,185"	"68,096"	"14,641"	"46,089"	"31,277"	"34,381"	"93,471"	"45,043"	"27,974"	"13,079"	"28,586"	"12,396"	"40,275"	"28,566"	"37,444"	"4,030,808"
