Exit stations,Entry stations->,,SUNDAY,,,Apr 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
MT, 	88 , 	168 , 	99 , 	145 , 	300 , 	141 , 	193 , 	198 , 	226 , 	212 , 	207 , 	225 , 	122 , 	140 , 	66 , 	38 , 	84 , 	162 , 	103 , 	126 , 	152 , 	90 , 	68 , 	167 , 	287 , 	21 , 	43 , 	35 , 	61 , 	300 , 	363 , 	248 , 	708 , 	221 , 	79 , 	72 , 	188 , 	45 , 	104 , 	61 , 	57 , 	394 , 	114 , 	60 ," 	6,975 ",,,,,,,,,,,
PL, 	188 , 	364 , 	157 , 	212 , 	642 , 	239 , 	393 , 	325 , 	400 , 	387 , 	435 , 	464 , 	255 , 	246 , 	148 , 	108 , 	126 , 	270 , 	168 , 	175 , 	242 , 	130 , 	116 , 	287 , 	595 , 	186 , 	35 , 	123 , 	165 ," 	1,092 "," 	1,113 ", 	607 ," 	1,277 ", 	749 , 	244 , 	133 , 	371 , 	71 , 	234 , 	195 , 	183 ," 	1,280 ", 	358 , 	126 ," 	15,609 ",,,,,,,,,,,
CC, 	87 , 	160 , 	108 , 	168 , 	354 , 	196 , 	314 , 	275 , 	231 , 	207 , 	287 , 	246 , 	108 , 	113 , 	83 , 	41 , 	70 , 	125 , 	111 , 	107 , 	151 , 	104 , 	60 , 	241 , 	326 , 	85 , 	49 , 	133 , 	79 , 	434 , 	564 , 	320 , 	503 , 	313 , 	117 , 	77 , 	250 , 	44 , 	128 , 	76 , 	116 , 	601 , 	258 , 	73 ," 	8,486 ",,,,,,,,,,,
16, 	58 , 	70 , 	40 , 	103 , 	232 , 	138 , 	226 , 	190 , 	123 , 	127 , 	109 , 	106 , 	39 , 	37 , 	28 , 	19 , 	20 , 	50 , 	32 , 	29 , 	53 , 	29 , 	23 , 	137 , 	210 , 	322 , 	258 ," 	1,123 ", 	515 , 	46 , 	181 , 	213 , 	358 , 	190 , 	85 , 	21 , 	67 , 	15 , 	45 , 	50 , 	77 , 	277 , 	137 , 	22 ," 	6,226 ",,,,,,,,,,,
24, 	65 , 	54 , 	35 , 	71 , 	172 , 	91 , 	147 , 	136 , 	102 , 	100 , 	124 , 	137 , 	35 , 	39 , 	24 , 	18 , 	14 , 	26 , 	40 , 	27 , 	38 , 	21 , 	12 , 	88 , 	135 , 	416 , 	277 ," 	1,342 ", 	645 , 	178 , 	59 , 	193 , 	338 , 	186 , 	87 , 	17 , 	44 , 	12 , 	46 , 	49 , 	95 , 	259 , 	107 , 	11 ," 	6,103 ",,,,,,,,,,,
GP, 	17 , 	28 , 	13 , 	21 , 	64 , 	27 , 	33 , 	36 , 	38 , 	24 , 	28 , 	81 , 	14 , 	15 , 	10 , 	5 , 	7 , 	11 , 	19 , 	19 , 	21 , 	8 , 	9 , 	29 , 	29 , 	213 , 	186 , 	801 , 	303 , 	219 , 	187 , 	27 , 	54 , 	53 , 	29 , 	5 , 	20 , 	6 , 	26 , 	19 , 	47 , 	122 , 	59 , 	9 ," 	2,984 ",,,,,,,,,,,
BP, 	33 , 	45 , 	10 , 	20 , 	47 , 	20 , 	36 , 	29 , 	47 , 	37 , 	43 , 	61 , 	17 , 	25 , 	18 , 	10 , 	10 , 	25 , 	23 , 	12 , 	18 , 	7 , 	4 , 	16 , 	38 , 	358 , 	334 ," 	1,721 ", 	464 , 	324 , 	314 , 	59 , 	50 , 	53 , 	56 , 	8 , 	32 , 	7 , 	38 , 	33 , 	98 , 	118 , 	74 , 	5 ," 	4,787 ",,,,,,,,,,,
DC, 	22 , 	32 , 	10 , 	16 , 	64 , 	10 , 	24 , 	28 , 	41 , 	26 , 	43 , 	126 , 	27 , 	28 , 	12 , 	10 , 	15 , 	35 , 	33 , 	30 , 	29 , 	13 , 	13 , 	15 , 	28 , 	226 , 	198 , 	891 , 	322 , 	197 , 	192 , 	52 , 	62 , 	18 , 	28 , 	17 , 	49 , 	11 , 	38 , 	27 , 	88 , 	189 , 	95 , 	17 ," 	3,443 ",,,,,,,,,,,
CM, 	8 , 	17 , 	5 , 	5 , 	13 , 	3 , 	7 , 	8 , 	14 , 	7 , 	9 , 	13 , 	4 , 	13 , 	3 , 	2 , 	2 , 	4 , 	13 , 	10 , 	8 , 	3 , 	2 , 	4 , 	11 , 	80 , 	68 , 	306 , 	140 , 	75 , 	90 , 	31 , 	55 , 	20 , 	8 , 	4 , 	6 , 	4 , 	17 , 	8 , 	40 , 	90 , 	39 , 	2 ," 	1,265 ",,,,,,,,,,,
CV, 	6 , 	5 , 	2 , 	5 , 	13 , 	6 , 	12 , 	8 , 	13 , 	40 , 	35 , 	136 , 	27 , 	49 , 	21 , 	12 , 	10 , 	15 , 	4 , 	2 , 	4 , 	1 , 	1 , 	3 , 	8 , 	115 , 	67 , 	151 , 	92 , 	24 , 	15 , 	5 , 	11 , 	11 , 	2 , 	6 , 	45 , 	1 , 	6 , 	2 , 	2 , 	16 , 	3 , 	65 ," 	1,071 ",,,,,,,,,,,
