Exit stations,Entry stations->,,WEEKDAY,,,Aug 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,Exits,,,,,,,,,
MT, 	461 ," 	1,059 ", 	661 , 	706 ," 	1,128 ", 	860 ," 	1,265 "," 	1,458 "," 	1,207 "," 	1,050 "," 	1,081 ", 	589 , 	802 , 	752 , 	596 , 	414 , 	911 ," 	1,789 "," 	1,018 "," 	1,743 "," 	1,425 ", 	790 , 	682 ," 	1,131 "," 	1,633 ", 	137 , 	157 , 	196 , 	527 ," 	1,473 "," 	2,399 "," 	1,773 "," 	2,662 "," 	1,998 "," 	1,195 ", 	574 ," 	1,686 ", 	531 , 	911 , 	899 , 	831 , 	555 ," 	1,624 ", 	712 , 	122 , 	-   ," 	46,171 ",,,,,,,,,
PL, 	382 , 	734 , 	348 , 	352 , 	890 , 	426 , 	731 , 	836 , 	806 , 	595 , 	776 , 	473 , 	493 , 	475 , 	296 , 	214 , 	316 , 	595 , 	455 , 	532 , 	443 , 	237 , 	188 , 	496 , 	933 , 	762 , 	316 , 	139 , 	344 ," 	1,272 "," 	1,719 "," 	1,139 "," 	2,151 "," 	1,319 ", 	606 , 	247 , 	668 , 	241 , 	542 , 	467 , 	409 ," 	1,551 ", 	702 , 	284 , 	132 , 	-   ," 	28,035 ",,,,,,,,,
CC, 	326 , 	673 , 	373 , 	420 , 	663 , 	504 , 	792 , 	882 , 	755 , 	569 , 	788 , 	413 , 	433 , 	427 , 	305 , 	211 , 	300 , 	496 , 	444 , 	514 , 	428 , 	253 , 	206 , 	537 , 	853 , 	608 , 	532 , 	311 , 	74 , 	628 ," 	1,040 ", 	779 ," 	1,377 ", 	782 , 	521 , 	235 , 	610 , 	251 , 	542 , 	390 , 	385 , 	570 , 	668 , 	237 , 	71 , 	-   ," 	23,176 ",,,,,,,,,
16, 	168 , 	223 , 	119 , 	158 , 	340 , 	238 , 	363 , 	443 , 	309 , 	226 , 	297 , 	155 , 	140 , 	119 , 	81 , 	62 , 	61 , 	134 , 	106 , 	129 , 	114 , 	66 , 	48 , 	187 , 	355 ," 	1,191 "," 	1,536 "," 	1,523 ", 	691 , 	34 , 	232 , 	329 , 	649 , 	310 , 	155 , 	59 , 	146 , 	76 , 	162 , 	131 , 	135 , 	238 , 	274 , 	55 , 	28 , 	-   ," 	12,595 ",,,,,,,,,
24, 	175 , 	191 , 	67 , 	97 , 	274 , 	133 , 	238 , 	327 , 	288 , 	130 , 	217 , 	133 , 	91 , 	84 , 	60 , 	46 , 	34 , 	54 , 	74 , 	69 , 	71 , 	31 , 	30 , 	108 , 	222 ," 	1,616 "," 	2,097 "," 	2,019 "," 	1,073 ", 	240 , 	41 , 	253 , 	606 , 	267 , 	135 , 	33 , 	94 , 	46 , 	141 , 	109 , 	142 , 	206 , 	251 , 	35 , 	24 , 	-   ," 	12,673 ",,,,,,,,,
GP, 	45 , 	73 , 	30 , 	37 , 	136 , 	40 , 	76 , 	174 , 	174 , 	57 , 	72 , 	57 , 	38 , 	34 , 	22 , 	9 , 	12 , 	31 , 	42 , 	55 , 	49 , 	15 , 	18 , 	48 , 	65 ," 	1,195 "," 	1,440 "," 	1,309 ", 	701 , 	345 , 	285 , 	33 , 	114 , 	70 , 	65 , 	15 , 	56 , 	15 , 	57 , 	47 , 	76 , 	119 , 	138 , 	22 , 	15 , 	-   ," 	7,529 ",,,,,,,,,
BP, 	67 , 	95 , 	33 , 	34 , 	110 , 	49 , 	71 , 	128 , 	148 , 	72 , 	96 , 	68 , 	64 , 	44 , 	36 , 	25 , 	22 , 	38 , 	47 , 	40 , 	40 , 	15 , 	11 , 	36 , 	84 ," 	1,394 "," 	1,807 "," 	2,515 "," 	1,230 ", 	623 , 	580 , 	115 , 	56 , 	121 , 	95 , 	20 , 	61 , 	22 , 	66 , 	76 , 	121 , 	124 , 	156 , 	23 , 	10 , 	-   ," 	10,687 ",,,,,,,,,
DC, 	69 , 	114 , 	42 , 	40 , 	116 , 	36 , 	84 , 	146 , 	186 , 	89 , 	104 , 	112 , 	80 , 	60 , 	43 , 	36 , 	44 , 	72 , 	78 , 	67 , 	57 , 	17 , 	17 , 	36 , 	54 ," 	1,367 "," 	1,736 "," 	1,515 ", 	775 , 	323 , 	283 , 	71 , 	141 , 	31 , 	38 , 	32 , 	84 , 	44 , 	93 , 	77 , 	152 , 	209 , 	255 , 	44 , 	15 , 	-   ," 	9,087 ",,,,,,,,,
CM, 	16 , 	24 , 	6 , 	5 , 	36 , 	10 , 	27 , 	73 , 	131 , 	13 , 	12 , 	13 , 	9 , 	11 , 	4 , 	3 , 	3 , 	8 , 	23 , 	13 , 	21 , 	6 , 	5 , 	4 , 	13 , 	878 ," 	1,049 ", 	708 , 	496 , 	158 , 	142 , 	65 , 	85 , 	34 , 	11 , 	2 , 	20 , 	7 , 	30 , 	25 , 	61 , 	127 , 	98 , 	4 , 	3 , 	-   ," 	4,491 ",,,,,,,,,
CV, 	4 , 	9 , 	6 , 	8 , 	59 , 	10 , 	27 , 	81 , 	114 , 	120 , 	60 , 	67 , 	48 , 	71 , 	29 , 	13 , 	18 , 	39 , 	7 , 	3 , 	4 , 	1 , 	2 , 	7 , 	12 , 	566 , 	569 , 	301 , 	263 , 	68 , 	34 , 	15 , 	22 , 	30 , 	2 , 	10 , 	104 , 	1 , 	3 , 	4 , 	6 , 	27 , 	5 , 	83 , 	9 , 	-   ," 	2,943 ",,,,,,,,,
ED, 	18 , 	31 , 	25 , 	23 , 	161 , 	25 , 	66 , 	215 , 	234 , 	174 , 	138 , 	181 , 	100 , 	186 , 	66 , 	35 , 	64 , 	117 , 	11 , 	7 , 	10 , 	2 , 	3 , 	13 , 	28 ," 	2,153 "," 	1,698 ", 	756 , 	652 , 	155 , 	101 , 	57 , 	69 , 	86 , 	18 , 	108 , 	47 , 	1 , 	11 , 	23 , 	16 , 	143 , 	18 , 	61 , 	85 , 	-   ," 	8,188 ",,,,,,,,,
NC, 	7 , 	10 , 	4 , 	7 , 	43 , 	9 , 	58 , 	160 , 	162 , 	12 , 	11 , 	21 , 	10 , 	7 , 	6 , 	3 , 	6 , 	11 , 	49 , 	32 , 	60 , 	13 , 	4 , 	24 , 	7 , 	524 , 	491 , 	284 , 	278 , 	86 , 	47 , 	20 , 	26 , 	40 , 	8 , 	1 , 	1 , 	13 , 	58 , 	12 , 	16 , 	62 , 	13 , 	1 , 	13 , 	-   ," 	2,728 ",,,,,,,,,
WP, 	37 , 	36 , 	14 , 	17 , 	124 , 	27 , 	268 , 	269 , 	355 , 	51 , 	57 , 	100 , 	47 , 	21 , 	33 , 	19 , 	23 , 	46 , 	335 , 	141 , 	249 , 	41 , 	21 , 	66 , 	38 , 	779 , 	780 , 	689 , 	670 , 	192 , 	166 , 	73 , 	82 , 	95 , 	35 , 	5 , 	12 , 	61 , 	41 , 	42 , 	56 , 	160 , 	35 , 	6 , 	36 , 	-   ," 	6,448 ",,,,,,,,,
