Exit stations,Entry stations->,,SATURDAY,,,Jan 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
RM, 	2 , 	13 , 	11 , 	5 , 	22 , 	7 , 	11 , 	7 , 	10 , 	3 , 	8 , 	8 , 	3 , 	1 , 	3 , 	2 , 	0 , 	2 , 	3 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	18 , 	11 , 	44 , 	16 , 	16 , 	19 , 	5 , 	7 , 	5 , 	1 , 	-   , 	1 , 	0 , 	1 , 	1 , 	1 , 	4 , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	1 , 	1 , 	291 ,,,,,,,,,,
CL, 	7 , 	17 , 	4 , 	4 , 	17 , 	10 , 	12 , 	15 , 	12 , 	19 , 	27 , 	4 , 	21 , 	25 , 	20 , 	12 , 	8 , 	11 , 	6 , 	3 , 	3 , 	0 , 	0 , 	2 , 	10 , 	19 , 	13 , 	68 , 	32 , 	20 , 	22 , 	5 , 	8 , 	6 , 	2 , 	3 , 	10 , 	1 , 	4 , 	1 , 	2 , 	3 , 	1 , 	5 , 	5 , 	4 , 	3 , 	5 , 	3 , 	5 , 	517 ,,,,,,,,,,
SL, 	4 , 	11 , 	6 , 	3 , 	7 , 	7 , 	9 , 	15 , 	18 , 	30 , 	41 , 	28 , 	4 , 	30 , 	23 , 	11 , 	14 , 	10 , 	3 , 	2 , 	3 , 	1 , 	1 , 	6 , 	10 , 	30 , 	34 , 	70 , 	23 , 	19 , 	18 , 	3 , 	8 , 	6 , 	0 , 	10 , 	12 , 	0 , 	1 , 	1 , 	2 , 	6 , 	0 , 	10 , 	1 , 	4 , 	6 , 	7 , 	2 , 	4 , 	574 ,,,,,,,,,,
BF, 	3 , 	11 , 	3 , 	4 , 	14 , 	4 , 	10 , 	10 , 	17 , 	33 , 	64 , 	31 , 	34 , 	5 , 	25 , 	13 , 	16 , 	17 , 	4 , 	1 , 	2 , 	-   , 	2 , 	1 , 	8 , 	25 , 	23 , 	70 , 	27 , 	11 , 	10 , 	3 , 	6 , 	5 , 	1 , 	8 , 	18 , 	0 , 	1 , 	1 , 	2 , 	5 , 	2 , 	14 , 	1 , 	5 , 	4 , 	5 , 	1 , 	1 , 	581 ,,,,,,,,,,
HY, 	3 , 	7 , 	2 , 	2 , 	7 , 	4 , 	10 , 	9 , 	10 , 	10 , 	29 , 	19 , 	25 , 	25 , 	9 , 	19 , 	20 , 	22 , 	3 , 	2 , 	2 , 	1 , 	0 , 	1 , 	7 , 	17 , 	8 , 	29 , 	14 , 	10 , 	9 , 	3 , 	2 , 	4 , 	1 , 	4 , 	9 , 	1 , 	2 , 	0 , 	1 , 	4 , 	1 , 	5 , 	1 , 	7 , 	10 , 	10 , 	0 , 	2 , 	406 ,,,,,,,,,,
SH, 	1 , 	5 , 	2 , 	1 , 	4 , 	1 , 	4 , 	2 , 	6 , 	6 , 	19 , 	8 , 	14 , 	15 , 	17 , 	2 , 	8 , 	13 , 	1 , 	1 , 	1 , 	-   , 	0 , 	1 , 	3 , 	11 , 	8 , 	17 , 	8 , 	4 , 	5 , 	2 , 	3 , 	3 , 	-   , 	2 , 	4 , 	0 , 	1 , 	0 , 	1 , 	3 , 	1 , 	4 , 	2 , 	6 , 	4 , 	9 , 	1 , 	2 , 	237 ,,,,,,,,,,
UC, 	1 , 	6 , 	-   , 	2 , 	7 , 	3 , 	3 , 	5 , 	8 , 	7 , 	13 , 	11 , 	12 , 	12 , 	18 , 	9 , 	3 , 	13 , 	1 , 	0 , 	0 , 	0 , 	0 , 	1 , 	1 , 	9 , 	9 , 	21 , 	8 , 	6 , 	3 , 	1 , 	2 , 	2 , 	1 , 	2 , 	4 , 	0 , 	1 , 	1 , 	-   , 	3 , 	-   , 	2 , 	1 , 	9 , 	10 , 	12 , 	-   , 	0 , 	244 ,,,,,,,,,,
FM, 	2 , 	5 , 	1 , 	1 , 	4 , 	1 , 	4 , 	3 , 	5 , 	6 , 	15 , 	9 , 	11 , 	12 , 	23 , 	12 , 	11 , 	5 , 	1 , 	4 , 	0 , 	0 , 	-   , 	0 , 	0 , 	12 , 	7 , 	20 , 	9 , 	4 , 	2 , 	1 , 	4 , 	3 , 	1 , 	3 , 	9 , 	0 , 	1 , 	1 , 	-   , 	3 , 	1 , 	1 , 	2 , 	7 , 	12 , 	10 , 	0 , 	1 , 	249 ,,,,,,,,,,
CN, 	2 , 	6 , 	3 , 	1 , 	5 , 	5 , 	10 , 	5 , 	7 , 	1 , 	5 , 	5 , 	3 , 	3 , 	5 , 	2 , 	1 , 	2 , 	6 , 	15 , 	33 , 	23 , 	4 , 	8 , 	4 , 	28 , 	11 , 	41 , 	21 , 	14 , 	13 , 	5 , 	4 , 	3 , 	3 , 	0 , 	0 , 	3 , 	31 , 	2 , 	3 , 	9 , 	3 , 	1 , 	1 , 	0 , 	2 , 	4 , 	15 , 	15 , 	393 ,,,,,,,,,,
PH, 	0 , 	2 , 	1 , 	1 , 	4 , 	2 , 	7 , 	8 , 	6 , 	1 , 	4 , 	4 , 	2 , 	1 , 	2 , 	2 , 	1 , 	3 , 	18 , 	3 , 	14 , 	9 , 	4 , 	11 , 	1 , 	19 , 	16 , 	39 , 	16 , 	5 , 	5 , 	1 , 	1 , 	2 , 	0 , 	-   , 	2 , 	2 , 	9 , 	1 , 	2 , 	12 , 	1 , 	1 , 	2 , 	0 , 	0 , 	2 , 	3 , 	7 , 	260 ,,,,,,,,,,
WC, 	1 , 	7 , 	2 , 	3 , 	3 , 	2 , 	7 , 	5 , 	8 , 	0 , 	6 , 	3 , 	3 , 	2 , 	1 , 	2 , 	0 , 	0 , 	41 , 	18 , 	5 , 	8 , 	6 , 	6 , 	1 , 	19 , 	16 , 	27 , 	11 , 	5 , 	4 , 	1 , 	3 , 	5 , 	2 , 	-   , 	0 , 	2 , 	18 , 	0 , 	3 , 	8 , 	1 , 	-   , 	2 , 	0 , 	1 , 	0 , 	8 , 	10 , 	289 ,,,,,,,,,,
LF, 	1 , 	2 , 	2 , 	1 , 	3 , 	0 , 	3 , 	2 , 	2 , 	0 , 	5 , 	0 , 	1 , 	1 , 	1 , 	0 , 	0 , 	0 , 	27 , 	11 , 	8 , 	3 , 	2 , 	3 , 	0 , 	7 , 	9 , 	11 , 	10 , 	5 , 	4 , 	0 , 	1 , 	0 , 	1 , 	-   , 	1 , 	2 , 	8 , 	-   , 	-   , 	3 , 	0 , 	-   , 	0 , 	-   , 	-   , 	0 , 	4 , 	2 , 	146 ,,,,,,,,,,
OR, 	1 , 	0 , 	0 , 	-   , 	1 , 	0 , 	3 , 	3 , 	2 , 	-   , 	4 , 	0 , 	0 , 	2 , 	0 , 	0 , 	0 , 	-   , 	4 , 	5 , 	5 , 	3 , 	0 , 	2 , 	0 , 	5 , 	5 , 	9 , 	5 , 	5 , 	2 , 	1 , 	1 , 	2 , 	0 , 	0 , 	-   , 	0 , 	2 , 	-   , 	0 , 	3 , 	0 , 	-   , 	0 , 	0 , 	-   , 	0 , 	1 , 	1 , 	81 ,,,,,,,,,,
RR, 	1 , 	7 , 	5 , 	1 , 	2 , 	1 , 	9 , 	10 , 	9 , 	3 , 	14 , 	2 , 	4 , 	2 , 	2 , 	1 , 	1 , 	0 , 	8 , 	12 , 	4 , 	5 , 	5 , 	2 , 	3 , 	15 , 	13 , 	22 , 	14 , 	8 , 	5 , 	4 , 	1 , 	2 , 	1 , 	1 , 	0 , 	1 , 	4 , 	1 , 	1 , 	8 , 	3 , 	0 , 	0 , 	0 , 	1 , 	1 , 	1 , 	3 , 	229 ,,,,,,,,,,
OW, 	2 , 	6 , 	1 , 	2 , 	10 , 	4 , 	10 , 	8 , 	12 , 	7 , 	14 , 	8 , 	8 , 	9 , 	7 , 	3 , 	2 , 	1 , 	1 , 	0 , 	1 , 	0 , 	-   , 	3 , 	7 , 	75 , 	54 , 	150 , 	55 , 	39 , 	28 , 	5 , 	10 , 	7 , 	2 , 	1 , 	3 , 	-   , 	1 , 	3 , 	3 , 	9 , 	2 , 	1 , 	1 , 	0 , 	1 , 	1 , 	1 , 	2 , 	583 ,,,,,,,,,,
EM, 	17 , 	50 , 	16 , 	10 , 	46 , 	20 , 	39 , 	42 , 	45 , 	32 , 	44 , 	21 , 	32 , 	27 , 	18 , 	11 , 	13 , 	16 , 	22 , 	23 , 	19 , 	7 , 	5 , 	15 , 	74 , 	9 , 	2 , 	16 , 	12 , 	38 , 	51 , 	21 , 	49 , 	31 , 	8 , 	11 , 	30 , 	5 , 	18 , 	9 , 	7 , 	14 , 	8 , 	11 , 	5 , 	3 , 	7 , 	8 , 	3 , 	19 ," 	1,060 ",,,,,,,,,,
MT, 	19 , 	56 , 	19 , 	11 , 	33 , 	18 , 	33 , 	33 , 	39 , 	34 , 	46 , 	24 , 	41 , 	37 , 	11 , 	10 , 	10 , 	7 , 	17 , 	20 , 	19 , 	12 , 	6 , 	18 , 	68 , 	4 , 	5 , 	5 , 	8 , 	31 , 	40 , 	28 , 	93 , 	46 , 	14 , 	12 , 	15 , 	4 , 	15 , 	8 , 	10 , 	17 , 	4 , 	6 , 	2 , 	3 , 	7 , 	7 , 	3 , 	13 ," 	1,042 ",,,,,,,,,,
PL, 	35 , 	97 , 	30 , 	13 , 	53 , 	24 , 	49 , 	49 , 	71 , 	47 , 	95 , 	50 , 	48 , 	53 , 	24 , 	16 , 	14 , 	18 , 	36 , 	32 , 	24 , 	8 , 	8 , 	17 , 	143 , 	21 , 	6 , 	14 , 	16 , 	117 , 	167 , 	85 , 	205 , 	155 , 	46 , 	19 , 	29 , 	9 , 	32 , 	26 , 	31 , 	29 , 	13 , 	15 , 	1 , 	5 , 	6 , 	9 , 	9 , 	17 ," 	2,136 ",,,,,,,,,,
CC, 	12 , 	32 , 	13 , 	9 , 	30 , 	17 , 	39 , 	27 , 	37 , 	24 , 	85 , 	35 , 	21 , 	20 , 	12 , 	9 , 	7 , 	5 , 	14 , 	15 , 	12 , 	3 , 	5 , 	15 , 	64 , 	18 , 	9 , 	16 , 	8 , 	45 , 	55 , 	34 , 	72 , 	58 , 	20 , 	5 , 	17 , 	2 , 	9 , 	11 , 	16 , 	21 , 	12 , 	7 , 	1 , 	2 , 	3 , 	9 , 	4 , 	8 ," 	1,021 ",,,,,,,,,,
16, 	15 , 	36 , 	8 , 	8 , 	23 , 	16 , 	26 , 	31 , 	24 , 	22 , 	37 , 	20 , 	16 , 	7 , 	9 , 	5 , 	5 , 	3 , 	11 , 	5 , 	8 , 	1 , 	5 , 	10 , 	38 , 	42 , 	30 , 	125 , 	56 , 	8 , 	19 , 	21 , 	54 , 	47 , 	23 , 	2 , 	5 , 	1 , 	11 , 	9 , 	13 , 	19 , 	10 , 	3 , 	1 , 	2 , 	2 , 	5 , 	3 , 	7 , 	910 ,,,,,,,,,,
24, 	16 , 	39 , 	7 , 	10 , 	13 , 	10 , 	19 , 	18 , 	22 , 	12 , 	36 , 	20 , 	15 , 	8 , 	8 , 	4 , 	4 , 	1 , 	12 , 	3 , 	2 , 	2 , 	1 , 	5 , 	31 , 	48 , 	42 , 	194 , 	73 , 	20 , 	8 , 	30 , 	53 , 	48 , 	21 , 	3 , 	7 , 	2 , 	13 , 	17 , 	21 , 	11 , 	10 , 	1 , 	1 , 	0 , 	2 , 	6 , 	3 , 	6 , 	957 ,,,,,,,,,,
GP, 	3 , 	10 , 	2 , 	2 , 	8 , 	2 , 	7 , 	9 , 	7 , 	5 , 	7 , 	5 , 	4 , 	3 , 	2 , 	1 , 	1 , 	1 , 	6 , 	1 , 	1 , 	0 , 	1 , 	3 , 	5 , 	27 , 	21 , 	93 , 	30 , 	21 , 	31 , 	5 , 	9 , 	7 , 	8 , 	1 , 	2 , 	0 , 	4 , 	4 , 	16 , 	7 , 	6 , 	0 , 	0 , 	1 , 	1 , 	1 , 	2 , 	4 , 	398 ,,,,,,,,,,
BP, 	6 , 	14 , 	2 , 	1 , 	7 , 	2 , 	8 , 	6 , 	11 , 	10 , 	11 , 	5 , 	5 , 	5 , 	3 , 	2 , 	2 , 	4 , 	4 , 	2 , 	4 , 	1 , 	1 , 	3 , 	14 , 	48 , 	41 , 	281 , 	76 , 	55 , 	55 , 	9 , 	5 , 	12 , 	12 , 	3 , 	4 , 	1 , 	4 , 	5 , 	22 , 	20 , 	8 , 	2 , 	1 , 	1 , 	1 , 	2 , 	1 , 	3 , 	804 ,,,,,,,,,,
DC, 	5 , 	12 , 	4 , 	3 , 	8 , 	3 , 	2 , 	8 , 	9 , 	4 , 	14 , 	7 , 	7 , 	5 , 	3 , 	2 , 	5 , 	3 , 	2 , 	2 , 	4 , 	0 , 	1 , 	1 , 	10 , 	34 , 	39 , 	202 , 	68 , 	54 , 	58 , 	8 , 	13 , 	10 , 	5 , 	1 , 	4 , 	2 , 	3 , 	10 , 	18 , 	36 , 	10 , 	1 , 	1 , 	1 , 	3 , 	2 , 	1 , 	4 , 	711 ,,,,,,,,,,
CM, 	1 , 	2 , 	1 , 	1 , 	1 , 	-   , 	3 , 	2 , 	5 , 	3 , 	2 , 	2 , 	2 , 	2 , 	1 , 	0 , 	1 , 	1 , 	2 , 	0 , 	1 , 	-   , 	1 , 	0 , 	1 , 	10 , 	8 , 	50 , 	18 , 	14 , 	20 , 	5 , 	12 , 	5 , 	3 , 	1 , 	0 , 	1 , 	3 , 	1 , 	6 , 	20 , 	3 , 	0 , 	-   , 	0 , 	1 , 	0 , 	2 , 	1 , 	220 ,,,,,,,,,,
CV, 	1 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	2 , 	1 , 	6 , 	11 , 	5 , 	9 , 	7 , 	3 , 	1 , 	5 , 	1 , 	0 , 	-   , 	1 , 	1 , 	0 , 	0 , 	2 , 	10 , 	12 , 	19 , 	5 , 	4 , 	4 , 	2 , 	3 , 	1 , 	-   , 	2 , 	14 , 	-   , 	0 , 	-   , 	1 , 	1 , 	0 , 	13 , 	1 , 	1 , 	-   , 	0 , 	0 , 	0 , 	156 ,,,,,,,,,,
ED, 	1 , 	4 , 	2 , 	0 , 	3 , 	1 , 	2 , 	2 , 	3 , 	9 , 	22 , 	9 , 	11 , 	18 , 	9 , 	4 , 	5 , 	5 , 	1 , 	1 , 	1 , 	1 , 	-   , 	0 , 	3 , 	34 , 	13 , 	32 , 	14 , 	8 , 	8 , 	2 , 	6 , 	4 , 	0 , 	16 , 	5 , 	0 , 	2 , 	1 , 	0 , 	9 , 	1 , 	6 , 	6 , 	1 , 	3 , 	3 , 	-   , 	1 , 	291 ,,,,,,,,,,
NC, 	-   , 	0 , 	-   , 	0 , 	1 , 	-   , 	2 , 	1 , 	1 , 	0 , 	2 , 	0 , 	1 , 	0 , 	0 , 	0 , 	0 , 	0 , 	4 , 	2 , 	3 , 	2 , 	1 , 	0 , 	0 , 	5 , 	2 , 	9 , 	3 , 	2 , 	3 , 	0 , 	3 , 	2 , 	1 , 	0 , 	1 , 	1 , 	5 , 	-   , 	-   , 	3 , 	1 , 	0 , 	1 , 	0 , 	-   , 	0 , 	2 , 	2 , 	67 ,,,,,,,,,,
WP, 	2 , 	5 , 	1 , 	1 , 	6 , 	0 , 	10 , 	6 , 	6 , 	1 , 	6 , 	4 , 	2 , 	2 , 	1 , 	2 , 	1 , 	1 , 	30 , 	9 , 	19 , 	5 , 	1 , 	3 , 	1 , 	11 , 	12 , 	42 , 	8 , 	7 , 	12 , 	5 , 	5 , 	4 , 	2 , 	-   , 	2 , 	6 , 	6 , 	3 , 	3 , 	13 , 	2 , 	-   , 	2 , 	0 , 	1 , 	1 , 	3 , 	5 , 	280 ,,,,,,,,,,
SS, 	1 , 	3 , 	1 , 	1 , 	1 , 	0 , 	2 , 	1 , 	2 , 	1 , 	2 , 	1 , 	0 , 	1 , 	1 , 	0 , 	0 , 	0 , 	2 , 	1 , 	1 , 	-   , 	0 , 	0 , 	2 , 	10 , 	6 , 	32 , 	9 , 	8 , 	16 , 	3 , 	6 , 	7 , 	2 , 	-   , 	2 , 	-   , 	4 , 	2 , 	7 , 	8 , 	2 , 	-   , 	0 , 	-   , 	-   , 	0 , 	1 , 	4 , 	153 ,,,,,,,,,,
SB, 	2 , 	4 , 	1 , 	-   , 	1 , 	1 , 	2 , 	1 , 	6 , 	1 , 	3 , 	1 , 	4 , 	3 , 	1 , 	1 , 	1 , 	1 , 	4 , 	2 , 	3 , 	-   , 	0 , 	1 , 	3 , 	7 , 	7 , 	36 , 	20 , 	16 , 	24 , 	10 , 	16 , 	19 , 	5 , 	0 , 	1 , 	0 , 	4 , 	6 , 	3 , 	7 , 	2 , 	1 , 	0 , 	0 , 	1 , 	0 , 	2 , 	1 , 	232 ,,,,,,,,,,
SO, 	3 , 	10 , 	3 , 	1 , 	3 , 	1 , 	8 , 	5 , 	6 , 	1 , 	4 , 	2 , 	2 , 	2 , 	1 , 	2 , 	1 , 	1 , 	9 , 	3 , 	5 , 	3 , 	2 , 	2 , 	4 , 	7 , 	10 , 	28 , 	19 , 	10 , 	9 , 	4 , 	14 , 	22 , 	14 , 	1 , 	4 , 	2 , 	9 , 	4 , 	5 , 	9 , 	15 , 	1 , 	1 , 	-   , 	0 , 	0 , 	3 , 	9 , 	283 ,,,,,,,,,,
MB, 	2 , 	2 , 	2 , 	1 , 	1 , 	1 , 	0 , 	1 , 	4 , 	1 , 	2 , 	1 , 	-   , 	2 , 	0 , 	0 , 	0 , 	0 , 	2 , 	2 , 	1 , 	1 , 	0 , 	2 , 	1 , 	7 , 	3 , 	13 , 	6 , 	7 , 	7 , 	3 , 	6 , 	10 , 	2 , 	0 , 	1 , 	-   , 	1 , 	1 , 	2 , 	26 , 	3 , 	-   , 	-   , 	-   , 	-   , 	-   , 	-   , 	1 , 	129 ,,,,,,,,,,
WD, 	1 , 	1 , 	1 , 	1 , 	0 , 	1 , 	2 , 	1 , 	0 , 	6 , 	17 , 	5 , 	12 , 	17 , 	7 , 	4 , 	1 , 	4 , 	0 , 	0 , 	-   , 	0 , 	-   , 	0 , 	2 , 	14 , 	7 , 	18 , 	5 , 	2 , 	1 , 	1 , 	2 , 	1 , 	-   , 	13 , 	7 , 	-   , 	0 , 	0 , 	1 , 	1 , 	-   , 	2 , 	1 , 	0 , 	-   , 	1 , 	-   , 	0 , 	161 ,,,,,,,,,,
OA, 	-   , 	3 , 	-   , 	0 , 	2 , 	0 , 	0 , 	2 , 	2 , 	2 , 	2 , 	3 , 	0 , 	1 , 	1 , 	2 , 	0 , 	0 , 	2 , 	2 , 	1 , 	0 , 	1 , 	-   , 	1 , 	2 , 	1 , 	2 , 	1 , 	1 , 	1 , 	-   , 	0 , 	0 , 	-   , 	-   , 	3 , 	0 , 	1 , 	0 , 	-   , 	2 , 	-   , 	1 , 	0 , 	0 , 	1 , 	1 , 	1 , 	1 , 	44 ,,,,,,,,,,
WS, 	1 , 	3 , 	-   , 	1 , 	1 , 	2 , 	1 , 	3 , 	3 , 	2 , 	8 , 	6 , 	4 , 	5 , 	6 , 	5 , 	6 , 	7 , 	0 , 	1 , 	1 , 	-   , 	-   , 	-   , 	1 , 	4 , 	2 , 	4 , 	2 , 	3 , 	1 , 	1 , 	1 , 	0 , 	-   , 	1 , 	1 , 	-   , 	0 , 	-   , 	0 , 	2 , 	0 , 	0 , 	-   , 	1 , 	4 , 	4 , 	-   , 	-   , 	100 ,,,,,,,,,,
ML, 	1 , 	3 , 	1 , 	1 , 	4 , 	2 , 	2 , 	1 , 	3 , 	5 , 	4 , 	3 , 	5 , 	6 , 	5 , 	3 , 	8 , 	13 , 	1 , 	0 , 	0 , 	-   , 	-   , 	1 , 	1 , 	6 , 	4 , 	7 , 	5 , 	2 , 	2 , 	1 , 	2 , 	2 , 	1 , 	0 , 	2 , 	1 , 	1 , 	0 , 	1 , 	1 , 	0 , 	1 , 	0 , 	6 , 	3 , 	6 , 	1 , 	1 , 	129 ,,,,,,,,,,
BE, 	2 , 	7 , 	2 , 	1 , 	6 , 	5 , 	4 , 	4 , 	4 , 	4 , 	11 , 	6 , 	5 , 	7 , 	9 , 	9 , 	10 , 	12 , 	3 , 	1 , 	1 , 	-   , 	-   , 	1 , 	1 , 	8 , 	8 , 	12 , 	7 , 	5 , 	5 , 	2 , 	4 , 	3 , 	0 , 	1 , 	3 , 	-   , 	1 , 	0 , 	-   , 	1 , 	-   , 	0 , 	0 , 	3 , 	4 , 	3 , 	0 , 	2 , 	188 ,,,,,,,,,,
PC, 	2 , 	2 , 	1 , 	-   , 	0 , 	0 , 	7 , 	4 , 	2 , 	0 , 	5 , 	2 , 	1 , 	1 , 	1 , 	1 , 	0 , 	1 , 	15 , 	4 , 	9 , 	4 , 	1 , 	1 , 	1 , 	6 , 	5 , 	11 , 	4 , 	3 , 	5 , 	1 , 	3 , 	3 , 	2 , 	0 , 	-   , 	2 , 	3 , 	2 , 	0 , 	2 , 	0 , 	-   , 	0 , 	-   , 	0 , 	-   , 	1 , 	7 , 	129 ,,,,,,,,,,
