Exit stations,Entry stations->,,WEEKDAY,,,Jan 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,,,
RM, 	6 , 	25 , 	20 , 	19 , 	66 , 	23 , 	31 , 	23 , 	40 , 	9 , 	24 , 	26 , 	12 , 	8 , 	7 , 	6 , 	4 , 	4 , 	6 , 	2 , 	6 , 	1 , 	2 , 	4 , 	10 , 	61 , 	74 , 	114 , 	86 , 	56 , 	59 , 	17 , 	16 , 	11 , 	6 , 	2 , 	3 , 	1 , 	3 , 	5 , 	8 , 	8 , 	4 , 	0 , 	2 , 	4 , 	1 , 	2 , 	4 , 	2 , 	932 ,,,,,,,,,,,,,
PL, 	92 , 	133 , 	45 , 	21 , 	39 , 	37 , 	82 , 	72 , 	109 , 	84 , 	152 , 	90 , 	93 , 	82 , 	44 , 	33 , 	23 , 	24 , 	80 , 	67 , 	41 , 	14 , 	10 , 	24 , 	167 , 	30 , 	12 , 	18 , 	28 , 	130 , 	193 , 	133 , 	305 , 	196 , 	69 , 	34 , 	64 , 	18 , 	84 , 	52 , 	49 , 	30 , 	26 , 	17 , 	3 , 	10 , 	5 , 	10 , 	25 , 	54 ," 	3,257 ",,,,,,,,,,,,,
CC, 	72 , 	114 , 	39 , 	21 , 	41 , 	34 , 	87 , 	80 , 	71 , 	65 , 	164 , 	85 , 	71 , 	79 , 	36 , 	30 , 	30 , 	21 , 	83 , 	57 , 	35 , 	13 , 	11 , 	25 , 	140 , 	36 , 	24 , 	21 , 	14 , 	65 , 	107 , 	74 , 	185 , 	136 , 	67 , 	23 , 	53 , 	23 , 	67 , 	44 , 	37 , 	24 , 	36 , 	12 , 	3 , 	6 , 	11 , 	13 , 	17 , 	59 ," 	2,662 ",,,,,,,,,,,,,
16, 	50 , 	56 , 	14 , 	12 , 	20 , 	18 , 	46 , 	40 , 	41 , 	36 , 	63 , 	32 , 	35 , 	32 , 	20 , 	19 , 	9 , 	11 , 	25 , 	20 , 	15 , 	6 , 	5 , 	11 , 	63 , 	62 , 	72 , 	141 , 	78 , 	6 , 	23 , 	45 , 	102 , 	80 , 	41 , 	7 , 	18 , 	6 , 	38 , 	23 , 	23 , 	18 , 	18 , 	6 , 	2 , 	3 , 	2 , 	3 , 	13 , 	29 ," 	1,562 ",,,,,,,,,,,,,
24, 	54 , 	60 , 	14 , 	11 , 	21 , 	15 , 	30 , 	23 , 	27 , 	23 , 	63 , 	35 , 	28 , 	25 , 	12 , 	15 , 	9 , 	6 , 	26 , 	13 , 	12 , 	5 , 	4 , 	6 , 	49 , 	80 , 	111 , 	232 , 	133 , 	27 , 	9 , 	38 , 	80 , 	73 , 	33 , 	5 , 	6 , 	6 , 	30 , 	29 , 	32 , 	16 , 	21 , 	6 , 	3 , 	2 , 	2 , 	2 , 	12 , 	18 ," 	1,591 ",,,,,,,,,,,,,
GP, 	12 , 	16 , 	3 , 	3 , 	9 , 	3 , 	13 , 	12 , 	13 , 	12 , 	16 , 	13 , 	10 , 	8 , 	6 , 	6 , 	1 , 	1 , 	10 , 	5 , 	2 , 	2 , 	1 , 	4 , 	10 , 	62 , 	94 , 	138 , 	77 , 	44 , 	36 , 	5 , 	14 , 	14 , 	9 , 	1 , 	3 , 	2 , 	8 , 	7 , 	16 , 	8 , 	9 , 	3 , 	0 , 	2 , 	1 , 	0 , 	3 , 	11 , 	762 ,,,,,,,,,,,,,
BP, 	19 , 	20 , 	5 , 	2 , 	10 , 	4 , 	11 , 	15 , 	21 , 	17 , 	17 , 	14 , 	10 , 	11 , 	6 , 	5 , 	4 , 	4 , 	10 , 	2 , 	5 , 	1 , 	2 , 	2 , 	17 , 	124 , 	160 , 	377 , 	174 , 	84 , 	75 , 	13 , 	6 , 	16 , 	14 , 	3 , 	5 , 	1 , 	8 , 	13 , 	32 , 	20 , 	23 , 	2 , 	2 , 	2 , 	1 , 	1 , 	2 , 	7 ," 	1,400 ",,,,,,,,,,,,,
DC, 	10 , 	15 , 	2 , 	5 , 	7 , 	4 , 	11 , 	11 , 	19 , 	10 , 	17 , 	15 , 	9 , 	8 , 	7 , 	3 , 	2 , 	4 , 	7 , 	5 , 	8 , 	1 , 	2 , 	2 , 	14 , 	106 , 	122 , 	243 , 	147 , 	90 , 	71 , 	15 , 	16 , 	7 , 	6 , 	3 , 	10 , 	2 , 	8 , 	16 , 	28 , 	34 , 	23 , 	3 , 	0 , 	2 , 	2 , 	1 , 	3 , 	12 ," 	1,166 ",,,,,,,,,,,,,
CM, 	4 , 	7 , 	1 , 	1 , 	1 , 	1 , 	5 , 	4 , 	8 , 	2 , 	5 , 	2 , 	3 , 	2 , 	1 , 	2 , 	2 , 	1 , 	1 , 	1 , 	1 , 	1 , 	0 , 	0 , 	4 , 	43 , 	41 , 	80 , 	61 , 	31 , 	33 , 	12 , 	14 , 	7 , 	3 , 	0 , 	2 , 	1 , 	6 , 	4 , 	11 , 	27 , 	14 , 	-   , 	0 , 	0 , 	0 , 	-   , 	3 , 	8 , 	464 ,,,,,,,,,,,,,
CV, 	2 , 	0 , 	2 , 	0 , 	3 , 	1 , 	3 , 	3 , 	2 , 	20 , 	14 , 	9 , 	16 , 	8 , 	4 , 	5 , 	4 , 	5 , 	1 , 	0 , 	1 , 	0 , 	0 , 	0 , 	3 , 	29 , 	33 , 	36 , 	24 , 	10 , 	6 , 	2 , 	3 , 	4 , 	0 , 	2 , 	24 , 	-   , 	0 , 	2 , 	1 , 	2 , 	1 , 	16 , 	1 , 	1 , 	0 , 	0 , 	0 , 	0 , 	305 ,,,,,,,,,,,,,
ED, 	3 , 	7 , 	2 , 	2 , 	6 , 	2 , 	9 , 	5 , 	7 , 	21 , 	50 , 	25 , 	28 , 	36 , 	15 , 	9 , 	10 , 	9 , 	3 , 	2 , 	1 , 	0 , 	0 , 	1 , 	8 , 	61 , 	53 , 	71 , 	59 , 	19 , 	8 , 	3 , 	6 , 	9 , 	2 , 	23 , 	7 , 	0 , 	2 , 	2 , 	1 , 	10 , 	2 , 	6 , 	6 , 	3 , 	3 , 	4 , 	1 , 	1 , 	622 ,,,,,,,,,,,,,
