Exit stations,Entry stations->,,SUNDAY,,,Jan 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,,
LF, 	1 , 	1 , 	0 , 	1 , 	1 , 	0 , 	3 , 	2 , 	2 , 	1 , 	3 , 	-   , 	1 , 	0 , 	0 , 	-   , 	-   , 	0 , 	24 , 	8 , 	4 , 	2 , 	1 , 	4 , 	1 , 	3 , 	4 , 	6 , 	5 , 	1 , 	1 , 	0 , 	1 , 	0 , 	1 , 	-   , 	-   , 	2 , 	8 , 	-   , 	0 , 	2 , 	0 , 	-   , 	2 , 	-   , 	-   , 	0 , 	3 , 	2 , 	103 ,,,,,,,,,,,
OR, 	0 , 	-   , 	0 , 	0 , 	2 , 	1 , 	2 , 	3 , 	1 , 	-   , 	2 , 	1 , 	1 , 	2 , 	-   , 	0 , 	-   , 	-   , 	3 , 	5 , 	5 , 	1 , 	1 , 	4 , 	-   , 	7 , 	4 , 	5 , 	3 , 	6 , 	-   , 	0 , 	2 , 	1 , 	0 , 	-   , 	-   , 	0 , 	1 , 	-   , 	-   , 	4 , 	0 , 	-   , 	0 , 	-   , 	-   , 	-   , 	1 , 	-   , 	69 ,,,,,,,,,,,
RR, 	1 , 	3 , 	5 , 	1 , 	1 , 	1 , 	5 , 	5 , 	5 , 	3 , 	7 , 	2 , 	3 , 	2 , 	0 , 	1 , 	2 , 	-   , 	6 , 	7 , 	4 , 	5 , 	4 , 	2 , 	3 , 	15 , 	8 , 	17 , 	9 , 	10 , 	5 , 	3 , 	2 , 	2 , 	-   , 	-   , 	1 , 	1 , 	2 , 	1 , 	1 , 	7 , 	2 , 	0 , 	2 , 	-   , 	1 , 	-   , 	1 , 	3 , 	171 ,,,,,,,,,,,
OW, 	2 , 	4 , 	1 , 	1 , 	9 , 	3 , 	4 , 	5 , 	9 , 	7 , 	19 , 	5 , 	3 , 	7 , 	3 , 	1 , 	1 , 	1 , 	3 , 	1 , 	1 , 	0 , 	0 , 	3 , 	8 , 	58 , 	29 , 	92 , 	42 , 	30 , 	20 , 	6 , 	8 , 	6 , 	1 , 	3 , 	3 , 	-   , 	1 , 	2 , 	5 , 	12 , 	1 , 	1 , 	0 , 	0 , 	0 , 	2 , 	1 , 	3 , 	430 ,,,,,,,,,,,
EM, 	11 , 	36 , 	9 , 	8 , 	22 , 	9 , 	24 , 	29 , 	31 , 	16 , 	38 , 	23 , 	22 , 	18 , 	11 , 	6 , 	8 , 	8 , 	18 , 	14 , 	8 , 	4 , 	6 , 	12 , 	62 , 	11 , 	2 , 	9 , 	5 , 	18 , 	25 , 	9 , 	26 , 	20 , 	8 , 	7 , 	24 , 	5 , 	11 , 	5 , 	4 , 	13 , 	4 , 	4 , 	3 , 	3 , 	5 , 	4 , 	5 , 	10 , 	695 ,,,,,,,,,,,
MT, 	16 , 	37 , 	9 , 	4 , 	12 , 	9 , 	25 , 	19 , 	31 , 	23 , 	33 , 	15 , 	21 , 	23 , 	9 , 	4 , 	7 , 	4 , 	16 , 	12 , 	10 , 	7 , 	7 , 	9 , 	42 , 	5 , 	7 , 	5 , 	7 , 	22 , 	24 , 	17 , 	40 , 	21 , 	10 , 	6 , 	9 , 	2 , 	10 , 	7 , 	8 , 	15 , 	3 , 	3 , 	2 , 	1 , 	2 , 	4 , 	4 , 	7 , 	644 ,,,,,,,,,,,
PL, 	26 , 	73 , 	16 , 	8 , 	28 , 	15 , 	37 , 	38 , 	59 , 	39 , 	67 , 	44 , 	40 , 	38 , 	14 , 	9 , 	6 , 	8 , 	24 , 	21 , 	19 , 	6 , 	8 , 	15 , 	90 , 	11 , 	3 , 	27 , 	11 , 	66 , 	97 , 	43 , 	138 , 	100 , 	30 , 	14 , 	22 , 	8 , 	24 , 	13 , 	20 , 	29 , 	10 , 	9 , 	4 , 	4 , 	6 , 	8 , 	5 , 	13 ," 	1,468 ",,,,,,,,,,,
CC, 	13 , 	23 , 	9 , 	8 , 	20 , 	12 , 	32 , 	25 , 	32 , 	30 , 	65 , 	26 , 	14 , 	14 , 	8 , 	2 , 	3 , 	4 , 	12 , 	12 , 	8 , 	3 , 	1 , 	8 , 	49 , 	7 , 	6 , 	11 , 	13 , 	26 , 	33 , 	24 , 	50 , 	37 , 	17 , 	5 , 	11 , 	2 , 	7 , 	10 , 	11 , 	27 , 	6 , 	3 , 	4 , 	3 , 	4 , 	5 , 	2 , 	8 , 	763 ,,,,,,,,,,,
16, 	11 , 	25 , 	5 , 	6 , 	13 , 	11 , 	21 , 	21 , 	27 , 	15 , 	26 , 	12 , 	9 , 	8 , 	6 , 	5 , 	4 , 	2 , 	10 , 	6 , 	7 , 	2 , 	5 , 	8 , 	31 , 	17 , 	18 , 	76 , 	32 , 	13 , 	7 , 	14 , 	34 , 	37 , 	12 , 	3 , 	7 , 	0 , 	8 , 	7 , 	10 , 	17 , 	6 , 	1 , 	3 , 	2 , 	1 , 	2 , 	2 , 	5 , 	629 ,,,,,,,,,,,
24, 	11 , 	18 , 	4 , 	6 , 	9 , 	7 , 	16 , 	17 , 	12 , 	17 , 	30 , 	11 , 	11 , 	9 , 	6 , 	6 , 	4 , 	4 , 	9 , 	3 , 	4 , 	1 , 	0 , 	5 , 	24 , 	25 , 	24 , 	122 , 	51 , 	11 , 	18 , 	14 , 	23 , 	28 , 	16 , 	2 , 	5 , 	1 , 	6 , 	13 , 	13 , 	14 , 	5 , 	2 , 	2 , 	2 , 	2 , 	3 , 	2 , 	3 , 	654 ,,,,,,,,,,,
GP, 	3 , 	11 , 	1 , 	1 , 	4 , 	2 , 	5 , 	5 , 	6 , 	3 , 	4 , 	2 , 	2 , 	2 , 	3 , 	0 , 	1 , 	1 , 	5 , 	1 , 	1 , 	0 , 	2 , 	3 , 	5 , 	14 , 	12 , 	51 , 	20 , 	14 , 	14 , 	9 , 	4 , 	5 , 	7 , 	0 , 	1 , 	1 , 	3 , 	1 , 	8 , 	8 , 	4 , 	1 , 	1 , 	-   , 	0 , 	0 , 	-   , 	3 , 	257 ,,,,,,,,,,,
BP, 	4 , 	12 , 	2 , 	1 , 	5 , 	2 , 	5 , 	6 , 	7 , 	9 , 	7 , 	5 , 	2 , 	1 , 	4 , 	1 , 	1 , 	2 , 	3 , 	2 , 	3 , 	2 , 	1 , 	1 , 	10 , 	28 , 	24 , 	176 , 	48 , 	36 , 	23 , 	5 , 	12 , 	7 , 	8 , 	1 , 	4 , 	0 , 	5 , 	5 , 	15 , 	22 , 	7 , 	1 , 	1 , 	2 , 	1 , 	2 , 	1 , 	4 , 	537 ,,,,,,,,,,,
