Exit stations,Entry stations->,,ADJUSTED SUNDAY,,,Feb 04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,Exits,,,,,,,,,,,
MT, 	48 , 	86 , 	64 , 	94 , 	191 , 	75 , 	130 , 	89 , 	249 , 	142 , 	112 , 	140 , 	85 , 	71 , 	34 , 	25 , 	55 , 	115 , 	49 , 	74 , 	87 , 	41 , 	48 , 	141 , 	133 , 	20 , 	33 , 	47 , 	58 , 	292 , 	345 , 	301 , 	900 , 	137 , 	92 , 	35 , 	109 , 	21 , 	54 , 	28 , 	21 , 	124 , 	50 ," 	5,045 ",,,,,,,,,,,
PL, 	106 , 	231 , 	129 , 	183 , 	540 , 	162 , 	281 , 	171 , 	408 , 	229 , 	282 , 	355 , 	179 , 	149 , 	95 , 	62 , 	120 , 	261 , 	125 , 	169 , 	210 , 	120 , 	109 , 	278 , 	338 , 	89 , 	40 , 	116 , 	152 , 	766 ," 	1,085 ", 	543 , 	983 , 	431 , 	249 , 	80 , 	402 , 	46 , 	163 , 	91 , 	83 , 	497 , 	210 ," 	11,318 ",,,,,,,,,,,
CC, 	58 , 	95 , 	78 , 	122 , 	244 , 	122 , 	168 , 	117 , 	163 , 	121 , 	112 , 	199 , 	70 , 	61 , 	45 , 	34 , 	42 , 	109 , 	69 , 	83 , 	131 , 	85 , 	80 , 	190 , 	144 , 	52 , 	47 , 	148 , 	82 , 	496 , 	604 , 	233 , 	509 , 	169 , 	126 , 	50 , 	170 , 	25 , 	69 , 	38 , 	61 , 	227 , 	123 ," 	5,973 ",,,,,,,,,,,
16, 	46 , 	33 , 	16 , 	40 , 	94 , 	55 , 	76 , 	47 , 	63 , 	48 , 	79 , 	76 , 	18 , 	15 , 	16 , 	14 , 	9 , 	21 , 	22 , 	12 , 	16 , 	17 , 	6 , 	54 , 	46 , 	163 , 	205 , 	786 , 	517 , 	47 , 	157 , 	113 , 	245 , 	114 , 	63 , 	8 , 	27 , 	6 , 	28 , 	17 , 	29 , 	76 , 	32 ," 	3,573 ",,,,,,,,,,,
24, 	59 , 	51 , 	18 , 	43 , 	79 , 	51 , 	71 , 	45 , 	56 , 	40 , 	98 , 	93 , 	27 , 	18 , 	15 , 	13 , 	10 , 	18 , 	33 , 	17 , 	19 , 	10 , 	8 , 	54 , 	49 , 	214 , 	248 ," 	1,188 ", 	610 , 	149 , 	47 , 	106 , 	288 , 	126 , 	95 , 	8 , 	25 , 	6 , 	53 , 	27 , 	53 , 	87 , 	35 ," 	4,359 ",,,,,,,,,,,
GP, 	11 , 	19 , 	9 , 	12 , 	29 , 	13 , 	22 , 	12 , 	27 , 	12 , 	19 , 	49 , 	11 , 	9 , 	6 , 	5 , 	4 , 	10 , 	14 , 	13 , 	10 , 	5 , 	4 , 	22 , 	15 , 	114 , 	123 , 	734 , 	207 , 	102 , 	100 , 	21 , 	43 , 	29 , 	28 , 	3 , 	19 , 	3 , 	22 , 	9 , 	14 , 	58 , 	16 ," 	2,009 ",,,,,,,,,,,
BP, 	21 , 	29 , 	5 , 	8 , 	18 , 	8 , 	20 , 	12 , 	38 , 	19 , 	33 , 	37 , 	10 , 	17 , 	13 , 	6 , 	10 , 	16 , 	17 , 	6 , 	9 , 	3 , 	4 , 	7 , 	22 , 	169 , 	247 ," 	1,735 ", 	405 , 	228 , 	261 , 	43 , 	36 , 	38 , 	55 , 	6 , 	21 , 	4 , 	30 , 	19 , 	29 , 	46 , 	26 ," 	3,788 ",,,,,,,,,,,
DC, 	17 , 	28 , 	7 , 	7 , 	36 , 	10 , 	18 , 	13 , 	38 , 	15 , 	24 , 	55 , 	14 , 	16 , 	13 , 	6 , 	11 , 	20 , 	19 , 	16 , 	14 , 	8 , 	5 , 	12 , 	10 , 	85 , 	94 , 	484 , 	190 , 	105 , 	137 , 	28 , 	48 , 	8 , 	29 , 	6 , 	37 , 	4 , 	31 , 	19 , 	26 , 	84 , 	29 ," 	1,875 ",,,,,,,,,,,
CM, 	6 , 	13 , 	2 , 	4 , 	11 , 	3 , 	4 , 	4 , 	19 , 	5 , 	9 , 	21 , 	4 , 	6 , 	4 , 	3 , 	2 , 	7 , 	11 , 	4 , 	8 , 	1 , 	2 , 	5 , 	1 , 	44 , 	55 , 	268 , 	120 , 	49 , 	90 , 	32 , 	59 , 	26 , 	5 , 	2 , 	13 , 	2 , 	18 , 	4 , 	17 , 	93 , 	11 ," 	1,064 ",,,,,,,,,,,
CV, 	2 , 	3 , 	1 , 	1 , 	12 , 	4 , 	6 , 	3 , 	6 , 	25 , 	14 , 	30 , 	19 , 	31 , 	10 , 	7 , 	5 , 	10 , 	2 , 	3 , 	2 , 	0 , 	1 , 	3 , 	2 , 	51 , 	36 , 	88 , 	48 , 	9 , 	9 , 	5 , 	6 , 	6 , 	3 , 	2 , 	57 , 	1 , 	3 , 	1 , 	1 , 	9 , 	2 , 	536 ,,,,,,,,,,,
