Exit stations,Entry stations->,,SATURDAY,,,Apr 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA, 	19 , 	12 ,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC, 	16 , 	24 ,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA,WS,ML,BE,PC,AN,Exits,,,,,,,,,,
OW, 	11 , 	10 , 	5 , 	7 , 	22 , 	7 , 	19 , 	21 , 	33 , 	9 , 	47 , 	36 , 	14 , 	17 , 	10 , 	4 , 	4 , 	3 , 	5 , 	4 , 	7 , 	1 , 	2 , 	13 , 	17 , 	303 , 	223 , 	461 , 	243 , 	175 , 	114 , 	16 , 	21 , 	19 , 	6 , 	3 , 	11 , 	0 , 	6 , 	4 , 	9 , 	40 , 	5 , 	3 , 	4 , 	5 , 	6 , 	6 , 	2 , 	4 ," 	2,018 ",,,,,,,,,,
EM, 	100 , 	162 , 	113 , 	145 , 	357 , 	114 , 	217 , 	266 , 	220 , 	165 , 	171 , 	124 , 	115 , 	121 , 	76 , 	56 , 	89 , 	106 , 	97 , 	123 , 	141 , 	88 , 	70 , 	216 , 	349 , 	98 , 	15 , 	120 , 	72 , 	249 , 	282 , 	169 , 	202 , 	155 , 	48 , 	70 , 	319 , 	33 , 	69 , 	44 , 	53 , 	181 , 	120 , 	87 , 	31 , 	46 , 	91 , 	105 , 	14 , 	67 ," 	6,538 ",,,,,,,,,,
MT, 	79 , 	152 , 	74 , 	104 , 	338 , 	96 , 	182 , 	223 , 	206 , 	123 , 	144 , 	99 , 	117 , 	102 , 	59 , 	45 , 	52 , 	66 , 	71 , 	73 , 	87 , 	43 , 	30 , 	160 , 	287 , 	16 , 	44 , 	20 , 	35 , 	160 , 	212 , 	134 , 	283 , 	167 , 	66 , 	65 , 	145 , 	12 , 	44 , 	39 , 	48 , 	171 , 	92 , 	46 , 	16 , 	28 , 	65 , 	90 , 	10 , 	40 ," 	5,059 ",,,,,,,,,,
PL, 	139 , 	229 , 	103 , 	118 , 	391 , 	120 , 	210 , 	258 , 	238 , 	175 , 	209 , 	174 , 	160 , 	160 , 	71 , 	59 , 	78 , 	77 , 	89 , 	87 , 	103 , 	60 , 	37 , 	179 , 	437 , 	120 , 	16 , 	119 , 	73 , 	516 , 	602 , 	325 , 	568 , 	413 , 	133 , 	66 , 	205 , 	32 , 	84 , 	98 , 	120 , 	613 , 	175 , 	61 , 	33 , 	38 , 	80 , 	101 , 	18 , 	62 ," 	8,630 ",,,,,,,,,,
CC, 	61 , 	99 , 	68 , 	103 , 	205 , 	89 , 	176 , 	183 , 	156 , 	98 , 	172 , 	102 , 	82 , 	67 , 	47 , 	30 , 	44 , 	52 , 	45 , 	50 , 	69 , 	43 , 	27 , 	148 , 	279 , 	68 , 	30 , 	77 , 	53 , 	192 , 	267 , 	148 , 	166 , 	211 , 	71 , 	37 , 	115 , 	13 , 	35 , 	53 , 	80 , 	161 , 	140 , 	35 , 	12 , 	24 , 	46 , 	64 , 	10 , 	16 ," 	4,619 ",,,,,,,,,,
16, 	55 , 	66 , 	40 , 	65 , 	142 , 	79 , 	135 , 	163 , 	105 , 	81 , 	105 , 	56 , 	30 , 	29 , 	19 , 	10 , 	18 , 	18 , 	22 , 	22 , 	27 , 	10 , 	11 , 	83 , 	189 , 	229 , 	142 , 	535 , 	204 , 	30 , 	91 , 	129 , 	148 , 	172 , 	60 , 	13 , 	43 , 	5 , 	18 , 	37 , 	58 , 	123 , 	103 , 	16 , 	7 , 	9 , 	16 , 	29 , 	5 , 	13 ," 	3,813 ",,,,,,,,,,
24, 	68 , 	65 , 	28 , 	39 , 	107 , 	59 , 	108 , 	112 , 	76 , 	54 , 	83 , 	54 , 	33 , 	26 , 	18 , 	15 , 	15 , 	13 , 	20 , 	12 , 	16 , 	9 , 	8 , 	65 , 	132 , 	253 , 	172 , 	677 , 	282 , 	70 , 	36 , 	135 , 	145 , 	161 , 	62 , 	17 , 	26 , 	5 , 	23 , 	53 , 	62 , 	81 , 	72 , 	6 , 	5 , 	6 , 	11 , 	20 , 	4 , 	9 ," 	3,630 ",,,,,,,,,,
GP, 	13 , 	14 , 	10 , 	17 , 	49 , 	13 , 	24 , 	29 , 	29 , 	14 , 	17 , 	18 , 	10 , 	8 , 	4 , 	5 , 	2 , 	5 , 	8 , 	4 , 	8 , 	4 , 	3 , 	21 , 	26 , 	137 , 	99 , 	375 , 	123 , 	110 , 	119 , 	16 , 	24 , 	29 , 	21 , 	4 , 	10 , 	3 , 	8 , 	15 , 	24 , 	47 , 	36 , 	4 , 	4 , 	4 , 	3 , 	9 , 	2 , 	7 ," 	1,586 ",,,,,,,,,,
BP, 	15 , 	17 , 	5 , 	3 , 	32 , 	10 , 	16 , 	27 , 	25 , 	9 , 	20 , 	15 , 	13 , 	11 , 	6 , 	4 , 	4 , 	4 , 	9 , 	5 , 	8 , 	1 , 	3 , 	9 , 	24 , 	141 , 	136 , 	610 , 	157 , 	119 , 	131 , 	18 , 	13 , 	29 , 	33 , 	5 , 	7 , 	3 , 	8 , 	20 , 	38 , 	47 , 	30 , 	2 , 	3 , 	2 , 	5 , 	10 , 	3 , 	7 ," 	1,877 ",,,,,,,,,,
DC, 	18 , 	29 , 	9 , 	7 , 	40 , 	11 , 	19 , 	29 , 	21 , 	15 , 	22 , 	31 , 	16 , 	10 , 	9 , 	6 , 	8 , 	6 , 	14 , 	10 , 	9 , 	5 , 	3 , 	14 , 	27 , 	155 , 	123 , 	520 , 	215 , 	170 , 	167 , 	30 , 	30 , 	27 , 	16 , 	8 , 	22 , 	3 , 	10 , 	20 , 	53 , 	121 , 	56 , 	10 , 	7 , 	5 , 	8 , 	10 , 	3 , 	8 ," 	2,184 ",,,,,,,,,,
