Exit stations,Entry stations->,,SUNDAY,,,May 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,Exits,,,,,,,,,,,
16, 	81 , 	138 , 	75 , 	137 , 	223 , 	178 , 	270 , 	205 , 	149 , 	169 , 	210 , 	113 , 	76 , 	78 , 	53 , 	44 , 	45 , 	105 , 	61 , 	64 , 	57 , 	38 , 	38 , 	184 , 	291 , 	369 , 	333 ," 	1,412 ", 	684 , 	48 , 	327 , 	300 , 	431 , 	252 , 	78 , 	35 , 	91 , 	24 , 	68 , 	63 , 	119 , 	234 , 	246 , 	26 ," 	8,214 ",,,,,,,,,,,
24, 	89 , 	118 , 	66 , 	105 , 	145 , 	122 , 	226 , 	125 , 	97 , 	129 , 	187 , 	123 , 	68 , 	75 , 	59 , 	34 , 	40 , 	63 , 	66 , 	37 , 	54 , 	28 , 	30 , 	119 , 	232 , 	448 , 	412 ," 	1,564 ", 	832 , 	322 , 	54 , 	370 , 	503 , 	370 , 	137 , 	42 , 	89 , 	24 , 	74 , 	121 , 	182 , 	242 , 	276 , 	21 ," 	8,518 ",,,,,,,,,,,
GP, 	25 , 	26 , 	16 , 	28 , 	49 , 	22 , 	43 , 	28 , 	25 , 	25 , 	35 , 	47 , 	12 , 	20 , 	8 , 	4 , 	7 , 	17 , 	21 , 	11 , 	26 , 	8 , 	13 , 	33 , 	27 , 	250 , 	196 , 	886 , 	318 , 	311 , 	355 , 	28 , 	53 , 	53 , 	27 , 	7 , 	24 , 	8 , 	24 , 	21 , 	57 , 	117 , 	52 , 	5 ," 	3,365 ",,,,,,,,,,,
BP, 	27 , 	40 , 	7 , 	22 , 	37 , 	20 , 	29 , 	23 , 	38 , 	39 , 	49 , 	31 , 	16 , 	31 , 	13 , 	7 , 	14 , 	18 , 	25 , 	16 , 	19 , 	6 , 	7 , 	17 , 	30 , 	315 , 	307 ," 	1,801 ", 	467 , 	410 , 	464 , 	48 , 	38 , 	60 , 	63 , 	7 , 	20 , 	4 , 	33 , 	29 , 	122 , 	75 , 	63 , 	10 ," 	4,912 ",,,,,,,,,,,
DC, 	26 , 	42 , 	12 , 	7 , 	47 , 	16 , 	28 , 	19 , 	34 , 	31 , 	39 , 	57 , 	26 , 	24 , 	16 , 	12 , 	19 , 	42 , 	36 , 	23 , 	28 , 	14 , 	14 , 	21 , 	27 , 	283 , 	214 , 	935 , 	407 , 	255 , 	316 , 	62 , 	77 , 	18 , 	33 , 	16 , 	50 , 	7 , 	43 , 	32 , 	116 , 	168 , 	120 , 	11 ," 	3,818 ",,,,,,,,,,,
CM, 	10 , 	21 , 	2 , 	4 , 	6 , 	2 , 	7 , 	9 , 	14 , 	5 , 	11 , 	11 , 	5 , 	8 , 	2 , 	2 , 	4 , 	4 , 	15 , 	5 , 	9 , 	3 , 	2 , 	4 , 	6 , 	91 , 	75 , 	336 , 	132 , 	75 , 	113 , 	29 , 	73 , 	48 , 	11 , 	1 , 	10 , 	4 , 	20 , 	8 , 	42 , 	66 , 	34 , 	1 ," 	1,333 ",,,,,,,,,,,
CV, 	4 , 	5 , 	5 , 	5 , 	14 , 	5 , 	9 , 	3 , 	10 , 	38 , 	42 , 	60 , 	26 , 	53 , 	14 , 	12 , 	8 , 	16 , 	5 , 	4 , 	3 , 	1 , 	1 , 	3 , 	5 , 	166 , 	71 , 	162 , 	95 , 	41 , 	29 , 	6 , 	6 , 	17 , 	3 , 	4 , 	52 , 	2 , 	5 , 	2 , 	2 , 	19 , 	5 , 	43 ," 	1,073 ",,,,,,,,,,,
ED, 	7 , 	14 , 	9 , 	8 , 	39 , 	10 , 	16 , 	12 , 	21 , 	54 , 	54 , 	344 , 	28 , 	73 , 	28 , 	19 , 	23 , 	42 , 	5 , 	4 , 	6 , 	1 , 	1 , 	7 , 	12 , 	785 , 	235 , 	511 , 	278 , 	91 , 	62 , 	22 , 	26 , 	69 , 	8 , 	51 , 	29 , 	1 , 	3 , 	5 , 	8 , 	106 , 	12 , 	23 ," 	3,155 ",,,,,,,,,,,
NC, 	4 , 	3 , 	2 , 	2 , 	7 , 	3 , 	8 , 	6 , 	8 , 	2 , 	6 , 	25 , 	2 , 	5 , 	3 , 	3 , 	1 , 	5 , 	17 , 	8 , 	22 , 	5 , 	4 , 	14 , 	3 , 	115 , 	67 , 	90 , 	56 , 	23 , 	17 , 	8 , 	5 , 	12 , 	3 , 	1 , 	2 , 	4 , 	17 , 	3 , 	5 , 	26 , 	2 , 	1 , 	623 ,,,,,,,,,,,
WP, 	38 , 	33 , 	8 , 	11 , 	26 , 	20 , 	93 , 	45 , 	56 , 	12 , 	53 , 	106 , 	20 , 	20 , 	21 , 	17 , 	13 , 	35 , 	169 , 	46 , 	85 , 	17 , 	10 , 	29 , 	20 , 	245 , 	105 , 	275 , 	138 , 	68 , 	65 , 	27 , 	32 , 	41 , 	21 , 	4 , 	6 , 	20 , 	12 , 	14 , 	17 , 	84 , 	20 , 	3 ," 	2,194 ",,,,,,,,,,,
SS, 	8 , 	7 , 	4 , 	2 , 	5 , 	3 , 	3 , 	3 , 	4 , 	5 , 	11 , 	12 , 	4 , 	4 , 	4 , 	3 , 	5 , 	6 , 	9 , 	8 , 	8 , 	1 , 	4 , 	5 , 	6 , 	75 , 	50 , 	227 , 	105 , 	70 , 	96 , 	21 , 	29 , 	33 , 	9 , 	3 , 	5 , 	5 , 	16 , 	8 , 	30 , 	29 , 	15 , 	1 , 	958 ,,,,,,,,,,,
SB, 	10 , 	14 , 	5 , 	5 , 	11 , 	4 , 	10 , 	10 , 	16 , 	8 , 	10 , 	16 , 	5 , 	4 , 	8 , 	3 , 	3 , 	5 , 	11 , 	9 , 	9 , 	1 , 	2 , 	4 , 	10 , 	120 , 	61 , 	252 , 	190 , 	117 , 	166 , 	57 , 	125 , 	117 , 	47 , 	4 , 	8 , 	3 , 	12 , 	34 , 	9 , 	62 , 	34 , 	2 ," 	1,611 ",,,,,,,,,,,
SO, 	21 , 	35 , 	33 , 	57 , 	166 , 	28 , 	58 , 	30 , 	54 , 	17 , 	19 , 	33 , 	16 , 	10 , 	6 , 	3 , 	11 , 	24 , 	42 , 	71 , 	91 , 	54 , 	49 , 	82 , 	38 , 	409 , 	352 ," 	1,400 ", 	427 , 	151 , 	134 , 	60 , 	49 , 	99 , 	41 , 	13 , 	59 , 	19 , 	51 , 	18 , 	34 , 	35 , 	196 , 	16 ," 	4,606 ",,,,,,,,,,,
MB, 	12 , 	21 , 	13 , 	22 , 	80 , 	20 , 	23 , 	14 , 	35 , 	12 , 	14 , 	25 , 	8 , 	6 , 	4 , 	4 , 	8 , 	4 , 	14 , 	15 , 	19 , 	10 , 	9 , 	21 , 	15 , 	285 , 	162 , 	577 , 	491 , 	240 , 	224 , 	55 , 	80 , 	157 , 	37 , 	4 , 	11 , 	3 , 	23 , 	14 , 	30 , 	431 , 	22 , 	3 ," 	3,272 ",,,,,,,,,,,
WD, 	1 , 	4 , 	2 , 	2 , 	14 , 	5 , 	8 , 	7 , 	9 , 	21 , 	34 , 	98 , 	22 , 	71 , 	20 , 	11 , 	10 , 	20 , 	5 , 	2 , 	2 , 	1 , 	1 , 	3 , 	6 , 	223 , 	77 , 	177 , 	75 , 	24 , 	14 , 	8 , 	9 , 	12 , 	2 , 	46 , 	12 , 	-   , 	6 , 	2 , 	2 , 	28 , 	7 , 	7 ," 	1,104 ",,,,,,,,,,,
Entries," 	1,714 "," 	2,713 "," 	1,737 "," 	2,176 "," 	5,065 "," 	2,461 "," 	3,618 "," 	2,686 "," 	3,325 "," 	2,631 "," 	3,591 "," 	4,703 "," 	1,906 "," 	2,450 "," 	1,629 ", 	998 ," 	1,324 "," 	2,803 "," 	1,909 "," 	1,727 "," 	2,528 "," 	1,312 "," 	1,073 "," 	2,557 "," 	2,957 "," 	11,190 "," 	6,580 "," 	20,070 "," 	10,891 "," 	8,521 "," 	8,016 "," 	3,437 "," 	5,202 "," 	4,098 "," 	1,301 "," 	1,057 "," 	3,172 ", 	621 ," 	2,016 ", 	975 ," 	1,554 "," 	5,993 "," 	3,088 "," 	1,036 "," 	160,404 ",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
